c,z,attribute,y,uni,value
Turkiye,CenterAna,CongestionShare,2025,NorthWest,0.0210045662100456
Turkiye,CenterAna,CongestionShare,2025,WestMed,0.0212328767123287
Turkiye,CenterAna,CongestionShare,2026,NorthWest,0.0139269406392694
Turkiye,CenterAna,CongestionShare,2026,WestMed,0.0115296803652968
Turkiye,CenterAna,CongestionShare,2027,NorthWest,0.0050228310502283
Turkiye,CenterAna,CongestionShare,2027,WestMed,0.0122146118721461
Turkiye,CenterAna,CongestionShare,2028,NorthWest,0.0139269406392694
Turkiye,CenterAna,CongestionShare,2028,WestMed,0.0368721461187214
Turkiye,CenterAna,CongestionShare,2029,NorthWest,0.0300228310502283
Turkiye,CenterAna,CongestionShare,2029,WestMed,0.0460045662100456
Turkiye,CenterAna,CongestionShare,2030,NorthWest,0.0476027397260273
Turkiye,CenterAna,CongestionShare,2030,WestMed,0.0472602739726027
Turkiye,CenterAna,CongestionShare,2031,NorthWest,0.0982876712328767
Turkiye,CenterAna,CongestionShare,2031,WestMed,0.0600456621004566
Turkiye,CenterAna,CongestionShare,2032,NorthWest,0.091324200913242
Turkiye,CenterAna,CongestionShare,2032,WestMed,0.1005707762557077
Turkiye,CenterAna,CongestionShare,2033,NorthWest,0.1300228310502283
Turkiye,CenterAna,CongestionShare,2033,WestMed,0.092579908675799
Turkiye,CenterAna,CongestionShare,2034,NorthWest,0.1273972602739726
Turkiye,CenterAna,CongestionShare,2034,WestMed,0.1228310502283105
Turkiye,CenterAna,CongestionShare,2035,NorthWest,0.1423515981735159
Turkiye,CenterAna,CongestionShare,2035,WestMed,0.1333333333333333
Turkiye,CenterAna,CongestionShare,2036,NorthWest,0.0871004566210045
Turkiye,CenterAna,CongestionShare,2036,WestMed,0.0794520547945205
Turkiye,CenterAna,CongestionShare,2037,NorthWest,0.072945205479452
Turkiye,CenterAna,CongestionShare,2037,WestMed,0.1182648401826484
Turkiye,CenterAna,CongestionShare,2038,NorthWest,0.1047945205479452
Turkiye,CenterAna,CongestionShare,2038,WestMed,0.1527397260273972
Turkiye,CenterAna,CongestionShare,2039,NorthWest,0.1335616438356164
Turkiye,CenterAna,CongestionShare,2039,WestMed,0.1429223744292237
Turkiye,CenterAna,CongestionShare,2040,NorthWest,0.159931506849315
Turkiye,CenterAna,CongestionShare,2040,WestMed,0.1383561643835616
Turkiye,CenterAna,Interchange,2025,NorthWest,11354.710339983158
Turkiye,CenterAna,Interchange,2025,WestMed,2061.780128663712
Turkiye,CenterAna,Interchange,2026,NorthWest,7875.275730778787
Turkiye,CenterAna,Interchange,2026,WestMed,1471.7032746313444
Turkiye,CenterAna,Interchange,2027,NorthWest,4837.0540972081135
Turkiye,CenterAna,Interchange,2027,WestMed,1042.803437424912
Turkiye,CenterAna,Interchange,2028,NorthWest,8136.193910421949
Turkiye,CenterAna,Interchange,2028,WestMed,2614.6629333650426
Turkiye,CenterAna,Interchange,2029,NorthWest,10329.53475362148
Turkiye,CenterAna,Interchange,2029,WestMed,3583.5624717751925
Turkiye,CenterAna,Interchange,2030,NorthWest,13479.421575547038
Turkiye,CenterAna,Interchange,2030,WestMed,3516.632725862833
Turkiye,CenterAna,Interchange,2031,NorthWest,16278.40059645538
Turkiye,CenterAna,Interchange,2031,WestMed,3268.699973755058
Turkiye,CenterAna,Interchange,2032,NorthWest,14995.302388590137
Turkiye,CenterAna,Interchange,2032,WestMed,3637.0334530457567
Turkiye,CenterAna,Interchange,2033,EastMed,3.351491751573711
Turkiye,CenterAna,Interchange,2033,NorthWest,14518.967814836544
Turkiye,CenterAna,Interchange,2033,SouthEast,22.033635397354924
Turkiye,CenterAna,Interchange,2033,WestMed,3783.3717064752486
Turkiye,CenterAna,Interchange,2034,EastMed,20.842774213024736
Turkiye,CenterAna,Interchange,2034,NorthWest,13835.530639242985
Turkiye,CenterAna,Interchange,2034,SouthEast,49.30307487686678
Turkiye,CenterAna,Interchange,2034,WestMed,4216.8550268119525
