country,zone,attribute,resolution,year,ArTur,baseline
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2027,8682.3,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2028,8673.9,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2029,8708.4,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2030,8684.0,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2031,8522.9,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2032,8414.4,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2033,8356.9,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2034,8360.7,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2035,8329.4,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2036,8329.3,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2037,7915.9,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2038,7353.8,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2039,7334.5,
Armenia,Armenia,Annual Energy Exchanges: GWh,EastAna,2040,5720.2,
Armenia,Armenia,Capacity: MW,Gas,2025,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2026,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2027,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2028,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2029,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2030,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2031,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2032,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2033,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2034,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2035,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2036,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2037,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2038,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2039,945.6,945.6
Armenia,Armenia,Capacity: MW,Gas,2040,945.6,945.6
Armenia,Armenia,Capacity: MW,Nuclear,2025,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2026,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2027,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2028,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2029,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2030,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2031,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2032,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2033,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2034,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2035,407.5,407.5
Armenia,Armenia,Capacity: MW,Nuclear,2036,407.5,407.5
Armenia,Armenia,Capacity: MW,Onshore Wind,2025,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2026,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2027,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2028,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2029,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2030,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2031,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2032,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2033,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2034,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2035,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2036,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2037,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2038,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2039,4.0,4.0
Armenia,Armenia,Capacity: MW,Onshore Wind,2040,4.0,4.0
Armenia,Armenia,Capacity: MW,PV,2025,452.0,452.0
Armenia,Armenia,Capacity: MW,PV,2026,452.0,452.0
Armenia,Armenia,Capacity: MW,PV,2027,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2028,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2029,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2030,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2031,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2032,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2033,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2034,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2035,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2036,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2037,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2038,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2039,887.0,887.0
Armenia,Armenia,Capacity: MW,PV,2040,887.0,887.0
Armenia,Armenia,Capacity: MW,ROR,2025,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2026,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2027,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2028,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2029,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2030,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2031,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2032,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2033,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2034,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2035,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2036,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2037,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2038,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2039,430.0,430.0
Armenia,Armenia,Capacity: MW,ROR,2040,430.0,430.0
Armenia,Armenia,Capacity: MW,Reservoir,2025,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2026,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2027,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2028,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2029,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2030,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2031,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2032,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2033,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2034,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2035,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2036,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2037,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2038,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2039,965.6,965.6
Armenia,Armenia,Capacity: MW,Reservoir,2040,561.4,561.4
Armenia,Armenia,Demand: GWh,,2025,6721.0,6721.0
Armenia,Armenia,Demand: GWh,,2026,6792.0,6792.0
Armenia,Armenia,Demand: GWh,,2027,6862.0,6862.0
Armenia,Armenia,Demand: GWh,,2028,6933.0,6933.0
Armenia,Armenia,Demand: GWh,,2029,7004.0,7004.0
Armenia,Armenia,Demand: GWh,,2030,7075.0,7075.0
Armenia,Armenia,Demand: GWh,,2031,7155.0,7155.0
Armenia,Armenia,Demand: GWh,,2032,7235.0,7235.0
Armenia,Armenia,Demand: GWh,,2033,7315.0,7315.0
Armenia,Armenia,Demand: GWh,,2034,7394.0,7394.0
Armenia,Armenia,Demand: GWh,,2035,7474.0,7474.0
Armenia,Armenia,Demand: GWh,,2036,7560.0,7560.0
Armenia,Armenia,Demand: GWh,,2037,7645.0,7645.0
Armenia,Armenia,Demand: GWh,,2038,7731.0,7731.0
Armenia,Armenia,Demand: GWh,,2039,7816.0,7816.0
Armenia,Armenia,Demand: GWh,,2040,7902.0,7902.0
Armenia,Armenia,Emissions: MtCO2,,2027,0.3,
Armenia,Armenia,Emissions: MtCO2,,2028,0.3,
Armenia,Armenia,Emissions: MtCO2,,2029,0.3,
Armenia,Armenia,Emissions: MtCO2,,2030,0.4,
Armenia,Armenia,Emissions: MtCO2,,2031,0.3,
Armenia,Armenia,Emissions: MtCO2,,2032,0.3,
Armenia,Armenia,Emissions: MtCO2,,2033,0.4,
Armenia,Armenia,Emissions: MtCO2,,2034,0.4,
Armenia,Armenia,Emissions: MtCO2,,2035,0.4,
Armenia,Armenia,Emissions: MtCO2,,2036,0.4,
Armenia,Armenia,Emissions: MtCO2,,2037,1.1,0.0
Armenia,Armenia,Emissions: MtCO2,,2038,0.9,0.0
Armenia,Armenia,Emissions: MtCO2,,2039,1.0,0.0
Armenia,Armenia,Emissions: MtCO2,,2040,1.5,0.2
Armenia,Armenia,Energy: GWh,Gas,2027,736.5,
Armenia,Armenia,Energy: GWh,Gas,2028,813.5,
Armenia,Armenia,Energy: GWh,Gas,2029,891.6,
Armenia,Armenia,Energy: GWh,Gas,2030,970.4,
Armenia,Armenia,Energy: GWh,Gas,2031,890.5,
Armenia,Armenia,Energy: GWh,Gas,2032,900.5,
Armenia,Armenia,Energy: GWh,Gas,2033,933.7,
Armenia,Armenia,Energy: GWh,Gas,2034,970.3,
Armenia,Armenia,Energy: GWh,Gas,2035,1007.0,
Armenia,Armenia,Energy: GWh,Gas,2036,1051.7,
Armenia,Armenia,Energy: GWh,Gas,2037,2987.1,51.0
Armenia,Armenia,Energy: GWh,Gas,2038,2505.2,55.6
Armenia,Armenia,Energy: GWh,Gas,2039,2547.1,60.8
Armenia,Armenia,Energy: GWh,Gas,2040,3931.6,568.7
Armenia,Armenia,Energy: GWh,Nuclear,2025,0.1,0.1
Armenia,Armenia,Energy: GWh,Nuclear,2026,0.6,0.6
Armenia,Armenia,Energy: GWh,Nuclear,2027,2266.4,3.9
Armenia,Armenia,Energy: GWh,Nuclear,2028,2252.1,9.9
Armenia,Armenia,Energy: GWh,Nuclear,2029,2279.6,16.9
Armenia,Armenia,Energy: GWh,Nuclear,2030,2247.4,24.5
Armenia,Armenia,Energy: GWh,Nuclear,2031,2245.2,27.1
Armenia,Armenia,Energy: GWh,Nuclear,2032,2206.4,30.2
Armenia,Armenia,Energy: GWh,Nuclear,2033,2193.0,33.7
Armenia,Armenia,Energy: GWh,Nuclear,2034,2241.0,37.1
Armenia,Armenia,Energy: GWh,Nuclear,2035,2252.4,41.4
Armenia,Armenia,Energy: GWh,Nuclear,2036,2294.3,46.2
Armenia,Armenia,Energy: GWh,Onshore Wind,2025,5.4,5.4
Armenia,Armenia,Energy: GWh,Onshore Wind,2026,5.4,5.4
Armenia,Armenia,Energy: GWh,Onshore Wind,2027,5.4,5.4
Armenia,Armenia,Energy: GWh,Onshore Wind,2028,5.4,5.4
Armenia,Armenia,Energy: GWh,Onshore Wind,2029,5.4,5.4
Armenia,Armenia,Energy: GWh,Onshore Wind,2030,5.4,5.4
