c,z,attribute,y,uni,value
Armenia,Armenia,CongestionShare,2025,EastAna,1.0
Armenia,Armenia,CongestionShare,2026,EastAna,1.0
Armenia,Armenia,CongestionShare,2027,EastAna,0.9825342465753424
Armenia,Armenia,CongestionShare,2028,EastAna,0.9825342465753424
Armenia,Armenia,CongestionShare,2029,EastAna,0.9897260273972602
Armenia,Armenia,CongestionShare,2030,EastAna,0.979337899543379
Armenia,Armenia,CongestionShare,2031,EastAna,0.8876712328767123
Armenia,Armenia,CongestionShare,2032,EastAna,0.8581050228310503
Armenia,Armenia,CongestionShare,2033,EastAna,0.8503424657534246
Armenia,Armenia,CongestionShare,2034,EastAna,0.8479452054794521
Armenia,Armenia,CongestionShare,2035,EastAna,0.8440639269406393
Armenia,Armenia,CongestionShare,2036,EastAna,0.8343607305936073
Armenia,Armenia,CongestionShare,2037,EastAna,0.7507990867579909
Armenia,Armenia,CongestionShare,2038,EastAna,0.6640410958904109
Armenia,Armenia,CongestionShare,2039,EastAna,0.6568493150684932
Armenia,Armenia,CongestionShare,2040,EastAna,0.3632420091324201
Armenia,Armenia,Interchange,2027,EastAna,8682.27906243667
Armenia,Armenia,Interchange,2028,EastAna,8673.913838466697
Armenia,Armenia,Interchange,2029,EastAna,8708.411372384608
Armenia,Armenia,Interchange,2030,EastAna,8684.013852098793
Armenia,Armenia,Interchange,2031,EastAna,8522.908986684713
Armenia,Armenia,Interchange,2032,EastAna,8414.40643011722
Armenia,Armenia,Interchange,2033,EastAna,8356.924003764156
Armenia,Armenia,Interchange,2034,EastAna,8360.667864439123
Armenia,Armenia,Interchange,2035,EastAna,8329.575485729276
Armenia,Armenia,Interchange,2036,EastAna,8329.320879457733
Armenia,Armenia,Interchange,2037,EastAna,7911.025568780965
Armenia,Armenia,Interchange,2038,EastAna,7353.844150892824
Armenia,Armenia,Interchange,2039,EastAna,7321.576067320153
Armenia,Armenia,Interchange,2040,EastAna,5721.401763592136
Armenia,Armenia,InterconUtilization,2027,EastAna,0.9911277468535012
Armenia,Armenia,InterconUtilization,2028,EastAna,0.9901728126103536
Armenia,Armenia,InterconUtilization,2029,EastAna,0.9941108872585168
Armenia,Armenia,InterconUtilization,2030,EastAna,0.9913257822030586
Armenia,Armenia,InterconUtilization,2031,EastAna,0.9729348158315884
Armenia,Armenia,InterconUtilization,2032,EastAna,0.9605486792371256
Armenia,Armenia,InterconUtilization,2033,EastAna,0.9539867584205656
Armenia,Armenia,InterconUtilization,2034,EastAna,0.9544141397761556
Armenia,Armenia,InterconUtilization,2035,EastAna,0.9508647814759448
Armenia,Armenia,InterconUtilization,2036,EastAna,0.9508357168330746
Armenia,Armenia,InterconUtilization,2037,EastAna,0.9030851105914344
Armenia,Armenia,InterconUtilization,2038,EastAna,0.8394799259010073
Armenia,Armenia,InterconUtilization,2039,EastAna,0.8357963547169125
Armenia,Armenia,InterconUtilization,2040,EastAna,0.6531280552045816
Armenia,Armenia,NetImport,2027,EastAna,-8.68227906243667
Armenia,Armenia,NetImport,2028,EastAna,-8.673913838466698
Armenia,Armenia,NetImport,2029,EastAna,-8.708411372384608
Armenia,Armenia,NetImport,2030,EastAna,-8.684013852098794
Armenia,Armenia,NetImport,2031,EastAna,-8.522908986684714
Armenia,Armenia,NetImport,2032,EastAna,-8.41440643011722
Armenia,Armenia,NetImport,2033,EastAna,-8.356924003764156
Armenia,Armenia,NetImport,2034,EastAna,-8.360667864439124
Armenia,Armenia,NetImport,2035,EastAna,-8.329575485729276
Armenia,Armenia,NetImport,2036,EastAna,-8.329320879457732
Armenia,Armenia,NetImport,2037,EastAna,-7.911025568780965
Armenia,Armenia,NetImport,2038,EastAna,-7.353844150892824
Armenia,Armenia,NetImport,2039,EastAna,-7.321576067320153
Armenia,Armenia,NetImport,2040,EastAna,-5.721401763592136
Armenia,Armenia,NewTransmissionCapacity,2027,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2027,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2028,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2029,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2030,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2031,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2032,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2033,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2034,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2035,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2036,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2037,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2038,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2039,EastAna,1000.0
Armenia,Armenia,TransmissionCapacity,2040,EastAna,1000.0
Turkiye,CenterAna,CongestionShare,2025,NorthWest,0.0028538812785388
Turkiye,CenterAna,CongestionShare,2025,WestMed,0.0271689497716895
Turkiye,CenterAna,CongestionShare,2026,NorthWest,0.0019406392694063
Turkiye,CenterAna,CongestionShare,2026,WestMed,0.0010273972602739
Turkiye,CenterAna,CongestionShare,2027,NorthWest,0.001255707762557
Turkiye,CenterAna,CongestionShare,2027,WestMed,0.0172374429223744
Turkiye,CenterAna,CongestionShare,2028,NorthWest,0.020662100456621
Turkiye,CenterAna,CongestionShare,2028,WestMed,0.0513698630136986
Turkiye,CenterAna,CongestionShare,2029,NorthWest,0.0541095890410958
Turkiye,CenterAna,CongestionShare,2029,WestMed,0.0644977168949771
Turkiye,CenterAna,CongestionShare,2030,NorthWest,0.0720319634703196
Turkiye,CenterAna,CongestionShare,2030,WestMed,0.0926940639269406
Turkiye,CenterAna,CongestionShare,2031,NorthWest,0.1183789954337899
Turkiye,CenterAna,CongestionShare,2031,WestMed,0.0993150684931506
Turkiye,CenterAna,CongestionShare,2032,NorthWest,0.1376712328767123
Turkiye,CenterAna,CongestionShare,2032,WestMed,0.1044520547945205
Turkiye,CenterAna,CongestionShare,2033,NorthWest,0.1287671232876712
Turkiye,CenterAna,CongestionShare,2033,WestMed,0.1365296803652968
