c,z,attribute,y,uni,value
AFG,NEPS_AFG,CapexInvestmentComponent,2026,Generation,1207744069.0355806
AFG,NEPS_AFG,CapexInvestmentComponent,2027,Generation,675000000.0
AFG,NEPS_AFG,CapexInvestmentComponent,2028,Generation,131763771.71512058
AFG,NEPS_AFG,CapexInvestmentComponent,2029,Generation,322262279.9999994
AFG,NEPS_AFG,CapexInvestmentComponent,2030,Generation,275660673.9350856
AFG,NEPS_AFG,CapexInvestmentComponent,2031,Generation,317985851.55312
AFG,NEPS_AFG,CapexInvestmentComponent,2032,Generation,213433002.52942044
AFG,NEPS_AFG,CapexInvestmentComponent,2033,Generation,139590853.8507436
AFG,NEPS_AFG,CapexInvestmentComponent,2034,Generation,155529158.6310803
AFG,NEPS_AFG,CapexInvestmentComponent,2035,Generation,677790723.0913357
AFG,NEPS_AFG,CapexInvestmentComponent,2040,Generation,1193896734.711068
AFG,NEPS_AFG,CapexInvestmentComponent,2045,Generation,1306150130.1214397
AFG,NEPS_AFG,CapexInvestmentComponent,2050,Generation,1327304123.5260787
AFG,NEPS_AFG,CapexInvestmentComponentCumulated,2026,Generation,1207744069.0355806
AFG,NEPS_AFG,CapexInvestmentComponentCumulated,2027,Generation,1882744069.0355809
AFG,NEPS_AFG,CapexInvestmentComponentCumulated,2028,Generation,2014507840.7507007
AFG,NEPS_AFG,CapexInvestmentComponentCumulated,2029,Generation,2336770120.7507005
AFG,NEPS_AFG,CapexInvestmentComponentCumulated,2030,Generation,2612430794.6857862
AFG,NEPS_AFG,CapexInvestmentComponentCumulated,2031,Generation,2930416646.2389064
AFG,NEPS_AFG,CapexInvestmentComponentCumulated,2032,Generation,3143849648.7683268
AFG,NEPS_AFG,CapexInvestmentComponentCumulated,2033,Generation,3283440502.61907
AFG,NEPS_AFG,CapexInvestmentComponentCumulated,2034,Generation,3438969661.2501507
AFG,NEPS_AFG,CapexInvestmentComponentCumulated,2035,Generation,4116760384.341486
AFG,NEPS_AFG,CapexInvestmentComponentCumulated,2040,Generation,5310657119.052554
AFG,NEPS_AFG,CapexInvestmentComponentCumulated,2045,Generation,6616807249.173994
AFG,NEPS_AFG,CapexInvestmentComponentCumulated,2050,Generation,7944111372.700072
AFG,NEPS_HERAT,CapexInvestmentComponent,2026,Generation,415935968.0888471
AFG,NEPS_HERAT,CapexInvestmentComponent,2027,Generation,28275244.276642933
AFG,NEPS_HERAT,CapexInvestmentComponent,2028,Generation,29871451.379294444
AFG,NEPS_HERAT,CapexInvestmentComponent,2029,Generation,31530779.01970024
AFG,NEPS_HERAT,CapexInvestmentComponent,2030,Generation,44903736.0
AFG,NEPS_HERAT,CapexInvestmentComponent,2031,Generation,43656410.0
AFG,NEPS_HERAT,CapexInvestmentComponent,2032,Generation,42409084.0
AFG,NEPS_HERAT,CapexInvestmentComponent,2033,Generation,41161758.0
AFG,NEPS_HERAT,CapexInvestmentComponent,2034,Generation,171208273.64306718
AFG,NEPS_HERAT,CapexInvestmentComponent,2035,Generation,57669643.92458604
AFG,NEPS_HERAT,CapexInvestmentComponent,2040,Generation,195250618.49661857
AFG,NEPS_HERAT,CapexInvestmentComponent,2045,Generation,319655371.280304
AFG,NEPS_HERAT,CapexInvestmentComponent,2050,Generation,449670531.6976134
AFG,NEPS_HERAT,CapexInvestmentComponentCumulated,2026,Generation,415935968.0888471
AFG,NEPS_HERAT,CapexInvestmentComponentCumulated,2027,Generation,444211212.36549
AFG,NEPS_HERAT,CapexInvestmentComponentCumulated,2028,Generation,474082663.7447845
AFG,NEPS_HERAT,CapexInvestmentComponentCumulated,2029,Generation,505613442.7644847
AFG,NEPS_HERAT,CapexInvestmentComponentCumulated,2030,Generation,550517178.7644848
AFG,NEPS_HERAT,CapexInvestmentComponentCumulated,2031,Generation,594173588.7644848
AFG,NEPS_HERAT,CapexInvestmentComponentCumulated,2032,Generation,636582672.7644848
AFG,NEPS_HERAT,CapexInvestmentComponentCumulated,2033,Generation,677744430.7644848
AFG,NEPS_HERAT,CapexInvestmentComponentCumulated,2034,Generation,848952704.4075519
AFG,NEPS_HERAT,CapexInvestmentComponentCumulated,2035,Generation,906622348.332138
AFG,NEPS_HERAT,CapexInvestmentComponentCumulated,2040,Generation,1101872966.8287566
AFG,NEPS_HERAT,CapexInvestmentComponentCumulated,2045,Generation,1421528338.1090603
AFG,NEPS_HERAT,CapexInvestmentComponentCumulated,2050,Generation,1871198869.806674
AFG,NEPS_TAJ,CapexInvestmentComponent,2026,Generation,755690237.2175925
AFG,NEPS_TAJ,CapexInvestmentComponent,2030,Generation,4018254.2623485033
AFG,NEPS_TAJ,CapexInvestmentComponent,2031,Generation,77376599.43308252
AFG,NEPS_TAJ,CapexInvestmentComponent,2033,Generation,27401550.961269826
AFG,NEPS_TAJ,CapexInvestmentComponent,2035,Generation,149650183.36976972
AFG,NEPS_TAJ,CapexInvestmentComponent,2040,Generation,168203620.00000003
AFG,NEPS_TAJ,CapexInvestmentComponent,2045,Generation,304433129.3764386
AFG,NEPS_TAJ,CapexInvestmentComponent,2050,Generation,304382134.1125614
AFG,NEPS_TAJ,CapexInvestmentComponentCumulated,2026,Generation,755690237.2175925
AFG,NEPS_TAJ,CapexInvestmentComponentCumulated,2030,Generation,759708491.479941
AFG,NEPS_TAJ,CapexInvestmentComponentCumulated,2031,Generation,837085090.9130235
AFG,NEPS_TAJ,CapexInvestmentComponentCumulated,2033,Generation,864486641.8742933
AFG,NEPS_TAJ,CapexInvestmentComponentCumulated,2035,Generation,1014136825.244063
AFG,NEPS_TAJ,CapexInvestmentComponentCumulated,2040,Generation,1182340445.2440631
AFG,NEPS_TAJ,CapexInvestmentComponentCumulated,2045,Generation,1486773574.6205018
AFG,NEPS_TAJ,CapexInvestmentComponentCumulated,2050,Generation,1791155708.7330632
AFG,NEPS_TKM,CapexInvestmentComponent,2027,Generation,455312499.9974999
AFG,NEPS_TKM,CapexInvestmentComponent,2040,Generation,69709900.0
AFG,NEPS_TKM,CapexInvestmentComponent,2045,Generation,245068634.31098577
AFG,NEPS_TKM,CapexInvestmentComponent,2050,Generation,141611284.2295314
AFG,NEPS_TKM,CapexInvestmentComponentCumulated,2027,Generation,455312499.9974999
AFG,NEPS_TKM,CapexInvestmentComponentCumulated,2040,Generation,525022399.9974999
AFG,NEPS_TKM,CapexInvestmentComponentCumulated,2045,Generation,770091034.3084856
AFG,NEPS_TKM,CapexInvestmentComponentCumulated,2050,Generation,911702318.538017
AFG,NEPS_UZB,CapexInvestmentComponent,2026,Generation,675000000.0
AFG,NEPS_UZB,CapexInvestmentComponent,2027,Generation,675000000.0
AFG,NEPS_UZB,CapexInvestmentComponent,2030,Generation,21019892.621083274
AFG,NEPS_UZB,CapexInvestmentComponent,2032,Generation,37823195.98158516
AFG,NEPS_UZB,CapexInvestmentComponent,2033,Generation,54639986.10295926
AFG,NEPS_UZB,CapexInvestmentComponent,2035,Generation,55343160.91454235
