c,z,attribute,y,tech,f,techfuel,value
AFG,NEPS_AFG,CapacityTechFuel,2026,ST,UR,Nuclear,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,CHP,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,CCGT,Gas,Gas,339.20840039065945
AFG,NEPS_AFG,CapacityTechFuel,2026,CCGT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,ST,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,ST,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,ICE,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,GT,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,GT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,CHP,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,CHP,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,ST,Coal,Coal,300.0
AFG,NEPS_AFG,CapacityTechFuel,2026,ST,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,CHP,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,CCGT,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,ST,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,ICE,HFO,Diesel,108.0
AFG,NEPS_AFG,CapacityTechFuel,2026,HY,Water,Reservoir,482.2584643517601
AFG,NEPS_AFG,CapacityTechFuel,2026,ROR,Water,ROR,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,CSPPlant,CSP,CSP,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,WT,Wind,Onshore Wind,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,PV,Solar,PV,40.0
AFG,NEPS_AFG,CapacityTechFuel,2026,pvwsto,Solar,PV+Storage,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,STOPV,Solar,Solar Thermal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,Storage,Battery,Battery,0.0
AFG,NEPS_AFG,CapacityTechFuel,2026,INT,Import,Imports,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,ST,UR,Nuclear,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,CHP,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,CCGT,Gas,Gas,339.20840039065945
AFG,NEPS_AFG,CapacityTechFuel,2027,CCGT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,ST,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,ST,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,ICE,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,GT,Gas,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,GT,LNG,Gas,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,CHP,Coal,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,CHP,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,ST,Coal,Coal,600.0
AFG,NEPS_AFG,CapacityTechFuel,2027,ST,Coal_KAZ_S,Coal,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,CHP,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,CCGT,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,ST,HFO,Diesel,0.0
AFG,NEPS_AFG,CapacityTechFuel,2027,ICE,HFO,Diesel,108.0
AFG,NEPS_AFG,CapacityTechFuel,2027,HY,Water,Reservoir,482.2584643517601
AFG,NEPS_AFG,CapacityTechFuel,2027,ROR,Water,ROR,0.0
