Variable,country,zone,generator,fuel,year,baseline
Capacity: MW,AFG,NEPS_AFG,DARUNTA_HY,Reservoir,2026,11.55
Capacity: MW,AFG,NEPS_AFG,DARUNTA_HY,Reservoir,2027,11.55
Capacity: MW,AFG,NEPS_AFG,DARUNTA_HY,Reservoir,2028,11.55
Capacity: MW,AFG,NEPS_AFG,DARUNTA_HY,Reservoir,2029,11.55
Capacity: MW,AFG,NEPS_AFG,DARUNTA_HY,Reservoir,2030,11.55
Capacity: MW,AFG,NEPS_AFG,DARUNTA_HY,Reservoir,2031,11.55
Capacity: MW,AFG,NEPS_AFG,DARUNTA_HY,Reservoir,2032,11.55
Capacity: MW,AFG,NEPS_AFG,DARUNTA_HY,Reservoir,2033,11.55
Capacity: MW,AFG,NEPS_AFG,DARUNTA_HY,Reservoir,2034,11.55
Capacity: MW,AFG,NEPS_AFG,DARUNTA_HY,Reservoir,2035,11.55
Capacity: MW,AFG,NEPS_AFG,DARUNTA_HY,Reservoir,2040,11.55
Capacity: MW,AFG,NEPS_AFG,DARUNTA_HY,Reservoir,2045,11.55
Capacity: MW,AFG,NEPS_AFG,DARUNTA_HY,Reservoir,2050,11.55
Capacity: MW,AFG,NEPS_AFG,KAJAKI II_HY,Reservoir,2026,100.0
Capacity: MW,AFG,NEPS_AFG,KAJAKI II_HY,Reservoir,2027,100.0
Capacity: MW,AFG,NEPS_AFG,KAJAKI II_HY,Reservoir,2028,100.0
Capacity: MW,AFG,NEPS_AFG,KAJAKI II_HY,Reservoir,2029,100.0
Capacity: MW,AFG,NEPS_AFG,KAJAKI II_HY,Reservoir,2030,100.0
Capacity: MW,AFG,NEPS_AFG,KAJAKI II_HY,Reservoir,2031,100.0
Capacity: MW,AFG,NEPS_AFG,KAJAKI II_HY,Reservoir,2032,100.0
Capacity: MW,AFG,NEPS_AFG,KAJAKI II_HY,Reservoir,2033,100.0
Capacity: MW,AFG,NEPS_AFG,KAJAKI II_HY,Reservoir,2034,100.0
Capacity: MW,AFG,NEPS_AFG,KAJAKI II_HY,Reservoir,2035,100.0
Capacity: MW,AFG,NEPS_AFG,KAJAKI II_HY,Reservoir,2040,100.0
Capacity: MW,AFG,NEPS_AFG,KAJAKI II_HY,Reservoir,2045,100.0
Capacity: MW,AFG,NEPS_AFG,KAJAKI II_HY,Reservoir,2050,100.0
Capacity: MW,AFG,NEPS_AFG,KAJAKI I_HY,Reservoir,2026,51.5
Capacity: MW,AFG,NEPS_AFG,KAJAKI I_HY,Reservoir,2027,51.5
Capacity: MW,AFG,NEPS_AFG,KAJAKI I_HY,Reservoir,2028,51.5
Capacity: MW,AFG,NEPS_AFG,KAJAKI I_HY,Reservoir,2029,51.5
Capacity: MW,AFG,NEPS_AFG,KAJAKI I_HY,Reservoir,2030,51.5
Capacity: MW,AFG,NEPS_AFG,KAJAKI I_HY,Reservoir,2031,51.5
Capacity: MW,AFG,NEPS_AFG,KAJAKI I_HY,Reservoir,2032,51.5
Capacity: MW,AFG,NEPS_AFG,KAJAKI I_HY,Reservoir,2033,51.5
Capacity: MW,AFG,NEPS_AFG,KAJAKI I_HY,Reservoir,2034,51.5
Capacity: MW,AFG,NEPS_AFG,KAJAKI I_HY,Reservoir,2035,51.5
Capacity: MW,AFG,NEPS_AFG,KAJAKI I_HY,Reservoir,2040,51.5
Capacity: MW,AFG,NEPS_AFG,KAJAKI I_HY,Reservoir,2045,51.5
Capacity: MW,AFG,NEPS_AFG,KAJAKI I_HY,Reservoir,2050,51.5
Capacity: MW,AFG,NEPS_AFG,Kunar-B_HY_NEW_2031,Reservoir,2026,122.21
Capacity: MW,AFG,NEPS_AFG,Kunar-B_HY_NEW_2031,Reservoir,2027,122.21
Capacity: MW,AFG,NEPS_AFG,Kunar-B_HY_NEW_2031,Reservoir,2028,122.21
Capacity: MW,AFG,NEPS_AFG,Kunar-B_HY_NEW_2031,Reservoir,2029,122.21
Capacity: MW,AFG,NEPS_AFG,Kunar-B_HY_NEW_2031,Reservoir,2030,122.21
Capacity: MW,AFG,NEPS_AFG,Kunar-B_HY_NEW_2031,Reservoir,2031,122.21
Capacity: MW,AFG,NEPS_AFG,Kunar-B_HY_NEW_2031,Reservoir,2032,122.21
Capacity: MW,AFG,NEPS_AFG,Kunar-B_HY_NEW_2031,Reservoir,2033,122.21
Capacity: MW,AFG,NEPS_AFG,Kunar-B_HY_NEW_2031,Reservoir,2034,122.21
Capacity: MW,AFG,NEPS_AFG,Kunar-B_HY_NEW_2031,Reservoir,2035,122.21
Capacity: MW,AFG,NEPS_AFG,Kunar-B_HY_NEW_2031,Reservoir,2040,122.21
Capacity: MW,AFG,NEPS_AFG,Kunar-B_HY_NEW_2031,Reservoir,2045,242.04
Capacity: MW,AFG,NEPS_AFG,Kunar-B_HY_NEW_2031,Reservoir,2050,300.0
Capacity: MW,AFG,NEPS_AFG,MAHIPER_HY,Reservoir,2026,66.0
Capacity: MW,AFG,NEPS_AFG,MAHIPER_HY,Reservoir,2027,66.0
Capacity: MW,AFG,NEPS_AFG,MAHIPER_HY,Reservoir,2028,66.0
Capacity: MW,AFG,NEPS_AFG,MAHIPER_HY,Reservoir,2029,66.0
