c,z,attribute,y,uni,value
Benin,Benin,CongestionShare,2026,Burkina,1.0
Benin,Benin,CongestionShare,2026,Niger,1.0
Benin,Benin,CongestionShare,2026,Togo,0.0086757990867579
Benin,Benin,CongestionShare,2027,Burkina,1.0
Benin,Benin,CongestionShare,2027,Niger,1.0
Benin,Benin,CongestionShare,2027,Togo,0.0445205479452054
Benin,Benin,CongestionShare,2028,Burkina,1.0
Benin,Benin,CongestionShare,2028,Niger,1.0
Benin,Benin,CongestionShare,2028,Togo,0.2221461187214612
Benin,Benin,CongestionShare,2029,Burkina,1.0
Benin,Benin,CongestionShare,2029,Niger,1.0
Benin,Benin,CongestionShare,2029,Nigeria,0.0060502283105022
Benin,Benin,CongestionShare,2029,Togo,0.1279680365296803
Benin,Benin,CongestionShare,2030,Burkina,1.0
Benin,Benin,CongestionShare,2030,Niger,1.0
Benin,Benin,CongestionShare,2030,Nigeria,0.0841324200913242
Benin,Benin,CongestionShare,2031,Burkina,1.0
Benin,Benin,CongestionShare,2031,Niger,1.0
Benin,Benin,CongestionShare,2031,Nigeria,0.1019406392694064
Benin,Benin,CongestionShare,2031,Togo,0.0043378995433789
Benin,Benin,CongestionShare,2032,Burkina,1.0
Benin,Benin,CongestionShare,2032,Niger,1.0
Benin,Benin,CongestionShare,2032,Nigeria,0.1628995433789954
Benin,Benin,CongestionShare,2032,Togo,0.0043378995433789
Benin,Benin,CongestionShare,2033,Burkina,1.0
Benin,Benin,CongestionShare,2033,Niger,1.0
Benin,Benin,CongestionShare,2033,Nigeria,0.1550228310502283
Benin,Benin,CongestionShare,2033,Togo,0.0114155251141552
Benin,Benin,CongestionShare,2034,Burkina,1.0
Benin,Benin,CongestionShare,2034,Niger,1.0
Benin,Benin,CongestionShare,2034,Nigeria,0.1982876712328767
Benin,Benin,CongestionShare,2034,Togo,0.0358447488584474
Benin,Benin,CongestionShare,2035,Burkina,1.0
Benin,Benin,CongestionShare,2035,Niger,1.0
Benin,Benin,CongestionShare,2035,Nigeria,0.1727168949771689
Benin,Benin,CongestionShare,2035,Togo,0.1035388127853881
Benin,Benin,CongestionShare,2040,Burkina,1.0
Benin,Benin,CongestionShare,2040,Niger,1.0
Benin,Benin,CongestionShare,2040,Nigeria,0.0060502283105022
Benin,Benin,CongestionShare,2040,Togo,0.7792237442922374
Benin,Benin,CongestionShare,2045,Burkina,1.0
Benin,Benin,CongestionShare,2045,Niger,1.0
Benin,Benin,CongestionShare,2045,Nigeria,0.0067351598173515
Benin,Benin,CongestionShare,2045,Togo,0.7845890410958904
Benin,Benin,CongestionShare,2050,Burkina,1.0
Benin,Benin,CongestionShare,2050,Niger,1.0
Benin,Benin,CongestionShare,2050,Togo,0.6610730593607306
Benin,Benin,Interchange,2026,Nigeria,98.34978504094876
Benin,Benin,Interchange,2026,Togo,794.0796699968436
Benin,Benin,Interchange,2027,Togo,1780.5327609898115
Benin,Benin,Interchange,2028,Togo,2290.8676548009407
Benin,Benin,Interchange,2029,Nigeria,37.53745483933024
Benin,Benin,Interchange,2029,Togo,1805.374960905728
Benin,Benin,Interchange,2030,Nigeria,481.01127937938566
Benin,Benin,Interchange,2030,Togo,651.366283184262
Benin,Benin,Interchange,2031,Nigeria,570.6021315895223
Benin,Benin,Interchange,2031,Togo,697.8151139832229
Benin,Benin,Interchange,2032,Nigeria,638.3747174994234
Benin,Benin,Interchange,2032,Togo,735.5012502806737
Benin,Benin,Interchange,2033,Nigeria,697.2191018370246
Benin,Benin,Interchange,2033,Togo,807.8518548840634
Benin,Benin,Interchange,2034,Nigeria,801.4289487857839
Benin,Benin,Interchange,2034,Togo,852.4581037009941
Benin,Benin,Interchange,2035,Nigeria,713.9101184351687
Benin,Benin,Interchange,2035,Togo,1135.9056781807574
Benin,Benin,Interchange,2040,Nigeria,56.693348052062106
Benin,Benin,Interchange,2040,Togo,2633.072670586309
Benin,Benin,Interchange,2045,Nigeria,78.31127663291025
Benin,Benin,Interchange,2045,Togo,2633.133906435922
Benin,Benin,Interchange,2050,Nigeria,22.61974918823191
Benin,Benin,Interchange,2050,Togo,2275.006132964946
Benin,Benin,InterconUtilization,2026,Nigeria,0.033021012973727
Benin,Benin,InterconUtilization,2026,Togo,0.2666128357496788
Benin,Benin,InterconUtilization,2027,Togo,0.5978151896957465
Benin,Benin,InterconUtilization,2028,Togo,0.7691605072525318
Benin,Benin,InterconUtilization,2029,Nigeria,0.0126032281894071
Benin,Benin,InterconUtilization,2029,Togo,0.6061559766672469
Benin,Benin,InterconUtilization,2030,Nigeria,0.1614998923513919
Benin,Benin,InterconUtilization,2030,Togo,0.2186967107118795
Benin,Benin,InterconUtilization,2031,Nigeria,0.1915800871573738
Benin,Benin,InterconUtilization,2031,Togo,0.234291939962135
Benin,Benin,InterconUtilization,2032,Nigeria,0.2143347829369538
Benin,Benin,InterconUtilization,2032,Togo,0.2469450880609299
Benin,Benin,InterconUtilization,2033,Nigeria,0.2340918284438035
Benin,Benin,InterconUtilization,2033,Togo,0.2712368569984096
Benin,Benin,InterconUtilization,2034,Nigeria,0.2690803615316223
Benin,Benin,InterconUtilization,2034,Togo,0.2862134379871723
Benin,Benin,InterconUtilization,2035,Nigeria,0.239695849595477
Benin,Benin,InterconUtilization,2035,Togo,0.3813811704877644
Benin,Benin,InterconUtilization,2040,Nigeria,0.0190348334851135
Benin,Benin,InterconUtilization,2040,Togo,0.8840560940727602
Benin,Benin,InterconUtilization,2045,Nigeria,0.0262930689742513
Benin,Benin,InterconUtilization,2045,Togo,0.8840766540544999
Benin,Benin,InterconUtilization,2050,Nigeria,0.0075945974980633
Benin,Benin,InterconUtilization,2050,Togo,0.7638349895799578
Benin,Benin,NetImport,2026,Nigeria,-0.0983497850409487
Benin,Benin,NetImport,2026,Togo,-0.7940796699968435
Benin,Benin,NetImport,2027,Togo,-1.7805327609898116
Benin,Benin,NetImport,2028,Togo,-2.290867654800941
Benin,Benin,NetImport,2029,Nigeria,-0.0375374548393302
Benin,Benin,NetImport,2029,Togo,-1.805374960905728
Benin,Benin,NetImport,2030,Nigeria,-0.4810112793793856
Benin,Benin,NetImport,2030,Togo,-0.651366283184262
Benin,Benin,NetImport,2031,Nigeria,-0.5706021315895223
Benin,Benin,NetImport,2031,Togo,-0.6978151139832229
Benin,Benin,NetImport,2032,Nigeria,-0.6383747174994233
Benin,Benin,NetImport,2032,Togo,-0.7355012502806737
Benin,Benin,NetImport,2033,Nigeria,-0.6972191018370246
Benin,Benin,NetImport,2033,Togo,-0.8078518548840634
Benin,Benin,NetImport,2034,Nigeria,-0.8014289487857839
Benin,Benin,NetImport,2034,Togo,-0.8524581037009942
Benin,Benin,NetImport,2035,Nigeria,-0.7139101184351687
Benin,Benin,NetImport,2035,Togo,-1.1359056781807575
Benin,Benin,NetImport,2040,Nigeria,-0.0566933480520621
Benin,Benin,NetImport,2040,Togo,-2.633072670586309
Benin,Benin,NetImport,2045,Nigeria,-0.0783112766329102
Benin,Benin,NetImport,2045,Togo,-2.6331339064359223
Benin,Benin,NetImport,2050,Nigeria,-0.0226197491882319
Benin,Benin,NetImport,2050,Togo,-2.275006132964946
Benin,Benin,TransmissionCapacity,2026,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2026,Togo,340.0
Benin,Benin,TransmissionCapacity,2027,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2027,Togo,340.0
Benin,Benin,TransmissionCapacity,2028,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2028,Togo,340.0
Benin,Benin,TransmissionCapacity,2029,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2029,Togo,340.0
Benin,Benin,TransmissionCapacity,2030,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2030,Togo,340.0
Benin,Benin,TransmissionCapacity,2031,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2031,Togo,340.0
Benin,Benin,TransmissionCapacity,2032,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2032,Togo,340.0
Benin,Benin,TransmissionCapacity,2033,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2033,Togo,340.0
Benin,Benin,TransmissionCapacity,2034,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2034,Togo,340.0
Benin,Benin,TransmissionCapacity,2035,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2035,Togo,340.0
Benin,Benin,TransmissionCapacity,2040,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2040,Togo,340.0
Benin,Benin,TransmissionCapacity,2045,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2045,Togo,340.0
Benin,Benin,TransmissionCapacity,2050,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2050,Togo,340.0
Burkina,Burkina,CongestionShare,2026,Benin,1.0
Burkina,Burkina,CongestionShare,2026,IvoryCoast,0.0528538812785388
Burkina,Burkina,CongestionShare,2026,Mali,1.0
Burkina,Burkina,CongestionShare,2027,Benin,1.0
Burkina,Burkina,CongestionShare,2027,Mali,1.0
Burkina,Burkina,CongestionShare,2028,Benin,1.0
Burkina,Burkina,CongestionShare,2028,Ghana,0.1068493150684931
Burkina,Burkina,CongestionShare,2028,Mali,1.0
Burkina,Burkina,CongestionShare,2029,Benin,1.0
Burkina,Burkina,CongestionShare,2029,Ghana,0.0397260273972602
