c,z,attribute,y,uni,value
Libya,Libya,Costs,2026.0,Carbon costs: $m,0.0
Libya,Libya,Costs,2026.0,Excess generation: $m,0.0
Libya,Libya,Costs,2026.0,Export revenues with external zones: $m,0.0
Libya,Libya,Costs,2026.0,Export revenues with internal zones: $m,0.0
Libya,Libya,Costs,2026.0,Fixed O&M: $m,321.95
Libya,Libya,Costs,2026.0,Fuel costs: $m,4870.537457184084
Libya,Libya,Costs,2026.0,Generation costs: $m,0.0
Libya,Libya,Costs,2026.0,Import costs with external zones: $m,124.83
Libya,Libya,Costs,2026.0,Import costs with internal zones: $m,0.0
Libya,Libya,Costs,2026.0,NPV of system cost: $m,0.0
Libya,Libya,Costs,2026.0,Spinning reserve costs: $m,0.0
Libya,Libya,Costs,2026.0,Startup costs: $m,0.0
Libya,Libya,Costs,2026.0,Trade shared benefits: $m,0.0
Libya,Libya,Costs,2026.0,Transmission costs: $m,0.0
Libya,Libya,Costs,2026.0,Unmet country CO2 backstop cost: $m,0.0
Libya,Libya,Costs,2026.0,Unmet country planning reserve costs: $m,0.0
Libya,Libya,Costs,2026.0,Unmet country spinning reserve costs: $m,0.0
Libya,Libya,Costs,2026.0,Unmet demand costs: $m,0.0
Libya,Libya,Costs,2026.0,Unmet system CO2 backstop cost: $m,0.0
Libya,Libya,Costs,2026.0,Unmet system planning reserve costs: $m,0.0
Libya,Libya,Costs,2026.0,Unmet system spinning reserve costs: $m,0.0
Libya,Libya,Costs,2026.0,VRE curtailment: $m,0.0
Libya,Libya,Costs,2026.0,Variable O&M: $m,159.36786800000004
Libya,Libya,Costs,2027.0,Carbon costs: $m,0.0
Libya,Libya,Costs,2027.0,Excess generation: $m,0.0
Libya,Libya,Costs,2027.0,Export revenues with external zones: $m,0.0
Libya,Libya,Costs,2027.0,Export revenues with internal zones: $m,0.0
Libya,Libya,Costs,2027.0,Fixed O&M: $m,321.95
Libya,Libya,Costs,2027.0,Fuel costs: $m,6098.647578371954
Libya,Libya,Costs,2027.0,Generation costs: $m,0.0
Libya,Libya,Costs,2027.0,Import costs with external zones: $m,0.0
Libya,Libya,Costs,2027.0,Import costs with internal zones: $m,0.0
Libya,Libya,Costs,2027.0,NPV of system cost: $m,0.0
Libya,Libya,Costs,2027.0,Spinning reserve costs: $m,0.0
Libya,Libya,Costs,2027.0,Startup costs: $m,0.0
Libya,Libya,Costs,2027.0,Trade shared benefits: $m,0.0
Libya,Libya,Costs,2027.0,Transmission costs: $m,0.0
Libya,Libya,Costs,2027.0,Unmet country CO2 backstop cost: $m,0.0
Libya,Libya,Costs,2027.0,Unmet country planning reserve costs: $m,0.0
Libya,Libya,Costs,2027.0,Unmet country spinning reserve costs: $m,0.0
Libya,Libya,Costs,2027.0,Unmet demand costs: $m,0.0
Libya,Libya,Costs,2027.0,Unmet system CO2 backstop cost: $m,0.0
Libya,Libya,Costs,2027.0,Unmet system planning reserve costs: $m,0.0
Libya,Libya,Costs,2027.0,Unmet system spinning reserve costs: $m,0.0
Libya,Libya,Costs,2027.0,VRE curtailment: $m,0.0
Libya,Libya,Costs,2027.0,Variable O&M: $m,171.28386800000004
Libya,Libya,Costs,2028.0,Carbon costs: $m,0.0
Libya,Libya,Costs,2028.0,Excess generation: $m,0.0
Libya,Libya,Costs,2028.0,Export revenues with external zones: $m,0.0
Libya,Libya,Costs,2028.0,Export revenues with internal zones: $m,0.0
Libya,Libya,Costs,2028.0,Fixed O&M: $m,378.35
Libya,Libya,Costs,2028.0,Fuel costs: $m,5403.847860692979
Libya,Libya,Costs,2028.0,Generation costs: $m,0.0
Libya,Libya,Costs,2028.0,Import costs with external zones: $m,221.19
Libya,Libya,Costs,2028.0,Import costs with internal zones: $m,0.0
Libya,Libya,Costs,2028.0,NPV of system cost: $m,0.0
Libya,Libya,Costs,2028.0,Spinning reserve costs: $m,0.0
Libya,Libya,Costs,2028.0,Startup costs: $m,0.0
Libya,Libya,Costs,2028.0,Trade shared benefits: $m,0.0
Libya,Libya,Costs,2028.0,Transmission costs: $m,0.0
Libya,Libya,Costs,2028.0,Unmet country CO2 backstop cost: $m,0.0
Libya,Libya,Costs,2028.0,Unmet country planning reserve costs: $m,0.0
Libya,Libya,Costs,2028.0,Unmet country spinning reserve costs: $m,0.0
Libya,Libya,Costs,2028.0,Unmet demand costs: $m,0.0
Libya,Libya,Costs,2028.0,Unmet system CO2 backstop cost: $m,0.0
Libya,Libya,Costs,2028.0,Unmet system planning reserve costs: $m,0.0
Libya,Libya,Costs,2028.0,Unmet system spinning reserve costs: $m,0.0
Libya,Libya,Costs,2028.0,VRE curtailment: $m,0.0
Libya,Libya,Costs,2028.0,Variable O&M: $m,148.9556052
Libya,Libya,Costs,2029.0,Carbon costs: $m,0.0
Libya,Libya,Costs,2029.0,Excess generation: $m,0.0
Libya,Libya,Costs,2029.0,Export revenues with external zones: $m,0.0
Libya,Libya,Costs,2029.0,Export revenues with internal zones: $m,0.0
Libya,Libya,Costs,2029.0,Fixed O&M: $m,408.35
Libya,Libya,Costs,2029.0,Fuel costs: $m,5342.849383013987
Libya,Libya,Costs,2029.0,Generation costs: $m,0.0
Libya,Libya,Costs,2029.0,Import costs with external zones: $m,0.0
Libya,Libya,Costs,2029.0,Import costs with internal zones: $m,0.0
Libya,Libya,Costs,2029.0,NPV of system cost: $m,0.0
Libya,Libya,Costs,2029.0,Spinning reserve costs: $m,0.0
Libya,Libya,Costs,2029.0,Startup costs: $m,0.0
