c,z,y,q,d,t,uni,value
Libya,Libya,2026,m1,d1,t1,Gas,1846.898829450512
Libya,Libya,2026,m1,d1,t1,Gas,1778.0638038468078
Libya,Libya,2026,m1,d1,t1,Gas,1400.0
Libya,Libya,2026,m1,d1,t1,Imports,150.0
Libya,Libya,2026,m1,d1,t1,Demand,5174.962633297319
Libya,Libya,2026,m1,d1,t2,Gas,1545.4080445096458
Libya,Libya,2026,m1,d1,t2,Gas,2192.0
Libya,Libya,2026,m1,d1,t2,Gas,1120.0
Libya,Libya,2026,m1,d1,t2,Imports,150.0
Libya,Libya,2026,m1,d1,t2,Demand,5007.408044509646
Libya,Libya,2026,m1,d1,t3,Gas,1999.8
Libya,Libya,2026,m1,d1,t3,Gas,1633.748369406212
Libya,Libya,2026,m1,d1,t3,Gas,1120.0
Libya,Libya,2026,m1,d1,t3,Imports,150.0
Libya,Libya,2026,m1,d1,t3,Demand,4903.548369406212
Libya,Libya,2026,m1,d1,t4,Gas,1999.8
Libya,Libya,2026,m1,d1,t4,Gas,1573.1813309475374
Libya,Libya,2026,m1,d1,t4,Gas,1120.0
Libya,Libya,2026,m1,d1,t4,Imports,150.0
Libya,Libya,2026,m1,d1,t4,Demand,4842.981330947538
Libya,Libya,2026,m1,d1,t5,Gas,1367.4745970189583
Libya,Libya,2026,m1,d1,t5,Gas,2192.0
Libya,Libya,2026,m1,d1,t5,Gas,1120.0
Libya,Libya,2026,m1,d1,t5,Imports,150.0
Libya,Libya,2026,m1,d1,t5,Demand,4829.474597018959
Libya,Libya,2026,m1,d1,t6,Gas,1999.8
Libya,Libya,2026,m1,d1,t6,Gas,1590.242468541529
Libya,Libya,2026,m1,d1,t6,Gas,1120.0
Libya,Libya,2026,m1,d1,t6,Imports,150.0
Libya,Libya,2026,m1,d1,t6,Demand,4860.042468541529
Libya,Libya,2026,m1,d1,t7,Gas,1999.8
Libya,Libya,2026,m1,d1,t7,Gas,1776.919749049138
Libya,Libya,2026,m1,d1,t7,Gas,1120.0
Libya,Libya,2026,m1,d1,t7,Imports,150.0
Libya,Libya,2026,m1,d1,t7,Demand,5046.719749049138
Libya,Libya,2026,m1,d1,t8,Gas,1999.8
Libya,Libya,2026,m1,d1,t8,Gas,1806.9348367466544
Libya,Libya,2026,m1,d1,t8,Gas,1400.0
Libya,Libya,2026,m1,d1,t8,Imports,150.0
Libya,Libya,2026,m1,d1,t8,Demand,5356.734836746655
Libya,Libya,2026,m1,d1,t9,Gas,1924.764660412142
Libya,Libya,2026,m1,d1,t9,Gas,2316.8
Libya,Libya,2026,m1,d1,t9,Gas,1120.0
Libya,Libya,2026,m1,d1,t9,Imports,150.0
Libya,Libya,2026,m1,d1,t9,Demand,5511.564660412142
Libya,Libya,2026,m1,d1,t10,Gas,1532.9476381472025
Libya,Libya,2026,m1,d1,t10,Gas,2912.0
Libya,Libya,2026,m1,d1,t10,Gas,1120.0
Libya,Libya,2026,m1,d1,t10,Imports,150.0
Libya,Libya,2026,m1,d1,t10,Demand,5714.947638147202
Libya,Libya,2026,m1,d1,t11,Gas,2271.0
Libya,Libya,2026,m1,d1,t11,Gas,2191.8618326208943
Libya,Libya,2026,m1,d1,t11,Gas,1120.0
Libya,Libya,2026,m1,d1,t11,Imports,150.0
Libya,Libya,2026,m1,d1,t11,Demand,5732.861832620894
Libya,Libya,2026,m1,d1,t12,Gas,1260.194474820144
Libya,Libya,2026,m1,d1,t12,Gas,2924.8
Libya,Libya,2026,m1,d1,t12,Gas,1400.0
Libya,Libya,2026,m1,d1,t12,Imports,150.0
Libya,Libya,2026,m1,d1,t12,Demand,5734.994474820144
Libya,Libya,2026,m1,d1,t13,Gas,2271.0
Libya,Libya,2026,m1,d1,t13,Gas,2169.4690895287777
Libya,Libya,2026,m1,d1,t13,Gas,1120.0
Libya,Libya,2026,m1,d1,t13,Imports,150.0
Libya,Libya,2026,m1,d1,t13,Demand,5710.469089528778
Libya,Libya,2026,m1,d1,t14,Gas,2271.0
Libya,Libya,2026,m1,d1,t14,Gas,2142.1001813050816
Libya,Libya,2026,m1,d1,t14,Gas,1120.0
Libya,Libya,2026,m1,d1,t14,Imports,150.0
Libya,Libya,2026,m1,d1,t14,Demand,5683.100181305082
Libya,Libya,2026,m1,d1,t15,Gas,1806.6322033351507
Libya,Libya,2026,m1,d1,t15,Gas,2316.8
Libya,Libya,2026,m1,d1,t15,Gas,1400.0
Libya,Libya,2026,m1,d1,t15,Imports,150.0
Libya,Libya,2026,m1,d1,t15,Demand,5673.432203335151
Libya,Libya,2026,m1,d1,t16,Gas,1568.4408865014875
Libya,Libya,2026,m1,d1,t16,Gas,3520.0
Libya,Libya,2026,m1,d1,t16,Gas,504.4443644558778
Libya,Libya,2026,m1,d1,t16,Imports,150.0
Libya,Libya,2026,m1,d1,t16,Demand,5742.885250957365
Libya,Libya,2026,m1,d1,t17,Gas,2271.0
Libya,Libya,2026,m1,d1,t17,Gas,1980.106382996867
Libya,Libya,2026,m1,d1,t17,Gas,1400.0
Libya,Libya,2026,m1,d1,t17,Imports,150.0
Libya,Libya,2026,m1,d1,t17,Demand,5801.106382996867
Libya,Libya,2026,m1,d1,t18,Gas,2271.0
Libya,Libya,2026,m1,d1,t18,Gas,2046.3604673202071
Libya,Libya,2026,m1,d1,t18,Gas,1400.0
Libya,Libya,2026,m1,d1,t18,Imports,150.0
Libya,Libya,2026,m1,d1,t18,Demand,5867.360467320207
Libya,Libya,2026,m1,d1,t19,Gas,2271.0
Libya,Libya,2026,m1,d1,t19,Gas,3312.0
Libya,Libya,2026,m1,d1,t19,Gas,615.5556355441213
Libya,Libya,2026,m1,d1,t19,Imports,150.0
Libya,Libya,2026,m1,d1,t19,Demand,6348.555635544121
Libya,Libya,2026,m1,d1,t20,Gas,2271.0
Libya,Libya,2026,m1,d1,t20,Gas,2602.4824648110744
Libya,Libya,2026,m1,d1,t20,Gas,1400.0
Libya,Libya,2026,m1,d1,t20,Imports,150.0
Libya,Libya,2026,m1,d1,t20,Demand,6423.482464811074
Libya,Libya,2026,m1,d1,t21,Gas,1460.7465181287016
Libya,Libya,2026,m1,d1,t21,Gas,3324.8
Libya,Libya,2026,m1,d1,t21,Gas,1400.0
Libya,Libya,2026,m1,d1,t21,Imports,150.0
Libya,Libya,2026,m1,d1,t21,Demand,6335.546518128702
Libya,Libya,2026,m1,d1,t22,Gas,1969.476911060925
Libya,Libya,2026,m1,d1,t22,Gas,2592.0
Libya,Libya,2026,m1,d1,t22,Gas,1400.0
Libya,Libya,2026,m1,d1,t22,Imports,150.0
Libya,Libya,2026,m1,d1,t22,Demand,6111.476911060925
Libya,Libya,2026,m1,d1,t23,Gas,2271.0
Libya,Libya,2026,m1,d1,t23,Gas,1998.87363435026
Libya,Libya,2026,m1,d1,t23,Gas,1400.0
Libya,Libya,2026,m1,d1,t23,Imports,150.0
Libya,Libya,2026,m1,d1,t23,Demand,5819.87363435026
Libya,Libya,2026,m1,d1,t24,Gas,1878.4152366151272
Libya,Libya,2026,m1,d1,t24,Gas,2316.8
Libya,Libya,2026,m1,d1,t24,Gas,1120.0
Libya,Libya,2026,m1,d1,t24,Imports,150.0
Libya,Libya,2026,m1,d1,t24,Demand,5465.215236615128
Libya,Libya,2026,m10,d1,t1,Gas,1887.249981756755
Libya,Libya,2026,m10,d1,t1,Gas,2088.018756042477
Libya,Libya,2026,m10,d1,t1,Gas,1120.0
Libya,Libya,2026,m10,d1,t1,Imports,150.0
Libya,Libya,2026,m10,d1,t1,Demand,5245.268737799232
Libya,Libya,2026,m10,d1,t2,Gas,1999.8
Libya,Libya,2026,m10,d1,t2,Gas,1584.7846076582018
Libya,Libya,2026,m10,d1,t2,Gas,1400.0
Libya,Libya,2026,m10,d1,t2,Imports,150.0
Libya,Libya,2026,m10,d1,t2,Demand,5134.584607658202
Libya,Libya,2026,m10,d1,t3,Gas,1595.1696958254586
Libya,Libya,2026,m10,d1,t3,Gas,2192.0
Libya,Libya,2026,m10,d1,t3,Gas,1120.0
Libya,Libya,2026,m10,d1,t3,Imports,150.0
Libya,Libya,2026,m10,d1,t3,Demand,5057.169695825459
Libya,Libya,2026,m10,d1,t4,Gas,1999.8
Libya,Libya,2026,m10,d1,t4,Gas,1740.309391295361
Libya,Libya,2026,m10,d1,t4,Gas,1120.0
Libya,Libya,2026,m10,d1,t4,Imports,150.0
Libya,Libya,2026,m10,d1,t4,Demand,5010.109391295361
Libya,Libya,2026,m10,d1,t5,Gas,1999.8
Libya,Libya,2026,m10,d1,t5,Gas,1720.4047307690353
Libya,Libya,2026,m10,d1,t5,Gas,1120.0
Libya,Libya,2026,m10,d1,t5,Imports,150.0
Libya,Libya,2026,m10,d1,t5,Demand,4990.204730769035
Libya,Libya,2026,m10,d1,t6,Gas,1571.781719707026
Libya,Libya,2026,m10,d1,t6,Gas,2192.0
Libya,Libya,2026,m10,d1,t6,Gas,1120.0
