c,z,attribute,y,value
Libya,Libya,CapexInvestmentComponent,2028,2255931429.024
Libya,Libya,CapexInvestmentComponent,2029,1312000000.0
Libya,Libya,CapexInvestmentComponent,2030,1280000000.0
Libya,Libya,CapexInvestmentComponent,2031,2985169900.1164107
Libya,Libya,CapexInvestmentComponent,2032,1991200000.0
Libya,Libya,CapexInvestmentComponent,2033,1965000000.0
Libya,Libya,CapexInvestmentComponent,2034,1938800000.0
Libya,Libya,CapexInvestmentComponent,2035,3825200000.0
Libya,Libya,CapexInvestmentComponent,2036,3825200000.0
Libya,Libya,CapexInvestmentComponent,2037,616894865.5803205
Libya,Libya,CapexInvestmentComponent,2040,264457142.72
Libya,Libya,CapexInvestmentComponent,2041,1033766755.3600788
Libya,Libya,CapexInvestmentComponent,2042,594380188.364
Libya,Libya,CapexInvestmentComponent,2045,594836950.5829271
Libya,Libya,CapexInvestmentComponent,2046,259248712.96
Libya,Libya,CapexInvestmentComponent,2047,693802213.7472792
Libya,Libya,CapexInvestmentComponent,2048,257535465.6
Libya,Libya,CapexInvestmentComponent,2050,350125766.1690874
Libya,Libya,CapexInvestmentComponentCumulated,2028,2255931429.024
Libya,Libya,CapexInvestmentComponentCumulated,2029,3567931429.024
Libya,Libya,CapexInvestmentComponentCumulated,2030,4847931429.024
Libya,Libya,CapexInvestmentComponentCumulated,2031,7833101329.140411
Libya,Libya,CapexInvestmentComponentCumulated,2032,9824301329.140411
Libya,Libya,CapexInvestmentComponentCumulated,2033,11789301329.140411
Libya,Libya,CapexInvestmentComponentCumulated,2034,13728101329.140411
Libya,Libya,CapexInvestmentComponentCumulated,2035,17553301329.14041
Libya,Libya,CapexInvestmentComponentCumulated,2036,21378501329.14041
Libya,Libya,CapexInvestmentComponentCumulated,2037,21995396194.72073
Libya,Libya,CapexInvestmentComponentCumulated,2040,22259853337.44073
Libya,Libya,CapexInvestmentComponentCumulated,2041,23293620092.800808
Libya,Libya,CapexInvestmentComponentCumulated,2042,23450587485.86473
Libya,Libya,CapexInvestmentComponentCumulated,2045,24482837231.74773
Libya,Libya,CapexInvestmentComponentCumulated,2046,24298334181.85673
Libya,Libya,CapexInvestmentComponentCumulated,2047,25435888158.455017
Libya,Libya,CapexInvestmentComponentCumulated,2048,25140478537.06473
Libya,Libya,CapexInvestmentComponentCumulated,2050,26043549390.224106
Libya,Libya,Costs,2026,5476.685325184084
Libya,Libya,Costs,2027,6591.881446371955
Libya,Libya,Costs,2028,6152.34346589298
Libya,Libya,Costs,2029,5898.194725413987
Libya,Libya,Costs,2030,5456.29773778132
Libya,Libya,Costs,2031,4601.961621061254
Libya,Libya,Costs,2032,4021.343899294144
Libya,Libya,Costs,2033,3536.452490296197
Libya,Libya,Costs,2034,3008.727313375828
Libya,Libya,Costs,2035,2199.380802110033
Libya,Libya,Costs,2036,1643.8035176528774
Libya,Libya,Costs,2037,1590.220893041629
Libya,Libya,Costs,2038,1573.702567349138
Libya,Libya,Costs,2039,1573.4149902284207
Libya,Libya,Costs,2040,1562.071411982361
Libya,Libya,Costs,2041,1687.0603638709636
Libya,Libya,Costs,2042,1555.5880447821448
Libya,Libya,Costs,2043,1546.7825125701734
Libya,Libya,Costs,2044,1517.3222275772816
Libya,Libya,Costs,2045,1553.242245415388
Libya,Libya,Costs,2046,1476.8653667254705
Libya,Libya,Costs,2047,1527.665809757895
Libya,Libya,Costs,2048,1452.6061595341605
Libya,Libya,Costs,2049,1437.1203218753365
Libya,Libya,Costs,2050,1422.300216577041
Libya,Libya,CostsPerMWh,2026,104.88318603489448
Libya,Libya,CostsPerMWh,2027,122.33921247117694
Libya,Libya,CostsPerMWh,2028,113.05506286210677
Libya,Libya,CostsPerMWh,2029,105.95305607196222
Libya,Libya,CostsPerMWh,2030,96.76002372373324
Libya,Libya,CostsPerMWh,2031,81.44632357682342
Libya,Libya,CostsPerMWh,2032,71.05601122546821
Libya,Libya,CostsPerMWh,2033,62.61978734477554
Libya,Libya,CostsPerMWh,2034,53.24521410401948
Libya,Libya,CostsPerMWh,2035,38.922960430928256
Libya,Libya,CostsPerMWh,2036,29.104685239697574
Libya,Libya,CostsPerMWh,2037,28.221926509692263
Libya,Libya,CostsPerMWh,2038,28.00581163420305
Libya,Libya,CostsPerMWh,2039,28.0906768233311
Libya,Libya,CostsPerMWh,2040,27.98909535893855
Libya,Libya,CostsPerMWh,2041,30.39638866835363
Libya,Libya,CostsPerMWh,2042,28.183495693126986
Libya,Libya,CostsPerMWh,2043,28.186866983201632
Libya,Libya,CostsPerMWh,2044,27.82086630809661
Libya,Libya,CostsPerMWh,2045,28.66712645187312
Libya,Libya,CostsPerMWh,2046,27.446947790764785
Libya,Libya,CostsPerMWh,2047,28.598334077612307
Libya,Libya,CostsPerMWh,2048,27.401976184832584
Libya,Libya,CostsPerMWh,2049,27.31856293721892
Libya,Libya,CostsPerMWh,2050,27.1965928557478
Libya,Libya,DemandEnergyZone,2026,52217.0
Libya,Libya,DemandEnergyZone,2027,53882.0
Libya,Libya,DemandEnergyZone,2028,54418.999999999935
Libya,Libya,DemandEnergyZone,2029,55667.99999999994
Libya,Libya,DemandEnergyZone,2030,56390.000000000015
Libya,Libya,DemandEnergyZone,2031,56503.00000000001
Libya,Libya,DemandEnergyZone,2032,56593.99999999995
Libya,Libya,DemandEnergyZone,2033,56474.99999999998
Libya,Libya,DemandEnergyZone,2034,56507.0
Libya,Libya,DemandEnergyZone,2035,56506.00000000002
Libya,Libya,DemandEnergyZone,2036,56478.999999999935
Libya,Libya,DemandEnergyZone,2037,56346.99999999997
Libya,Libya,DemandEnergyZone,2038,56192.00000000001
Libya,Libya,DemandEnergyZone,2039,56011.99999999996
Libya,Libya,DemandEnergyZone,2040,55810.000000000015
Libya,Libya,DemandEnergyZone,2041,55502.000000000015
Libya,Libya,DemandEnergyZone,2042,55195.00000000003
Libya,Libya,DemandEnergyZone,2043,54876.000000000015
Libya,Libya,DemandEnergyZone,2044,54539.00000000002
Libya,Libya,DemandEnergyZone,2045,54181.99999999995
Libya,Libya,DemandEnergyZone,2046,53807.99999999997
Libya,Libya,DemandEnergyZone,2047,53418.00000000003
Libya,Libya,DemandEnergyZone,2048,53011.000000000015
Libya,Libya,DemandEnergyZone,2049,52605.99999999994
Libya,Libya,DemandEnergyZone,2050,52296.99999999995
Libya,Libya,DemandPeakZone,2026,8424.1852
Libya,Libya,DemandPeakZone,2027,8692.69538
Libya,Libya,DemandPeakZone,2028,8779.33924
Libya,Libya,DemandPeakZone,2029,8980.93634
Libya,Libya,DemandPeakZone,2030,9097.6053
Libya,Libya,DemandPeakZone,2031,9115.62036
Libya,Libya,DemandPeakZone,2032,9130.20398
Libya,Libya,DemandPeakZone,2033,9111.33106
Libya,Libya,DemandPeakZone,2034,9116.47822
Libya,Libya,DemandPeakZone,2035,9116.47822
Libya,Libya,DemandPeakZone,2036,9112.18892
Libya,Libya,DemandPeakZone,2037,9090.74242
Libya,Libya,DemandPeakZone,2038,9065.86448
Libya,Libya,DemandPeakZone,2039,9036.69724
Libya,Libya,DemandPeakZone,2040,9004.09856
Libya,Libya,DemandPeakZone,2041,8954.34268
Libya,Libya,DemandPeakZone,2042,8904.5868
Libya,Libya,DemandPeakZone,2043,8853.1152
Libya,Libya,DemandPeakZone,2044,8799.07002
Libya,Libya,DemandPeakZone,2045,8741.5934
Libya,Libya,DemandPeakZone,2046,8680.68534
Libya,Libya,DemandPeakZone,2047,8618.06156
Libya,Libya,DemandPeakZone,2048,8552.00634
Libya,Libya,DemandPeakZone,2049,8486.80898
Libya,Libya,DemandPeakZone,2050,8437.0531
Libya,Libya,EmissionsIntensityZone,2026,4.816681104312107e-07
Libya,Libya,EmissionsIntensityZone,2027,4.844950637556144e-07
Libya,Libya,EmissionsIntensityZone,2028,4.428849570223437e-07
Libya,Libya,EmissionsIntensityZone,2029,4.108344365768481e-07
Libya,Libya,EmissionsIntensityZone,2030,3.6890728432472213e-07
Libya,Libya,EmissionsIntensityZone,2031,2.996663387913777e-07
Libya,Libya,EmissionsIntensityZone,2032,2.455629840476208e-07
Libya,Libya,EmissionsIntensityZone,2033,2.0964379316579202e-07
Libya,Libya,EmissionsIntensityZone,2034,1.5831821560189408e-07
Libya,Libya,EmissionsIntensityZone,2035,9.471276891226356e-08
Libya,Libya,EmissionsIntensityZone,2036,4.213040311976077e-08
Libya,Libya,EmissionsIntensityZone,2037,3.922313347296092e-08
Libya,Libya,EmissionsIntensityZone,2038,3.5952783726426366e-08
Libya,Libya,EmissionsIntensityZone,2039,3.820973710255732e-08
Libya,Libya,EmissionsIntensityZone,2040,3.492871327132097e-08
Libya,Libya,EmissionsIntensityZone,2041,3.8212984287481375e-08
Libya,Libya,EmissionsIntensityZone,2042,3.064755236888474e-08
Libya,Libya,EmissionsIntensityZone,2043,3.500751128811421e-08
Libya,Libya,EmissionsIntensityZone,2044,2.895862317124239e-08
Libya,Libya,EmissionsIntensityZone,2045,3.218840367724876e-08
Libya,Libya,EmissionsIntensityZone,2046,2.681685773626191e-08
Libya,Libya,EmissionsIntensityZone,2047,2.872481129192101e-08
Libya,Libya,EmissionsIntensityZone,2048,2.3906552343007828e-08
Libya,Libya,EmissionsIntensityZone,2049,2.6637753594527844e-08
Libya,Libya,EmissionsIntensityZone,2050,2.197555285662991e-08
Libya,Libya,EmissionsZone,2026,24.51835182527992
Libya,Libya,EmissionsZone,2027,26.105563025280023
Libya,Libya,EmissionsZone,2028,23.131438420319967
Libya,Libya,EmissionsZone,2029,22.87033141535998
Libya,Libya,EmissionsZone,2030,19.994774810399942
Libya,Libya,EmissionsZone,2031,16.932047140729196
Libya,Libya,EmissionsZone,2032,13.4862649247928
Libya,Libya,EmissionsZone,2033,11.8396332190381
Libya,Libya,EmissionsZone,2034,8.72734070011004
Libya,Libya,EmissionsZone,2035,5.351839720156367
Libya,Libya,EmissionsZone,2036,2.3610616621905964
Libya,Libya,EmissionsZone,2037,2.210105901800928
Libya,Libya,EmissionsZone,2038,2.008888562132863
Libya,Libya,EmissionsZone,2039,2.1402037945884413
Libya,Libya,EmissionsZone,2040,1.9390739496211973
Libya,Libya,EmissionsZone,2041,2.162441361143866
Libya,Libya,EmissionsZone,2042,1.7087782128708806
Libya,Libya,EmissionsZone,2043,1.9629964545113945
Libya,Libya,EmissionsZone,2044,1.59778063284918
Libya,Libya,EmissionsZone,2045,1.7834373734798072
Libya,Libya,EmissionsZone,2046,1.4627396369003292
Libya,Libya,EmissionsZone,2047,1.583029353488054
