c,z,attribute,y,value
Benin,Benin,CapexInvestmentComponent,2026,42680000.0
Benin,Benin,CapexInvestmentComponent,2027,192553825.4359874
Benin,Benin,CapexInvestmentComponent,2028,324235177.67709804
Benin,Benin,CapexInvestmentComponent,2029,79540000.0
Benin,Benin,CapexInvestmentComponent,2030,1523800314.6770148
Benin,Benin,CapexInvestmentComponent,2031,75660000.0
Benin,Benin,CapexInvestmentComponent,2032,155774619.95689473
Benin,Benin,CapexInvestmentComponent,2033,74795474.22676405
Benin,Benin,CapexInvestmentComponent,2034,74649468.19804405
Benin,Benin,CapexInvestmentComponent,2035,68057556.44803335
Benin,Benin,CapexInvestmentComponent,2040,438217002.83279884
Benin,Benin,CapexInvestmentComponent,2045,418661078.25947165
Benin,Benin,CapexInvestmentComponent,2050,1204148511.4186726
Benin,Benin,CapexInvestmentComponentCumulated,2026,42680000.0
Benin,Benin,CapexInvestmentComponentCumulated,2027,235233825.4359874
Benin,Benin,CapexInvestmentComponentCumulated,2028,559469003.1130854
Benin,Benin,CapexInvestmentComponentCumulated,2029,547692000.0
Benin,Benin,CapexInvestmentComponentCumulated,2030,2071492314.6770148
Benin,Benin,CapexInvestmentComponentCumulated,2031,2147152314.6770148
Benin,Benin,CapexInvestmentComponentCumulated,2032,2394243937.746995
Benin,Benin,CapexInvestmentComponentCumulated,2033,2469039411.973759
Benin,Benin,CapexInvestmentComponentCumulated,2034,2543688880.171803
Benin,Benin,CapexInvestmentComponentCumulated,2035,2611746436.6198363
Benin,Benin,CapexInvestmentComponentCumulated,2040,3049963439.4526353
Benin,Benin,CapexInvestmentComponentCumulated,2045,3468624517.7121067
Benin,Benin,CapexInvestmentComponentCumulated,2050,4672773029.130779
Benin,Benin,Costs,2026,000-166.31633466021866.41165.2321945906066400527.5295796517644000-154.174335520000140004.04812296648133510.65263449802935900004.530013513236573
Benin,Benin,Costs,2027,000-379.353309864607310.79894511044869478.8205083194139900748.8941280552783000-51.403616085900120001.15071449199082830.1870680263780089800005.195662411070411
Benin,Benin,Costs,2028,000-613.316380332393717.058459639274087103.8019002608060200908.4597111580752000-113.188293568146920001.56748405503015325.6909938449092400006.9304812958893045
Benin,Benin,Costs,2029,000-369.8190803858846618.75845963927408693.3390431179487500741.0335232031563000-113.283021585902990003.28786143587359054.27478272797425900006.203893994302003
Benin,Benin,Costs,2030,000-252.0727348416149642.37058561922885520.44336546227104600271.86980080838407000-3.46841264685266150000.3308562101555767000001.9115460264314967
Benin,Benin,Costs,2031,000-133.8715691748146844.0705856192288613.00965119999999700150.6283826225834000-2.7788528957191340000.30326993279918824000001.3953158693293388
Benin,Benin,Costs,2032,000-372.5039103124982547.0380530977240818.05391491282047400398.7694942487363000-10.859104223882990001.4724967598580125000001.7891029311680868
Benin,Benin,Costs,2033,000-364.18484208429648.9981446345001416.78592956483519300403.4961948325694000-72.441291227622490001.7841832517444214000001.7010483931135538
Benin,Benin,Costs,2034,000-367.886840473038350.9568572277873716.19933349937633300421.33002291598757000-88.225858354760480002.0132511556592285000001.6963181889819468
Benin,Benin,Costs,2035,000-366.2820335461271452.6714534684402715.97208490640874800441.10359515245773000-89.598691965981700.684718629183870503.6229247771673814000001.715767149230053
Benin,Benin,Costs,2040,000-846.561594194207863.64681813216769562.8535681192256700898.6350906501995000-658.1235732389486058.7641899401145203.83393075613543000004.900189959390669
Benin,Benin,Costs,2045,000-901.433335660334676.4961763052311389.8150125364227800969.8761849417155000-678.95397474307940115.5328473843255204.333226438017804000006.772512488362703
Benin,Benin,Costs,2050,000-1976.8299860249836100.3189284315093613.009651199999995002527.4779767422565000-1089.3760551539854028.4369700479999707.5018164893661945000001.8181367171999998
Benin,Benin,CostsPerMWh,2026,000-72.487200079934352.794165952862446328.43075606856510600229.918139228014000-67.195239294209270001.76433120666708334.64283709603518400001.9743580603170217
Benin,Benin,CostsPerMWh,2027,000-154.528837692412744.3989294223302932.10738174729857500305.06057586358753000-20.9391636777234570000.468741324615362050.0762017990456561500002.1164430427967544
Benin,Benin,CostsPerMWh,2028,000-233.72828949783686.500795871120538539.5577900290784600346.204244947118000-43.134843769416750000.5973513487423492.168776669868929500002.6411320333676125
Benin,Benin,CostsPerMWh,2029,000-131.379229061791286.663993548475172433.15894764922856600263.25416440327507000-40.244099969684130001.16802167226294751.518628131955505700002.2039501296201474
Benin,Benin,CostsPerMWh,2030,000-82.670895085699713.8960456816079346.7046970486195190089.16362887768159000-1.1375160356872230000.10850907399965375000000.6269191354705579
Benin,Benin,CostsPerMWh,2031,000-41.4856128367280513.6570839033024594.0315756075085350046.67840081520939000-0.86114188451383870000.09398066441350558000000.43239602177479824
Benin,Benin,CostsPerMWh,2032,000-109.1285023757216713.7802373266847165.28906312634941900116.82325069817787000-3.1812760840552810000.4313816894475055000000.5241344266979535
Benin,Benin,CostsPerMWh,2033,000-101.7770851813383413.6932891321126664.69108756254258700112.76325054274176000-20.24483892773690000.4986175969121684000000.4753842752286321
Benin,Benin,CostsPerMWh,2034,000-98.3986361261762413.6294226943353684.33283321698083300112.6930758399393000-23.5977566417080880000.5384839741524668000000.4537139627425237
Benin,Benin,CostsPerMWh,2035,000-93.7287698631077113.4782219392617654.08713432087646700112.87503499848168000-22.92761973065051300.1752142582436423400.9270787305152077000000.4390516856967592
Benin,Benin,CostsPerMWh,2040,000-178.5749312349237213.42575218297247413.25842287405425200189.55939014797178000-138.82554162770882012.39580350632417800.8087349176146076000001.0336531813366303
Benin,Benin,CostsPerMWh,2045,000-159.951178271734213.57355341683802615.93686023511405200172.09574177271912000-120.47423137827435020.50025702086364600.7688917716488172000001.2017209809310092
Benin,Benin,CostsPerMWh,2050,000-300.2708444349817715.2379565091042261.976102638691561400383.9115916555229000-165.4709157088850304.31943721506120401.139489378440554000000.27616611000000785
Benin,Benin,DemandEnergyZone,2026,2294.423491000002
Benin,Benin,DemandEnergyZone,2027,2454.903017
Benin,Benin,DemandEnergyZone,2028,2624.0571120000004
Benin,Benin,DemandEnergyZone,2029,2814.897629000004
Benin,Benin,DemandEnergyZone,2030,3049.1109910000014
Benin,Benin,DemandEnergyZone,2031,3226.9396549999974
Benin,Benin,DemandEnergyZone,2032,3413.442888
Benin,Benin,DemandEnergyZone,2033,3578.259698
Benin,Benin,DemandEnergyZone,2034,3738.7392239999976
Benin,Benin,DemandEnergyZone,2035,3907.893319
