c,z,attribute,y,uni,value
Libya,Libya,CapexInvestmentComponent,2028,Generation,2255931429.024
Libya,Libya,CapexInvestmentComponent,2029,Generation,1660882857.316
Libya,Libya,CapexInvestmentComponent,2030,Generation,1625131428.456
Libya,Libya,CapexInvestmentComponent,2031,Generation,2097481428.456
Libya,Libya,CapexInvestmentComponent,2032,Generation,2055180000.0
Libya,Libya,CapexInvestmentComponent,2033,Generation,2016630000.0
Libya,Libya,CapexInvestmentComponent,2034,Generation,1978080000.0
Libya,Libya,CapexInvestmentComponent,2035,Generation,2203207143.064
Libya,Libya,CapexInvestmentComponent,2035,StorageEnergy,196512837.668737
Libya,Libya,CapexInvestmentComponent,2036,Generation,2171207143.064
Libya,Libya,CapexInvestmentComponent,2036,StorageEnergy,874887459.8800001
Libya,Libya,CapexInvestmentComponent,2037,Generation,1865228571.544
Libya,Libya,CapexInvestmentComponent,2037,StorageEnergy,418355208.46852064
Libya,Libya,CapexInvestmentComponent,2038,Generation,1826210714.214
Libya,Libya,CapexInvestmentComponent,2038,StorageEnergy,266050604.8562912
Libya,Libya,CapexInvestmentComponent,2039,Generation,2048834285.404
Libya,Libya,CapexInvestmentComponent,2039,StorageEnergy,381979842.1957463
Libya,Libya,CapexInvestmentComponent,2040,Generation,2483286795.4953623
Libya,Libya,CapexInvestmentComponent,2040,StorageEnergy,740289389.28
Libya,Libya,CapexInvestmentComponent,2041,Generation,2313504253.809284
Libya,Libya,CapexInvestmentComponent,2041,StorageEnergy,713064464.0
Libya,Libya,CapexInvestmentComponent,2042,Generation,2041953315.0272944
Libya,Libya,CapexInvestmentComponent,2042,StorageEnergy,686840767.48
Libya,Libya,CapexInvestmentComponent,2043,Generation,1733849613.7734818
Libya,Libya,CapexInvestmentComponent,2043,StorageEnergy,661581473.28
Libya,Libya,CapexInvestmentComponent,2044,Generation,1496971593.2929692
Libya,Libya,CapexInvestmentComponent,2044,StorageEnergy,276502322.77636325
Libya,Libya,CapexInvestmentComponent,2045,Generation,1444145352.642
Libya,Libya,CapexInvestmentComponent,2045,StorageEnergy,83786646.83445096
Libya,Libya,CapexInvestmentComponent,2046,Generation,1173623062.252
Libya,Libya,CapexInvestmentComponent,2047,Generation,1658403603.6005583
Libya,Libya,CapexInvestmentComponent,2047,StorageEnergy,506581380.38102585
Libya,Libya,CapexInvestmentComponent,2048,Generation,1141621977.6229584
Libya,Libya,CapexInvestmentComponent,2048,StorageEnergy,548554378.6800001
Libya,Libya,CapexInvestmentComponent,2049,Generation,1097098501.7396069
Libya,Libya,CapexInvestmentComponent,2049,StorageEnergy,528380712.16
