c,z,attribute,y,uni,value
Libya,Libya,NetImport,2026,Egypt,1314.0
Libya,Libya,NetImport,2028,Egypt,1314.0
Libya,Libya,NetImport,2028,Tunisia,876.0
Libya,Libya,NetImport,2030,Egypt,940.5040340537836
Libya,Libya,NetImport,2030,Tunisia,613.4928021699889
Libya,Libya,NetImport,2032,Egypt,842.5166701100641
Libya,Libya,NetImport,2032,Tunisia,557.0269664768672
Libya,Libya,NetImport,2034,Egypt,376.2357224028336
Libya,Libya,NetImport,2034,Tunisia,212.26460634422088
Libya,Libya,NetImport,2036,Egypt,142.5367871588148
Libya,Libya,NetImport,2036,Tunisia,87.42281835653195
Libya,Libya,NetImport,2038,Egypt,150.98229510490475
Libya,Libya,NetImport,2038,Tunisia,90.34102330901408
Libya,Libya,NetImport,2040,Egypt,152.9497989889813
Libya,Libya,NetImport,2040,Tunisia,60.63284460927203
Libya,Libya,NetImport,2042,Egypt,494.2240729261238
Libya,Libya,NetImport,2042,Tunisia,140.7425930243356
Libya,Libya,NetImport,2044,Egypt,491.3666301365748
Libya,Libya,NetImport,2044,Tunisia,114.10350840738798
Libya,Libya,NetImport,2046,Egypt,495.5011524874299
Libya,Libya,NetImport,2046,Tunisia,83.03826920676961
Libya,Libya,NetImport,2048,Egypt,474.5005883243823
Libya,Libya,NetImport,2048,Tunisia,53.341893952222975
Libya,Libya,NetImport,2050,Egypt,468.3168940819584
Libya,Libya,NetImport,2050,Tunisia,54.6163428919845
