c,z,attribute,y,uni,value
Libya,Libya,NetImport,2026,Egypt,1314.0
Libya,Libya,NetImport,2026,Tunisia,100.71582633094998
Libya,Libya,NetImport,2028,Egypt,1314.0
Libya,Libya,NetImport,2028,Tunisia,876.0
Libya,Libya,NetImport,2030,Egypt,1314.0
Libya,Libya,NetImport,2030,Tunisia,876.0
Libya,Libya,NetImport,2032,Egypt,1314.0
Libya,Libya,NetImport,2032,Tunisia,876.0
Libya,Libya,NetImport,2034,Egypt,1314.0
Libya,Libya,NetImport,2034,Tunisia,876.0
Libya,Libya,NetImport,2036,Egypt,1314.0
Libya,Libya,NetImport,2036,Tunisia,876.0
Libya,Libya,NetImport,2038,Egypt,1314.0
Libya,Libya,NetImport,2038,Tunisia,843.2596091058847
Libya,Libya,NetImport,2040,Egypt,1209.747530576396
Libya,Libya,NetImport,2040,Tunisia,640.471939418956
Libya,Libya,NetImport,2042,Egypt,1205.5967645410449
Libya,Libya,NetImport,2042,Tunisia,612.4
Libya,Libya,NetImport,2044,Egypt,1126.2825538937163
Libya,Libya,NetImport,2044,Tunisia,575.5
Libya,Libya,NetImport,2046,Egypt,1074.5971157998144
Libya,Libya,NetImport,2046,Tunisia,502.2
Libya,Libya,NetImport,2048,Egypt,951.3678518844814
Libya,Libya,NetImport,2048,Tunisia,311.87605249807376
Libya,Libya,NetImport,2050,Egypt,899.4
Libya,Libya,NetImport,2050,Tunisia,256.4
