c,z,attribute,y,value
Libya,Libya,CapexInvestmentComponent,2028,1247931429.024
Libya,Libya,CapexInvestmentComponent,2029,676882857.316
Libya,Libya,CapexInvestmentComponent,2030,665131428.456
Libya,Libya,CapexInvestmentComponent,2031,1161481428.456
Libya,Libya,CapexInvestmentComponent,2032,1143180000.0
Libya,Libya,CapexInvestmentComponent,2033,1128630000.0
Libya,Libya,CapexInvestmentComponent,2034,1154634800.8508143
Libya,Libya,CapexInvestmentComponent,2035,2670047060.064
Libya,Libya,CapexInvestmentComponent,2036,2880650873.004
Libya,Libya,CapexInvestmentComponent,2037,2817276114.4240003
Libya,Libya,CapexInvestmentComponent,2038,2486004926.994
Libya,Libya,CapexInvestmentComponent,2039,2419346596.8840003
Libya,Libya,CapexInvestmentComponent,2040,5676568369.324
Libya,Libya,CapexInvestmentComponent,2041,5552773626.52
Libya,Libya,CapexInvestmentComponent,2042,5169730080.844
Libya,Libya,CapexInvestmentComponent,2043,4785658667.420583
Libya,Libya,CapexInvestmentComponent,2044,3777857726.627371
Libya,Libya,CapexInvestmentComponent,2045,2751906224.207344
Libya,Libya,CapexInvestmentComponent,2046,2579505854.88
Libya,Libya,CapexInvestmentComponent,2047,2000394706.748
Libya,Libya,CapexInvestmentComponent,2048,1655911319.02
Libya,Libya,CapexInvestmentComponent,2049,1637826520.12
Libya,Libya,CapexInvestmentComponent,2050,1618103136.54
Libya,Libya,CapexInvestmentComponentCumulated,2028,1247931429.024
Libya,Libya,CapexInvestmentComponentCumulated,2029,1924814286.34
Libya,Libya,CapexInvestmentComponentCumulated,2030,2589945714.796
Libya,Libya,CapexInvestmentComponentCumulated,2031,3751427143.252
Libya,Libya,CapexInvestmentComponentCumulated,2032,4894607143.252
Libya,Libya,CapexInvestmentComponentCumulated,2033,6023237143.252
Libya,Libya,CapexInvestmentComponentCumulated,2034,7177871944.102815
Libya,Libya,CapexInvestmentComponentCumulated,2035,9847919004.166817
Libya,Libya,CapexInvestmentComponentCumulated,2036,12728569877.170816
Libya,Libya,CapexInvestmentComponentCumulated,2037,15545845991.594814
Libya,Libya,CapexInvestmentComponentCumulated,2038,18031850918.588814
Libya,Libya,CapexInvestmentComponentCumulated,2039,20451197515.472813
Libya,Libya,CapexInvestmentComponentCumulated,2040,26127765884.796818
Libya,Libya,CapexInvestmentComponentCumulated,2041,31680539511.31681
Libya,Libya,CapexInvestmentComponentCumulated,2042,36850269592.16082
Libya,Libya,CapexInvestmentComponentCumulated,2043,41635928259.5814
Libya,Libya,CapexInvestmentComponentCumulated,2044,45413785986.20877
Libya,Libya,CapexInvestmentComponentCumulated,2045,48165692210.41612
Libya,Libya,CapexInvestmentComponentCumulated,2046,50745198065.29611
Libya,Libya,CapexInvestmentComponentCumulated,2047,43635816265.4533
Libya,Libya,CapexInvestmentComponentCumulated,2048,45291727584.4733
Libya,Libya,CapexInvestmentComponentCumulated,2049,46929554104.5933
Libya,Libya,CapexInvestmentComponentCumulated,2050,48547657241.1333
Libya,Libya,Costs,2026,15794.991063874026
Libya,Libya,Costs,2027,18318.253405472955
Libya,Libya,Costs,2028,18791.075784008623
Libya,Libya,Costs,2029,20014.80641893175
Libya,Libya,Costs,2030,20333.53424320341
Libya,Libya,Costs,2031,21082.257560788217
Libya,Libya,Costs,2032,20992.29164286677
Libya,Libya,Costs,2033,21696.88030607727
Libya,Libya,Costs,2034,21548.84092626844
Libya,Libya,Costs,2035,21100.680623605745
Libya,Libya,Costs,2036,20307.0689100099
Libya,Libya,Costs,2037,19595.45507041852
Libya,Libya,Costs,2038,18719.82851369942
Libya,Libya,Costs,2039,18354.14975644436
Libya,Libya,Costs,2040,15442.209552691203
Libya,Libya,Costs,2041,14499.017172616155
Libya,Libya,Costs,2042,12788.94014331853
Libya,Libya,Costs,2043,11861.624805463462
Libya,Libya,Costs,2044,10672.507045849808
Libya,Libya,Costs,2045,9663.130468742816
Libya,Libya,Costs,2046,8333.65520786931
Libya,Libya,Costs,2047,7864.20115687083
Libya,Libya,Costs,2048,7112.078422374042
Libya,Libya,Costs,2049,6800.812930188943
Libya,Libya,Costs,2050,6305.966858473544
Libya,Libya,CostsPerMWh,2026,248.0447103218384
Libya,Libya,CostsPerMWh,2027,271.8245052006672
Libya,Libya,CostsPerMWh,2028,263.48293255571707
Libya,Libya,CostsPerMWh,2029,265.1002850227387
Libya,Libya,CostsPerMWh,2030,256.131787864555
Libya,Libya,CostsPerMWh,2031,253.44125746283183
Libya,Libya,CostsPerMWh,2032,241.51834652047648
Libya,Libya,CostsPerMWh,2033,239.5804013391628
Libya,Libya,CostsPerMWh,2034,229.0431849479012
Libya,Libya,CostsPerMWh,2035,216.52161168569205
Libya,Libya,CostsPerMWh,2036,202.748319272456
Libya,Libya,CostsPerMWh,2037,190.43387273363712
Libya,Libya,CostsPerMWh,2038,174.30494812424396
Libya,Libya,CostsPerMWh,2039,165.95072112517502
Libya,Libya,CostsPerMWh,2040,136.09667785388635
Libya,Libya,CostsPerMWh,2041,124.64338548034934
Libya,Libya,CostsPerMWh,2042,106.51059483741868
Libya,Libya,CostsPerMWh,2043,96.39052158708463
Libya,Libya,CostsPerMWh,2044,84.7024368718239
Libya,Libya,CostsPerMWh,2045,76.44821218774221
Libya,Libya,CostsPerMWh,2046,65.72231455484821
Libya,Libya,CostsPerMWh,2047,61.824994747453445
Libya,Libya,CostsPerMWh,2048,55.73641809982635
Libya,Libya,CostsPerMWh,2049,53.13052085271288
Libya,Libya,CostsPerMWh,2050,49.11112645031648
Libya,Libya,DemandEnergyZone,2026,63678.000000000015
Libya,Libya,DemandEnergyZone,2027,67389.99999999997
Libya,Libya,DemandEnergyZone,2028,71317.99999999999
Libya,Libya,DemandEnergyZone,2029,75498.99999999999
Libya,Libya,DemandEnergyZone,2030,79386.99999999994
Libya,Libya,DemandEnergyZone,2031,83184.00000000004
Libya,Libya,DemandEnergyZone,2032,86918.0
Libya,Libya,DemandEnergyZone,2033,90562.00000000004
Libya,Libya,DemandEnergyZone,2034,94082.0
Libya,Libya,DemandEnergyZone,2035,97453.0
Libya,Libya,DemandEnergyZone,2036,100158.99999999993
Libya,Libya,DemandEnergyZone,2037,102898.99999999996
Libya,Libya,DemandEnergyZone,2038,107396.99999999994
Libya,Libya,DemandEnergyZone,2039,110600.0
Libya,Libya,DemandEnergyZone,2040,113464.99999999993
Libya,Libya,DemandEnergyZone,2041,116324.0
Libya,Libya,DemandEnergyZone,2042,120071.99999999994
Libya,Libya,DemandEnergyZone,2043,123058.0
Libya,Libya,DemandEnergyZone,2044,125999.99999999996
Libya,Libya,DemandEnergyZone,2045,126401.00000000012
Libya,Libya,DemandEnergyZone,2046,126801.00000000004
Libya,Libya,DemandEnergyZone,2047,127201.00000000006
Libya,Libya,DemandEnergyZone,2048,127602.0
Libya,Libya,DemandEnergyZone,2049,128001.99999999977
Libya,Libya,DemandEnergyZone,2050,128402.00000000012
Libya,Libya,DemandPeakZone,2026,9386.70412
Libya,Libya,DemandPeakZone,2027,9934.0188
Libya,Libya,DemandPeakZone,2028,10513.0743
Libya,Libya,DemandPeakZone,2029,11129.01778
Libya,Libya,DemandPeakZone,2030,11702.06826
Libya,Libya,DemandPeakZone,2031,12262.25084
Libya,Libya,DemandPeakZone,2032,12812.1391
Libya,Libya,DemandPeakZone,2033,13349.15946
Libya,Libya,DemandPeakZone,2034,13868.16476
