c,z,attribute,y,uni,value
Libya,Libya,CapexInvestmentComponent,2028,Generation,2255931429.024
Libya,Libya,CapexInvestmentComponent,2029,Generation,1312000000.0
Libya,Libya,CapexInvestmentComponent,2030,Generation,1280000000.0
Libya,Libya,CapexInvestmentComponent,2031,Generation,2017400000.0
Libya,Libya,CapexInvestmentComponent,2032,Generation,1991200000.0
Libya,Libya,CapexInvestmentComponent,2033,Generation,1965000000.0
Libya,Libya,CapexInvestmentComponent,2034,Generation,1938800000.0
Libya,Libya,CapexInvestmentComponent,2035,Generation,3825200000.0
Libya,Libya,CapexInvestmentComponent,2036,Generation,2195845000.621443
Libya,Libya,CapexInvestmentComponent,2037,Generation,512725557.254597
Libya,Libya,CapexInvestmentComponent,2038,Generation,673284091.8591262
Libya,Libya,CapexInvestmentComponent,2039,Generation,641660190.8680149
Libya,Libya,CapexInvestmentComponent,2040,Generation,1097846501.0034895
Libya,Libya,CapexInvestmentComponent,2041,Generation,1640063481.905293
Libya,Libya,CapexInvestmentComponent,2041,StorageEnergy,172742402.76912692
Libya,Libya,CapexInvestmentComponent,2042,Generation,733181907.1518642
Libya,Libya,CapexInvestmentComponent,2043,Generation,793941410.8606213
Libya,Libya,CapexInvestmentComponent,2044,Generation,654070029.3295505
Libya,Libya,CapexInvestmentComponent,2045,Generation,631023455.2509418
Libya,Libya,CapexInvestmentComponent,2045,StorageEnergy,15701257.275467375
Libya,Libya,CapexInvestmentComponent,2046,Generation,292771902.70612186
Libya,Libya,CapexInvestmentComponent,2047,Generation,674491942.1176106
Libya,Libya,CapexInvestmentComponent,2047,StorageEnergy,117648753.36490032
Libya,Libya,CapexInvestmentComponent,2048,Generation,321689755.84121954
Libya,Libya,CapexInvestmentComponent,2049,Generation,302714441.4987354
Libya,Libya,CapexInvestmentComponent,2050,Generation,356064544.39068353
Libya,Libya,CapexInvestmentComponent,2050,StorageEnergy,68359093.9167592
Libya,Libya,CapexInvestmentComponentCumulated,2028,Generation,2255931429.024
Libya,Libya,CapexInvestmentComponentCumulated,2029,Generation,3567931429.024
Libya,Libya,CapexInvestmentComponentCumulated,2030,Generation,4847931429.024
Libya,Libya,CapexInvestmentComponentCumulated,2031,Generation,6865331429.024
Libya,Libya,CapexInvestmentComponentCumulated,2032,Generation,8856531429.024
Libya,Libya,CapexInvestmentComponentCumulated,2033,Generation,10821531429.024
Libya,Libya,CapexInvestmentComponentCumulated,2034,Generation,12760331429.024
Libya,Libya,CapexInvestmentComponentCumulated,2035,Generation,16585531429.024
Libya,Libya,CapexInvestmentComponentCumulated,2036,Generation,18781376429.645443
Libya,Libya,CapexInvestmentComponentCumulated,2037,Generation,19294101986.90004
Libya,Libya,CapexInvestmentComponentCumulated,2038,Generation,19967386078.759167
Libya,Libya,CapexInvestmentComponentCumulated,2039,Generation,20609046269.627186
Libya,Libya,CapexInvestmentComponentCumulated,2040,Generation,21706892770.63067
Libya,Libya,CapexInvestmentComponentCumulated,2041,Generation,23346956252.535965
Libya,Libya,CapexInvestmentComponentCumulated,2041,StorageEnergy,172742402.76912692
Libya,Libya,CapexInvestmentComponentCumulated,2042,Generation,24080138159.687828
Libya,Libya,CapexInvestmentComponentCumulated,2043,Generation,24874079570.54845
Libya,Libya,CapexInvestmentComponentCumulated,2044,Generation,25528149599.878
Libya,Libya,CapexInvestmentComponentCumulated,2045,Generation,26159173055.12894
Libya,Libya,CapexInvestmentComponentCumulated,2045,StorageEnergy,188443660.0445943
Libya,Libya,CapexInvestmentComponentCumulated,2046,Generation,26451944957.835064
Libya,Libya,CapexInvestmentComponentCumulated,2047,Generation,27126436899.952675
Libya,Libya,CapexInvestmentComponentCumulated,2047,StorageEnergy,306092413.40949464
Libya,Libya,CapexInvestmentComponentCumulated,2048,Generation,27448126655.79389
Libya,Libya,CapexInvestmentComponentCumulated,2049,Generation,27750841097.29263
Libya,Libya,CapexInvestmentComponentCumulated,2050,Generation,28106905641.68331
Libya,Libya,CapexInvestmentComponentCumulated,2050,StorageEnergy,374451507.3262538
