c,uni,y,value
Gambia,Total H2 Production: mmBTU,2025,1e-06
Gambia,Total H2 Production: mmBTU,2030,1e-06
Gambia,External Demand of H2: mmBTU,2025,1e-06
Gambia,External Demand of H2: mmBTU,2030,1e-06
Gambia,Unmet External Demand of H2: mmBTU,2025,1e-06
Gambia,Unmet External Demand of H2: mmBTU,2030,1e-06
Gambia,Total electricity demand for H2 production: GWh,2025,1e-06
Gambia,Total electricity demand for H2 production: GWh,2030,1e-06
Gambia,H2 for power production: mmBTU,2025,1e-06
Gambia,H2 for power production: mmBTU,2030,1e-06
