g,uni,y,value
Jambur BESS,Storage Capacity MWh,2025,8.0
Jambur BESS,Storage Capacity MWh,2030,8.0
Jambur BESS,Storage Hours,2025,4.0
Jambur BESS,Storage Hours,2030,4.0
Jambur BESS,Storage Capacity in MW,2025,2.0
Jambur BESS,Storage Capacity in MW,2030,2.0
New BESS,Storage Capacity MWh,2030,0.027102564010749085
New BESS,Storage Hours,2030,0.027102564010749085
New BESS,Storage Capacity in MW,2030,0.005000234749896833
BESS Project,Storage Capacity MWh,2030,40.0
BESS Project,Storage Hours,2030,4.0
BESS Project,Storage Capacity in MW,2030,10.0
