c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,0.0
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-100811.186194525
System,System,NetPresentCostSystem,Fixed O&M: $m,,19144.30710090167
System,System,NetPresentCostSystem,Fuel costs: $m,,101644.74746698968
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,250040.57411298703
System,System,NetPresentCostSystem,NPV of system cost: $m,,474908.7633388592
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-149229.38791846222
System,System,NetPresentCostSystem,Transmission costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,924.8456578175984
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,725.3179081947455
System,System,NetPresentCostSystem,Unmet demand costs: $m,,302203.9648612489
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,5529.44032236601
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-35.498878502362004
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,6.741329582963714
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,35.79240238053957
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,88.04737148881826
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,167.23073228146123
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-52.54849298645631
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.3256680620437637
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.2554078894470045
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,106.41578813328331
System,System,NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Variable O&M: $m,,1.947094738186829
Benin,Benin,CongestionShare,Burkina,2026,1.0
Benin,Benin,CongestionShare,Niger,2026,1.0
Benin,Benin,CongestionShare,Nigeria,2026,0.4587899543378995
Benin,Benin,CongestionShare,Burkina,2027,1.0
Benin,Benin,CongestionShare,Niger,2027,1.0
Benin,Benin,CongestionShare,Nigeria,2027,0.2492009132420091
Benin,Benin,CongestionShare,Burkina,2028,1.0
Benin,Benin,CongestionShare,Niger,2028,1.0
Benin,Benin,CongestionShare,Nigeria,2028,0.273972602739726
Benin,Benin,CongestionShare,Burkina,2029,1.0
Benin,Benin,CongestionShare,Niger,2029,1.0
Benin,Benin,CongestionShare,Nigeria,2029,0.2366438356164383
Benin,Benin,CongestionShare,Burkina,2030,1.0
Benin,Benin,CongestionShare,Niger,2030,1.0
Benin,Benin,CongestionShare,Nigeria,2030,0.1481735159817351
Benin,Benin,CongestionShare,Togo,2030,0.0490867579908675
Benin,Benin,CongestionShare,Burkina,2031,1.0
Benin,Benin,CongestionShare,Niger,2031,1.0
Benin,Benin,CongestionShare,Nigeria,2031,0.0868721461187214
Benin,Benin,CongestionShare,Togo,2031,0.0462328767123287
Benin,Benin,CongestionShare,Burkina,2032,1.0
Benin,Benin,CongestionShare,Niger,2032,1.0
Benin,Benin,CongestionShare,Nigeria,2032,0.0433789954337899
Benin,Benin,CongestionShare,Togo,2032,0.0585616438356164
Benin,Benin,CongestionShare,Burkina,2033,1.0
Benin,Benin,CongestionShare,Niger,2033,1.0
Benin,Benin,CongestionShare,Nigeria,2033,0.0529680365296803
Benin,Benin,CongestionShare,Togo,2033,0.0786529680365296
Benin,Benin,CongestionShare,Burkina,2034,1.0
Benin,Benin,CongestionShare,Niger,2034,1.0
Benin,Benin,CongestionShare,Togo,2034,0.2091324200913242
Benin,Benin,CongestionShare,Burkina,2035,1.0
Benin,Benin,CongestionShare,Niger,2035,1.0
Benin,Benin,CongestionShare,Togo,2035,0.6251141552511416
Benin,Benin,CongestionShare,Burkina,2040,1.0
Benin,Benin,CongestionShare,Niger,2040,1.0
Benin,Benin,CongestionShare,Togo,2040,0.6219178082191781
Benin,Benin,CongestionShare,Burkina,2045,1.0
Benin,Benin,CongestionShare,Niger,2045,1.0
Benin,Benin,CongestionShare,Togo,2045,0.6536529680365297
Benin,Benin,CongestionShare,Burkina,2050,1.0
Benin,Benin,CongestionShare,Niger,2050,1.0
Benin,Benin,CongestionShare,Togo,2050,0.0159817351598173
Benin,Benin,Interchange,Nigeria,2026,2448.160296909741
Benin,Benin,Interchange,Nigeria,2027,2129.45925839153
Benin,Benin,Interchange,Togo,2027,53.93810154859614
Benin,Benin,Interchange,Nigeria,2028,2058.2752891317205
Benin,Benin,Interchange,Togo,2028,81.02256825637562
Benin,Benin,Interchange,Nigeria,2029,1517.832998813313
Benin,Benin,Interchange,Togo,2029,180.1450429007043
Benin,Benin,Interchange,Nigeria,2030,901.1117635298492
Benin,Benin,Interchange,Togo,2030,752.800448216693
Benin,Benin,Interchange,Nigeria,2031,654.1310458980356
Benin,Benin,Interchange,Togo,2031,792.363229327611
Benin,Benin,Interchange,Nigeria,2032,597.263368397821
Benin,Benin,Interchange,Togo,2032,836.9733252462469
Benin,Benin,Interchange,Nigeria,2033,580.5570609881086
Benin,Benin,Interchange,Togo,2033,895.8183607326548
Benin,Benin,Interchange,Nigeria,2034,48.28823565982217
Benin,Benin,Interchange,Togo,2034,1804.3777399376825
Benin,Benin,Interchange,Togo,2035,2569.862817409344
Benin,Benin,Interchange,Togo,2040,2448.9757224493187
Benin,Benin,Interchange,Togo,2045,2213.377688479718
Benin,Benin,Interchange,Togo,2050,232.38766496034904
Benin,Benin,InterconUtilization,Nigeria,2026,0.8219716280250272
Benin,Benin,InterconUtilization,Nigeria,2027,0.714967518933498
Benin,Benin,InterconUtilization,Togo,2027,0.0181097574364075
Benin,Benin,InterconUtilization,Nigeria,2028,0.6910674486743622
Benin,Benin,InterconUtilization,Togo,2028,0.0272033871395298
Benin,Benin,InterconUtilization,Nigeria,2029,0.5096135505013809
Benin,Benin,InterconUtilization,Togo,2029,0.0604838312183401
Benin,Benin,InterconUtilization,Nigeria,2030,0.3025489402128153
Benin,Benin,InterconUtilization,Togo,2030,0.252753306546029
Benin,Benin,InterconUtilization,Nigeria,2031,0.2196249818352255
Benin,Benin,InterconUtilization,Togo,2031,0.2660365395271323
Benin,Benin,InterconUtilization,Nigeria,2032,0.200531617109126
Benin,Benin,InterconUtilization,Togo,2032,0.2810144121831341
Benin,Benin,InterconUtilization,Nigeria,2033,0.1949224620561739
Benin,Benin,InterconUtilization,Togo,2033,0.3007716763136767
Benin,Benin,InterconUtilization,Nigeria,2034,0.016212810790969
Benin,Benin,InterconUtilization,Togo,2034,0.6058211589906266
Benin,Benin,InterconUtilization,Togo,2035,0.8628333391785331
Benin,Benin,InterconUtilization,Togo,2040,0.8222454077522557
Benin,Benin,InterconUtilization,Togo,2045,0.7431431938220917
Benin,Benin,InterconUtilization,Togo,2050,0.0780243301639635
Benin,Benin,NetImport,Nigeria,2026,-2.4481602969097414
Benin,Benin,NetImport,Nigeria,2027,-2.12945925839153
Benin,Benin,NetImport,Togo,2027,-0.0539381015485961
Benin,Benin,NetImport,Nigeria,2028,-2.0582752891317204
Benin,Benin,NetImport,Togo,2028,-0.0810225682563756
Benin,Benin,NetImport,Nigeria,2029,-1.517832998813313
Benin,Benin,NetImport,Togo,2029,-0.1801450429007043
Benin,Benin,NetImport,Nigeria,2030,-0.9011117635298492
Benin,Benin,NetImport,Togo,2030,-0.752800448216693
Benin,Benin,NetImport,Nigeria,2031,-0.6541310458980356
Benin,Benin,NetImport,Togo,2031,-0.7923632293276109
Benin,Benin,NetImport,Nigeria,2032,-0.597263368397821
Benin,Benin,NetImport,Togo,2032,-0.8369733252462469
Benin,Benin,NetImport,Nigeria,2033,-0.5805570609881086
Benin,Benin,NetImport,Togo,2033,-0.8958183607326549
Benin,Benin,NetImport,Nigeria,2034,-0.0482882356598221
Benin,Benin,NetImport,Togo,2034,-1.8043777399376824
Benin,Benin,NetImport,Togo,2035,-2.5698628174093434
Benin,Benin,NetImport,Togo,2040,-2.448975722449319
Benin,Benin,NetImport,Togo,2045,-2.213377688479718
Benin,Benin,NetImport,Togo,2050,-0.232387664960349
Benin,Benin,TransmissionCapacity,Nigeria,2026,340.0
Benin,Benin,TransmissionCapacity,Togo,2026,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2027,340.0
Benin,Benin,TransmissionCapacity,Togo,2027,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2028,340.0
Benin,Benin,TransmissionCapacity,Togo,2028,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2029,340.0
Benin,Benin,TransmissionCapacity,Togo,2029,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2030,340.0
Benin,Benin,TransmissionCapacity,Togo,2030,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2031,340.0
Benin,Benin,TransmissionCapacity,Togo,2031,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2032,340.0
Benin,Benin,TransmissionCapacity,Togo,2032,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2033,340.0
Benin,Benin,TransmissionCapacity,Togo,2033,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2034,340.0
Benin,Benin,TransmissionCapacity,Togo,2034,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2035,340.0
Benin,Benin,TransmissionCapacity,Togo,2035,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2040,340.0
Benin,Benin,TransmissionCapacity,Togo,2040,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2045,340.0
Benin,Benin,TransmissionCapacity,Togo,2045,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2050,340.0
Benin,Benin,TransmissionCapacity,Togo,2050,340.0
Burkina,Burkina,CongestionShare,Benin,2026,1.0
Burkina,Burkina,CongestionShare,IvoryCoast,2026,0.073972602739726
Burkina,Burkina,CongestionShare,Mali,2026,1.0
Burkina,Burkina,CongestionShare,Benin,2027,1.0
Burkina,Burkina,CongestionShare,Ghana,2027,0.3756849315068493
Burkina,Burkina,CongestionShare,Mali,2027,1.0
Burkina,Burkina,CongestionShare,Benin,2028,1.0
Burkina,Burkina,CongestionShare,Ghana,2028,0.3738584474885845
Burkina,Burkina,CongestionShare,Mali,2028,1.0
Burkina,Burkina,CongestionShare,Benin,2029,1.0
Burkina,Burkina,CongestionShare,Ghana,2029,0.0705479452054794
Burkina,Burkina,CongestionShare,IvoryCoast,2029,0.0180365296803652
Burkina,Burkina,CongestionShare,Mali,2029,1.0
Burkina,Burkina,CongestionShare,Benin,2030,1.0
Burkina,Burkina,CongestionShare,Ghana,2030,0.0776255707762557
Burkina,Burkina,CongestionShare,IvoryCoast,2030,0.0321917808219178
Burkina,Burkina,CongestionShare,Mali,2030,1.0
Burkina,Burkina,CongestionShare,Benin,2031,1.0
Burkina,Burkina,CongestionShare,Ghana,2031,0.0712328767123287
Burkina,Burkina,CongestionShare,IvoryCoast,2031,0.0718036529680365
Burkina,Burkina,CongestionShare,Mali,2031,1.0
Burkina,Burkina,CongestionShare,Benin,2032,1.0
Burkina,Burkina,CongestionShare,Ghana,2032,0.0819634703196347
Burkina,Burkina,CongestionShare,IvoryCoast,2032,0.0682648401826484
Burkina,Burkina,CongestionShare,Mali,2032,1.0
Burkina,Burkina,CongestionShare,Benin,2033,1.0
Burkina,Burkina,CongestionShare,Ghana,2033,0.1171232876712328
Burkina,Burkina,CongestionShare,IvoryCoast,2033,0.0655251141552511
Burkina,Burkina,CongestionShare,Mali,2033,1.0
Burkina,Burkina,CongestionShare,Benin,2034,1.0
Burkina,Burkina,CongestionShare,Ghana,2034,0.125
Burkina,Burkina,CongestionShare,IvoryCoast,2034,0.0353881278538812
Burkina,Burkina,CongestionShare,Mali,2034,1.0
Burkina,Burkina,CongestionShare,Benin,2035,1.0
Burkina,Burkina,CongestionShare,Ghana,2035,0.4356164383561643
Burkina,Burkina,CongestionShare,IvoryCoast,2035,0.0605022831050228
Burkina,Burkina,CongestionShare,Mali,2035,1.0
Burkina,Burkina,CongestionShare,Benin,2040,1.0
