c,z,y,q,d,t,uni,value
Benin,Benin,2026,dry,1,t01,Diesel,137.0
Benin,Benin,2026,dry,1,t01,Imports,340.0
Benin,Benin,2026,dry,1,t01,Exports,-251.43038472546064
Benin,Benin,2026,dry,1,t01,Demand,225.56961527453936
Benin,Benin,2026,dry,1,t02,Diesel,137.0
Benin,Benin,2026,dry,1,t02,Imports,340.0
Benin,Benin,2026,dry,1,t02,Exports,-264.9365178815457
Benin,Benin,2026,dry,1,t02,Demand,212.0634821184543
Benin,Benin,2026,dry,1,t03,Diesel,137.0
Benin,Benin,2026,dry,1,t03,Imports,340.0
Benin,Benin,2026,dry,1,t03,Exports,-264.2257530218442
Benin,Benin,2026,dry,1,t03,Demand,212.77424697815584
Benin,Benin,2026,dry,1,t04,Diesel,137.0
Benin,Benin,2026,dry,1,t04,Imports,340.0
Benin,Benin,2026,dry,1,t04,Exports,-263.5145879567037
Benin,Benin,2026,dry,1,t04,Demand,213.48541204329632
Benin,Benin,2026,dry,1,t05,Diesel,137.0
Benin,Benin,2026,dry,1,t05,Imports,340.0
Benin,Benin,2026,dry,1,t05,Exports,-257.82806887365246
Benin,Benin,2026,dry,1,t05,Demand,219.1719311263476
Benin,Benin,2026,dry,1,t06,Diesel,137.0
Benin,Benin,2026,dry,1,t06,Imports,340.0
Benin,Benin,2026,dry,1,t06,Exports,-265.64728274124724
Benin,Benin,2026,dry,1,t06,Demand,211.3527172587528
Benin,Benin,2026,dry,1,t07,Diesel,137.0
Benin,Benin,2026,dry,1,t07,PV,3.306
Benin,Benin,2026,dry,1,t07,Imports,340.0
Benin,Benin,2026,dry,1,t07,Exports,-277.4832614685436
Benin,Benin,2026,dry,1,t07,Demand,202.8227385314564
Benin,Benin,2026,dry,1,t08,Diesel,137.0
Benin,Benin,2026,dry,1,t08,PV,13.224
Benin,Benin,2026,dry,1,t08,Imports,340.0
Benin,Benin,2026,dry,1,t08,Exports,-260.3893953618125
Benin,Benin,2026,dry,1,t08,Demand,229.83460463818747
Benin,Benin,2026,dry,1,t09,Diesel,137.0
Benin,Benin,2026,dry,1,t09,PV,24.099000000000004
Benin,Benin,2026,dry,1,t09,Imports,340.0
Benin,Benin,2026,dry,1,t09,Exports,-290.45704760094884
Benin,Benin,2026,dry,1,t09,Demand,210.6419523990512
Benin,Benin,2026,dry,1,t10,Diesel,137.0
Benin,Benin,2026,dry,1,t10,PV,34.017
Benin,Benin,2026,dry,1,t10,Imports,340.0
Benin,Benin,2026,dry,1,t10,Exports,-298.9535178815457
Benin,Benin,2026,dry,1,t10,Demand,212.0634821184543
Benin,Benin,2026,dry,1,t11,Diesel,137.0
Benin,Benin,2026,dry,1,t11,PV,40.455
Benin,Benin,2026,dry,1,t11,Imports,340.0
Benin,Benin,2026,dry,1,t11,Exports,-288.33116022151404
Benin,Benin,2026,dry,1,t11,Demand,229.123839778486
Benin,Benin,2026,dry,1,t12,Diesel,137.0
Benin,Benin,2026,dry,1,t12,PV,43.413
Benin,Benin,2026,dry,1,t12,Imports,340.0
Benin,Benin,2026,dry,1,t12,Exports,-276.36149734602594
Benin,Benin,2026,dry,1,t12,Demand,244.05150265397407
Benin,Benin,2026,dry,1,t13,Diesel,58.33548387096357
Benin,Benin,2026,dry,1,t13,PV,43.239
Benin,Benin,2026,dry,1,t13,Imports,340.0
Benin,Benin,2026,dry,1,t13,Exports,-209.6071844482325
Benin,Benin,2026,dry,1,t13,Demand,231.9672994227311
Benin,Benin,2026,dry,1,t14,Diesel,137.0
Benin,Benin,2026,dry,1,t14,PV,39.933
Benin,Benin,2026,dry,1,t14,Imports,340.0
Benin,Benin,2026,dry,1,t14,Exports,-271.4595674211838
Benin,Benin,2026,dry,1,t14,Demand,245.47343257881616
Benin,Benin,2026,dry,1,t15,Diesel,137.0
Benin,Benin,2026,dry,1,t15,PV,34.017
Benin,Benin,2026,dry,1,t15,Imports,340.0
Benin,Benin,2026,dry,1,t15,Exports,-234.9774768105061
Benin,Benin,2026,dry,1,t15,Demand,276.0395231894939
Benin,Benin,2026,dry,1,t16,Diesel,137.0
Benin,Benin,2026,dry,1,t16,PV,24.360000000000003
Benin,Benin,2026,dry,1,t16,Imports,340.0
Benin,Benin,2026,dry,1,t16,Exports,-224.60971195080464
Benin,Benin,2026,dry,1,t16,Demand,276.7502880491954
Benin,Benin,2026,dry,1,t17,Diesel,137.0
Benin,Benin,2026,dry,1,t17,PV,12.441
Benin,Benin,2026,dry,1,t17,Imports,340.0
Benin,Benin,2026,dry,1,t17,Exports,-226.1964449014505
Benin,Benin,2026,dry,1,t17,Demand,263.2445550985494
Benin,Benin,2026,dry,1,t18,Diesel,137.0
Benin,Benin,2026,dry,1,t18,PV,1.653
Benin,Benin,2026,dry,1,t18,Imports,340.0
Benin,Benin,2026,dry,1,t18,Exports,-219.6738344705378
Benin,Benin,2026,dry,1,t18,Demand,258.9791655294622
Benin,Benin,2026,dry,1,t19,Diesel,137.0
Benin,Benin,2026,dry,1,t19,Imports,340.0
Benin,Benin,2026,dry,1,t19,Exports,-340.0
Benin,Benin,2026,dry,1,t19,Demand,295.94334049377073
Benin,Benin,2026,dry,1,t19,Unmet demand,158.94334049377073
Benin,Benin,2026,dry,1,t20,Imports,340.0
Benin,Benin,2026,dry,1,t20,Exports,-340.0
Benin,Benin,2026,dry,1,t20,Demand,305.18408408076857
Benin,Benin,2026,dry,1,t20,Unmet demand,305.18408408076857
Benin,Benin,2026,dry,1,t21,Diesel,137.0
Benin,Benin,2026,dry,1,t21,Imports,340.0
Benin,Benin,2026,dry,1,t21,Exports,-340.0
Benin,Benin,2026,dry,1,t21,Demand,314.4252278732055
Benin,Benin,2026,dry,1,t21,Unmet demand,177.42522787320547
Benin,Benin,2026,dry,1,t22,Diesel,137.0
Benin,Benin,2026,dry,1,t22,Imports,340.0
Benin,Benin,2026,dry,1,t22,Exports,-340.0
Benin,Benin,2026,dry,1,t22,Demand,315.8467575926085
Benin,Benin,2026,dry,1,t22,Unmet demand,178.84675759260853
Benin,Benin,2026,dry,1,t23,Diesel,137.0
Benin,Benin,2026,dry,1,t23,Imports,340.0
Benin,Benin,2026,dry,1,t23,Exports,-340.0
Benin,Benin,2026,dry,1,t23,Demand,285.2806669819308
Benin,Benin,2026,dry,1,t23,Unmet demand,148.28066698193078
Benin,Benin,2026,dry,1,t24,Diesel,137.0
Benin,Benin,2026,dry,1,t24,Imports,340.0
Benin,Benin,2026,dry,1,t24,Exports,-340.0
Benin,Benin,2026,dry,1,t24,Demand,270.35300410644265
Benin,Benin,2026,dry,1,t24,Unmet demand,133.35300410644265
Benin,Benin,2026,dry,2,t01,Diesel,137.0
Benin,Benin,2026,dry,2,t01,Imports,340.0
Benin,Benin,2026,dry,2,t01,Exports,-236.5027218499725
Benin,Benin,2026,dry,2,t01,Demand,240.49727815002743
Benin,Benin,2026,dry,2,t02,Diesel,137.0
Benin,Benin,2026,dry,2,t02,Imports,340.0
Benin,Benin,2026,dry,2,t02,Exports,-236.5027218499725
Benin,Benin,2026,dry,2,t02,Demand,240.49727815002743
Benin,Benin,2026,dry,2,t03,Diesel,137.0
Benin,Benin,2026,dry,2,t03,Imports,340.0
Benin,Benin,2026,dry,2,t03,Exports,-234.37002706542896
Benin,Benin,2026,dry,2,t03,Demand,242.629972934571
Benin,Benin,2026,dry,2,t04,Diesel,137.0
Benin,Benin,2026,dry,2,t04,Imports,340.0
Benin,Benin,2026,dry,2,t04,Exports,-227.26157805753567
Benin,Benin,2026,dry,2,t04,Demand,249.7384219424644
Benin,Benin,2026,dry,2,t05,Diesel,137.0
Benin,Benin,2026,dry,2,t05,Imports,340.0
Benin,Benin,2026,dry,2,t05,Exports,-226.55081319783417
Benin,Benin,2026,dry,2,t05,Demand,250.44918680216583
Benin,Benin,2026,dry,2,t06,Diesel,137.0
Benin,Benin,2026,dry,2,t06,Imports,340.0
Benin,Benin,2026,dry,2,t06,Exports,-230.8158025614824
Benin,Benin,2026,dry,2,t06,Demand,246.18419743851769
Benin,Benin,2026,dry,2,t07,Diesel,137.0
Benin,Benin,2026,dry,2,t07,PV,2.61
Benin,Benin,2026,dry,2,t07,Imports,340.0
Benin,Benin,2026,dry,2,t07,Exports,-246.93193571756743
Benin,Benin,2026,dry,2,t07,Demand,232.6780642824326
Benin,Benin,2026,dry,2,t08,Diesel,137.0
Benin,Benin,2026,dry,2,t08,PV,15.311999999999998
Benin,Benin,2026,dry,2,t08,Imports,340.0
Benin,Benin,2026,dry,2,t08,Exports,-210.5855575220159
Benin,Benin,2026,dry,2,t08,Demand,281.7264424779841
Benin,Benin,2026,dry,2,t09,Diesel,137.0
Benin,Benin,2026,dry,2,t09,PV,28.884
Benin,Benin,2026,dry,2,t09,Imports,340.0
Benin,Benin,2026,dry,2,t09,Exports,-221.3140978777708
Benin,Benin,2026,dry,2,t09,Demand,284.5699021222292
Benin,Benin,2026,dry,2,t10,Diesel,137.0
Benin,Benin,2026,dry,2,t10,PV,40.281000000000006
Benin,Benin,2026,dry,2,t10,Imports,340.0
Benin,Benin,2026,dry,2,t10,Exports,-340.0
Benin,Benin,2026,dry,2,t10,Demand,289.54565634557895
Benin,Benin,2026,dry,2,t10,Unmet demand,112.26465634557894
Benin,Benin,2026,dry,2,t11,Diesel,137.0
Benin,Benin,2026,dry,2,t11,PV,46.023
Benin,Benin,2026,dry,2,t11,Imports,340.0
Benin,Benin,2026,dry,2,t11,Exports,-251.2484661741543
Benin,Benin,2026,dry,2,t11,Demand,271.7745338258457
Benin,Benin,2026,dry,2,t12,Diesel,137.0
Benin,Benin,2026,dry,2,t12,PV,48.894000000000005
Benin,Benin,2026,dry,2,t12,Imports,340.0
Benin,Benin,2026,dry,2,t12,Exports,-260.517150322346
Benin,Benin,2026,dry,2,t12,Demand,265.376849677654
Benin,Benin,2026,dry,2,t13,Diesel,137.0
Benin,Benin,2026,dry,2,t13,PV,47.328
Benin,Benin,2026,dry,2,t13,Imports,340.0
Benin,Benin,2026,dry,2,t13,Exports,-277.43303770178085
Benin,Benin,2026,dry,2,t13,Demand,246.8949622982192
Benin,Benin,2026,dry,2,t14,Diesel,137.0
Benin,Benin,2026,dry,2,t14,PV,43.5
Benin,Benin,2026,dry,2,t14,Imports,340.0
Benin,Benin,2026,dry,2,t14,Exports,-276.448497346026
Benin,Benin,2026,dry,2,t14,Demand,244.05150265397407
Benin,Benin,2026,dry,2,t15,Diesel,137.0
Benin,Benin,2026,dry,2,t15,PV,35.583
Benin,Benin,2026,dry,2,t15,Imports,340.0
Benin,Benin,2026,dry,2,t15,Exports,-232.27848744685787
Benin,Benin,2026,dry,2,t15,Demand,280.3045125531421
Benin,Benin,2026,dry,2,t16,Diesel,137.0
Benin,Benin,2026,dry,2,t16,PV,22.098
Benin,Benin,2026,dry,2,t16,Imports,340.0
Benin,Benin,2026,dry,2,t16,Exports,-340.0
Benin,Benin,2026,dry,2,t16,Demand,300.2083298574189
Benin,Benin,2026,dry,2,t16,Unmet demand,141.11032985741892
Benin,Benin,2026,dry,2,t17,Diesel,137.0
Benin,Benin,2026,dry,2,t17,PV,8.873999999999999
Benin,Benin,2026,dry,2,t17,Imports,340.0
Benin,Benin,2026,dry,2,t17,Exports,-196.32834365442105
Benin,Benin,2026,dry,2,t17,Demand,289.54565634557895
Benin,Benin,2026,dry,2,t18,Diesel,137.0
Benin,Benin,2026,dry,2,t18,Imports,340.0
Benin,Benin,2026,dry,2,t18,Exports,-179.6351297868262
Benin,Benin,2026,dry,2,t18,Demand,297.3648702131738
Benin,Benin,2026,dry,2,t19,Diesel,137.0
Benin,Benin,2026,dry,2,t19,Imports,340.0
Benin,Benin,2026,dry,2,t19,Exports,-161.15324240739147
Benin,Benin,2026,dry,2,t19,Demand,315.8467575926085
Benin,Benin,2026,dry,2,t20,Diesel,137.0
Benin,Benin,2026,dry,2,t20,Imports,340.0
Benin,Benin,2026,dry,2,t20,Exports,-340.0
Benin,Benin,2026,dry,2,t20,Demand,310.16023850955725
Benin,Benin,2026,dry,2,t20,Unmet demand,173.16023850955725
Benin,Benin,2026,dry,2,t21,Diesel,137.0
Benin,Benin,2026,dry,2,t21,Imports,340.0
Benin,Benin,2026,dry,2,t21,Exports,-176.7916701425811
Benin,Benin,2026,dry,2,t21,Demand,300.2083298574189
Benin,Benin,2026,dry,2,t22,Diesel,137.0
Benin,Benin,2026,dry,2,t22,Imports,340.0
Benin,Benin,2026,dry,2,t22,Exports,-340.0
Benin,Benin,2026,dry,2,t22,Demand,300.2083298574189
Benin,Benin,2026,dry,2,t22,Unmet demand,163.2083298574189
Benin,Benin,2026,dry,2,t23,Diesel,137.0
Benin,Benin,2026,dry,2,t23,Imports,340.0
Benin,Benin,2026,dry,2,t23,Exports,-188.8758733738241
Benin,Benin,2026,dry,2,t23,Demand,288.1241266261759
Benin,Benin,2026,dry,2,t24,Diesel,137.0
Benin,Benin,2026,dry,2,t24,Imports,340.0
Benin,Benin,2026,dry,2,t24,Exports,-200.9604768105061
Benin,Benin,2026,dry,2,t24,Demand,276.0395231894939
Benin,Benin,2026,dry,3,t01,Imports,340.0
Benin,Benin,2026,dry,3,t01,Exports,-340.0
Benin,Benin,2026,dry,3,t01,Demand,242.629972934571
Benin,Benin,2026,dry,3,t01,Unmet demand,242.629972934571
Benin,Benin,2026,dry,3,t02,Diesel,137.0
Benin,Benin,2026,dry,3,t02,Imports,340.0
Benin,Benin,2026,dry,3,t02,Exports,-237.21348670967407
Benin,Benin,2026,dry,3,t02,Demand,239.786513290326
Benin,Benin,2026,dry,3,t03,Diesel,137.0
Benin,Benin,2026,dry,3,t03,Imports,340.0
Benin,Benin,2026,dry,3,t03,Exports,-227.26157805753567
Benin,Benin,2026,dry,3,t03,Demand,249.7384219424644
Benin,Benin,2026,dry,3,t04,Diesel,137.0
Benin,Benin,2026,dry,3,t04,Imports,340.0
Benin,Benin,2026,dry,3,t04,Exports,-223.7073535535891
Benin,Benin,2026,dry,3,t04,Demand,253.2926464464109
Benin,Benin,2026,dry,3,t05,Diesel,137.0
Benin,Benin,2026,dry,3,t05,Imports,340.0
