c,z,attribute,y,uni,value
Benin,Benin,CapexInvestmentComponent,2026,Generation,42680000.0
Benin,Benin,CapexInvestmentComponent,2027,Generation,77242000.0
Benin,Benin,CapexInvestmentComponent,2027,StorageEnergy,1963906.7525
Benin,Benin,CapexInvestmentComponent,2028,Generation,183330000.0
Benin,Benin,CapexInvestmentComponent,2029,Generation,119310000.0
Benin,Benin,CapexInvestmentComponent,2030,Generation,207000000.0
Benin,Benin,CapexInvestmentComponent,2031,Generation,207000000.0
Benin,Benin,CapexInvestmentComponent,2032,Generation,97676542.95930766
Benin,Benin,CapexInvestmentComponent,2033,Generation,23919810.132956803
Benin,Benin,CapexInvestmentComponent,2034,Generation,23919810.13295727
Benin,Benin,CapexInvestmentComponent,2045,Generation,149016209.44986033
Benin,Benin,CapexInvestmentComponent,2050,Generation,180686965.9163271
Benin,Benin,CapexInvestmentComponent,2050,StorageEnergy,79678317.22633043
Benin,Benin,CapexInvestmentComponentCumulated,2026,Generation,42680000.0
Benin,Benin,CapexInvestmentComponentCumulated,2027,Generation,119922000.0
Benin,Benin,CapexInvestmentComponentCumulated,2027,StorageEnergy,1963906.7525
Benin,Benin,CapexInvestmentComponentCumulated,2028,Generation,303252000.0
Benin,Benin,CapexInvestmentComponentCumulated,2029,Generation,422562000.0
Benin,Benin,CapexInvestmentComponentCumulated,2030,Generation,629562000.0
Benin,Benin,CapexInvestmentComponentCumulated,2031,Generation,836562000.0
Benin,Benin,CapexInvestmentComponentCumulated,2032,Generation,934238542.9593076
Benin,Benin,CapexInvestmentComponentCumulated,2033,Generation,958158353.0922644
Benin,Benin,CapexInvestmentComponentCumulated,2034,Generation,982078163.2252218
Benin,Benin,CapexInvestmentComponentCumulated,2045,Generation,1131094372.675082
Benin,Benin,CapexInvestmentComponentCumulated,2050,Generation,1311781338.5914092
Benin,Benin,CapexInvestmentComponentCumulated,2050,StorageEnergy,81642223.97883043
Burkina,Burkina,CapexInvestmentComponent,2026,Generation,181392000.0
Burkina,Burkina,CapexInvestmentComponent,2026,StorageEnergy,12457234.7295
Burkina,Burkina,CapexInvestmentComponent,2028,Generation,146664000.0
Burkina,Burkina,CapexInvestmentComponent,2028,StorageEnergy,16664469.45075
Burkina,Burkina,CapexInvestmentComponent,2029,Generation,119310000.0
Burkina,Burkina,CapexInvestmentComponent,2030,Generation,116400000.0
Burkina,Burkina,CapexInvestmentComponent,2030,StorageEnergy,17841038.658776645
Burkina,Burkina,CapexInvestmentComponent,2031,Generation,113490000.0
Burkina,Burkina,CapexInvestmentComponent,2031,StorageEnergy,33497939.44596032
Burkina,Burkina,CapexInvestmentComponent,2032,Generation,178004460.5760001
Burkina,Burkina,CapexInvestmentComponent,2033,Generation,406145385.8178042
Burkina,Burkina,CapexInvestmentComponent,2033,StorageEnergy,111543409.36801258
Burkina,Burkina,CapexInvestmentComponent,2034,Generation,166502932.90712467
Burkina,Burkina,CapexInvestmentComponent,2034,StorageEnergy,1388802.2733354324
Burkina,Burkina,CapexInvestmentComponent,2035,Generation,168249049.0184474
Burkina,Burkina,CapexInvestmentComponent,2040,Generation,862582977.128245
Burkina,Burkina,CapexInvestmentComponent,2040,StorageEnergy,76232826.92647429
Burkina,Burkina,CapexInvestmentComponent,2045,Generation,675141653.5732203
Burkina,Burkina,CapexInvestmentComponent,2045,StorageEnergy,184680064.0520801
Burkina,Burkina,CapexInvestmentComponent,2050,Generation,368828629.5341584
Burkina,Burkina,CapexInvestmentComponent,2050,StorageEnergy,242378791.3874985
Burkina,Burkina,CapexInvestmentComponentCumulated,2026,Generation,181392000.0
Burkina,Burkina,CapexInvestmentComponentCumulated,2026,StorageEnergy,12457234.7295
Burkina,Burkina,CapexInvestmentComponentCumulated,2028,Generation,328056000.0
Burkina,Burkina,CapexInvestmentComponentCumulated,2028,StorageEnergy,29121704.18025
Burkina,Burkina,CapexInvestmentComponentCumulated,2029,Generation,447366000.0
Burkina,Burkina,CapexInvestmentComponentCumulated,2030,Generation,563766000.0
Burkina,Burkina,CapexInvestmentComponentCumulated,2030,StorageEnergy,46962742.839026645
Burkina,Burkina,CapexInvestmentComponentCumulated,2031,Generation,677256000.0
Burkina,Burkina,CapexInvestmentComponentCumulated,2031,StorageEnergy,80460682.28498697
Burkina,Burkina,CapexInvestmentComponentCumulated,2032,Generation,855260460.5760001
Burkina,Burkina,CapexInvestmentComponentCumulated,2033,Generation,1261405846.3938043
Burkina,Burkina,CapexInvestmentComponentCumulated,2033,StorageEnergy,192004091.65299955
Burkina,Burkina,CapexInvestmentComponentCumulated,2034,Generation,1427908779.300929
Burkina,Burkina,CapexInvestmentComponentCumulated,2034,StorageEnergy,193392893.9263349
Burkina,Burkina,CapexInvestmentComponentCumulated,2035,Generation,1596157828.3193765
Burkina,Burkina,CapexInvestmentComponentCumulated,2040,Generation,2458740805.4476213
Burkina,Burkina,CapexInvestmentComponentCumulated,2040,StorageEnergy,269625720.85280925
Burkina,Burkina,CapexInvestmentComponentCumulated,2045,Generation,3133882459.0208416
Burkina,Burkina,CapexInvestmentComponentCumulated,2045,StorageEnergy,454305784.9048894
Burkina,Burkina,CapexInvestmentComponentCumulated,2050,Generation,3502711088.555
Burkina,Burkina,CapexInvestmentComponentCumulated,2050,StorageEnergy,696684576.292388
Gambia,Gambia,CapexInvestmentComponent,2028,Generation,40740000.0
Gambia,Gambia,CapexInvestmentComponent,2028,StorageEnergy,3703215.4335
Gambia,Gambia,CapexInvestmentComponent,2030,Generation,77600000.0
Gambia,Gambia,CapexInvestmentComponent,2030,StorageEnergy,6508038.581
Gambia,Gambia,CapexInvestmentComponent,2040,Generation,202429271.66120404
Gambia,Gambia,CapexInvestmentComponent,2040,StorageEnergy,34868065.85621153
Gambia,Gambia,CapexInvestmentComponent,2045,Generation,248593648.9341257
Gambia,Gambia,CapexInvestmentComponent,2045,StorageEnergy,65160078.41465303
Gambia,Gambia,CapexInvestmentComponent,2050,Generation,285962142.768
Gambia,Gambia,CapexInvestmentComponent,2050,StorageEnergy,44122938.54980043
Gambia,Gambia,CapexInvestmentComponentCumulated,2028,Generation,40740000.0
Gambia,Gambia,CapexInvestmentComponentCumulated,2028,StorageEnergy,3703215.4335
Gambia,Gambia,CapexInvestmentComponentCumulated,2030,Generation,118340000.0
Gambia,Gambia,CapexInvestmentComponentCumulated,2030,StorageEnergy,10211254.0145
Gambia,Gambia,CapexInvestmentComponentCumulated,2040,Generation,320769271.66120404
Gambia,Gambia,CapexInvestmentComponentCumulated,2040,StorageEnergy,45079319.87071153
Gambia,Gambia,CapexInvestmentComponentCumulated,2045,Generation,569362920.5953298
Gambia,Gambia,CapexInvestmentComponentCumulated,2045,StorageEnergy,110239398.28536455
Gambia,Gambia,CapexInvestmentComponentCumulated,2050,Generation,855325063.3633298
Gambia,Gambia,CapexInvestmentComponentCumulated,2050,StorageEnergy,154362336.835165
Ghana,Ghana,CapexInvestmentComponent,2026,Generation,67680000.0
Ghana,Ghana,CapexInvestmentComponent,2028,Generation,397500000.0
Ghana,Ghana,CapexInvestmentComponent,2029,Generation,198850000.0
Ghana,Ghana,CapexInvestmentComponent,2030,Generation,673065000.0
Ghana,Ghana,CapexInvestmentComponent,2031,Generation,668215000.0
Ghana,Ghana,CapexInvestmentComponent,2032,Generation,533952306.7082998
Ghana,Ghana,CapexInvestmentComponent,2033,Generation,242825000.0
Ghana,Ghana,CapexInvestmentComponent,2033,StorageEnergy,10612346.78611376
Ghana,Ghana,CapexInvestmentComponent,2034,Generation,250330000.0
Ghana,Ghana,CapexInvestmentComponent,2034,StorageEnergy,71181671.9625
Ghana,Ghana,CapexInvestmentComponent,2035,Generation,751235000.0
Ghana,Ghana,CapexInvestmentComponent,2035,StorageEnergy,68639469.38749999
Ghana,Ghana,CapexInvestmentComponent,2040,Generation,4311525000.0
Ghana,Ghana,CapexInvestmentComponent,2040,StorageEnergy,279642283.25
Ghana,Ghana,CapexInvestmentComponent,2045,Generation,1755124100.8899996
Ghana,Ghana,CapexInvestmentComponent,2045,StorageEnergy,231867132.0625
Ghana,Ghana,CapexInvestmentComponent,2050,Generation,2131386534.8328004
Ghana,Ghana,CapexInvestmentComponent,2050,StorageEnergy,192254069.56250003
Ghana,Ghana,CapexInvestmentComponentCumulated,2026,Generation,67680000.0
Ghana,Ghana,CapexInvestmentComponentCumulated,2028,Generation,465180000.0
Ghana,Ghana,CapexInvestmentComponentCumulated,2029,Generation,664030000.0
Ghana,Ghana,CapexInvestmentComponentCumulated,2030,Generation,1337095000.0
Ghana,Ghana,CapexInvestmentComponentCumulated,2031,Generation,2005310000.0
Ghana,Ghana,CapexInvestmentComponentCumulated,2032,Generation,2539262306.7083
Ghana,Ghana,CapexInvestmentComponentCumulated,2033,Generation,2782087306.7083
Ghana,Ghana,CapexInvestmentComponentCumulated,2033,StorageEnergy,10612346.78611376
Ghana,Ghana,CapexInvestmentComponentCumulated,2034,Generation,3032417306.7083
