c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,0.0
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-64687.12791794783
System,System,NetPresentCostSystem,Fixed O&M: $m,,20182.37916594494
System,System,NetPresentCostSystem,Fuel costs: $m,,101614.8143649028
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,197692.3685672532
System,System,NetPresentCostSystem,NPV of system cost: $m,,377344.7091173821
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-133005.24064930555
System,System,NetPresentCostSystem,Transmission costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,702.6844699566743
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet demand costs: $m,,205776.67520876104
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,22.64629944850753
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,5263.564478825357
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-22.75707902130281
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,7.100206985536475
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,35.7483232702855
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,69.54862579615713
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,132.75072862327843
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-46.79154677485437
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.2472059979248129
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,72.3927032965
System,System,NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,,0.0079670197561326
System,System,NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Variable O&M: $m,,1.85173397913554
Benin,Benin,CongestionShare,Burkina,2026,1.0
Benin,Benin,CongestionShare,Niger,2026,1.0
Benin,Benin,CongestionShare,Nigeria,2026,0.3480593607305936
Benin,Benin,CongestionShare,Burkina,2027,1.0
Benin,Benin,CongestionShare,Niger,2027,1.0
Benin,Benin,CongestionShare,Nigeria,2027,0.1581050228310502
Benin,Benin,CongestionShare,Burkina,2028,1.0
Benin,Benin,CongestionShare,Niger,2028,1.0
Benin,Benin,CongestionShare,Nigeria,2028,0.2893835616438356
Benin,Benin,CongestionShare,Burkina,2029,1.0
Benin,Benin,CongestionShare,Niger,2029,1.0
Benin,Benin,CongestionShare,Nigeria,2029,0.1938356164383561
Benin,Benin,CongestionShare,Burkina,2030,1.0
Benin,Benin,CongestionShare,Niger,2030,1.0
Benin,Benin,CongestionShare,Nigeria,2030,0.3093607305936073
Benin,Benin,CongestionShare,Burkina,2031,1.0
Benin,Benin,CongestionShare,Niger,2031,1.0
Benin,Benin,CongestionShare,Nigeria,2031,0.9141552511415524
Benin,Benin,CongestionShare,Burkina,2032,1.0
Benin,Benin,CongestionShare,Niger,2032,1.0
Benin,Benin,CongestionShare,Nigeria,2032,0.833675799086758
Benin,Benin,CongestionShare,Togo,2032,0.0347031963470319
Benin,Benin,CongestionShare,Burkina,2033,1.0
Benin,Benin,CongestionShare,Niger,2033,1.0
Benin,Benin,CongestionShare,Nigeria,2033,0.7807077625570776
Benin,Benin,CongestionShare,Togo,2033,0.0616438356164383
Benin,Benin,CongestionShare,Burkina,2034,1.0
Benin,Benin,CongestionShare,Niger,2034,1.0
Benin,Benin,CongestionShare,Nigeria,2034,0.2824200913242009
Benin,Benin,CongestionShare,Togo,2034,0.2257990867579908
Benin,Benin,CongestionShare,Burkina,2035,1.0
Benin,Benin,CongestionShare,Niger,2035,1.0
Benin,Benin,CongestionShare,Nigeria,2035,0.2621004566210045
Benin,Benin,CongestionShare,Togo,2035,0.2408675799086758
Benin,Benin,CongestionShare,Burkina,2040,1.0
Benin,Benin,CongestionShare,Niger,2040,1.0
Benin,Benin,CongestionShare,Nigeria,2040,0.2184931506849315
Benin,Benin,CongestionShare,Togo,2040,0.4450913242009132
Benin,Benin,CongestionShare,Burkina,2045,1.0
Benin,Benin,CongestionShare,Niger,2045,1.0
Benin,Benin,CongestionShare,Nigeria,2045,0.1332191780821917
Benin,Benin,CongestionShare,Togo,2045,0.6259132420091325
Benin,Benin,CongestionShare,Burkina,2050,1.0
Benin,Benin,CongestionShare,Niger,2050,1.0
Benin,Benin,CongestionShare,Togo,2050,0.9866438356164384
Benin,Benin,Interchange,Nigeria,2026,2398.02763500569
Benin,Benin,Interchange,Nigeria,2027,2180.016297849727
Benin,Benin,Interchange,Togo,2027,6.189173555673198
Benin,Benin,Interchange,Nigeria,2028,2072.693852065679
Benin,Benin,Interchange,Togo,2028,19.96367353647341
Benin,Benin,Interchange,Nigeria,2029,1287.1285876837578
Benin,Benin,Interchange,Togo,2029,134.79101001553437
Benin,Benin,Interchange,Nigeria,2030,1738.8650346180298
Benin,Benin,Interchange,Togo,2030,1.0869254041279557
Benin,Benin,Interchange,Nigeria,2031,2879.1015364990985
Benin,Benin,Interchange,Togo,2031,49.3128547682895
Benin,Benin,Interchange,Nigeria,2032,2618.7849257759367
Benin,Benin,Interchange,Togo,2032,336.18278267866134
Benin,Benin,Interchange,Nigeria,2033,2470.698586639045
Benin,Benin,Interchange,Togo,2033,514.8239884221335
Benin,Benin,Interchange,Nigeria,2034,1345.7967110709192
Benin,Benin,Interchange,Togo,2034,1545.3156889863706
Benin,Benin,Interchange,Nigeria,2035,1300.65287055534
Benin,Benin,Interchange,Togo,2035,1615.315271311518
Benin,Benin,Interchange,Nigeria,2040,915.2255112621948
Benin,Benin,Interchange,Togo,2040,1904.009254449724
Benin,Benin,Interchange,Nigeria,2045,511.35173689577135
Benin,Benin,Interchange,Togo,2045,2384.6909294375705
Benin,Benin,Interchange,Togo,2050,2971.247574866251
Benin,Benin,InterconUtilization,Nigeria,2026,0.80513954976017
Benin,Benin,InterconUtilization,Nigeria,2027,0.7319420822756268
Benin,Benin,InterconUtilization,Togo,2027,0.0020780195929603
Benin,Benin,InterconUtilization,Nigeria,2028,0.6959084918297338
Benin,Benin,InterconUtilization,Togo,2028,0.0067028181360708
Benin,Benin,InterconUtilization,Nigeria,2029,0.4321543740544445
Benin,Benin,InterconUtilization,Togo,2029,0.0452561811763142
Benin,Benin,InterconUtilization,Nigeria,2030,0.583825219788487
Benin,Benin,InterconUtilization,Togo,2030,0.0003649360072951
Benin,Benin,InterconUtilization,Nigeria,2031,0.9666604675326008
Benin,Benin,InterconUtilization,Togo,2031,0.0165568274134735
Benin,Benin,InterconUtilization,Nigeria,2032,0.8792589731990118
Benin,Benin,InterconUtilization,Togo,2032,0.1128736176063192
Benin,Benin,InterconUtilization,Nigeria,2033,0.8295388754495856
Benin,Benin,InterconUtilization,Togo,2033,0.172852534388307
Benin,Benin,InterconUtilization,Nigeria,2034,0.4518522398169887
Benin,Benin,InterconUtilization,Togo,2034,0.5188408840271188
Benin,Benin,InterconUtilization,Nigeria,2035,0.4366951620183117
Benin,Benin,InterconUtilization,Togo,2035,0.5423432954980922
Benin,Benin,InterconUtilization,Nigeria,2040,0.307287641439093
Benin,Benin,InterconUtilization,Togo,2040,0.6392725135810247
Benin,Benin,InterconUtilization,Nigeria,2045,0.1716867233735466
Benin,Benin,InterconUtilization,Togo,2045,0.8006617410144945
Benin,Benin,InterconUtilization,Togo,2050,0.9975985679781934
Benin,Benin,NetImport,Nigeria,2026,-2.39802763500569
Benin,Benin,NetImport,Nigeria,2027,-2.180016297849727
Benin,Benin,NetImport,Togo,2027,-0.0061891735556731
Benin,Benin,NetImport,Nigeria,2028,-2.072693852065679
Benin,Benin,NetImport,Togo,2028,-0.0199636735364734
Benin,Benin,NetImport,Nigeria,2029,-1.287128587683758
Benin,Benin,NetImport,Togo,2029,-0.1347910100155343
Benin,Benin,NetImport,Nigeria,2030,-1.73886503461803
Benin,Benin,NetImport,Togo,2030,-0.0010869254041279
Benin,Benin,NetImport,Nigeria,2031,-2.8791015364990984
Benin,Benin,NetImport,Togo,2031,-0.0493128547682895
Benin,Benin,NetImport,Nigeria,2032,-2.6187849257759366
Benin,Benin,NetImport,Togo,2032,-0.3361827826786613
Benin,Benin,NetImport,Nigeria,2033,-2.4706985866390454
Benin,Benin,NetImport,Togo,2033,-0.5148239884221335
Benin,Benin,NetImport,Nigeria,2034,-1.3457967110709192
Benin,Benin,NetImport,Togo,2034,-1.5453156889863706
Benin,Benin,NetImport,Nigeria,2035,-1.30065287055534
Benin,Benin,NetImport,Togo,2035,-1.615315271311518
Benin,Benin,NetImport,Nigeria,2040,-0.9152255112621948
Benin,Benin,NetImport,Togo,2040,-1.904009254449724
Benin,Benin,NetImport,Nigeria,2045,-0.5113517368957714
Benin,Benin,NetImport,Togo,2045,-2.3846909294375704
Benin,Benin,NetImport,Togo,2050,-2.971247574866251
Benin,Benin,TransmissionCapacity,Nigeria,2026,340.0
Benin,Benin,TransmissionCapacity,Togo,2026,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2027,340.0
Benin,Benin,TransmissionCapacity,Togo,2027,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2028,340.0
Benin,Benin,TransmissionCapacity,Togo,2028,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2029,340.0
Benin,Benin,TransmissionCapacity,Togo,2029,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2030,340.0
Benin,Benin,TransmissionCapacity,Togo,2030,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2031,340.0
Benin,Benin,TransmissionCapacity,Togo,2031,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2032,340.0
Benin,Benin,TransmissionCapacity,Togo,2032,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2033,340.0
Benin,Benin,TransmissionCapacity,Togo,2033,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2034,340.0
Benin,Benin,TransmissionCapacity,Togo,2034,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2035,340.0
Benin,Benin,TransmissionCapacity,Togo,2035,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2040,340.0
Benin,Benin,TransmissionCapacity,Togo,2040,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2045,340.0
Benin,Benin,TransmissionCapacity,Togo,2045,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2050,340.0
Benin,Benin,TransmissionCapacity,Togo,2050,340.0
Burkina,Burkina,CongestionShare,Benin,2026,1.0
Burkina,Burkina,CongestionShare,Mali,2026,1.0
Burkina,Burkina,CongestionShare,Benin,2027,1.0
Burkina,Burkina,CongestionShare,Ghana,2027,0.0714611872146118
Burkina,Burkina,CongestionShare,Mali,2027,1.0
Burkina,Burkina,CongestionShare,Benin,2028,1.0
Burkina,Burkina,CongestionShare,Ghana,2028,0.2355022831050228
Burkina,Burkina,CongestionShare,Mali,2028,1.0
Burkina,Burkina,CongestionShare,Benin,2029,1.0
Burkina,Burkina,CongestionShare,Ghana,2029,0.0302511415525114
Burkina,Burkina,CongestionShare,Mali,2029,1.0
Burkina,Burkina,CongestionShare,Benin,2030,1.0
Burkina,Burkina,CongestionShare,Ghana,2030,0.020662100456621
Burkina,Burkina,CongestionShare,IvoryCoast,2030,0.0242009132420091
Burkina,Burkina,CongestionShare,Mali,2030,1.0
Burkina,Burkina,CongestionShare,Benin,2031,1.0
Burkina,Burkina,CongestionShare,Ghana,2031,0.0146118721461187
Burkina,Burkina,CongestionShare,IvoryCoast,2031,0.0242009132420091
Burkina,Burkina,CongestionShare,Mali,2031,1.0
Burkina,Burkina,CongestionShare,Benin,2032,1.0
Burkina,Burkina,CongestionShare,Ghana,2032,0.0424657534246575
Burkina,Burkina,CongestionShare,Mali,2032,1.0
Burkina,Burkina,CongestionShare,Benin,2033,1.0
Burkina,Burkina,CongestionShare,Ghana,2033,0.0558219178082191
Burkina,Burkina,CongestionShare,Mali,2033,1.0
Burkina,Burkina,CongestionShare,Benin,2034,1.0
Burkina,Burkina,CongestionShare,Ghana,2034,0.03162100456621
