c,z,attribute,y,uni,value
Benin,Benin,Costs,2026.0,Carbon costs: $m,0.0
Benin,Benin,Costs,2026.0,Excess generation: $m,0.0
Benin,Benin,Costs,2026.0,Export revenues with external zones: $m,0.0
Benin,Benin,Costs,2026.0,Export revenues with internal zones: $m,-4796.055270011379
Benin,Benin,Costs,2026.0,Fixed O&M: $m,6.411
Benin,Benin,Costs,2026.0,Fuel costs: $m,110.17101599999994
Benin,Benin,Costs,2026.0,Generation costs: $m,0.0
Benin,Benin,Costs,2026.0,Import costs with external zones: $m,0.0
Benin,Benin,Costs,2026.0,Import costs with internal zones: $m,5956.8
Benin,Benin,Costs,2026.0,NPV of system cost: $m,0.0
Benin,Benin,Costs,2026.0,Spinning reserve costs: $m,0.0
Benin,Benin,Costs,2026.0,Startup costs: $m,0.0
Benin,Benin,Costs,2026.0,Trade shared benefits: $m,9.972609404940156e-15
Benin,Benin,Costs,2026.0,Transmission costs: $m,0.0
Benin,Benin,Costs,2026.0,Unmet country CO2 backstop cost: $m,0.0
Benin,Benin,Costs,2026.0,Unmet country planning reserve costs: $m,0.0
Benin,Benin,Costs,2026.0,Unmet country spinning reserve costs: $m,0.0
Benin,Benin,Costs,2026.0,Unmet demand costs: $m,1158.058868011382
Benin,Benin,Costs,2026.0,Unmet system CO2 backstop cost: $m,0.0
Benin,Benin,Costs,2026.0,Unmet system planning reserve costs: $m,0.4389107151778317
Benin,Benin,Costs,2026.0,Unmet system spinning reserve costs: $m,0.0
Benin,Benin,Costs,2026.0,VRE curtailment: $m,0.0
Benin,Benin,Costs,2026.0,Variable O&M: $m,7.650764999999995
Benin,Benin,Costs,2027.0,Carbon costs: $m,0.0
Benin,Benin,Costs,2027.0,Excess generation: $m,0.0
Benin,Benin,Costs,2027.0,Export revenues with external zones: $m,0.0
Benin,Benin,Costs,2027.0,Export revenues with internal zones: $m,-4372.410942810803
Benin,Benin,Costs,2027.0,Fixed O&M: $m,8.5903693
Benin,Benin,Costs,2027.0,Fuel costs: $m,123.18066720000004
Benin,Benin,Costs,2027.0,Generation costs: $m,0.0
Benin,Benin,Costs,2027.0,Import costs with external zones: $m,0.0
Benin,Benin,Costs,2027.0,Import costs with internal zones: $m,5852.740311893775
Benin,Benin,Costs,2027.0,NPV of system cost: $m,0.0
Benin,Benin,Costs,2027.0,Spinning reserve costs: $m,0.0
Benin,Benin,Costs,2027.0,Startup costs: $m,0.0
Benin,Benin,Costs,2027.0,Trade shared benefits: $m,1.1290694601484573e-13
Benin,Benin,Costs,2027.0,Transmission costs: $m,0.0
Benin,Benin,Costs,2027.0,Unmet country CO2 backstop cost: $m,0.0
Benin,Benin,Costs,2027.0,Unmet country planning reserve costs: $m,0.0
Benin,Benin,Costs,2027.0,Unmet country spinning reserve costs: $m,0.0
Benin,Benin,Costs,2027.0,Unmet demand costs: $m,401.877680917028
Benin,Benin,Costs,2027.0,Unmet system CO2 backstop cost: $m,0.0
Benin,Benin,Costs,2027.0,Unmet system planning reserve costs: $m,0.0
Benin,Benin,Costs,2027.0,Unmet system spinning reserve costs: $m,0.0
Benin,Benin,Costs,2027.0,VRE curtailment: $m,0.0
Benin,Benin,Costs,2027.0,Variable O&M: $m,8.276228999999999
Benin,Benin,Costs,2028.0,Carbon costs: $m,0.0
Benin,Benin,Costs,2028.0,Excess generation: $m,0.0
Benin,Benin,Costs,2028.0,Export revenues with external zones: $m,0.0
Benin,Benin,Costs,2028.0,Export revenues with internal zones: $m,-4185.315051204306
Benin,Benin,Costs,2028.0,Fixed O&M: $m,12.4153693
Benin,Benin,Costs,2028.0,Fuel costs: $m,123.18066719999996
Benin,Benin,Costs,2028.0,Generation costs: $m,0.0
Benin,Benin,Costs,2028.0,Import costs with external zones: $m,0.0
Benin,Benin,Costs,2028.0,Import costs with internal zones: $m,5484.33702797311
Benin,Benin,Costs,2028.0,NPV of system cost: $m,0.0
Benin,Benin,Costs,2028.0,Spinning reserve costs: $m,0.0
Benin,Benin,Costs,2028.0,Startup costs: $m,0.0
Benin,Benin,Costs,2028.0,Trade shared benefits: $m,-2.667093212949112e-15
Benin,Benin,Costs,2028.0,Transmission costs: $m,0.0
Benin,Benin,Costs,2028.0,Unmet country CO2 backstop cost: $m,0.0
Benin,Benin,Costs,2028.0,Unmet country planning reserve costs: $m,0.0
Benin,Benin,Costs,2028.0,Unmet country spinning reserve costs: $m,0.0
Benin,Benin,Costs,2028.0,Unmet demand costs: $m,327.0810632311972
Benin,Benin,Costs,2028.0,Unmet system CO2 backstop cost: $m,0.0
Benin,Benin,Costs,2028.0,Unmet system planning reserve costs: $m,0.0
Benin,Benin,Costs,2028.0,Unmet system spinning reserve costs: $m,0.0
Benin,Benin,Costs,2028.0,VRE curtailment: $m,0.0
Benin,Benin,Costs,2028.0,Variable O&M: $m,8.276228999999997
Benin,Benin,Costs,2029.0,Carbon costs: $m,0.0
Benin,Benin,Costs,2029.0,Excess generation: $m,0.0
Benin,Benin,Costs,2029.0,Export revenues with external zones: $m,0.0
Benin,Benin,Costs,2029.0,Export revenues with internal zones: $m,-2258.3036948235863
Benin,Benin,Costs,2029.0,Fixed O&M: $m,14.9653693
Benin,Benin,Costs,2029.0,Fuel costs: $m,123.18066720000004
Benin,Benin,Costs,2029.0,Generation costs: $m,0.0
Benin,Benin,Costs,2029.0,Import costs with external zones: $m,0.0
Benin,Benin,Costs,2029.0,Import costs with internal zones: $m,3108.810299288555
Benin,Benin,Costs,2029.0,NPV of system cost: $m,0.0
Benin,Benin,Costs,2029.0,Spinning reserve costs: $m,0.0
Benin,Benin,Costs,2029.0,Startup costs: $m,0.0
Benin,Benin,Costs,2029.0,Trade shared benefits: $m,-3.17345438816119e-14
Benin,Benin,Costs,2029.0,Transmission costs: $m,0.0
Benin,Benin,Costs,2029.0,Unmet country CO2 backstop cost: $m,0.0
Benin,Benin,Costs,2029.0,Unmet country planning reserve costs: $m,0.0
Benin,Benin,Costs,2029.0,Unmet country spinning reserve costs: $m,0.0
Benin,Benin,Costs,2029.0,Unmet demand costs: $m,207.3262876551016
Benin,Benin,Costs,2029.0,Unmet system CO2 backstop cost: $m,0.0
Benin,Benin,Costs,2029.0,Unmet system planning reserve costs: $m,0.0
Benin,Benin,Costs,2029.0,Unmet system spinning reserve costs: $m,0.0
Benin,Benin,Costs,2029.0,VRE curtailment: $m,0.0
Benin,Benin,Costs,2029.0,Variable O&M: $m,8.276228999999995
Benin,Benin,Costs,2030.0,Carbon costs: $m,0.0
Benin,Benin,Costs,2030.0,Excess generation: $m,0.0
Benin,Benin,Costs,2030.0,Export revenues with external zones: $m,0.0
Benin,Benin,Costs,2030.0,Export revenues with internal zones: $m,-120.12454336796948
Benin,Benin,Costs,2030.0,Fixed O&M: $m,22.4653693
Benin,Benin,Costs,2030.0,Fuel costs: $m,90.4480512
Benin,Benin,Costs,2030.0,Generation costs: $m,0.0
Benin,Benin,Costs,2030.0,Import costs with external zones: $m,0.0
Benin,Benin,Costs,2030.0,Import costs with internal zones: $m,133.83361752893063
Benin,Benin,Costs,2030.0,NPV of system cost: $m,0.0
Benin,Benin,Costs,2030.0,Spinning reserve costs: $m,0.0
Benin,Benin,Costs,2030.0,Startup costs: $m,0.0
Benin,Benin,Costs,2030.0,Trade shared benefits: $m,-2.536637566663557e-16
Benin,Benin,Costs,2030.0,Transmission costs: $m,0.0
Benin,Benin,Costs,2030.0,Unmet country CO2 backstop cost: $m,0.0
Benin,Benin,Costs,2030.0,Unmet country planning reserve costs: $m,0.0
Benin,Benin,Costs,2030.0,Unmet country spinning reserve costs: $m,0.0
Benin,Benin,Costs,2030.0,Unmet demand costs: $m,0.0
Benin,Benin,Costs,2030.0,Unmet system CO2 backstop cost: $m,0.0
Benin,Benin,Costs,2030.0,Unmet system planning reserve costs: $m,0.0
Benin,Benin,Costs,2030.0,Unmet system spinning reserve costs: $m,0.0
Benin,Benin,Costs,2030.0,VRE curtailment: $m,0.0
Benin,Benin,Costs,2030.0,Variable O&M: $m,4.348464
