c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,0.0
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-66302.37725523846
System,System,NetPresentCostSystem,Fixed O&M: $m,,19708.826593019578
System,System,NetPresentCostSystem,Fuel costs: $m,,99327.36580539485
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,204874.1459320684
System,System,NetPresentCostSystem,NPV of system cost: $m,,378524.3631429944
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-138571.7686768299
System,System,NetPresentCostSystem,Transmission costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,413.94271860183454
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,370.7754008644681
System,System,NetPresentCostSystem,Unmet demand costs: $m,,207274.3861974844
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,5107.55635792839
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-23.347210993627865
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,6.940115150512139
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,34.97637736234546
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,72.14281161898143
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,133.2906682743395
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-48.79560062535354
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.1457626165238198
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.1305620080846459
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,72.98801383090724
System,System,NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Variable O&M: $m,,1.798535752215099
Benin,Benin,CongestionShare,Burkina,2026,1.0
Benin,Benin,CongestionShare,Niger,2026,1.0
Benin,Benin,CongestionShare,Nigeria,2026,0.4587899543378995
Benin,Benin,CongestionShare,Burkina,2027,1.0
Benin,Benin,CongestionShare,Niger,2027,1.0
Benin,Benin,CongestionShare,Nigeria,2027,0.2718036529680365
Benin,Benin,CongestionShare,Burkina,2028,1.0
Benin,Benin,CongestionShare,Niger,2028,1.0
Benin,Benin,CongestionShare,Nigeria,2028,0.2602739726027397
Benin,Benin,CongestionShare,Burkina,2029,1.0
Benin,Benin,CongestionShare,Niger,2029,1.0
Benin,Benin,CongestionShare,Nigeria,2029,0.2308219178082191
Benin,Benin,CongestionShare,Burkina,2030,1.0
Benin,Benin,CongestionShare,Niger,2030,1.0
Benin,Benin,CongestionShare,Nigeria,2030,0.465296803652968
Benin,Benin,CongestionShare,Burkina,2031,1.0
Benin,Benin,CongestionShare,Niger,2031,1.0
Benin,Benin,CongestionShare,Nigeria,2031,0.7280821917808219
Benin,Benin,CongestionShare,Togo,2031,0.0036529680365296
Benin,Benin,CongestionShare,Burkina,2032,1.0
Benin,Benin,CongestionShare,Niger,2032,1.0
Benin,Benin,CongestionShare,Nigeria,2032,0.7039954337899543
Benin,Benin,CongestionShare,Burkina,2033,1.0
Benin,Benin,CongestionShare,Niger,2033,1.0
Benin,Benin,CongestionShare,Nigeria,2033,0.6638127853881278
Benin,Benin,CongestionShare,Togo,2033,0.0079908675799086
Benin,Benin,CongestionShare,Burkina,2034,1.0
Benin,Benin,CongestionShare,Niger,2034,1.0
Benin,Benin,CongestionShare,Nigeria,2034,0.6142694063926941
Benin,Benin,CongestionShare,Togo,2034,0.1187214611872146
Benin,Benin,CongestionShare,Burkina,2035,1.0
Benin,Benin,CongestionShare,Niger,2035,1.0
Benin,Benin,CongestionShare,Nigeria,2035,0.4621004566210046
Benin,Benin,CongestionShare,Togo,2035,0.2213470319634703
Benin,Benin,CongestionShare,Burkina,2040,1.0
Benin,Benin,CongestionShare,Niger,2040,1.0
Benin,Benin,CongestionShare,Nigeria,2040,0.2433789954337899
Benin,Benin,CongestionShare,Togo,2040,0.4613013698630137
Benin,Benin,CongestionShare,Burkina,2045,1.0
Benin,Benin,CongestionShare,Niger,2045,1.0
Benin,Benin,CongestionShare,Nigeria,2045,0.093607305936073
Benin,Benin,CongestionShare,Togo,2045,0.6566210045662101
Benin,Benin,CongestionShare,Burkina,2050,1.0
Benin,Benin,CongestionShare,Niger,2050,1.0
Benin,Benin,CongestionShare,Togo,2050,0.9889269406392694
Benin,Benin,Interchange,Nigeria,2026,2448.160296909741
Benin,Benin,Interchange,Nigeria,2027,2149.894114416452
Benin,Benin,Interchange,Togo,2027,56.4310847395711
Benin,Benin,Interchange,Nigeria,2028,2053.2344498836705
Benin,Benin,Interchange,Togo,2028,90.11454986010192
Benin,Benin,Interchange,Nigeria,2029,1498.2949910167324
Benin,Benin,Interchange,Togo,2029,157.02066080846157
Benin,Benin,Interchange,Nigeria,2030,1891.401671180344
Benin,Benin,Interchange,Togo,2030,86.68715376347447
Benin,Benin,Interchange,Nigeria,2031,2489.326489049005
Benin,Benin,Interchange,Togo,2031,139.37455255823852
Benin,Benin,Interchange,Nigeria,2032,2514.0771653381485
Benin,Benin,Interchange,Togo,2032,289.1220482850671
Benin,Benin,Interchange,Nigeria,2033,2442.498000661028
Benin,Benin,Interchange,Togo,2033,372.0827190789103
Benin,Benin,Interchange,Nigeria,2034,2201.9521944569474
Benin,Benin,Interchange,Togo,2034,806.6513450078969
Benin,Benin,Interchange,Nigeria,2035,1772.4011517028152
Benin,Benin,Interchange,Togo,2035,1303.4343783370216
Benin,Benin,Interchange,Nigeria,2040,1026.6236791146086
Benin,Benin,Interchange,Togo,2040,1891.248097513188
Benin,Benin,Interchange,Nigeria,2045,514.3027659471031
Benin,Benin,Interchange,Togo,2045,2422.311157111616
Benin,Benin,Interchange,Nigeria,2050,6.851002887364339
Benin,Benin,Interchange,Togo,2050,2960.836299913431
Benin,Benin,InterconUtilization,Nigeria,2026,0.8219716280250272
Benin,Benin,InterconUtilization,Nigeria,2027,0.7218285369381049
Benin,Benin,InterconUtilization,Togo,2027,0.0189467783842234
Benin,Benin,InterconUtilization,Nigeria,2028,0.6893749831734054
Benin,Benin,InterconUtilization,Togo,2028,0.0302560266787879
Benin,Benin,InterconUtilization,Nigeria,2029,0.5030536499518977
Benin,Benin,InterconUtilization,Togo,2029,0.0527198028500072
Benin,Benin,InterconUtilization,Nigeria,2030,0.6350395081857183
Benin,Benin,InterconUtilization,Togo,2030,0.0291052759076935
Benin,Benin,InterconUtilization,Nigeria,2031,0.8357932074432598
Benin,Benin,InterconUtilization,Togo,2031,0.0467951089706683
Benin,Benin,InterconUtilization,Nigeria,2032,0.844103265289467
Benin,Benin,InterconUtilization,Togo,2032,0.097072941272182
Benin,Benin,InterconUtilization,Nigeria,2033,0.8200705078770575
Benin,Benin,InterconUtilization,Togo,2033,0.1249270477702492
Benin,Benin,InterconUtilization,Nigeria,2034,0.7393070757644868
Benin,Benin,InterconUtilization,Togo,2034,0.2708337849207282
Benin,Benin,InterconUtilization,Nigeria,2035,0.5950849958712111
Benin,Benin,InterconUtilization,Togo,2035,0.4376290553105767
Benin,Benin,InterconUtilization,Nigeria,2040,0.3446896585799787
Benin,Benin,InterconUtilization,Togo,2040,0.6349879457135335
Benin,Benin,InterconUtilization,Nigeria,2045,0.1726775335573137
Benin,Benin,InterconUtilization,Togo,2045,0.8132927602442975
Benin,Benin,InterconUtilization,Nigeria,2050,0.0023002292799369
Benin,Benin,InterconUtilization,Togo,2050,0.9941029747224788
Benin,Benin,NetImport,Nigeria,2026,-2.4481602969097414
Benin,Benin,NetImport,Nigeria,2027,-2.149894114416452
Benin,Benin,NetImport,Togo,2027,-0.0564310847395711
Benin,Benin,NetImport,Nigeria,2028,-2.0532344498836705
Benin,Benin,NetImport,Togo,2028,-0.0901145498601019
Benin,Benin,NetImport,Nigeria,2029,-1.4982949910167325
Benin,Benin,NetImport,Togo,2029,-0.1570206608084615
Benin,Benin,NetImport,Nigeria,2030,-1.891401671180344
Benin,Benin,NetImport,Togo,2030,-0.0866871537634744
Benin,Benin,NetImport,Nigeria,2031,-2.489326489049005
Benin,Benin,NetImport,Togo,2031,-0.1393745525582385
Benin,Benin,NetImport,Nigeria,2032,-2.5140771653381484
Benin,Benin,NetImport,Togo,2032,-0.2891220482850671
Benin,Benin,NetImport,Nigeria,2033,-2.442498000661028
Benin,Benin,NetImport,Togo,2033,-0.3720827190789103
Benin,Benin,NetImport,Nigeria,2034,-2.201952194456948
Benin,Benin,NetImport,Togo,2034,-0.8066513450078969
Benin,Benin,NetImport,Nigeria,2035,-1.772401151702815
Benin,Benin,NetImport,Togo,2035,-1.3034343783370217
Benin,Benin,NetImport,Nigeria,2040,-1.0266236791146086
Benin,Benin,NetImport,Togo,2040,-1.891248097513188
Benin,Benin,NetImport,Nigeria,2045,-0.5143027659471031
Benin,Benin,NetImport,Togo,2045,-2.4223111571116163
Benin,Benin,NetImport,Nigeria,2050,-0.0068510028873643
Benin,Benin,NetImport,Togo,2050,-2.960836299913431
Benin,Benin,TransmissionCapacity,Nigeria,2026,340.0
Benin,Benin,TransmissionCapacity,Togo,2026,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2027,340.0
Benin,Benin,TransmissionCapacity,Togo,2027,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2028,340.0
Benin,Benin,TransmissionCapacity,Togo,2028,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2029,340.0
Benin,Benin,TransmissionCapacity,Togo,2029,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2030,340.0
Benin,Benin,TransmissionCapacity,Togo,2030,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2031,340.0
Benin,Benin,TransmissionCapacity,Togo,2031,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2032,340.0
Benin,Benin,TransmissionCapacity,Togo,2032,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2033,340.0
Benin,Benin,TransmissionCapacity,Togo,2033,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2034,340.0
Benin,Benin,TransmissionCapacity,Togo,2034,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2035,340.0
Benin,Benin,TransmissionCapacity,Togo,2035,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2040,340.0
Benin,Benin,TransmissionCapacity,Togo,2040,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2045,340.0
Benin,Benin,TransmissionCapacity,Togo,2045,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2050,340.0
Benin,Benin,TransmissionCapacity,Togo,2050,340.0
Burkina,Burkina,CongestionShare,Benin,2026,1.0
Burkina,Burkina,CongestionShare,Ghana,2026,0.0070776255707762
Burkina,Burkina,CongestionShare,IvoryCoast,2026,0.0598173515981735
Burkina,Burkina,CongestionShare,Mali,2026,1.0
Burkina,Burkina,CongestionShare,Benin,2027,1.0
Burkina,Burkina,CongestionShare,Ghana,2027,0.3803652968036529
Burkina,Burkina,CongestionShare,Mali,2027,1.0
Burkina,Burkina,CongestionShare,Benin,2028,1.0
Burkina,Burkina,CongestionShare,Ghana,2028,0.4035388127853881
Burkina,Burkina,CongestionShare,Mali,2028,1.0
Burkina,Burkina,CongestionShare,Benin,2029,1.0
Burkina,Burkina,CongestionShare,Ghana,2029,0.0594748858447488
Burkina,Burkina,CongestionShare,IvoryCoast,2029,0.010958904109589
Burkina,Burkina,CongestionShare,Mali,2029,1.0
Burkina,Burkina,CongestionShare,Benin,2030,1.0
Burkina,Burkina,CongestionShare,Ghana,2030,0.0776255707762557
Burkina,Burkina,CongestionShare,Mali,2030,1.0
Burkina,Burkina,CongestionShare,Benin,2031,1.0
Burkina,Burkina,CongestionShare,Ghana,2031,0.0662100456621004
Burkina,Burkina,CongestionShare,IvoryCoast,2031,0.0527397260273972
Burkina,Burkina,CongestionShare,Mali,2031,1.0
Burkina,Burkina,CongestionShare,Benin,2032,1.0
Burkina,Burkina,CongestionShare,Ghana,2032,0.0914383561643835
