c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,0.0
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-68832.67859693938
System,System,NetPresentCostSystem,Fixed O&M: $m,,20426.119751832528
System,System,NetPresentCostSystem,Fuel costs: $m,,100314.4678466464
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,203866.15170775543
System,System,NetPresentCostSystem,NPV of system cost: $m,,377239.4498879674
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-135033.47311081627
System,System,NetPresentCostSystem,Transmission costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,390.7254118206123
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet demand costs: $m,,206168.92286446755
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,5166.621697067036
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-24.23821191618504
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,7.192697266212503
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,35.323967910126605
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,71.78786425797209
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,132.83820876812698
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-47.54965234178712
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.1375870520483823
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,72.59874444494984
System,System,NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Variable O&M: $m,,1.819334568070095
Benin,Benin,CongestionShare,Burkina,2026,1.0
Benin,Benin,CongestionShare,Niger,2026,1.0
Benin,Benin,CongestionShare,Nigeria,2026,0.4840182648401826
Benin,Benin,CongestionShare,Burkina,2027,1.0
Benin,Benin,CongestionShare,Niger,2027,1.0
Benin,Benin,CongestionShare,Nigeria,2027,0.3175799086757991
Benin,Benin,CongestionShare,Burkina,2028,1.0
Benin,Benin,CongestionShare,Niger,2028,1.0
Benin,Benin,CongestionShare,Nigeria,2028,0.3567351598173516
Benin,Benin,CongestionShare,Burkina,2029,1.0
Benin,Benin,CongestionShare,Niger,2029,1.0
Benin,Benin,CongestionShare,Nigeria,2029,0.2030821917808219
Benin,Benin,CongestionShare,Burkina,2030,1.0
Benin,Benin,CongestionShare,Niger,2030,1.0
Benin,Benin,CongestionShare,Nigeria,2030,0.4534246575342466
Benin,Benin,CongestionShare,Burkina,2031,1.0
Benin,Benin,CongestionShare,Niger,2031,1.0
Benin,Benin,CongestionShare,Nigeria,2031,0.7787671232876713
Benin,Benin,CongestionShare,Burkina,2032,1.0
Benin,Benin,CongestionShare,Niger,2032,1.0
Benin,Benin,CongestionShare,Nigeria,2032,0.7367579908675799
Benin,Benin,CongestionShare,Togo,2032,0.0079908675799086
Benin,Benin,CongestionShare,Burkina,2033,1.0
Benin,Benin,CongestionShare,Niger,2033,1.0
Benin,Benin,CongestionShare,Nigeria,2033,0.5889269406392694
Benin,Benin,CongestionShare,Togo,2033,0.0515981735159817
Benin,Benin,CongestionShare,Burkina,2034,1.0
Benin,Benin,CongestionShare,Niger,2034,1.0
Benin,Benin,CongestionShare,Nigeria,2034,0.4105022831050228
Benin,Benin,CongestionShare,Togo,2034,0.2745433789954338
Benin,Benin,CongestionShare,Burkina,2035,1.0
Benin,Benin,CongestionShare,Niger,2035,1.0
Benin,Benin,CongestionShare,Nigeria,2035,0.4180365296803653
Benin,Benin,CongestionShare,Togo,2035,0.35
Benin,Benin,CongestionShare,Burkina,2040,1.0
Benin,Benin,CongestionShare,Niger,2040,1.0
Benin,Benin,CongestionShare,Nigeria,2040,0.2641552511415525
Benin,Benin,CongestionShare,Togo,2040,0.4203196347031963
Benin,Benin,CongestionShare,Burkina,2045,1.0
Benin,Benin,CongestionShare,Niger,2045,1.0
Benin,Benin,CongestionShare,Nigeria,2045,0.1410958904109589
Benin,Benin,CongestionShare,Togo,2045,0.6351598173515982
Benin,Benin,CongestionShare,Burkina,2050,1.0
Benin,Benin,CongestionShare,Niger,2050,1.0
Benin,Benin,CongestionShare,Togo,2050,0.9828767123287672
Benin,Benin,Interchange,Nigeria,2026,2487.9221796678626
Benin,Benin,Interchange,Nigeria,2027,2130.7416035714405
Benin,Benin,Interchange,Togo,2027,52.8077473176976
Benin,Benin,Interchange,Nigeria,2028,2094.8811173583304
Benin,Benin,Interchange,Togo,2028,85.28218756735575
Benin,Benin,Interchange,Nigeria,2029,1529.7172629614502
Benin,Benin,Interchange,Togo,2029,180.8037970693492
Benin,Benin,Interchange,Nigeria,2030,1882.1185285728247
Benin,Benin,Interchange,Togo,2030,70.13549664046946
Benin,Benin,Interchange,Nigeria,2031,2609.3769345444125
Benin,Benin,Interchange,Togo,2031,94.13096355618052
Benin,Benin,Interchange,Nigeria,2032,2545.658724465031
Benin,Benin,Interchange,Togo,2032,313.1464026769492
Benin,Benin,Interchange,Nigeria,2033,2295.657259724273
Benin,Benin,Interchange,Togo,2033,588.0067222191475
Benin,Benin,Interchange,Nigeria,2034,1703.4274564075972
Benin,Benin,Interchange,Togo,2034,1388.8369656510206
Benin,Benin,Interchange,Nigeria,2035,1640.2384636133283
Benin,Benin,Interchange,Togo,2035,1540.141444647729
Benin,Benin,Interchange,Nigeria,2040,1135.1761283843584
Benin,Benin,Interchange,Togo,2040,1913.8743723508355
Benin,Benin,Interchange,Nigeria,2045,695.0599659856555
Benin,Benin,Interchange,Togo,2045,2425.443897381808
Benin,Benin,Interchange,Togo,2050,2950.2517730414343
Benin,Benin,InterconUtilization,Nigeria,2026,0.8353217095312458
Benin,Benin,InterconUtilization,Nigeria,2027,0.7153980672748592
Benin,Benin,InterconUtilization,Togo,2027,0.0177302401684453
Benin,Benin,InterconUtilization,Nigeria,2028,0.703357882540401
Benin,Benin,InterconUtilization,Togo,2028,0.0286335574695661
Benin,Benin,InterconUtilization,Nigeria,2029,0.513603700967449
Benin,Benin,InterconUtilization,Togo,2029,0.0607050084170525
Benin,Benin,InterconUtilization,Nigeria,2030,0.6319226861982358
Benin,Benin,InterconUtilization,Togo,2030,0.0235480448027361
Benin,Benin,InterconUtilization,Nigeria,2031,0.8761002331937995
Benin,Benin,InterconUtilization,Togo,2031,0.0316045405439768
Benin,Benin,InterconUtilization,Nigeria,2032,0.8547067970940877
Benin,Benin,InterconUtilization,Togo,2032,0.1051391360048849
Benin,Benin,InterconUtilization,Nigeria,2033,0.77076862064339
Benin,Benin,InterconUtilization,Togo,2033,0.1974236913171996
Benin,Benin,InterconUtilization,Nigeria,2034,0.5719270267283096
Benin,Benin,InterconUtilization,Togo,2034,0.4663030370840118
Benin,Benin,InterconUtilization,Nigeria,2035,0.5507112757229816
Benin,Benin,InterconUtilization,Togo,2035,0.5171036276684559
Benin,Benin,InterconUtilization,Nigeria,2040,0.3811362236047403
Benin,Benin,InterconUtilization,Togo,2040,0.6425847342032083
Benin,Benin,InterconUtilization,Nigeria,2045,0.2333668969868571
Benin,Benin,InterconUtilization,Togo,2045,0.8143445801040181
Benin,Benin,InterconUtilization,Togo,2050,0.990549212006928
Benin,Benin,NetImport,Nigeria,2026,-2.4879221796678626
Benin,Benin,NetImport,Nigeria,2027,-2.1307416035714404
Benin,Benin,NetImport,Togo,2027,-0.0528077473176976
Benin,Benin,NetImport,Nigeria,2028,-2.0948811173583306
Benin,Benin,NetImport,Togo,2028,-0.0852821875673557
Benin,Benin,NetImport,Nigeria,2029,-1.5297172629614502
Benin,Benin,NetImport,Togo,2029,-0.1808037970693491
Benin,Benin,NetImport,Nigeria,2030,-1.8821185285728248
Benin,Benin,NetImport,Togo,2030,-0.0701354966404694
Benin,Benin,NetImport,Nigeria,2031,-2.6093769345444127
Benin,Benin,NetImport,Togo,2031,-0.0941309635561805
Benin,Benin,NetImport,Nigeria,2032,-2.545658724465031
Benin,Benin,NetImport,Togo,2032,-0.3131464026769492
Benin,Benin,NetImport,Nigeria,2033,-2.295657259724273
Benin,Benin,NetImport,Togo,2033,-0.5880067222191475
Benin,Benin,NetImport,Nigeria,2034,-1.7034274564075973
Benin,Benin,NetImport,Togo,2034,-1.3888369656510209
Benin,Benin,NetImport,Nigeria,2035,-1.6402384636133285
Benin,Benin,NetImport,Togo,2035,-1.540141444647729
Benin,Benin,NetImport,Nigeria,2040,-1.1351761283843584
Benin,Benin,NetImport,Togo,2040,-1.913874372350836
Benin,Benin,NetImport,Nigeria,2045,-0.6950599659856554
Benin,Benin,NetImport,Togo,2045,-2.425443897381808
Benin,Benin,NetImport,Togo,2050,-2.950251773041434
Benin,Benin,TransmissionCapacity,Nigeria,2026,340.0
Benin,Benin,TransmissionCapacity,Togo,2026,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2027,340.0
Benin,Benin,TransmissionCapacity,Togo,2027,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2028,340.0
Benin,Benin,TransmissionCapacity,Togo,2028,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2029,340.0
Benin,Benin,TransmissionCapacity,Togo,2029,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2030,340.0
Benin,Benin,TransmissionCapacity,Togo,2030,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2031,340.0
Benin,Benin,TransmissionCapacity,Togo,2031,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2032,340.0
Benin,Benin,TransmissionCapacity,Togo,2032,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2033,340.0
Benin,Benin,TransmissionCapacity,Togo,2033,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2034,340.0
Benin,Benin,TransmissionCapacity,Togo,2034,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2035,340.0
Benin,Benin,TransmissionCapacity,Togo,2035,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2040,340.0
Benin,Benin,TransmissionCapacity,Togo,2040,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2045,340.0
Benin,Benin,TransmissionCapacity,Togo,2045,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2050,340.0
Benin,Benin,TransmissionCapacity,Togo,2050,340.0
Burkina,Burkina,CongestionShare,Benin,2026,1.0
Burkina,Burkina,CongestionShare,Ghana,2026,0.0070776255707762
Burkina,Burkina,CongestionShare,Mali,2026,1.0
Burkina,Burkina,CongestionShare,Benin,2027,1.0
Burkina,Burkina,CongestionShare,Ghana,2027,0.101255707762557
Burkina,Burkina,CongestionShare,Mali,2027,1.0
Burkina,Burkina,CongestionShare,Benin,2028,1.0
Burkina,Burkina,CongestionShare,Ghana,2028,0.4438356164383562
Burkina,Burkina,CongestionShare,Mali,2028,1.0
Burkina,Burkina,CongestionShare,Benin,2029,1.0
Burkina,Burkina,CongestionShare,Ghana,2029,0.0962328767123287
Burkina,Burkina,CongestionShare,Mali,2029,1.0
Burkina,Burkina,CongestionShare,Benin,2030,1.0
Burkina,Burkina,CongestionShare,Ghana,2030,0.0847031963470319
Burkina,Burkina,CongestionShare,IvoryCoast,2030,0.0070776255707762
Burkina,Burkina,CongestionShare,Mali,2030,1.0
Burkina,Burkina,CongestionShare,Benin,2031,1.0
Burkina,Burkina,CongestionShare,Ghana,2031,0.0684931506849315
Burkina,Burkina,CongestionShare,IvoryCoast,2031,0.0662100456621004
Burkina,Burkina,CongestionShare,Mali,2031,1.0
Burkina,Burkina,CongestionShare,Benin,2032,1.0
Burkina,Burkina,CongestionShare,Ghana,2032,0.1134703196347031
Burkina,Burkina,CongestionShare,IvoryCoast,2032,0.0141552511415525
Burkina,Burkina,CongestionShare,Mali,2032,1.0
Burkina,Burkina,CongestionShare,Benin,2033,1.0
Burkina,Burkina,CongestionShare,Ghana,2033,0.110958904109589
