c,z,attribute,y,uni,value
Benin,Benin,CongestionShare,2026,Burkina,1.0
Benin,Benin,CongestionShare,2026,Niger,1.0
Benin,Benin,CongestionShare,2026,Nigeria,0.4944063926940639
Benin,Benin,CongestionShare,2027,Burkina,1.0
Benin,Benin,CongestionShare,2027,Niger,1.0
Benin,Benin,CongestionShare,2027,Nigeria,0.3055936073059361
Benin,Benin,CongestionShare,2028,Burkina,1.0
Benin,Benin,CongestionShare,2028,Niger,1.0
Benin,Benin,CongestionShare,2028,Nigeria,0.3567351598173516
Benin,Benin,CongestionShare,2029,Burkina,1.0
Benin,Benin,CongestionShare,2029,Niger,1.0
Benin,Benin,CongestionShare,2029,Nigeria,0.2139269406392694
Benin,Benin,CongestionShare,2030,Burkina,1.0
Benin,Benin,CongestionShare,2030,Niger,1.0
Benin,Benin,CongestionShare,2030,Nigeria,0.4534246575342466
Benin,Benin,CongestionShare,2031,Burkina,1.0
Benin,Benin,CongestionShare,2031,Niger,1.0
Benin,Benin,CongestionShare,2031,Nigeria,0.7735159817351598
Benin,Benin,CongestionShare,2032,Burkina,1.0
Benin,Benin,CongestionShare,2032,Niger,1.0
Benin,Benin,CongestionShare,2032,Nigeria,0.7210045662100457
Benin,Benin,CongestionShare,2032,Togo,0.0086757990867579
Benin,Benin,CongestionShare,2033,Burkina,1.0
Benin,Benin,CongestionShare,2033,Niger,1.0
Benin,Benin,CongestionShare,2033,Nigeria,0.6007990867579909
Benin,Benin,CongestionShare,2033,Togo,0.0423515981735159
Benin,Benin,CongestionShare,2034,Burkina,1.0
Benin,Benin,CongestionShare,2034,Niger,1.0
Benin,Benin,CongestionShare,2034,Nigeria,0.4037671232876712
Benin,Benin,CongestionShare,2034,Togo,0.2557077625570776
Benin,Benin,CongestionShare,2035,Burkina,1.0
Benin,Benin,CongestionShare,2035,Niger,1.0
Benin,Benin,CongestionShare,2035,Nigeria,0.4055936073059361
Benin,Benin,CongestionShare,2035,Togo,0.3350456621004566
Benin,Benin,CongestionShare,2040,Burkina,1.0
Benin,Benin,CongestionShare,2040,Niger,1.0
Benin,Benin,CongestionShare,2040,Nigeria,0.2651826484018265
Benin,Benin,CongestionShare,2040,Togo,0.4124429223744292
Benin,Benin,CongestionShare,2045,Burkina,1.0
Benin,Benin,CongestionShare,2045,Niger,1.0
Benin,Benin,CongestionShare,2045,Nigeria,0.1417808219178082
Benin,Benin,CongestionShare,2045,Togo,0.6280821917808219
Benin,Benin,CongestionShare,2050,Burkina,1.0
Benin,Benin,CongestionShare,2050,Niger,1.0
Benin,Benin,CongestionShare,2050,Togo,0.9828767123287672
Benin,Benin,Interchange,2026,Nigeria,2508.187619235009
Benin,Benin,Interchange,2027,Nigeria,2129.4978935089084
Benin,Benin,Interchange,2027,Togo,55.138588364725535
Benin,Benin,Interchange,2028,Nigeria,2078.5279453205967
Benin,Benin,Interchange,2028,Togo,78.33972110369442
Benin,Benin,Interchange,2029,Nigeria,1545.334664482068
Benin,Benin,Interchange,2029,Togo,166.54316080674337
Benin,Benin,Interchange,2030,Nigeria,1882.1185285728247
Benin,Benin,Interchange,2030,Togo,70.13549664046944
Benin,Benin,Interchange,2031,Nigeria,2608.852134544413
Benin,Benin,Interchange,2031,Togo,91.22499862401422
Benin,Benin,Interchange,2032,Nigeria,2512.2378079706427
Benin,Benin,Interchange,2032,Togo,353.05437090241554
Benin,Benin,Interchange,2033,Nigeria,2268.0469887058225
Benin,Benin,Interchange,2033,Togo,555.2095920917358
Benin,Benin,Interchange,2034,Nigeria,1692.2822584433588
Benin,Benin,Interchange,2034,Togo,1409.4059097664049
Benin,Benin,Interchange,2035,Nigeria,1642.3284499988893
Benin,Benin,Interchange,2035,Togo,1514.3112635252935
Benin,Benin,Interchange,2040,Nigeria,1133.673285076889
Benin,Benin,Interchange,2040,Togo,1920.5702936965697
Benin,Benin,Interchange,2045,Nigeria,714.8827339900719
Benin,Benin,Interchange,2045,Togo,2436.1900450196736
Benin,Benin,Interchange,2050,Togo,2950.2517730414343
Benin,Benin,InterconUtilization,2026,Nigeria,0.842125845835015
Benin,Benin,InterconUtilization,2027,Nigeria,0.7149804907026955
Benin,Benin,InterconUtilization,2027,Togo,0.0185128217716644
Benin,Benin,InterconUtilization,2028,Nigeria,0.6978672929494348
Benin,Benin,InterconUtilization,2028,Togo,0.0263026192263277
Benin,Benin,InterconUtilization,2029,Nigeria,0.5188472550638155
Benin,Benin,InterconUtilization,2029,Togo,0.0559169892582404
Benin,Benin,InterconUtilization,2030,Nigeria,0.6319226861982358
Benin,Benin,InterconUtilization,2030,Togo,0.0235480448027361
Benin,Benin,InterconUtilization,2031,Nigeria,0.8759240312061551
Benin,Benin,InterconUtilization,2031,Togo,0.0306288606715062
Benin,Benin,InterconUtilization,2032,Nigeria,0.8434856996946826
Benin,Benin,InterconUtilization,2032,Togo,0.1185382658146708
Benin,Benin,InterconUtilization,2033,Nigeria,0.7614984517545739
Benin,Benin,InterconUtilization,2033,Togo,0.1864120306512677
Benin,Benin,InterconUtilization,2034,Nigeria,0.5681850182793979
Benin,Benin,InterconUtilization,2034,Togo,0.473209075264036
Benin,Benin,InterconUtilization,2035,Nigeria,0.5514129901957056
Benin,Benin,InterconUtilization,2035,Togo,0.508431125277093
Benin,Benin,InterconUtilization,2040,Nigeria,0.3806316428541798
Benin,Benin,InterconUtilization,2040,Togo,0.6448328947409917
Benin,Benin,InterconUtilization,2045,Nigeria,0.2400224059864598
Benin,Benin,InterconUtilization,2045,Togo,0.8179526071110911
Benin,Benin,InterconUtilization,2050,Togo,0.990549212006928
Benin,Benin,NetImport,2026,Nigeria,-2.508187619235009
Benin,Benin,NetImport,2027,Nigeria,-2.1294978935089084
Benin,Benin,NetImport,2027,Togo,-0.0551385883647255
Benin,Benin,NetImport,2028,Nigeria,-2.0785279453205967
Benin,Benin,NetImport,2028,Togo,-0.0783397211036944
Benin,Benin,NetImport,2029,Nigeria,-1.545334664482068
Benin,Benin,NetImport,2029,Togo,-0.1665431608067434
Benin,Benin,NetImport,2030,Nigeria,-1.8821185285728248
Benin,Benin,NetImport,2030,Togo,-0.0701354966404694
Benin,Benin,NetImport,2031,Nigeria,-2.6088521345444127
Benin,Benin,NetImport,2031,Togo,-0.0912249986240142
Benin,Benin,NetImport,2032,Nigeria,-2.5122378079706427
Benin,Benin,NetImport,2032,Togo,-0.3530543709024155
Benin,Benin,NetImport,2033,Nigeria,-2.2680469887058226
Benin,Benin,NetImport,2033,Togo,-0.5552095920917358
Benin,Benin,NetImport,2034,Nigeria,-1.6922822584433588
Benin,Benin,NetImport,2034,Togo,-1.409405909766405
Benin,Benin,NetImport,2035,Nigeria,-1.6423284499988893
Benin,Benin,NetImport,2035,Togo,-1.5143112635252938
Benin,Benin,NetImport,2040,Nigeria,-1.133673285076889
Benin,Benin,NetImport,2040,Togo,-1.9205702936965696
Benin,Benin,NetImport,2045,Nigeria,-0.7148827339900719
Benin,Benin,NetImport,2045,Togo,-2.4361900450196736
Benin,Benin,NetImport,2050,Togo,-2.950251773041434
Benin,Benin,TransmissionCapacity,2026,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2026,Togo,340.0
Benin,Benin,TransmissionCapacity,2027,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2027,Togo,340.0
Benin,Benin,TransmissionCapacity,2028,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2028,Togo,340.0
Benin,Benin,TransmissionCapacity,2029,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2029,Togo,340.0
Benin,Benin,TransmissionCapacity,2030,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2030,Togo,340.0
Benin,Benin,TransmissionCapacity,2031,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2031,Togo,340.0
Benin,Benin,TransmissionCapacity,2032,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2032,Togo,340.0
Benin,Benin,TransmissionCapacity,2033,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2033,Togo,340.0
Benin,Benin,TransmissionCapacity,2034,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2034,Togo,340.0
Benin,Benin,TransmissionCapacity,2035,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2035,Togo,340.0
Benin,Benin,TransmissionCapacity,2040,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2040,Togo,340.0
Benin,Benin,TransmissionCapacity,2045,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2045,Togo,340.0
Benin,Benin,TransmissionCapacity,2050,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2050,Togo,340.0
Burkina,Burkina,CongestionShare,2026,Benin,1.0
Burkina,Burkina,CongestionShare,2026,Ghana,0.0070776255707762
Burkina,Burkina,CongestionShare,2026,Mali,1.0
Burkina,Burkina,CongestionShare,2027,Benin,1.0
Burkina,Burkina,CongestionShare,2027,Ghana,0.1107305936073059
Burkina,Burkina,CongestionShare,2027,Mali,1.0
Burkina,Burkina,CongestionShare,2028,Benin,1.0
Burkina,Burkina,CongestionShare,2028,Ghana,0.4523972602739726
Burkina,Burkina,CongestionShare,2028,Mali,1.0
Burkina,Burkina,CongestionShare,2029,Benin,1.0
Burkina,Burkina,CongestionShare,2029,Ghana,0.0928082191780821
