country,zone,attribute,resolution,year,NoTransmission,TransmissionOptimal,baseline
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2026,2508.2,2508.2,2508.2
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2027,2126.8,2126.8,2126.8
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2028,2078.5,2078.5,2078.5
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2029,1550.7,1550.7,1550.7
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2030,1882.1,1882.1,1882.1
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2031,2602.3,2602.3,2602.3
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2032,2518.1,2518.1,2518.1
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2033,2265.3,2265.3,2265.3
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2034,1683.7,1683.7,1683.7
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2035,1631.1,1631.1,1631.1
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2040,1156.7,1156.7,1156.7
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2045,715.2,715.2,715.2
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2027,53.5,53.5,53.5
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2028,78.3,78.3,78.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2029,170.6,170.6,170.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2030,70.1,70.1,70.1
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2031,85.9,85.9,85.9
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2032,324.8,324.8,324.8
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2033,591.5,591.5,591.5
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2034,1418.9,1418.9,1418.9
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2035,1526.6,1526.6,1526.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2040,1921.0,1921.0,1921.0
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2045,2413.5,2413.5,2413.5
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2050,2950.3,2950.3,2950.3
Benin,Benin,Capacity: MW,Battery,2027,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2028,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2029,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2030,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2031,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2032,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2033,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2034,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2035,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2040,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2045,20.8,20.8,20.8
Benin,Benin,Capacity: MW,Battery,2050,270.8,270.8,270.8
Benin,Benin,Capacity: MW,Diesel,2026,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2027,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2028,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2029,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2030,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2031,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2032,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2033,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2034,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2035,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2040,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2045,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Gas,2027,42.0,42.0,42.0
Benin,Benin,Capacity: MW,Gas,2028,42.0,42.0,42.0
Benin,Benin,Capacity: MW,Gas,2029,42.0,42.0,42.0
Benin,Benin,Capacity: MW,Gas,2030,292.0,292.0,292.0
Benin,Benin,Capacity: MW,Gas,2031,542.0,542.0,542.0
Benin,Benin,Capacity: MW,Gas,2032,661.3,661.3,661.3
Benin,Benin,Capacity: MW,Gas,2033,690.5,690.5,690.5
Benin,Benin,Capacity: MW,Gas,2034,719.7,719.7,719.7
Benin,Benin,Capacity: MW,Gas,2035,748.9,748.9,748.9
Benin,Benin,Capacity: MW,Gas,2040,748.9,748.9,748.9
Benin,Benin,Capacity: MW,Gas,2045,865.8,865.8,865.8
Benin,Benin,Capacity: MW,Gas,2050,1079.8,1079.8,1079.8
Benin,Benin,Capacity: MW,PV,2026,87.0,87.0,87.0
Benin,Benin,Capacity: MW,PV,2027,137.0,137.0,137.0
Benin,Benin,Capacity: MW,PV,2028,362.0,362.0,362.0
Benin,Benin,Capacity: MW,PV,2029,512.0,512.0,512.0
Benin,Benin,Capacity: MW,PV,2030,512.0,512.0,512.0
Benin,Benin,Capacity: MW,PV,2031,512.0,512.0,512.0
Benin,Benin,Capacity: MW,PV,2032,512.0,512.0,512.0
Benin,Benin,Capacity: MW,PV,2033,512.0,512.0,512.0
Benin,Benin,Capacity: MW,PV,2034,512.0,512.0,512.0
Benin,Benin,Capacity: MW,PV,2035,512.0,512.0,512.0
Benin,Benin,Capacity: MW,PV,2040,762.0,762.0,762.0
Benin,Benin,Capacity: MW,PV,2045,1012.0,1012.0,1012.0
Benin,Benin,Capacity: MW,PV,2050,1250.0,1250.0,1250.0
Benin,Benin,Capacity: MW,Reservoir,2050,0.5,0.5,0.5
Benin,Benin,Demand: GWh,,2026,2294.4,2294.4,2294.4
Benin,Benin,Demand: GWh,,2027,2454.9,2454.9,2454.9
Benin,Benin,Demand: GWh,,2028,2624.1,2624.1,2624.1
Benin,Benin,Demand: GWh,,2029,2814.9,2814.9,2814.9
Benin,Benin,Demand: GWh,,2030,3049.1,3049.1,3049.1
Benin,Benin,Demand: GWh,,2031,3226.9,3226.9,3226.9
Benin,Benin,Demand: GWh,,2032,3413.4,3413.4,3413.4
Benin,Benin,Demand: GWh,,2033,3578.3,3578.3,3578.3
Benin,Benin,Demand: GWh,,2034,3738.7,3738.7,3738.7
Benin,Benin,Demand: GWh,,2035,3907.9,3907.9,3907.9
Benin,Benin,Demand: GWh,,2040,4740.7,4740.7,4740.7
Benin,Benin,Demand: GWh,,2045,5635.7,5635.7,5635.7
Benin,Benin,Demand: GWh,,2050,6583.5,6583.5,6583.5
Benin,Benin,Emissions: MtCO2,,2026,0.8,0.8,0.8
Benin,Benin,Emissions: MtCO2,,2027,0.9,0.9,0.9
Benin,Benin,Emissions: MtCO2,,2028,0.9,0.9,0.9
Benin,Benin,Emissions: MtCO2,,2029,0.9,0.9,0.9
Benin,Benin,Emissions: MtCO2,,2030,0.8,0.8,0.8
Benin,Benin,Emissions: MtCO2,,2031,1.5,1.5,1.5
Benin,Benin,Emissions: MtCO2,,2032,1.9,1.9,1.9
Benin,Benin,Emissions: MtCO2,,2033,1.9,1.9,1.9
Benin,Benin,Emissions: MtCO2,,2034,2.0,2.0,2.0
Benin,Benin,Emissions: MtCO2,,2035,2.1,2.1,2.1
Benin,Benin,Emissions: MtCO2,,2040,2.1,2.1,2.1
Benin,Benin,Emissions: MtCO2,,2045,2.1,2.1,2.1
Benin,Benin,Emissions: MtCO2,,2050,2.1,2.1,2.1
Benin,Benin,Energy: GWh,Battery,2030,0.4,0.4,0.4
Benin,Benin,Energy: GWh,Battery,2040,1.5,1.5,1.5
Benin,Benin,Energy: GWh,Battery,2045,13.7,13.7,13.7
Benin,Benin,Energy: GWh,Battery,2050,63.7,63.7,63.7
