c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,0.0
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-68563.45346800383
System,System,NetPresentCostSystem,Fixed O&M: $m,,20532.36793551
System,System,NetPresentCostSystem,Fuel costs: $m,,100711.41854470204
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,203679.8010448176
System,System,NetPresentCostSystem,NPV of system cost: $m,,378999.3068333061
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-135116.34757681395
System,System,NetPresentCostSystem,Transmission costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,453.1428427721079
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet demand costs: $m,,206547.4846000004
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,5213.899576873227
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-24.143409042589003
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,7.230110687340048
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,35.46374708675999
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,71.72224416369305
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,133.45791130553755
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-47.57883512110411
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.1595662478243472
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,72.73204827325112
System,System,NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Variable O&M: $m,,1.8359826383333568
Benin,Benin,CongestionShare,Burkina,2026,1.0
Benin,Benin,CongestionShare,Niger,2026,1.0
Benin,Benin,CongestionShare,Nigeria,2026,0.5053652968036529
Benin,Benin,CongestionShare,Burkina,2027,1.0
Benin,Benin,CongestionShare,Niger,2027,1.0
Benin,Benin,CongestionShare,Nigeria,2027,0.3299086757990868
Benin,Benin,CongestionShare,Burkina,2028,1.0
Benin,Benin,CongestionShare,Niger,2028,1.0
Benin,Benin,CongestionShare,Nigeria,2028,0.3523972602739726
Benin,Benin,CongestionShare,Burkina,2029,1.0
Benin,Benin,CongestionShare,Niger,2029,1.0
Benin,Benin,CongestionShare,Nigeria,2029,0.2214611872146118
Benin,Benin,CongestionShare,Burkina,2030,1.0
Benin,Benin,CongestionShare,Niger,2030,1.0
Benin,Benin,CongestionShare,Nigeria,2030,0.458675799086758
Benin,Benin,CongestionShare,Burkina,2031,1.0
Benin,Benin,CongestionShare,Niger,2031,1.0
Benin,Benin,CongestionShare,Nigeria,2031,0.7787671232876713
Benin,Benin,CongestionShare,Burkina,2032,1.0
Benin,Benin,CongestionShare,Niger,2032,1.0
Benin,Benin,CongestionShare,Nigeria,2032,0.7353881278538813
Benin,Benin,CongestionShare,Togo,2032,0.0166666666666666
Benin,Benin,CongestionShare,Burkina,2033,1.0
Benin,Benin,CongestionShare,Niger,2033,1.0
Benin,Benin,CongestionShare,Nigeria,2033,0.5756849315068493
Benin,Benin,CongestionShare,Togo,2033,0.0324200913242009
Benin,Benin,CongestionShare,Burkina,2034,1.0
Benin,Benin,CongestionShare,Niger,2034,1.0
Benin,Benin,CongestionShare,Nigeria,2034,0.4001141552511416
Benin,Benin,CongestionShare,Togo,2034,0.2455479452054794
Benin,Benin,CongestionShare,Burkina,2035,1.0
Benin,Benin,CongestionShare,Niger,2035,1.0
Benin,Benin,CongestionShare,Nigeria,2035,0.4220319634703196
Benin,Benin,CongestionShare,Togo,2035,0.3179223744292237
Benin,Benin,CongestionShare,Burkina,2040,1.0
Benin,Benin,CongestionShare,Niger,2040,1.0
Benin,Benin,CongestionShare,Nigeria,2040,0.2802511415525114
Benin,Benin,CongestionShare,Togo,2040,0.4447488584474885
Benin,Benin,CongestionShare,Burkina,2045,1.0
Benin,Benin,CongestionShare,Niger,2045,1.0
Benin,Benin,CongestionShare,Nigeria,2045,0.1471461187214612
Benin,Benin,CongestionShare,Togo,2045,0.6291095890410959
Benin,Benin,CongestionShare,Burkina,2050,1.0
Benin,Benin,CongestionShare,Niger,2050,1.0
Benin,Benin,CongestionShare,Togo,2050,0.9828767123287672
Benin,Benin,Interchange,Nigeria,2026,2492.9165186085875
Benin,Benin,Interchange,Togo,2026,7.719211810903895
Benin,Benin,Interchange,Nigeria,2027,2128.2441350984946
Benin,Benin,Interchange,Togo,2027,60.62974731769761
Benin,Benin,Interchange,Nigeria,2028,2074.6830617173496
Benin,Benin,Interchange,Togo,2028,74.64669786760376
Benin,Benin,Interchange,Nigeria,2029,1549.8268217662385
Benin,Benin,Interchange,Togo,2029,183.8170944732371
Benin,Benin,Interchange,Nigeria,2030,1878.946836270462
Benin,Benin,Interchange,Togo,2030,70.82263452400474
Benin,Benin,Interchange,Nigeria,2031,2607.78205829577
Benin,Benin,Interchange,Togo,2031,100.7945521949557
Benin,Benin,Interchange,Nigeria,2032,2531.6713254769847
Benin,Benin,Interchange,Togo,2032,353.6719729340466
Benin,Benin,Interchange,Nigeria,2033,2270.912728913562
Benin,Benin,Interchange,Togo,2033,556.8865303279854
Benin,Benin,Interchange,Nigeria,2034,1684.0634902629029
Benin,Benin,Interchange,Togo,2034,1355.0626878667863
Benin,Benin,Interchange,Nigeria,2035,1659.6149324088976
Benin,Benin,Interchange,Togo,2035,1498.2971069413209
Benin,Benin,Interchange,Nigeria,2040,1136.1253264102295
Benin,Benin,Interchange,Togo,2040,1937.168211919376
Benin,Benin,Interchange,Nigeria,2045,690.3859039976876
Benin,Benin,Interchange,Togo,2045,2410.34909378898
Benin,Benin,Interchange,Togo,2050,2950.2517730414343
Benin,Benin,InterconUtilization,Nigeria,2026,0.8369985625196708
Benin,Benin,InterconUtilization,Togo,2026,0.0025917310673193
Benin,Benin,InterconUtilization,Nigeria,2027,0.7145595403903084
Benin,Benin,InterconUtilization,Togo,2027,0.0203564824461783
Benin,Benin,InterconUtilization,Nigeria,2028,0.6965763704396151
Benin,Benin,InterconUtilization,Togo,2028,0.0250626839469526
Benin,Benin,InterconUtilization,Nigeria,2029,0.5203555001901149
Benin,Benin,InterconUtilization,Togo,2029,0.0617167252461848
Benin,Benin,InterconUtilization,Nigeria,2030,0.6308577881649415
Benin,Benin,InterconUtilization,Togo,2030,0.0237787518546886
Benin,Benin,InterconUtilization,Nigeria,2031,0.8755647523152601
Benin,Benin,InterconUtilization,Togo,2031,0.0338418453515161
Benin,Benin,InterconUtilization,Nigeria,2032,0.8500105175520363
Benin,Benin,InterconUtilization,Togo,2032,0.1187456261529836
Benin,Benin,InterconUtilization,Nigeria,2033,0.7624606261461061
Benin,Benin,InterconUtilization,Togo,2033,0.1869750639027617
Benin,Benin,InterconUtilization,Nigeria,2034,0.5654255607920033
Benin,Benin,InterconUtilization,Togo,2034,0.4549632983705299
Benin,Benin,InterconUtilization,Nigeria,2035,0.5572169394335541
Benin,Benin,InterconUtilization,Togo,2035,0.5030543603751413
Benin,Benin,InterconUtilization,Nigeria,2040,0.3814549175430532
Benin,Benin,InterconUtilization,Togo,2040,0.6504056580443782
Benin,Benin,InterconUtilization,Nigeria,2045,0.2317975772218935
Benin,Benin,InterconUtilization,Togo,2045,0.8092764886479251
Benin,Benin,InterconUtilization,Togo,2050,0.990549212006928
Benin,Benin,NetImport,Nigeria,2026,-2.492916518608588
Benin,Benin,NetImport,Togo,2026,-0.0077192118109038
Benin,Benin,NetImport,Nigeria,2027,-2.128244135098494
Benin,Benin,NetImport,Togo,2027,-0.0606297473176976
Benin,Benin,NetImport,Nigeria,2028,-2.0746830617173497
Benin,Benin,NetImport,Togo,2028,-0.0746466978676037
Benin,Benin,NetImport,Nigeria,2029,-1.5498268217662383
Benin,Benin,NetImport,Togo,2029,-0.1838170944732371
Benin,Benin,NetImport,Nigeria,2030,-1.878946836270462
Benin,Benin,NetImport,Togo,2030,-0.0708226345240047
Benin,Benin,NetImport,Nigeria,2031,-2.6077820582957707
Benin,Benin,NetImport,Togo,2031,-0.1007945521949557
Benin,Benin,NetImport,Nigeria,2032,-2.5316713254769847
Benin,Benin,NetImport,Togo,2032,-0.3536719729340466
Benin,Benin,NetImport,Nigeria,2033,-2.2709127289135624
Benin,Benin,NetImport,Togo,2033,-0.5568865303279854
Benin,Benin,NetImport,Nigeria,2034,-1.6840634902629028
Benin,Benin,NetImport,Togo,2034,-1.3550626878667864
Benin,Benin,NetImport,Nigeria,2035,-1.6596149324088976
Benin,Benin,NetImport,Togo,2035,-1.498297106941321
Benin,Benin,NetImport,Nigeria,2040,-1.1361253264102298
Benin,Benin,NetImport,Togo,2040,-1.937168211919376
Benin,Benin,NetImport,Nigeria,2045,-0.6903859039976876
Benin,Benin,NetImport,Togo,2045,-2.41034909378898
Benin,Benin,NetImport,Togo,2050,-2.950251773041434
Benin,Benin,TransmissionCapacity,Nigeria,2026,340.0
Benin,Benin,TransmissionCapacity,Togo,2026,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2027,340.0
Benin,Benin,TransmissionCapacity,Togo,2027,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2028,340.0
Benin,Benin,TransmissionCapacity,Togo,2028,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2029,340.0
Benin,Benin,TransmissionCapacity,Togo,2029,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2030,340.0
Benin,Benin,TransmissionCapacity,Togo,2030,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2031,340.0
Benin,Benin,TransmissionCapacity,Togo,2031,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2032,340.0
Benin,Benin,TransmissionCapacity,Togo,2032,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2033,340.0
Benin,Benin,TransmissionCapacity,Togo,2033,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2034,340.0
Benin,Benin,TransmissionCapacity,Togo,2034,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2035,340.0
Benin,Benin,TransmissionCapacity,Togo,2035,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2040,340.0
Benin,Benin,TransmissionCapacity,Togo,2040,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2045,340.0
Benin,Benin,TransmissionCapacity,Togo,2045,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2050,340.0
Benin,Benin,TransmissionCapacity,Togo,2050,340.0
Burkina,Burkina,CongestionShare,Benin,2026,1.0
Burkina,Burkina,CongestionShare,Ghana,2026,0.0070776255707762
Burkina,Burkina,CongestionShare,Mali,2026,1.0
Burkina,Burkina,CongestionShare,Benin,2027,1.0
Burkina,Burkina,CongestionShare,Ghana,2027,0.1049086757990867
Burkina,Burkina,CongestionShare,Mali,2027,1.0
Burkina,Burkina,CongestionShare,Benin,2028,1.0
Burkina,Burkina,CongestionShare,Ghana,2028,0.4523972602739726
Burkina,Burkina,CongestionShare,Mali,2028,1.0
Burkina,Burkina,CongestionShare,Benin,2029,1.0
Burkina,Burkina,CongestionShare,Ghana,2029,0.0918949771689497
Burkina,Burkina,CongestionShare,Mali,2029,1.0
Burkina,Burkina,CongestionShare,Benin,2030,1.0
Burkina,Burkina,CongestionShare,Ghana,2030,0.0779680365296803
Burkina,Burkina,CongestionShare,IvoryCoast,2030,0.0070776255707762
Burkina,Burkina,CongestionShare,Mali,2030,1.0
Burkina,Burkina,CongestionShare,Benin,2031,1.0
Burkina,Burkina,CongestionShare,Ghana,2031,0.0614155251141552
Burkina,Burkina,CongestionShare,IvoryCoast,2031,0.0594748858447488
Burkina,Burkina,CongestionShare,Mali,2031,1.0
Burkina,Burkina,CongestionShare,Benin,2032,1.0
Burkina,Burkina,CongestionShare,Ghana,2032,0.1134703196347031
Burkina,Burkina,CongestionShare,IvoryCoast,2032,0.0212328767123287
