c,z,attribute,y,uni,value
Benin,Benin,CongestionShare,2026,Burkina,1.0
Benin,Benin,CongestionShare,2026,Niger,1.0
Benin,Benin,CongestionShare,2026,Nigeria,0.5053652968036529
Benin,Benin,CongestionShare,2027,Burkina,1.0
Benin,Benin,CongestionShare,2027,Niger,1.0
Benin,Benin,CongestionShare,2027,Nigeria,0.3299086757990868
Benin,Benin,CongestionShare,2028,Burkina,1.0
Benin,Benin,CongestionShare,2028,Niger,1.0
Benin,Benin,CongestionShare,2028,Nigeria,0.3523972602739726
Benin,Benin,CongestionShare,2029,Burkina,1.0
Benin,Benin,CongestionShare,2029,Niger,1.0
Benin,Benin,CongestionShare,2029,Nigeria,0.2214611872146118
Benin,Benin,CongestionShare,2030,Burkina,1.0
Benin,Benin,CongestionShare,2030,Niger,1.0
Benin,Benin,CongestionShare,2030,Nigeria,0.458675799086758
Benin,Benin,CongestionShare,2031,Burkina,1.0
Benin,Benin,CongestionShare,2031,Niger,1.0
Benin,Benin,CongestionShare,2031,Nigeria,0.7787671232876713
Benin,Benin,CongestionShare,2032,Burkina,1.0
Benin,Benin,CongestionShare,2032,Niger,1.0
Benin,Benin,CongestionShare,2032,Nigeria,0.7353881278538813
Benin,Benin,CongestionShare,2032,Togo,0.0166666666666666
Benin,Benin,CongestionShare,2033,Burkina,1.0
Benin,Benin,CongestionShare,2033,Niger,1.0
Benin,Benin,CongestionShare,2033,Nigeria,0.5756849315068493
Benin,Benin,CongestionShare,2033,Togo,0.0324200913242009
Benin,Benin,CongestionShare,2034,Burkina,1.0
Benin,Benin,CongestionShare,2034,Niger,1.0
Benin,Benin,CongestionShare,2034,Nigeria,0.4001141552511416
Benin,Benin,CongestionShare,2034,Togo,0.2455479452054794
Benin,Benin,CongestionShare,2035,Burkina,1.0
Benin,Benin,CongestionShare,2035,Niger,1.0
Benin,Benin,CongestionShare,2035,Nigeria,0.4220319634703196
Benin,Benin,CongestionShare,2035,Togo,0.3179223744292237
Benin,Benin,CongestionShare,2040,Burkina,1.0
Benin,Benin,CongestionShare,2040,Niger,1.0
Benin,Benin,CongestionShare,2040,Nigeria,0.2802511415525114
Benin,Benin,CongestionShare,2040,Togo,0.4447488584474885
Benin,Benin,CongestionShare,2045,Burkina,1.0
Benin,Benin,CongestionShare,2045,Niger,1.0
Benin,Benin,CongestionShare,2045,Nigeria,0.1471461187214612
Benin,Benin,CongestionShare,2045,Togo,0.6291095890410959
Benin,Benin,CongestionShare,2050,Burkina,1.0
Benin,Benin,CongestionShare,2050,Niger,1.0
Benin,Benin,CongestionShare,2050,Togo,0.9828767123287672
Benin,Benin,Interchange,2026,Nigeria,2492.9165186085875
Benin,Benin,Interchange,2026,Togo,7.719211810903895
Benin,Benin,Interchange,2027,Nigeria,2128.2441350984946
Benin,Benin,Interchange,2027,Togo,60.62974731769761
Benin,Benin,Interchange,2028,Nigeria,2074.6830617173496
Benin,Benin,Interchange,2028,Togo,74.64669786760376
Benin,Benin,Interchange,2029,Nigeria,1549.8268217662385
Benin,Benin,Interchange,2029,Togo,183.8170944732371
Benin,Benin,Interchange,2030,Nigeria,1878.946836270462
Benin,Benin,Interchange,2030,Togo,70.82263452400474
Benin,Benin,Interchange,2031,Nigeria,2607.78205829577
Benin,Benin,Interchange,2031,Togo,100.7945521949557
Benin,Benin,Interchange,2032,Nigeria,2531.6713254769847
Benin,Benin,Interchange,2032,Togo,353.6719729340466
Benin,Benin,Interchange,2033,Nigeria,2270.912728913562
Benin,Benin,Interchange,2033,Togo,556.8865303279854
Benin,Benin,Interchange,2034,Nigeria,1684.0634902629029
Benin,Benin,Interchange,2034,Togo,1355.0626878667863
Benin,Benin,Interchange,2035,Nigeria,1659.6149324088976
Benin,Benin,Interchange,2035,Togo,1498.2971069413209
Benin,Benin,Interchange,2040,Nigeria,1136.1253264102295
Benin,Benin,Interchange,2040,Togo,1937.168211919376
Benin,Benin,Interchange,2045,Nigeria,690.3859039976876
Benin,Benin,Interchange,2045,Togo,2410.34909378898
Benin,Benin,Interchange,2050,Togo,2950.2517730414343
Benin,Benin,InterconUtilization,2026,Nigeria,0.8369985625196708
Benin,Benin,InterconUtilization,2026,Togo,0.0025917310673193
Benin,Benin,InterconUtilization,2027,Nigeria,0.7145595403903084
Benin,Benin,InterconUtilization,2027,Togo,0.0203564824461783
Benin,Benin,InterconUtilization,2028,Nigeria,0.6965763704396151
Benin,Benin,InterconUtilization,2028,Togo,0.0250626839469526
Benin,Benin,InterconUtilization,2029,Nigeria,0.5203555001901149
Benin,Benin,InterconUtilization,2029,Togo,0.0617167252461848
Benin,Benin,InterconUtilization,2030,Nigeria,0.6308577881649415
Benin,Benin,InterconUtilization,2030,Togo,0.0237787518546886
Benin,Benin,InterconUtilization,2031,Nigeria,0.8755647523152601
Benin,Benin,InterconUtilization,2031,Togo,0.0338418453515161
Benin,Benin,InterconUtilization,2032,Nigeria,0.8500105175520363
Benin,Benin,InterconUtilization,2032,Togo,0.1187456261529836
Benin,Benin,InterconUtilization,2033,Nigeria,0.7624606261461061
Benin,Benin,InterconUtilization,2033,Togo,0.1869750639027617
Benin,Benin,InterconUtilization,2034,Nigeria,0.5654255607920033
Benin,Benin,InterconUtilization,2034,Togo,0.4549632983705299
Benin,Benin,InterconUtilization,2035,Nigeria,0.5572169394335541
Benin,Benin,InterconUtilization,2035,Togo,0.5030543603751413
Benin,Benin,InterconUtilization,2040,Nigeria,0.3814549175430532
Benin,Benin,InterconUtilization,2040,Togo,0.6504056580443782
Benin,Benin,InterconUtilization,2045,Nigeria,0.2317975772218935
Benin,Benin,InterconUtilization,2045,Togo,0.8092764886479251
Benin,Benin,InterconUtilization,2050,Togo,0.990549212006928
Benin,Benin,NetImport,2026,Nigeria,-2.492916518608588
Benin,Benin,NetImport,2026,Togo,-0.0077192118109038
Benin,Benin,NetImport,2027,Nigeria,-2.128244135098494
Benin,Benin,NetImport,2027,Togo,-0.0606297473176976
Benin,Benin,NetImport,2028,Nigeria,-2.0746830617173497
Benin,Benin,NetImport,2028,Togo,-0.0746466978676037
Benin,Benin,NetImport,2029,Nigeria,-1.5498268217662383
Benin,Benin,NetImport,2029,Togo,-0.1838170944732371
Benin,Benin,NetImport,2030,Nigeria,-1.878946836270462
Benin,Benin,NetImport,2030,Togo,-0.0708226345240047
Benin,Benin,NetImport,2031,Nigeria,-2.6077820582957707
Benin,Benin,NetImport,2031,Togo,-0.1007945521949557
Benin,Benin,NetImport,2032,Nigeria,-2.5316713254769847
Benin,Benin,NetImport,2032,Togo,-0.3536719729340466
Benin,Benin,NetImport,2033,Nigeria,-2.2709127289135624
Benin,Benin,NetImport,2033,Togo,-0.5568865303279854
Benin,Benin,NetImport,2034,Nigeria,-1.6840634902629028
Benin,Benin,NetImport,2034,Togo,-1.3550626878667864
Benin,Benin,NetImport,2035,Nigeria,-1.6596149324088976
Benin,Benin,NetImport,2035,Togo,-1.498297106941321
Benin,Benin,NetImport,2040,Nigeria,-1.1361253264102298
Benin,Benin,NetImport,2040,Togo,-1.937168211919376
Benin,Benin,NetImport,2045,Nigeria,-0.6903859039976876
Benin,Benin,NetImport,2045,Togo,-2.41034909378898
Benin,Benin,NetImport,2050,Togo,-2.950251773041434
Benin,Benin,TransmissionCapacity,2026,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2026,Togo,340.0
Benin,Benin,TransmissionCapacity,2027,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2027,Togo,340.0
Benin,Benin,TransmissionCapacity,2028,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2028,Togo,340.0
Benin,Benin,TransmissionCapacity,2029,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2029,Togo,340.0
Benin,Benin,TransmissionCapacity,2030,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2030,Togo,340.0
Benin,Benin,TransmissionCapacity,2031,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2031,Togo,340.0
Benin,Benin,TransmissionCapacity,2032,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2032,Togo,340.0
Benin,Benin,TransmissionCapacity,2033,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2033,Togo,340.0
Benin,Benin,TransmissionCapacity,2034,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2034,Togo,340.0
Benin,Benin,TransmissionCapacity,2035,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2035,Togo,340.0
Benin,Benin,TransmissionCapacity,2040,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2040,Togo,340.0
Benin,Benin,TransmissionCapacity,2045,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2045,Togo,340.0
Benin,Benin,TransmissionCapacity,2050,Nigeria,340.0
Benin,Benin,TransmissionCapacity,2050,Togo,340.0
Burkina,Burkina,CongestionShare,2026,Benin,1.0
Burkina,Burkina,CongestionShare,2026,Ghana,0.0070776255707762
Burkina,Burkina,CongestionShare,2026,Mali,1.0
Burkina,Burkina,CongestionShare,2027,Benin,1.0
Burkina,Burkina,CongestionShare,2027,Ghana,0.1049086757990867
Burkina,Burkina,CongestionShare,2027,Mali,1.0
Burkina,Burkina,CongestionShare,2028,Benin,1.0
Burkina,Burkina,CongestionShare,2028,Ghana,0.4523972602739726
