c,z,attribute,y,uni,value
Benin,Benin,Costs,2026.0,Carbon costs: $m,0
Benin,Benin,Costs,2026.0,Excess generation: $m,0
Benin,Benin,Costs,2026.0,Export revenues with external zones: $m,0
Benin,Benin,Costs,2026.0,Export revenues with internal zones: $m,-4872.681622940056
Benin,Benin,Costs,2026.0,Fixed O&M: $m,6.411
Benin,Benin,Costs,2026.0,Fuel costs: $m,110.17101600000001
Benin,Benin,Costs,2026.0,Generation costs: $m,0
Benin,Benin,Costs,2026.0,Import costs with external zones: $m,0
Benin,Benin,Costs,2026.0,Import costs with internal zones: $m,5940.8454070013995
Benin,Benin,Costs,2026.0,NPV of system cost: $m,0
Benin,Benin,Costs,2026.0,Spinning reserve costs: $m,0
Benin,Benin,Costs,2026.0,Startup costs: $m,0
Benin,Benin,Costs,2026.0,Trade shared benefits: $m,1.2330474419286475e-14
Benin,Benin,Costs,2026.0,Transmission costs: $m,0
Benin,Benin,Costs,2026.0,Unmet country CO2 backstop cost: $m,751.9171841999995
Benin,Benin,Costs,2026.0,Unmet country planning reserve costs: $m,0
Benin,Benin,Costs,2026.0,Unmet country spinning reserve costs: $m,6.751200248154162
Benin,Benin,Costs,2026.0,Unmet demand costs: $m,1250.639813938657
Benin,Benin,Costs,2026.0,Unmet system CO2 backstop cost: $m,0
Benin,Benin,Costs,2026.0,Unmet system planning reserve costs: $m,0
Benin,Benin,Costs,2026.0,Unmet system spinning reserve costs: $m,0
Benin,Benin,Costs,2026.0,VRE curtailment: $m,0
Benin,Benin,Costs,2026.0,Variable O&M: $m,7.650764999999999
Benin,Benin,Costs,2027.0,Carbon costs: $m,0
Benin,Benin,Costs,2027.0,Excess generation: $m,0
Benin,Benin,Costs,2027.0,Export revenues with external zones: $m,0
Benin,Benin,Costs,2027.0,Export revenues with internal zones: $m,-4375.199164069229
Benin,Benin,Costs,2027.0,Fixed O&M: $m,8.737377563143978
Benin,Benin,Costs,2027.0,Fuel costs: $m,123.18066719999992
Benin,Benin,Costs,2027.0,Generation costs: $m,0
Benin,Benin,Costs,2027.0,Import costs with external zones: $m,0
Benin,Benin,Costs,2027.0,Import costs with internal zones: $m,5901.0065736286715
Benin,Benin,Costs,2027.0,NPV of system cost: $m,0
Benin,Benin,Costs,2027.0,Spinning reserve costs: $m,0
Benin,Benin,Costs,2027.0,Startup costs: $m,0
Benin,Benin,Costs,2027.0,Trade shared benefits: $m,-0.6880989971075405
Benin,Benin,Costs,2027.0,Transmission costs: $m,0
Benin,Benin,Costs,2027.0,Unmet country CO2 backstop cost: $m,870.4050843600016
Benin,Benin,Costs,2027.0,Unmet country planning reserve costs: $m,0
Benin,Benin,Costs,2027.0,Unmet country spinning reserve costs: $m,0.273992722480375
Benin,Benin,Costs,2027.0,Unmet demand costs: $m,357.39757284910615
Benin,Benin,Costs,2027.0,Unmet system CO2 backstop cost: $m,0
Benin,Benin,Costs,2027.0,Unmet system planning reserve costs: $m,0
Benin,Benin,Costs,2027.0,Unmet system spinning reserve costs: $m,0
Benin,Benin,Costs,2027.0,VRE curtailment: $m,0
Benin,Benin,Costs,2027.0,Variable O&M: $m,8.276228999999995
Benin,Benin,Costs,2028.0,Carbon costs: $m,0
Benin,Benin,Costs,2028.0,Excess generation: $m,0
Benin,Benin,Costs,2028.0,Export revenues with external zones: $m,0
Benin,Benin,Costs,2028.0,Export revenues with internal zones: $m,-4269.802402774458
Benin,Benin,Costs,2028.0,Fixed O&M: $m,12.653040643336487
Benin,Benin,Costs,2028.0,Fuel costs: $m,123.18066719999999
Benin,Benin,Costs,2028.0,Generation costs: $m,0
Benin,Benin,Costs,2028.0,Import costs with external zones: $m,0
Benin,Benin,Costs,2028.0,Import costs with internal zones: $m,5746.993419113946
Benin,Benin,Costs,2028.0,NPV of system cost: $m,0
Benin,Benin,Costs,2028.0,Spinning reserve costs: $m,0
Benin,Benin,Costs,2028.0,Startup costs: $m,0
Benin,Benin,Costs,2028.0,Trade shared benefits: $m,2.4970177037175745e-14
Benin,Benin,Costs,2028.0,Transmission costs: $m,0
Benin,Benin,Costs,2028.0,Unmet country CO2 backstop cost: $m,870.4050843599986
Benin,Benin,Costs,2028.0,Unmet country planning reserve costs: $m,0
Benin,Benin,Costs,2028.0,Unmet country spinning reserve costs: $m,3.6836092973656043
Benin,Benin,Costs,2028.0,Unmet demand costs: $m,150.3375122897533
Benin,Benin,Costs,2028.0,Unmet system CO2 backstop cost: $m,0
Benin,Benin,Costs,2028.0,Unmet system planning reserve costs: $m,0
Benin,Benin,Costs,2028.0,Unmet system spinning reserve costs: $m,0
Benin,Benin,Costs,2028.0,VRE curtailment: $m,0
Benin,Benin,Costs,2028.0,Variable O&M: $m,8.276228999999976
Benin,Benin,Costs,2029.0,Carbon costs: $m,0
Benin,Benin,Costs,2029.0,Excess generation: $m,0
Benin,Benin,Costs,2029.0,Export revenues with external zones: $m,0
Benin,Benin,Costs,2029.0,Export revenues with internal zones: $m,-3362.522827185921
Benin,Benin,Costs,2029.0,Fixed O&M: $m,15.403707061325765
Benin,Benin,Costs,2029.0,Fuel costs: $m,123.18066719999987
Benin,Benin,Costs,2029.0,Generation costs: $m,0
Benin,Benin,Costs,2029.0,Import costs with external zones: $m,0
Benin,Benin,Costs,2029.0,Import costs with internal zones: $m,4901.741332026651
Benin,Benin,Costs,2029.0,NPV of system cost: $m,0
Benin,Benin,Costs,2029.0,Spinning reserve costs: $m,0
Benin,Benin,Costs,2029.0,Startup costs: $m,0
Benin,Benin,Costs,2029.0,Trade shared benefits: $m,-0.8202399193506417
Benin,Benin,Costs,2029.0,Transmission costs: $m,0
Benin,Benin,Costs,2029.0,Unmet country CO2 backstop cost: $m,870.4050843600005
Benin,Benin,Costs,2029.0,Unmet country planning reserve costs: $m,0
Benin,Benin,Costs,2029.0,Unmet country spinning reserve costs: $m,5.20760762100617
Benin,Benin,Costs,2029.0,Unmet demand costs: $m,74.82281104876367
Benin,Benin,Costs,2029.0,Unmet system CO2 backstop cost: $m,0
Benin,Benin,Costs,2029.0,Unmet system planning reserve costs: $m,0
Benin,Benin,Costs,2029.0,Unmet system spinning reserve costs: $m,0
Benin,Benin,Costs,2029.0,VRE curtailment: $m,0
Benin,Benin,Costs,2029.0,Variable O&M: $m,8.276229000000004
Benin,Benin,Costs,2030.0,Carbon costs: $m,0
Benin,Benin,Costs,2030.0,Excess generation: $m,0
Benin,Benin,Costs,2030.0,Export revenues with external zones: $m,0
Benin,Benin,Costs,2030.0,Export revenues with internal zones: $m,-1637.3557033721527
Benin,Benin,Costs,2030.0,Fixed O&M: $m,48.21882023419412
Benin,Benin,Costs,2030.0,Fuel costs: $m,84.66389490488913
