c,z,attribute,y,value
Benin,Benin,CapexInvestmentComponent,2026,42680000.0
Benin,Benin,CapexInvestmentComponent,2027,83367841.79670191
Benin,Benin,CapexInvestmentComponent,2028,185749982.02243316
Benin,Benin,CapexInvestmentComponent,2029,124341344.4534387
Benin,Benin,CapexInvestmentComponent,2030,2049946166.4089732
Benin,Benin,CapexInvestmentComponent,2031,441729398.19120955
Benin,Benin,CapexInvestmentComponent,2032,455317939.8843498
Benin,Benin,CapexInvestmentComponent,2033,307988816.7330981
Benin,Benin,CapexInvestmentComponent,2034,587618990.0024493
Benin,Benin,CapexInvestmentComponent,2035,449592127.5454499
Benin,Benin,CapexInvestmentComponent,2040,1355659774.173925
Benin,Benin,CapexInvestmentComponent,2045,70319697.39239237
Benin,Benin,CapexInvestmentComponent,2050,117275907.16885288
Benin,Benin,CapexInvestmentComponentCumulated,2026,42680000.0
Benin,Benin,CapexInvestmentComponentCumulated,2027,126047841.79670191
Benin,Benin,CapexInvestmentComponentCumulated,2028,311797823.81913507
Benin,Benin,CapexInvestmentComponentCumulated,2029,436139168.27257377
Benin,Benin,CapexInvestmentComponentCumulated,2030,2486085334.681547
Benin,Benin,CapexInvestmentComponentCumulated,2031,2927814732.8727565
Benin,Benin,CapexInvestmentComponentCumulated,2032,3383132672.7571063
Benin,Benin,CapexInvestmentComponentCumulated,2033,3691121489.4902043
Benin,Benin,CapexInvestmentComponentCumulated,2034,4278740479.492654
Benin,Benin,CapexInvestmentComponentCumulated,2035,4728332607.038103
Benin,Benin,CapexInvestmentComponentCumulated,2040,6083992381.2120285
Benin,Benin,CapexInvestmentComponentCumulated,2045,1211393210.0061555
Benin,Benin,CapexInvestmentComponentCumulated,2050,6271587985.773273
Benin,Benin,Costs,2026,000-4872.6816229400566.411110.17101600000001005940.84540700139950001.2330474419286475e-140751.917184199999506.7512002481541621250.63981393865700007.650764999999999
Benin,Benin,Costs,2027,000-4375.1991640692298.737377563143978123.18066719999992005901.0065736286715000-0.68809899710754050870.405084360001600.273992722480375357.3975728491061500008.276228999999995
Benin,Benin,Costs,2028,000-4269.80240277445812.653040643336487123.18066719999999005746.9934191139460002.4970177037175745e-140870.405084359998603.6836092973656043150.337512289753300008.276228999999976
Benin,Benin,Costs,2029,000-3362.52282718592115.403707061325765123.18066719999987004901.741332026651000-0.82023991935064170870.405084360000505.2076076210061774.8228110487636700008.276229000000004
Benin,Benin,Costs,2030,000-1637.355703372152748.2188202341941284.6638949048891300600.8585931167843000-91.532030648439490771.091877160529602.330380146718039000004.8837224027350565
Benin,Benin,Costs,2031,000-1349.286622882471256.4386134999247382.0068906799186400426.77077997190656000-236.135540218748330746.892720452257702.041315026939519000004.755981814996083
Benin,Benin,Costs,2032,000-1228.692471620653166.1608232366304666.6138263593195900435.1589234643817000-77.33993192254510606.697447180725802.464048857774208000004.015930645736516
Benin,Benin,Costs,2033,000-1255.900803315573374.7608063260678465.8085518781451400392.50213205893164000-141.645097933500550599.363275216952502.356563087886304000003.9772155264492786
Benin,Benin,Costs,2034,000-1359.918335932865185.5542381039030562.6145688149296300393.44255469111675000-101.005380296581650570.273480474205402.7271834443245275000003.823658648410071
Benin,Benin,Costs,2035,000-1379.661273424448894.2549836764643560.0713440093561100351.93337259213484000-135.756589350758870547.110591708750503.6323046362378135000003.7013882250651906
Benin,Benin,Costs,2040,000-620.1958132401124132.76568146715218.61248200617157700198.57058640975674000-332.72906705677616078.4392112457472301.4489088652852755000001.227404474912095
Benin,Benin,Costs,2045,000-247.11546495766498132.561681467152085.750150337837838e-0500145.21075995557305000-255.916502030570630000.7876638961745396000000.8133456044953544
Benin,Benin,Costs,2050,000-212.1771646241854135.715525929005224.639374999999999e-0500176.2826262767135000-144.187160477766980001.407618421722196000000.8144211524687499
Benin,Benin,CostsPerMWh,2026,000-2123.70630010257862.794165952862446348.01686194033128002589.25408944978150005.374105725317674e-150327.715082742760702.9424386015206454545.078020184311300003.3345043014118936
Benin,Benin,CostsPerMWh,2027,000-1782.22892463422643.55915386580991750.17740674355932002403.7636243732195000-0.280295796755518250354.557829100587100.1116104060254104145.5852106474909800003.3713058897593084
Benin,Benin,CostsPerMWh,2028,000-1627.17586566555544.82193797744463446.94283010712153002190.11750652550009.515866450842607e-150331.7020351346676501.403783965112724457.2920122821447600003.1539820387872624
Benin,Benin,CostsPerMWh,2029,000-1194.54533356527875.47220861697835743.76026535777075001741.3568726362537000-0.291392450972376260309.213761592180201.850016699490482326.5810061005112200002.940152748268912
Benin,Benin,CostsPerMWh,2030,000-536.994457796092815.81405871302180827.7667474732109900197.06025621577123000-30.0192518142542930252.8907210778964400.7642818361143872000001.6016873171066062
Benin,Benin,CostsPerMWh,2031,000-418.1319662398434517.48982613061128825.4132086272058600132.25248241337405000-73.176311138284520231.4554346546211400.6325854354842345000001.473836614089422
Benin,Benin,CostsPerMWh,2032,000-359.9569443332818519.38243158226540819.51514308134502300127.48387412433004000-22.6574559646023560177.737688043229900.7218661447175816000001.1765044201719526
Benin,Benin,CostsPerMWh,2033,000-350.98089834495120.89306328656188718.3912173604748600109.69078970939789000-39.584912747576810167.501334671699500.6585779923138223000001.1114943749533515
Benin,Benin,CostsPerMWh,2034,000-363.7371462559291322.8831787878402616.74750900329969700105.23401904190077000-27.015893392136140152.5309593173717800.7294393326012114000001.022713385267674
Benin,Benin,CostsPerMWh,2035,000-353.044763713635424.11912915283560815.371797310149690090.05705731040582000-34.739072505054470140.001414329486400.9294789646835331000000.94715692648753
Benin,Benin,CostsPerMWh,2040,000-130.8250048916504828.005785522223361.81672945307424860041.886767668869766000-70.18635227136632016.54608105351586300.30563493874331454000000.2589104811841754
Benin,Benin,CostsPerMWh,2045,000-43.84840034808717523.5218693446931441.0203120800974442e-050025.76633371963495000-45.4100646377634050000.13976382200568582000000.14432080846651624
Benin,Benin,CostsPerMWh,2050,000-32.22867765155357520.6145272288099947.046984610455715e-060026.77647214253464000-21.9013272458495540000.21381038082220732000000.12370660547761043
Benin,Benin,DemandEnergyZone,2026,2294.423491000002
Benin,Benin,DemandEnergyZone,2027,2454.903017
Benin,Benin,DemandEnergyZone,2028,2624.0571120000004
Benin,Benin,DemandEnergyZone,2029,2814.8976290000032
Benin,Benin,DemandEnergyZone,2030,3049.110991000001
Benin,Benin,DemandEnergyZone,2031,3226.9396549999974
Benin,Benin,DemandEnergyZone,2032,3413.442888000001
Benin,Benin,DemandEnergyZone,2033,3578.2596980000003
Benin,Benin,DemandEnergyZone,2034,3738.739223999995
Benin,Benin,DemandEnergyZone,2035,3907.893318999998
Benin,Benin,DemandEnergyZone,2040,4740.651940000001
Benin,Benin,DemandEnergyZone,2045,5635.677994999995
Benin,Benin,DemandEnergyZone,2050,6583.489614999996
Benin,Benin,DemandPeakZone,2026,488.0499523898065
Benin,Benin,DemandPeakZone,2027,522.185771401198
Benin,Benin,DemandPeakZone,2028,558.1667698244503
Benin,Benin,DemandPeakZone,2029,598.7607166693167
Benin,Benin,DemandPeakZone,2030,648.5805605734878
Benin,Benin,DemandPeakZone,2031,686.406738408602
Benin,Benin,DemandPeakZone,2032,726.0780956608638
Benin,Benin,DemandPeakZone,2033,761.136504264859
Benin,Benin,DemandPeakZone,2034,795.2723232815373
Benin,Benin,DemandPeakZone,2035,831.2533217047896
Benin,Benin,DemandPeakZone,2040,1008.3905446005097
Benin,Benin,DemandPeakZone,2045,1198.772758357425
Benin,Benin,DemandPeakZone,2050,1400.383061717063
Benin,Benin,EmissionsIntensityZone,2026,6.624694395708517e-07
Benin,Benin,EmissionsIntensityZone,2027,5.739084845572163e-07
Benin,Benin,EmissionsIntensityZone,2028,4.795502786039872e-07
Benin,Benin,EmissionsIntensityZone,2029,4.317867871304455e-07
Benin,Benin,EmissionsIntensityZone,2030,1.5753509994438848e-07
Benin,Benin,EmissionsIntensityZone,2031,1.3349472895274942e-07
Benin,Benin,EmissionsIntensityZone,2032,1.0397708280081993e-07
Benin,Benin,EmissionsIntensityZone,2033,9.387811825590749e-08
Benin,Benin,EmissionsIntensityZone,2034,7.794021885165575e-08
Benin,Benin,EmissionsIntensityZone,2035,6.769627630838877e-08
Benin,Benin,EmissionsIntensityZone,2040,7.809414695522692e-09
Benin,Benin,EmissionsIntensityZone,2045,5.2462813167049964e-14
Benin,Benin,EmissionsIntensityZone,2050,4.143388555980849e-14
Benin,Benin,EmissionsZone,2026,0.7519171841999995
