attribute,uni,value
NetPresentCostSystem,Carbon costs: $m,0.0
NetPresentCostSystem,Excess generation: $m,0.0
NetPresentCostSystem,Export revenues with external zones: $m,0.0
NetPresentCostSystem,Export revenues with internal zones: $m,-139691.27857689356
NetPresentCostSystem,Fixed O&M: $m,35523.60560258204
NetPresentCostSystem,Fuel costs: $m,45269.57559494652
NetPresentCostSystem,Generation costs: $m,0.0
NetPresentCostSystem,Import costs with external zones: $m,0.0
NetPresentCostSystem,Import costs with internal zones: $m,193329.1590964004
NetPresentCostSystem,NPV of system cost: $m,656394.1640853436
NetPresentCostSystem,Spinning reserve costs: $m,0.0
NetPresentCostSystem,Startup costs: $m,0.0
NetPresentCostSystem,Trade shared benefits: $m,-53637.8805195069
NetPresentCostSystem,Transmission costs: $m,0.0
NetPresentCostSystem,Unmet country CO2 backstop cost: $m,382560.6659760132
NetPresentCostSystem,Unmet country planning reserve costs: $m,307.63000100090926
NetPresentCostSystem,Unmet country spinning reserve costs: $m,1103.3178946081648
NetPresentCostSystem,Unmet demand costs: $m,63903.42442957158
NetPresentCostSystem,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystem,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystem,VRE curtailment: $m,0.0
NetPresentCostSystem,Variable O&M: $m,2655.808946229111
NetPresentCostSystemPerMWh,Carbon costs: $m,0.0
NetPresentCostSystemPerMWh,Excess generation: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with external zones: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,-49.18981626177971
NetPresentCostSystemPerMWh,Fixed O&M: $m,12.50901022847376
NetPresentCostSystemPerMWh,Fuel costs: $m,15.940881409703865
NetPresentCostSystemPerMWh,Generation costs: $m,0.0
NetPresentCostSystemPerMWh,Import costs with external zones: $m,0.0
NetPresentCostSystemPerMWh,Import costs with internal zones: $m,68.07744843398793
NetPresentCostSystemPerMWh,NPV of system cost: $m,231.13761041917547
NetPresentCostSystemPerMWh,Spinning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,Startup costs: $m,0.0
NetPresentCostSystemPerMWh,Trade shared benefits: $m,-18.88763217220823
NetPresentCostSystemPerMWh,Transmission costs: $m,0.0
NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,134.7119810202445
NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,0.1083264709150487
NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,0.3885139077185484
NetPresentCostSystemPerMWh,Unmet demand costs: $m,22.502462130868512
NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,VRE curtailment: $m,0.0
NetPresentCostSystemPerMWh,Variable O&M: $m,0.935196208541324
