country,zone,attribute,resolution,year,NoTransmission,TransmissionOptimal,baseline
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2026,2481.3,2481.3,2481.3
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2027,2130.8,2130.8,2130.8
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2028,2078.1,2078.1,2078.1
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2029,1546.1,1546.1,1546.1
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2030,2830.8,2830.8,2830.8
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2031,2745.6,2745.6,2745.6
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2032,2844.3,2844.3,2844.3
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2033,2676.5,2676.5,2676.5
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2034,2702.8,2702.8,2702.8
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2035,2772.2,2772.2,2772.2
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2040,2036.5,2036.5,2036.5
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2045,1947.7,1947.7,1947.7
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2050,2109.6,2109.6,2109.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2027,48.2,48.2,48.2
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2028,83.8,83.8,83.8
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2029,180.0,180.0,180.0
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2030,99.3,99.3,99.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2031,173.4,173.4,173.4
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2032,129.8,129.8,129.8
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2033,309.3,309.3,309.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2034,284.9,284.9,284.9
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2035,215.3,215.3,215.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2040,1488.8,1488.8,1488.8
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2045,1563.9,1563.9,1563.9
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2050,792.2,792.2,792.2
Benin,Benin,Capacity: MW,Battery,2027,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2028,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2029,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2030,5.0,5.0,5.0
Benin,Benin,Capacity: MW,Battery,2031,56.1,56.1,56.1
Benin,Benin,Capacity: MW,Battery,2032,58.8,58.8,58.8
Benin,Benin,Capacity: MW,Battery,2033,58.8,58.8,58.8
Benin,Benin,Capacity: MW,Battery,2034,172.5,172.5,172.5
Benin,Benin,Capacity: MW,Battery,2035,172.5,172.5,172.5
Benin,Benin,Capacity: MW,Battery,2040,1126.2,1126.2,1126.2
Benin,Benin,Capacity: MW,Battery,2045,1617.4,1617.4,1617.4
Benin,Benin,Capacity: MW,Battery,2050,2296.6,2296.6,2296.6
Benin,Benin,Capacity: MW,Diesel,2026,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2027,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2028,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2029,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2030,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2031,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2032,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2033,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2034,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2035,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2040,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Diesel,2045,137.0,137.0,137.0
Benin,Benin,Capacity: MW,Gas,2027,42.0,42.0,42.0
Benin,Benin,Capacity: MW,Gas,2028,42.0,42.0,42.0
Benin,Benin,Capacity: MW,Gas,2029,42.0,42.0,42.0
Benin,Benin,Capacity: MW,Gas,2030,292.0,292.0,292.0
Benin,Benin,Capacity: MW,Gas,2031,292.0,292.0,292.0
Benin,Benin,Capacity: MW,Gas,2032,292.0,292.0,292.0
Benin,Benin,Capacity: MW,Gas,2033,292.0,292.0,292.0
Benin,Benin,Capacity: MW,Gas,2034,292.0,292.0,292.0
Benin,Benin,Capacity: MW,Gas,2035,292.0,292.0,292.0
Benin,Benin,Capacity: MW,Gas,2040,292.0,292.0,292.0
Benin,Benin,Capacity: MW,Gas,2045,292.0,292.0,292.0
Benin,Benin,Capacity: MW,Gas,2050,292.0,292.0,292.0
Benin,Benin,Capacity: MW,PV,2026,87.0,87.0,87.0
Benin,Benin,Capacity: MW,PV,2027,137.0,137.0,137.0
Benin,Benin,Capacity: MW,PV,2028,362.0,362.0,362.0
Benin,Benin,Capacity: MW,PV,2029,512.0,512.0,512.0
Benin,Benin,Capacity: MW,PV,2030,762.0,762.0,762.0
Benin,Benin,Capacity: MW,PV,2031,1012.0,1012.0,1012.0
Benin,Benin,Capacity: MW,PV,2032,1262.0,1262.0,1262.0
Benin,Benin,Capacity: MW,PV,2033,1512.0,1512.0,1512.0
Benin,Benin,Capacity: MW,PV,2034,1762.0,1762.0,1762.0
Benin,Benin,Capacity: MW,PV,2035,2012.0,2012.0,2012.0
Benin,Benin,Capacity: MW,PV,2040,3262.0,3262.0,3262.0
Benin,Benin,Capacity: MW,PV,2045,4512.0,4512.0,4512.0
Benin,Benin,Capacity: MW,PV,2050,5750.0,5750.0,5750.0
Benin,Benin,Capacity: MW,Reservoir,2030,463.0,463.0,463.0
Benin,Benin,Capacity: MW,Reservoir,2031,463.0,463.0,463.0
