c,z,attribute,y,uni,value
Benin,Benin,Costs,2026.0,Carbon costs: $m,0
Benin,Benin,Costs,2026.0,Excess generation: $m,0
Benin,Benin,Costs,2026.0,Export revenues with external zones: $m,0
Benin,Benin,Costs,2026.0,Export revenues with internal zones: $m,-5001.200195829526
Benin,Benin,Costs,2026.0,Fixed O&M: $m,6.411
Benin,Benin,Costs,2026.0,Fuel costs: $m,110.17101599999994
Benin,Benin,Costs,2026.0,Generation costs: $m,0
Benin,Benin,Costs,2026.0,Import costs with external zones: $m,0
Benin,Benin,Costs,2026.0,Import costs with internal zones: $m,5931.22722697617
Benin,Benin,Costs,2026.0,NPV of system cost: $m,0
Benin,Benin,Costs,2026.0,Spinning reserve costs: $m,0
Benin,Benin,Costs,2026.0,Startup costs: $m,0
Benin,Benin,Costs,2026.0,Trade shared benefits: $m,2.2805579646956173e-15
Benin,Benin,Costs,2026.0,Transmission costs: $m,0
Benin,Benin,Costs,2026.0,Unmet country CO2 backstop cost: $m,0
Benin,Benin,Costs,2026.0,Unmet country planning reserve costs: $m,0
Benin,Benin,Costs,2026.0,Unmet country spinning reserve costs: $m,0
Benin,Benin,Costs,2026.0,Unmet demand costs: $m,1388.7765668533564
Benin,Benin,Costs,2026.0,Unmet system CO2 backstop cost: $m,0
Benin,Benin,Costs,2026.0,Unmet system planning reserve costs: $m,0
Benin,Benin,Costs,2026.0,Unmet system spinning reserve costs: $m,0
Benin,Benin,Costs,2026.0,VRE curtailment: $m,0
Benin,Benin,Costs,2026.0,Variable O&M: $m,7.650764999999996
Benin,Benin,Costs,2027.0,Carbon costs: $m,0
Benin,Benin,Costs,2027.0,Excess generation: $m,0
Benin,Benin,Costs,2027.0,Export revenues with external zones: $m,0
Benin,Benin,Costs,2027.0,Export revenues with internal zones: $m,-4363.85012422816
Benin,Benin,Costs,2027.0,Fixed O&M: $m,8.5903693
Benin,Benin,Costs,2027.0,Fuel costs: $m,123.18066719999997
Benin,Benin,Costs,2027.0,Generation costs: $m,0
Benin,Benin,Costs,2027.0,Import costs with external zones: $m,0
Benin,Benin,Costs,2027.0,Import costs with internal zones: $m,5900.227694066118
Benin,Benin,Costs,2027.0,NPV of system cost: $m,0
Benin,Benin,Costs,2027.0,Spinning reserve costs: $m,0
Benin,Benin,Costs,2027.0,Startup costs: $m,0
Benin,Benin,Costs,2027.0,Trade shared benefits: $m,4.7273260861402374e-14
Benin,Benin,Costs,2027.0,Transmission costs: $m,0
Benin,Benin,Costs,2027.0,Unmet country CO2 backstop cost: $m,0
Benin,Benin,Costs,2027.0,Unmet country planning reserve costs: $m,0
Benin,Benin,Costs,2027.0,Unmet country spinning reserve costs: $m,0
Benin,Benin,Costs,2027.0,Unmet demand costs: $m,345.8294801620439
Benin,Benin,Costs,2027.0,Unmet system CO2 backstop cost: $m,0
Benin,Benin,Costs,2027.0,Unmet system planning reserve costs: $m,0
Benin,Benin,Costs,2027.0,Unmet system spinning reserve costs: $m,0
Benin,Benin,Costs,2027.0,VRE curtailment: $m,0
Benin,Benin,Costs,2027.0,Variable O&M: $m,8.276228999999997
Benin,Benin,Costs,2028.0,Carbon costs: $m,0
Benin,Benin,Costs,2028.0,Excess generation: $m,0
Benin,Benin,Costs,2028.0,Export revenues with external zones: $m,0
Benin,Benin,Costs,2028.0,Export revenues with internal zones: $m,-4358.030692482168
Benin,Benin,Costs,2028.0,Fixed O&M: $m,12.4153693
Benin,Benin,Costs,2028.0,Fuel costs: $m,123.18066719999993
Benin,Benin,Costs,2028.0,Generation costs: $m,0
Benin,Benin,Costs,2028.0,Import costs with external zones: $m,0
Benin,Benin,Costs,2028.0,Import costs with internal zones: $m,5780.526807022158
Benin,Benin,Costs,2028.0,NPV of system cost: $m,0
Benin,Benin,Costs,2028.0,Spinning reserve costs: $m,0
Benin,Benin,Costs,2028.0,Startup costs: $m,0
Benin,Benin,Costs,2028.0,Trade shared benefits: $m,6.493792170658707e-15
Benin,Benin,Costs,2028.0,Transmission costs: $m,0
Benin,Benin,Costs,2028.0,Unmet country CO2 backstop cost: $m,0
Benin,Benin,Costs,2028.0,Unmet country planning reserve costs: $m,0
Benin,Benin,Costs,2028.0,Unmet country spinning reserve costs: $m,0
Benin,Benin,Costs,2028.0,Unmet demand costs: $m,203.60692546000618
Benin,Benin,Costs,2028.0,Unmet system CO2 backstop cost: $m,0
Benin,Benin,Costs,2028.0,Unmet system planning reserve costs: $m,0
Benin,Benin,Costs,2028.0,Unmet system spinning reserve costs: $m,0
Benin,Benin,Costs,2028.0,VRE curtailment: $m,0
Benin,Benin,Costs,2028.0,Variable O&M: $m,8.276228999999995
Benin,Benin,Costs,2029.0,Carbon costs: $m,0
Benin,Benin,Costs,2029.0,Excess generation: $m,0
Benin,Benin,Costs,2029.0,Export revenues with external zones: $m,0
Benin,Benin,Costs,2029.0,Export revenues with internal zones: $m,-3432.49708609242
Benin,Benin,Costs,2029.0,Fixed O&M: $m,14.9653693
Benin,Benin,Costs,2029.0,Fuel costs: $m,123.18066719999999
Benin,Benin,Costs,2029.0,Generation costs: $m,0
Benin,Benin,Costs,2029.0,Import costs with external zones: $m,0
Benin,Benin,Costs,2029.0,Import costs with internal zones: $m,4901.8935179875525
Benin,Benin,Costs,2029.0,NPV of system cost: $m,0
Benin,Benin,Costs,2029.0,Spinning reserve costs: $m,0
Benin,Benin,Costs,2029.0,Startup costs: $m,0
Benin,Benin,Costs,2029.0,Trade shared benefits: $m,1.39925759867765e-14
Benin,Benin,Costs,2029.0,Transmission costs: $m,0
Benin,Benin,Costs,2029.0,Unmet country CO2 backstop cost: $m,0
Benin,Benin,Costs,2029.0,Unmet country planning reserve costs: $m,0
Benin,Benin,Costs,2029.0,Unmet country spinning reserve costs: $m,0
Benin,Benin,Costs,2029.0,Unmet demand costs: $m,142.11284210486988
Benin,Benin,Costs,2029.0,Unmet system CO2 backstop cost: $m,0
Benin,Benin,Costs,2029.0,Unmet system planning reserve costs: $m,0
Benin,Benin,Costs,2029.0,Unmet system spinning reserve costs: $m,0
Benin,Benin,Costs,2029.0,VRE curtailment: $m,0
Benin,Benin,Costs,2029.0,Variable O&M: $m,8.276228999999999
Benin,Benin,Costs,2030.0,Carbon costs: $m,0
Benin,Benin,Costs,2030.0,Excess generation: $m,0
Benin,Benin,Costs,2030.0,Export revenues with external zones: $m,0
Benin,Benin,Costs,2030.0,Export revenues with internal zones: $m,-972.5874460445128
Benin,Benin,Costs,2030.0,Fixed O&M: $m,49.8653693
Benin,Benin,Costs,2030.0,Fuel costs: $m,90.44805119999997
Benin,Benin,Costs,2030.0,Generation costs: $m,0
Benin,Benin,Costs,2030.0,Import costs with external zones: $m,0
