c,z,attribute,y,uni,value
Angola,Angola_Central,CapexInvestmentComponent,2029,Transmission,250000000.0
Angola,Angola_Central,CapexInvestmentComponent,2032,Generation,23520000.0
Angola,Angola_Central,CapexInvestmentComponent,2033,Generation,23206400.0
Angola,Angola_Central,CapexInvestmentComponent,2034,Generation,22853600.0
Angola,Angola_Central,CapexInvestmentComponent,2035,Generation,22540000.0
Angola,Angola_Central,CapexInvestmentComponent,2040,Generation,104664000.0
Angola,Angola_Central,CapexInvestmentComponent,2045,Generation,96432000.0
Angola,Angola_Central,CapexInvestmentComponent,2050,Generation,781004000.0
Angola,Angola_Central,CapexInvestmentComponent,2050,StorageEnergy,12858864.386618188
Angola,Angola_Central,CapexInvestmentComponentCumulated,2029,Transmission,250000000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,Generation,23520000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2033,Generation,46726400.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2034,Generation,69580000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,Generation,92120000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,Generation,196784000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,Generation,293216000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,Generation,1074220000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,StorageEnergy,12858864.386618188
Angola,Angola_East,CapexInvestmentComponent,2028,Generation,92708024.0
Angola,Angola_East,CapexInvestmentComponent,2029,Generation,5437800.0
Angola,Angola_East,CapexInvestmentComponent,2030,Generation,5024400.0
Angola,Angola_East,CapexInvestmentComponent,2031,Generation,526945.8697508381
Angola,Angola_East,CapexInvestmentComponent,2032,Generation,292694800.4309777
Angola,Angola_East,CapexInvestmentComponent,2040,Transmission,29499699.34659973
Angola,Angola_East,CapexInvestmentComponent,2050,Transmission,6014379.751889214
Angola,Angola_East,CapexInvestmentComponentCumulated,2028,Generation,92708024.0
Angola,Angola_East,CapexInvestmentComponentCumulated,2029,Generation,98145824.0
Angola,Angola_East,CapexInvestmentComponentCumulated,2030,Generation,103170224.0
Angola,Angola_East,CapexInvestmentComponentCumulated,2031,Generation,103697169.86975084
Angola,Angola_East,CapexInvestmentComponentCumulated,2032,Generation,396391970.30072856
Angola,Angola_East,CapexInvestmentComponentCumulated,2040,Transmission,29499699.34659973
Angola,Angola_East,CapexInvestmentComponentCumulated,2050,Transmission,35514079.09848894
Angola,Angola_North,CapexInvestmentComponent,2027,Generation,7384800000.0
Angola,Angola_North,CapexInvestmentComponent,2040,Transmission,261574015.19811764
Angola,Angola_North,CapexInvestmentComponent,2045,Generation,-8.963136191385378e-07
Angola,Angola_North,CapexInvestmentComponent,2050,Generation,1938000000.0000007
Angola,Angola_North,CapexInvestmentComponent,2050,Transmission,3916177.295977784
Angola,Angola_North,CapexInvestmentComponentCumulated,2027,Generation,7384800000.0
Angola,Angola_North,CapexInvestmentComponentCumulated,2040,Transmission,261574015.19811764
Angola,Angola_North,CapexInvestmentComponentCumulated,2045,Generation,7384799999.999999
Angola,Angola_North,CapexInvestmentComponentCumulated,2050,Generation,9322800000.0
Angola,Angola_North,CapexInvestmentComponentCumulated,2050,Transmission,265490192.4940954
Angola,Angola_South,CapexInvestmentComponent,2027,Generation,25289880.0
Angola,Angola_South,CapexInvestmentComponent,2029,Transmission,290000000.0
Angola,Angola_South,CapexInvestmentComponent,2034,Generation,12063798.12602542
Angola,Angola_South,CapexInvestmentComponent,2035,Generation,28175000.0
Angola,Angola_South,CapexInvestmentComponent,2040,Generation,313992000.0
Angola,Angola_South,CapexInvestmentComponent,2045,Generation,26589469.94644842
Angola,Angola_South,CapexInvestmentComponent,2050,Generation,264012000.0
Angola,Angola_South,CapexInvestmentComponent,2050,StorageEnergy,34447777.777777776
Angola,Angola_South,CapexInvestmentComponentCumulated,2027,Generation,25289880.0
Angola,Angola_South,CapexInvestmentComponentCumulated,2029,Transmission,290000000.0
Angola,Angola_South,CapexInvestmentComponentCumulated,2034,Generation,37353678.12602542
Angola,Angola_South,CapexInvestmentComponentCumulated,2035,Generation,65528678.12602542
Angola,Angola_South,CapexInvestmentComponentCumulated,2040,Generation,379520678.12602544
Angola,Angola_South,CapexInvestmentComponentCumulated,2045,Generation,406110148.0724739
Angola,Angola_South,CapexInvestmentComponentCumulated,2050,Generation,670122148.0724739
Angola,Angola_South,CapexInvestmentComponentCumulated,2050,StorageEnergy,34447777.777777776
Botswana,Botswana,CapexInvestmentComponent,2026,Generation,70224000.0
Botswana,Botswana,CapexInvestmentComponent,2027,Generation,1711933440.0
Botswana,Botswana,CapexInvestmentComponent,2027,StorageEnergy,43181250.0
Botswana,Botswana,CapexInvestmentComponent,2028,Generation,1268400000.0
Botswana,Botswana,CapexInvestmentComponent,2029,Generation,45158400.0
Botswana,Botswana,CapexInvestmentComponent,2030,Generation,57010800.0
Botswana,Botswana,CapexInvestmentComponent,2031,Generation,56271600.0
Botswana,Botswana,CapexInvestmentComponent,2032,Generation,91726500.0
Botswana,Botswana,CapexInvestmentComponent,2033,Generation,145246750.0
Botswana,Botswana,CapexInvestmentComponent,2033,StorageEnergy,16301998.944000002
Botswana,Botswana,CapexInvestmentComponent,2034,Generation,143082750.0
Botswana,Botswana,CapexInvestmentComponent,2034,StorageEnergy,12891353.600999992
Botswana,Botswana,CapexInvestmentComponent,2034,Transmission,8420215.429631429
Botswana,Botswana,CapexInvestmentComponent,2035,Generation,155653000.0
Botswana,Botswana,CapexInvestmentComponent,2035,StorageEnergy,4898349.581999998
Botswana,Botswana,CapexInvestmentComponent,2040,Generation,160781231.59308115
Botswana,Botswana,CapexInvestmentComponent,2040,StorageEnergy,25020859.087716207
Botswana,Botswana,CapexInvestmentComponent,2040,Transmission,274568284.5703685
Botswana,Botswana,CapexInvestmentComponent,2045,Generation,89735000.0
Botswana,Botswana,CapexInvestmentComponent,2045,StorageEnergy,83029712.77354956
Botswana,Botswana,CapexInvestmentComponent,2045,Transmission,59030556.29746101
Botswana,Botswana,CapexInvestmentComponent,2050,Generation,513532400.0
Botswana,Botswana,CapexInvestmentComponent,2050,StorageEnergy,115557416.22323364
Botswana,Botswana,CapexInvestmentComponent,2050,Transmission,50772750.96786567
Botswana,Botswana,CapexInvestmentComponentCumulated,2026,Generation,70224000.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2027,Generation,1782157440.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2027,StorageEnergy,43181250.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2028,Generation,3050557440.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2029,Generation,3095715840.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2030,Generation,3152726640.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2031,Generation,3208998240.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2032,Generation,3300724740.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2033,Generation,3445971490.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2033,StorageEnergy,59483248.944000006
