c,z,attribute,y,value
Angola,Angola_Central,CapexInvestmentComponent,2029,250000000.0
Angola,Angola_Central,CapexInvestmentComponent,2032,23520000.0
Angola,Angola_Central,CapexInvestmentComponent,2033,23206400.0
Angola,Angola_Central,CapexInvestmentComponent,2034,22853600.0
Angola,Angola_Central,CapexInvestmentComponent,2035,22540000.0
Angola,Angola_Central,CapexInvestmentComponent,2040,104664000.0
Angola,Angola_Central,CapexInvestmentComponent,2045,96432000.0
Angola,Angola_Central,CapexInvestmentComponent,2050,167218575.6340176
Angola,Angola_Central,CapexInvestmentComponentCumulated,2029,250000000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,23520000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2033,46726400.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2034,69580000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,92120000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,196784000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,293216000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,460434575.6340176
Angola,Angola_Central,Costs,2025,14.97395930194936
Angola,Angola_Central,Costs,2026,68.38252575012895
Angola,Angola_Central,Costs,2027,15.131458398556772
Angola,Angola_Central,Costs,2028,15.217132272813046
Angola,Angola_Central,Costs,2029,3.089424841210795
Angola,Angola_Central,Costs,2030,85.31881221574449
Angola,Angola_Central,Costs,2031,90.67600703162488
Angola,Angola_Central,Costs,2032,92.63222789243582
Angola,Angola_Central,Costs,2033,76.59219550992121
Angola,Angola_Central,Costs,2034,76.73829306485484
Angola,Angola_Central,Costs,2035,65.71010436648508
Angola,Angola_Central,Costs,2040,166.8795022915188
Angola,Angola_Central,Costs,2045,139.87821691581323
Angola,Angola_Central,Costs,2050,159.68456247224802
Angola,Angola_Central,CostsPerMWh,2025,6.8938024216074645
Angola,Angola_Central,CostsPerMWh,2026,29.77149793478376
Angola,Angola_Central,CostsPerMWh,2027,6.230148828697352
Angola,Angola_Central,CostsPerMWh,2028,5.924843975460233
Angola,Angola_Central,CostsPerMWh,2029,1.1375420439059976
Angola,Angola_Central,CostsPerMWh,2030,29.70907274020057
Angola,Angola_Central,CostsPerMWh,2031,31.197770173516727
Angola,Angola_Central,CostsPerMWh,2032,31.49229637367721
Angola,Angola_Central,CostsPerMWh,2033,25.728001286504696
Angola,Angola_Central,CostsPerMWh,2034,25.47054444411968
Angola,Angola_Central,CostsPerMWh,2035,21.55021399746171
Angola,Angola_Central,CostsPerMWh,2040,52.87891247180467
Angola,Angola_Central,CostsPerMWh,2045,42.82473472721029
Angola,Angola_Central,CostsPerMWh,2050,43.84830437900685
Angola,Angola_Central,DemandEnergyZone,2025,2172.0900000000006
Angola,Angola_Central,DemandEnergyZone,2026,2296.912499999998
Angola,Angola_Central,DemandEnergyZone,2027,2428.747501
Angola,Angola_Central,DemandEnergyZone,2028,2568.36
Angola,Angola_Central,DemandEnergyZone,2029,2715.8774990000024
Angola,Angola_Central,DemandEnergyZone,2030,2871.810000999999
Angola,Angola_Central,DemandEnergyZone,2031,2906.4900000000066
Angola,Angola_Central,DemandEnergyZone,2032,2941.425001000001
Angola,Angola_Central,DemandEnergyZone,2033,2976.997499999997
Angola,Angola_Central,DemandEnergyZone,2034,3012.8250000000003
Angola,Angola_Central,DemandEnergyZone,2035,3049.162498999999
Angola,Angola_Central,DemandEnergyZone,2040,3155.879999999998
Angola,Angola_Central,DemandEnergyZone,2045,3266.294999999999
Angola,Angola_Central,DemandEnergyZone,2050,3641.749999999997
Angola,Angola_Central,DemandPeakZone,2025,352.7211
Angola,Angola_Central,DemandPeakZone,2026,377.4561
Angola,Angola_Central,DemandPeakZone,2027,404.046225
Angola,Angola_Central,DemandPeakZone,2028,432.3678
Angola,Angola_Central,DemandPeakZone,2029,462.668175
Angola,Angola_Central,DemandPeakZone,2030,495.1947
Angola,Angola_Central,DemandPeakZone,2031,501.1311
Angola,Angola_Central,DemandPeakZone,2032,507.191175
Angola,Angola_Central,DemandPeakZone,2033,513.25125
Angola,Angola_Central,DemandPeakZone,2034,519.435
Angola,Angola_Central,DemandPeakZone,2035,525.742425
Angola,Angola_Central,DemandPeakZone,2040,544.17
Angola,Angola_Central,DemandPeakZone,2045,563.21595
Angola,Angola_Central,DemandPeakZone,2050,652.921649037
Angola,Angola_Central,GenCostsPerMWh,2025,55.30145920249805
Angola,Angola_Central,GenCostsPerMWh,2026,31.39043221263171
Angola,Angola_Central,GenCostsPerMWh,2027,55.30145920249805
Angola,Angola_Central,GenCostsPerMWh,2028,55.30145920249805
Angola,Angola_Central,GenCostsPerMWh,2029,28.88154116340522
Angola,Angola_Central,GenCostsPerMWh,2030,25.53232818899093
Angola,Angola_Central,GenCostsPerMWh,2031,25.409724655831173
Angola,Angola_Central,GenCostsPerMWh,2032,27.561712176563606
Angola,Angola_Central,GenCostsPerMWh,2033,29.107284532664263
Angola,Angola_Central,GenCostsPerMWh,2034,28.80124792200063
Angola,Angola_Central,GenCostsPerMWh,2035,29.746794018103568
Angola,Angola_Central,GenCostsPerMWh,2040,29.24943041475981
Angola,Angola_Central,GenCostsPerMWh,2045,30.18309161154318
Angola,Angola_Central,GenCostsPerMWh,2050,30.97092592841701
Angola,Angola_East,CapexInvestmentComponent,2028,92708024.0
Angola,Angola_East,CapexInvestmentComponent,2029,5437800.0
Angola,Angola_East,CapexInvestmentComponent,2030,5024400.0
Angola,Angola_East,CapexInvestmentComponent,2031,867408.7526133974
Angola,Angola_East,CapexInvestmentComponent,2032,286739131.8119487
Angola,Angola_East,CapexInvestmentComponent,2040,25671014.0203581
Angola,Angola_East,CapexInvestmentComponentCumulated,2028,92708024.0
Angola,Angola_East,CapexInvestmentComponentCumulated,2029,98145824.0
Angola,Angola_East,CapexInvestmentComponentCumulated,2030,103170224.0
Angola,Angola_East,CapexInvestmentComponentCumulated,2031,104037632.7526134
Angola,Angola_East,CapexInvestmentComponentCumulated,2032,390776764.5645621
Angola,Angola_East,CapexInvestmentComponentCumulated,2040,25671014.0203581
Angola,Angola_East,Costs,2025,74.98281826564656
Angola,Angola_East,Costs,2026,81.47698694285353
Angola,Angola_East,Costs,2027,88.19342109026191
Angola,Angola_East,Costs,2028,73.7240005212911
Angola,Angola_East,Costs,2029,78.83320302914846
Angola,Angola_East,Costs,2030,84.39454772567075
Angola,Angola_East,Costs,2031,86.08516710189218
Angola,Angola_East,Costs,2032,54.20449026438536
Angola,Angola_East,Costs,2033,55.03412519586853
Angola,Angola_East,Costs,2034,55.940142961009
Angola,Angola_East,Costs,2035,56.89771313737971
Angola,Angola_East,Costs,2040,41.21044787745063
Angola,Angola_East,Costs,2045,36.55693075543339
Angola,Angola_East,Costs,2050,37.4852743080647
Angola,Angola_East,CostsPerMWh,2025,174.66005290767657
Angola,Angola_East,CostsPerMWh,2026,179.4734258596369
Angola,Angola_East,CostsPerMWh,2027,183.7229739841558
Angola,Angola_East,CostsPerMWh,2028,145.2321076370983
Angola,Angola_East,CostsPerMWh,2029,146.8617298760001
Angola,Angola_East,CostsPerMWh,2030,148.6854017281077
Angola,Angola_East,CostsPerMWh,2031,149.85427529386254
Angola,Angola_East,CostsPerMWh,2032,93.23675054825894
Angola,Angola_East,CostsPerMWh,2033,93.53265053535802
Angola,Angola_East,CostsPerMWh,2034,93.94189347850984
Angola,Angola_East,CostsPerMWh,2035,94.4112799412282
Angola,Angola_East,CostsPerMWh,2040,66.06881193317665
Angola,Angola_East,CostsPerMWh,2045,56.62705345360066
Angola,Angola_East,CostsPerMWh,2050,52.07879394824069
Angola,Angola_East,DemandEnergyZone,2025,429.3072000000004
Angola,Angola_East,DemandEnergyZone,2026,453.9780000999997
Angola,Angola_East,DemandEnergyZone,2027,480.0348001000009
Angola,Angola_East,DemandEnergyZone,2028,507.62880000000047
Angola,Angola_East,DemandEnergyZone,2029,536.7851998999995
Angola,Angola_East,DemandEnergyZone,2030,567.6048000999998
Angola,Angola_East,DemandEnergyZone,2031,574.459200000001
Angola,Angola_East,DemandEnergyZone,2032,581.3640001999999
Angola,Angola_East,DemandEnergyZone,2033,588.3947998999992
Angola,Angola_East,DemandEnergyZone,2034,595.4759999999986
Angola,Angola_East,DemandEnergyZone,2035,602.6579999000015
Angola,Angola_East,DemandEnergyZone,2040,623.7504001000008
Angola,Angola_East,DemandEnergyZone,2045,645.5735999999996
Angola,Angola_East,DemandEnergyZone,2050,719.7800000000004
Angola,Angola_East,DemandPeakZone,2025,68.27688
Angola,Angola_East,DemandPeakZone,2026,73.06487999999999
Angola,Angola_East,DemandPeakZone,2027,78.21198
Angola,Angola_East,DemandPeakZone,2028,83.69424
Angola,Angola_East,DemandPeakZone,2029,89.55954
Angola,Angola_East,DemandPeakZone,2030,95.85576
Angola,Angola_East,DemandPeakZone,2031,97.00488
Angola,Angola_East,DemandPeakZone,2032,98.17794
Angola,Angola_East,DemandPeakZone,2033,99.351
Angola,Angola_East,DemandPeakZone,2034,100.548
Angola,Angola_East,DemandPeakZone,2035,101.76894
Angola,Angola_East,DemandPeakZone,2040,105.33599999999998
Angola,Angola_East,DemandPeakZone,2045,109.02276
Angola,Angola_East,DemandPeakZone,2050,126.38725918999998
Angola,Angola_East,EmissionsIntensityZone,2025,5.930629943179149e-07
Angola,Angola_East,EmissionsIntensityZone,2026,6.055694683354765e-07
Angola,Angola_East,EmissionsIntensityZone,2027,6.173826852861957e-07
Angola,Angola_East,EmissionsIntensityZone,2028,4.047851374246174e-07
Angola,Angola_East,EmissionsIntensityZone,2029,4.071506317837701e-07
Angola,Angola_East,EmissionsIntensityZone,2030,4.103583746900943e-07
Angola,Angola_East,EmissionsIntensityZone,2031,4.113535689728933e-07
Angola,Angola_East,EmissionsIntensityZone,2032,5.7416318585910456e-08
Angola,Angola_East,EmissionsIntensityZone,2033,6.096550631641933e-08
Angola,Angola_East,EmissionsIntensityZone,2034,6.461965351258784e-08
Angola,Angola_East,EmissionsIntensityZone,2035,6.845804811996912e-08
Angola,Angola_East,EmissionsZone,2025,0.2546062135142402
Angola,Angola_East,EmissionsZone,2026,0.2749152161565598
Angola,Angola_East,EmissionsZone,2027,0.2963651739165603
Angola,Angola_East,EmissionsZone,2028,0.2054805935686937
Angola,Angola_East,EmissionsZone,2029,0.2185524332714621
Angola,Angola_East,EmissionsZone,2030,0.2329213832353315
Angola,Angola_East,EmissionsZone,2031,0.2363058421493134
Angola,Angola_East,EmissionsZone,2032,0.0333797806498625
Angola,Angola_East,EmissionsZone,2033,0.0358717868898518
Angola,Angola_East,EmissionsZone,2034,0.0384794527950617
Angola,Angola_East,EmissionsZone,2035,0.0412567903570387
Angola,Angola_East,GenCostsPerMWh,2025,137.41184121819106
Angola,Angola_East,GenCostsPerMWh,2026,140.90788431408882
Angola,Angola_East,GenCostsPerMWh,2027,144.36407247232958
Angola,Angola_East,GenCostsPerMWh,2028,118.10565497696996
Angola,Angola_East,GenCostsPerMWh,2029,119.2282501137339
Angola,Angola_East,GenCostsPerMWh,2030,120.46146256966726
