c,z,attribute,y,uni,value
Angola,Angola_Central,CapexInvestmentComponent,2029,Transmission,250000000.0
Angola,Angola_Central,CapexInvestmentComponent,2031,Generation,14762566.665741611
Angola,Angola_Central,CapexInvestmentComponent,2032,Generation,23520000.0
Angola,Angola_Central,CapexInvestmentComponent,2033,Generation,23206400.0
Angola,Angola_Central,CapexInvestmentComponent,2034,Generation,22853600.0
Angola,Angola_Central,CapexInvestmentComponent,2035,Generation,22540000.0
Angola,Angola_Central,CapexInvestmentComponent,2040,Generation,104664000.0
Angola,Angola_Central,CapexInvestmentComponent,2045,Generation,96432000.0
Angola,Angola_Central,CapexInvestmentComponent,2050,Generation,804778662.5454316
Angola,Angola_Central,CapexInvestmentComponent,2050,StorageEnergy,35306353.10085434
Angola,Angola_Central,CapexInvestmentComponentCumulated,2029,Transmission,250000000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2031,Generation,14762566.665741611
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,Generation,38282566.66574161
Angola,Angola_Central,CapexInvestmentComponentCumulated,2033,Generation,61488966.66574161
Angola,Angola_Central,CapexInvestmentComponentCumulated,2034,Generation,84342566.66574161
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,Generation,106882566.6657416
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,Generation,211546566.6657416
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,Generation,307978566.6657416
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,Generation,1112757229.2111733
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,StorageEnergy,35306353.10085434
Angola,Angola_East,CapexInvestmentComponent,2028,Generation,92708024.0
Angola,Angola_East,CapexInvestmentComponent,2029,Generation,5437800.0
Angola,Angola_East,CapexInvestmentComponent,2030,Generation,5024400.0
Angola,Angola_East,CapexInvestmentComponent,2032,Generation,300611651.9689142
Angola,Angola_East,CapexInvestmentComponent,2040,Transmission,92286050.06519504
Angola,Angola_East,CapexInvestmentComponent,2045,Transmission,16486268.446675308
Angola,Angola_East,CapexInvestmentComponent,2050,Generation,50288348.03108575
Angola,Angola_East,CapexInvestmentComponent,2050,Transmission,27166006.55859232
