attribute,uni,value
NetPresentCostSystem,Carbon costs: $m,83440.65224728268
NetPresentCostSystem,Excess generation: $m,0.0
NetPresentCostSystem,Export revenues with external zones: $m,0.0
NetPresentCostSystem,Export revenues with internal zones: $m,-181955.00445262468
NetPresentCostSystem,Fixed O&M: $m,53398.44944416981
NetPresentCostSystem,Fuel costs: $m,15926.883946050875
NetPresentCostSystem,Generation costs: $m,0.0
NetPresentCostSystem,Import costs with external zones: $m,0.0
NetPresentCostSystem,Import costs with internal zones: $m,306211.3705412558
NetPresentCostSystem,Investment costs: $m,54364.14950605501
NetPresentCostSystem,NPV of system cost: $m,757173.6728641731
NetPresentCostSystem,Spinning reserve costs: $m,1709.5784842335122
NetPresentCostSystem,Startup costs: $m,0.0
NetPresentCostSystem,Trade shared benefits: $m,-124256.36608863114
NetPresentCostSystem,Transmission costs: $m,1584.022239637071
NetPresentCostSystem,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet country planning reserve costs: $m,992.0001248542592
NetPresentCostSystem,Unmet country spinning reserve costs: $m,51.56632602822052
NetPresentCostSystem,Unmet demand costs: $m,539540.1973168278
NetPresentCostSystem,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystem,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystem,VRE curtailment: $m,0.0
NetPresentCostSystem,Variable O&M: $m,6166.173229033604
NetPresentCostSystemPerMWh,Carbon costs: $m,16.03381472627655
NetPresentCostSystemPerMWh,Excess generation: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with external zones: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,-34.96416616286959
NetPresentCostSystemPerMWh,Fixed O&M: $m,10.26095580510214
NetPresentCostSystemPerMWh,Fuel costs: $m,3.060483103620567
NetPresentCostSystemPerMWh,Generation costs: $m,0.0
NetPresentCostSystemPerMWh,Import costs with external zones: $m,0.0
NetPresentCostSystemPerMWh,Import costs with internal zones: $m,58.84105948485804
NetPresentCostSystemPerMWh,Investment costs: $m,10.446523097020393
NetPresentCostSystemPerMWh,NPV of system cost: $m,145.49721340072395
NetPresentCostSystemPerMWh,Spinning reserve costs: $m,0.3285097124480052
NetPresentCostSystemPerMWh,Startup costs: $m,0.0
NetPresentCostSystemPerMWh,Trade shared benefits: $m,-23.87689332198845
NetPresentCostSystemPerMWh,Transmission costs: $m,0.3043830366686705
NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,0.1906210675729033
NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,0.009908898065669
NetPresentCostSystemPerMWh,Unmet demand costs: $m,103.67713252671076
NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,VRE curtailment: $m,0.0
NetPresentCostSystemPerMWh,Variable O&M: $m,1.1848814272382553
