c,z,attribute,y,uni,value
Angola,Angola_Central,CongestionShare,2025,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2026,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2027,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2028,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2040,Angola_North,0.0228310502283105
Angola,Angola_Central,CongestionShare,2045,Angola_North,0.0924657534246575
Angola,Angola_Central,CongestionShare,2050,Angola_North,0.2485159817351598
Angola,Angola_Central,Interchange,2029,Angola_South,4233.717679721983
Angola,Angola_Central,Interchange,2030,Angola_South,4066.902116525572
Angola,Angola_Central,Interchange,2031,Angola_South,3960.727275306176
Angola,Angola_Central,Interchange,2032,Angola_South,3870.7316414231896
Angola,Angola_Central,Interchange,2033,Angola_South,3738.9486080332695
Angola,Angola_Central,Interchange,2034,Angola_South,3644.781169009537
Angola,Angola_Central,Interchange,2035,Angola_South,3521.69606406996
Angola,Angola_Central,Interchange,2040,Angola_North,871.1066198050671
Angola,Angola_Central,Interchange,2040,Angola_South,528.3393716943683
Angola,Angola_Central,Interchange,2045,Angola_North,1497.1034638129586
Angola,Angola_Central,Interchange,2045,Angola_South,805.4841597976907
Angola,Angola_Central,Interchange,2050,Angola_North,2351.9315558126195
Angola,Angola_Central,Interchange,2050,Angola_South,314.71831278105253
Angola,Angola_Central,InterconUtilization,2029,Angola_South,0.5370012277678821
Angola,Angola_Central,InterconUtilization,2030,Angola_South,0.5158424805334312
Angola,Angola_Central,InterconUtilization,2031,Angola_South,0.5023753520175261
Angola,Angola_Central,InterconUtilization,2032,Angola_South,0.49096038069802
Angola,Angola_Central,InterconUtilization,2033,Angola_South,0.4742451303948845
Angola,Angola_Central,InterconUtilization,2034,Angola_South,0.4623010107825389
Angola,Angola_Central,InterconUtilization,2035,Angola_South,0.4466889984868036
Angola,Angola_Central,InterconUtilization,2040,Angola_North,0.1243017436936454
Angola,Angola_Central,InterconUtilization,2040,Angola_South,0.0670141262930451
Angola,Angola_Central,InterconUtilization,2045,Angola_North,0.2136277773705706
Angola,Angola_Central,InterconUtilization,2045,Angola_South,0.1021669406136086
Angola,Angola_Central,InterconUtilization,2050,Angola_North,0.3356066717769149
Angola,Angola_Central,InterconUtilization,2050,Angola_South,0.0399186089270741
Angola,Angola_Central,NetImport,2029,Angola_South,-4.233717679721983
Angola,Angola_Central,NetImport,2030,Angola_South,-4.066902116525572
Angola,Angola_Central,NetImport,2031,Angola_South,-3.960727275306176
Angola,Angola_Central,NetImport,2032,Angola_South,-3.87073164142319
Angola,Angola_Central,NetImport,2033,Angola_South,-3.7389486080332697
Angola,Angola_Central,NetImport,2034,Angola_South,-3.644781169009537
Angola,Angola_Central,NetImport,2035,Angola_South,-3.52169606406996
