c,z,attribute,y,uni,value
Angola,Angola_Central,CapexInvestmentComponent,2029,Transmission,250000000.0
Angola,Angola_Central,CapexInvestmentComponent,2050,Generation,705904763.7108229
Angola,Angola_Central,CapexInvestmentComponentCumulated,2029,Transmission,250000000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,Generation,705904763.7108229
Angola,Angola_East,CapexInvestmentComponent,2028,Generation,92708024.0
Angola,Angola_East,CapexInvestmentComponent,2029,Generation,5437800.0
Angola,Angola_East,CapexInvestmentComponent,2030,Generation,5024400.0
Angola,Angola_East,CapexInvestmentComponent,2031,Generation,4960800.0
Angola,Angola_East,CapexInvestmentComponent,2032,Generation,313668326.0398821
Angola,Angola_East,CapexInvestmentComponent,2033,Generation,4915077.9831629405
Angola,Angola_East,CapexInvestmentComponent,2034,Generation,4793850.0
Angola,Angola_East,CapexInvestmentComponent,2035,Generation,4738200.0
Angola,Angola_East,CapexInvestmentComponent,2040,Generation,31430040.34369816
Angola,Angola_East,CapexInvestmentComponent,2045,Generation,45144633.00907967
Angola,Angola_East,CapexInvestmentComponent,2050,Generation,19398000.0
Angola,Angola_East,CapexInvestmentComponentCumulated,2028,Generation,92708024.0
Angola,Angola_East,CapexInvestmentComponentCumulated,2029,Generation,98145824.0
Angola,Angola_East,CapexInvestmentComponentCumulated,2030,Generation,103170224.0
Angola,Angola_East,CapexInvestmentComponentCumulated,2031,Generation,108131024.0
Angola,Angola_East,CapexInvestmentComponentCumulated,2032,Generation,421799350.0398821
Angola,Angola_East,CapexInvestmentComponentCumulated,2033,Generation,426714428.02304506
Angola,Angola_East,CapexInvestmentComponentCumulated,2034,Generation,431508278.02304506
Angola,Angola_East,CapexInvestmentComponentCumulated,2035,Generation,436246478.02304506
Angola,Angola_East,CapexInvestmentComponentCumulated,2040,Generation,467676518.3667432
Angola,Angola_East,CapexInvestmentComponentCumulated,2045,Generation,512821151.3758229
Angola,Angola_East,CapexInvestmentComponentCumulated,2050,Generation,532219151.3758229
Angola,Angola_North,CapexInvestmentComponent,2027,Generation,7384800000.0
Angola,Angola_North,CapexInvestmentComponent,2050,Generation,206691886.85713333
Angola,Angola_North,CapexInvestmentComponentCumulated,2027,Generation,7384800000.0
Angola,Angola_North,CapexInvestmentComponentCumulated,2050,Generation,7591491886.857133
Angola,Angola_South,CapexInvestmentComponent,2027,Generation,25289880.0
Angola,Angola_South,CapexInvestmentComponent,2029,Transmission,290000000.0
Angola,Angola_South,CapexInvestmentComponent,2050,Generation,264012000.0
Angola,Angola_South,CapexInvestmentComponentCumulated,2027,Generation,25289880.0
Angola,Angola_South,CapexInvestmentComponentCumulated,2029,Transmission,290000000.0
Angola,Angola_South,CapexInvestmentComponentCumulated,2050,Generation,289301880.0
Botswana,Botswana,CapexInvestmentComponent,2026,Generation,70224000.0
Botswana,Botswana,CapexInvestmentComponent,2027,Generation,1711933440.0
Botswana,Botswana,CapexInvestmentComponent,2027,StorageEnergy,43181250.0
Botswana,Botswana,CapexInvestmentComponent,2028,Generation,1268400000.0
Botswana,Botswana,CapexInvestmentComponent,2029,Generation,45158400.0
Botswana,Botswana,CapexInvestmentComponent,2030,Generation,57010800.0
Botswana,Botswana,CapexInvestmentComponent,2031,Generation,56271600.0
Botswana,Botswana,CapexInvestmentComponent,2032,Generation,91726500.0
Botswana,Botswana,CapexInvestmentComponent,2033,Generation,145246750.0
Botswana,Botswana,CapexInvestmentComponent,2033,StorageEnergy,16618240.10957537
Botswana,Botswana,CapexInvestmentComponent,2034,Generation,143082750.0
Botswana,Botswana,CapexInvestmentComponent,2034,StorageEnergy,23387572.27495302
Botswana,Botswana,CapexInvestmentComponent,2035,Generation,102876597.87182938
Botswana,Botswana,CapexInvestmentComponent,2035,StorageEnergy,2112656.143328513
Botswana,Botswana,CapexInvestmentComponent,2040,Generation,112149778.34433426
Botswana,Botswana,CapexInvestmentComponent,2040,StorageEnergy,59455323.85249772
Botswana,Botswana,CapexInvestmentComponent,2045,Generation,134082770.74157068
Botswana,Botswana,CapexInvestmentComponent,2045,StorageEnergy,120313903.26088735
Botswana,Botswana,CapexInvestmentComponent,2050,Generation,200162756.8514377
Botswana,Botswana,CapexInvestmentComponent,2050,StorageEnergy,66420348.9778432
Botswana,Botswana,CapexInvestmentComponentCumulated,2026,Generation,70224000.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2027,Generation,1782157440.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2027,StorageEnergy,43181250.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2028,Generation,3050557440.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2029,Generation,3095715840.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2030,Generation,3152726640.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2031,Generation,3208998240.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2032,Generation,3300724740.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2033,Generation,3445971490.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2033,StorageEnergy,59799490.10957537
Botswana,Botswana,CapexInvestmentComponentCumulated,2034,Generation,3589054240.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2034,StorageEnergy,83187062.3845284
Botswana,Botswana,CapexInvestmentComponentCumulated,2035,Generation,3691930837.8718295
Botswana,Botswana,CapexInvestmentComponentCumulated,2035,StorageEnergy,85299718.5278569
Botswana,Botswana,CapexInvestmentComponentCumulated,2040,Generation,3804080616.216164
Botswana,Botswana,CapexInvestmentComponentCumulated,2040,StorageEnergy,144755042.3803546
Botswana,Botswana,CapexInvestmentComponentCumulated,2045,Generation,3938163386.957734
Botswana,Botswana,CapexInvestmentComponentCumulated,2045,StorageEnergy,265068945.641242
Botswana,Botswana,CapexInvestmentComponentCumulated,2050,Generation,4138326143.809172
Botswana,Botswana,CapexInvestmentComponentCumulated,2050,StorageEnergy,331489294.6190852
DRC,DRC,CapexInvestmentComponent,2025,Generation,302400000.0
DRC,DRC,CapexInvestmentComponent,2026,Generation,54344000.0
DRC,DRC,CapexInvestmentComponent,2027,Generation,397032800.0
DRC,DRC,CapexInvestmentComponent,2028,Generation,449088400.0
DRC,DRC,CapexInvestmentComponent,2029,Generation,282556800.0
DRC,DRC,CapexInvestmentComponent,2030,Generation,321020400.0
DRC,DRC,CapexInvestmentComponent,2031,Generation,464962800.0
DRC,DRC,CapexInvestmentComponent,2032,Generation,270537600.0
DRC,DRC,CapexInvestmentComponent,2033,Generation,269243200.0
DRC,DRC,CapexInvestmentComponent,2034,Generation,2227771600.0
DRC,DRC,CapexInvestmentComponent,2035,Generation,2288577200.0
DRC,DRC,CapexInvestmentComponent,2040,Generation,12143500000.0
DRC,DRC,CapexInvestmentComponent,2045,Generation,8871304000.0
DRC,DRC,CapexInvestmentComponent,2050,Generation,1474298000.0
DRC,DRC,CapexInvestmentComponent,2050,StorageEnergy,80752000.0
DRC,DRC,CapexInvestmentComponentCumulated,2025,Generation,302400000.0
DRC,DRC,CapexInvestmentComponentCumulated,2026,Generation,356744000.0
DRC,DRC,CapexInvestmentComponentCumulated,2027,Generation,753776800.0
DRC,DRC,CapexInvestmentComponentCumulated,2028,Generation,1202865200.0
DRC,DRC,CapexInvestmentComponentCumulated,2029,Generation,1485422000.0
DRC,DRC,CapexInvestmentComponentCumulated,2030,Generation,1806442400.0
DRC,DRC,CapexInvestmentComponentCumulated,2031,Generation,2271405200.0
DRC,DRC,CapexInvestmentComponentCumulated,2032,Generation,2541942800.0
DRC,DRC,CapexInvestmentComponentCumulated,2033,Generation,2811186000.0
DRC,DRC,CapexInvestmentComponentCumulated,2034,Generation,5038957600.0
DRC,DRC,CapexInvestmentComponentCumulated,2035,Generation,7327534800.0
