c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,84739.8936831698
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-148597.63807408305
System,System,NetPresentCostSystem,Fixed O&M: $m,,53568.39884520607
System,System,NetPresentCostSystem,Fuel costs: $m,,19090.86347681744
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,273975.1853969427
System,System,NetPresentCostSystem,Investment costs: $m,,55231.05802744546
System,System,NetPresentCostSystem,NPV of system cost: $m,,786786.9319580595
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,1636.0074143615998
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-125377.5473228597
System,System,NetPresentCostSystem,Transmission costs: $m,,683.7696353790033
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,1156.544027780873
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,37.95705155742012
System,System,NetPresentCostSystem,Unmet demand costs: $m,,564390.4266719231
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,6252.013124419017
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,16.283474764958644
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-28.55427101146297
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,10.293612994801247
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,3.6684680633222047
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,52.64660862469356
System,System,NetPresentCostSystemPerMWh,Investment costs: $m,,10.613106773468791
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,151.18764722362187
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.3143724199919937
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-24.092337613230605
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.1313920176058744
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.2222395458902235
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.0072937628821953
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,108.45231060422934
System,System,NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Variable O&M: $m,,1.201376276471382
Angola,Angola_Central,CongestionShare,Angola_South,2025,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2026,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2027,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2028,1.0
Angola,Angola_Central,Interchange,Angola_South,2029,4233.717679721983
Angola,Angola_Central,Interchange,Angola_South,2030,4066.9021165255726
Angola,Angola_Central,Interchange,Angola_South,2031,3931.879617806145
Angola,Angola_Central,Interchange,Angola_South,2032,3795.4977673066287
Angola,Angola_Central,Interchange,Angola_South,2033,3618.004831997994
Angola,Angola_Central,Interchange,Angola_South,2034,3478.980911245893
Angola,Angola_Central,Interchange,Angola_South,2035,3248.465861235976
Angola,Angola_Central,Interchange,Angola_North,2040,5.436648625334855
Angola,Angola_Central,Interchange,Angola_South,2040,2747.5413896169466
Angola,Angola_Central,Interchange,Angola_North,2045,6.8830116222242825
Angola,Angola_Central,Interchange,Angola_South,2045,2137.153443867849
Angola,Angola_Central,Interchange,Angola_North,2050,357.55480938601016
Angola,Angola_Central,Interchange,Angola_South,2050,1667.1311374793213
Angola,Angola_Central,InterconUtilization,Angola_South,2029,0.5370012277678821
Angola,Angola_Central,InterconUtilization,Angola_South,2030,0.5158424805334313
Angola,Angola_Central,InterconUtilization,Angola_South,2031,0.4987163391433467
Angola,Angola_Central,InterconUtilization,Angola_South,2032,0.4814177787045445
Angola,Angola_Central,InterconUtilization,Angola_South,2033,0.4589047224756462
Angola,Angola_Central,InterconUtilization,Angola_South,2034,0.4412710440443801
Angola,Angola_Central,InterconUtilization,Angola_South,2035,0.4120327069046138
Angola,Angola_Central,InterconUtilization,Angola_North,2040,0.0007757774864918
Angola,Angola_Central,InterconUtilization,Angola_South,2040,0.3484958637261475
Angola,Angola_Central,InterconUtilization,Angola_North,2045,0.0009821649004315
Angola,Angola_Central,InterconUtilization,Angola_South,2045,0.2710747645697424
Angola,Angola_Central,InterconUtilization,Angola_North,2050,0.0510209488279124
Angola,Angola_Central,InterconUtilization,Angola_South,2050,0.2114575263165044
Angola,Angola_Central,NetImport,Angola_South,2029,-4.233717679721983
Angola,Angola_Central,NetImport,Angola_South,2030,-4.066902116525573
Angola,Angola_Central,NetImport,Angola_South,2031,-3.931879617806145
Angola,Angola_Central,NetImport,Angola_South,2032,-3.7954977673066286
Angola,Angola_Central,NetImport,Angola_South,2033,-3.618004831997994
Angola,Angola_Central,NetImport,Angola_South,2034,-3.478980911245893
Angola,Angola_Central,NetImport,Angola_South,2035,-3.248465861235976
Angola,Angola_Central,NetImport,Angola_North,2040,-0.0054366486253348
Angola,Angola_Central,NetImport,Angola_South,2040,-2.7475413896169467
Angola,Angola_Central,NetImport,Angola_North,2045,-0.0068830116222242
Angola,Angola_Central,NetImport,Angola_South,2045,-2.137153443867849
Angola,Angola_Central,NetImport,Angola_North,2050,-0.3575548093860102
Angola,Angola_Central,NetImport,Angola_South,2050,-1.6671311374793214
Angola,Angola_Central,NewTransmissionCapacity,Angola_South,2029,900.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2025,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2026,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2027,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2028,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2029,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2029,900.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2030,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2030,900.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2031,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2031,900.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2032,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2032,900.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2033,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2033,900.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2034,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2034,900.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2035,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2035,900.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2040,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2040,900.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2045,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2045,900.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2050,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2050,900.0
Angola,Angola_East,CongestionShare,Angola_North,2025,1.0
Angola,Angola_East,CongestionShare,DRC,2025,1.0
