attribute,uni,value
NetPresentCostSystem,Carbon costs: $m,92964.11954320205
NetPresentCostSystem,Excess generation: $m,0.0
NetPresentCostSystem,Export revenues with external zones: $m,0.0
NetPresentCostSystem,Export revenues with internal zones: $m,-183966.32410869343
NetPresentCostSystem,Fixed O&M: $m,51283.03882642806
NetPresentCostSystem,Fuel costs: $m,15786.1517442301
NetPresentCostSystem,Generation costs: $m,0.0
NetPresentCostSystem,Import costs with external zones: $m,0.0
NetPresentCostSystem,Import costs with internal zones: $m,314922.59290937777
NetPresentCostSystem,Investment costs: $m,50885.56363567125
NetPresentCostSystem,NPV of system cost: $m,960561.7440509116
NetPresentCostSystem,Spinning reserve costs: $m,1301.4872670563448
NetPresentCostSystem,Startup costs: $m,0.0
NetPresentCostSystem,Trade shared benefits: $m,-130956.2688006844
NetPresentCostSystem,Transmission costs: $m,1522.9060331069868
NetPresentCostSystem,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet country planning reserve costs: $m,992.337055726507
NetPresentCostSystem,Unmet country spinning reserve costs: $m,32.857511237407834
NetPresentCostSystem,Unmet demand costs: $m,542411.3813147498
NetPresentCostSystem,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystem,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystem,VRE curtailment: $m,0.0
NetPresentCostSystem,Variable O&M: $m,6711.112271631269
NetPresentCostSystemPerMWh,Carbon costs: $m,17.863828107787455
NetPresentCostSystemPerMWh,Excess generation: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with external zones: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,-35.35065794897347
NetPresentCostSystemPerMWh,Fixed O&M: $m,9.85446207571049
NetPresentCostSystemPerMWh,Fuel costs: $m,3.0334402415474373
NetPresentCostSystemPerMWh,Generation costs: $m,0.0
NetPresentCostSystemPerMWh,Import costs with external zones: $m,0.0
NetPresentCostSystemPerMWh,Import costs with internal zones: $m,60.51499325368727
NetPresentCostSystemPerMWh,Investment costs: $m,9.778083914763243
NetPresentCostSystemPerMWh,NPV of system cost: $m,184.5799214466586
NetPresentCostSystemPerMWh,Spinning reserve costs: $m,0.2500915938042541
NetPresentCostSystemPerMWh,Startup costs: $m,0.0
NetPresentCostSystemPerMWh,Trade shared benefits: $m,-25.164335304713823
NetPresentCostSystemPerMWh,Transmission costs: $m,0.2926390497044731
NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,0.190685811639922
NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,0.0063138438322107
NetPresentCostSystemPerMWh,Unmet demand costs: $m,104.22885439162738
NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,VRE curtailment: $m,0.0
NetPresentCostSystemPerMWh,Variable O&M: $m,1.289595992750416
