c,z,attribute,y,uni,value
Angola,Angola_Central,CongestionShare,2025,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2026,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2027,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2028,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2040,Angola_North,0.0084474885844748
Angola,Angola_Central,CongestionShare,2045,Angola_North,0.0444063926940639
Angola,Angola_Central,CongestionShare,2050,Angola_North,0.2068493150684931
Angola,Angola_Central,Interchange,2029,Angola_South,4251.397610183109
Angola,Angola_Central,Interchange,2030,Angola_South,4112.253390624675
Angola,Angola_Central,Interchange,2031,Angola_South,4021.255438487664
Angola,Angola_Central,Interchange,2032,Angola_South,3918.896946403955
Angola,Angola_Central,Interchange,2033,Angola_South,3796.573255889032
Angola,Angola_Central,Interchange,2034,Angola_South,3637.730395868932
Angola,Angola_Central,Interchange,2035,Angola_South,3421.951633556428
Angola,Angola_Central,Interchange,2040,Angola_North,852.1847066849671
Angola,Angola_Central,Interchange,2040,Angola_South,355.82505945651974
Angola,Angola_Central,Interchange,2045,Angola_North,942.187089199107
Angola,Angola_Central,Interchange,2045,Angola_South,656.7555941653011
Angola,Angola_Central,Interchange,2050,Angola_North,2954.323732352379
Angola,Angola_Central,Interchange,2050,Angola_South,463.91118157842106
Angola,Angola_Central,InterconUtilization,2029,Angola_South,0.539243735436721
Angola,Angola_Central,InterconUtilization,2030,Angola_South,0.5215947984049563
Angola,Angola_Central,InterconUtilization,2031,Angola_South,0.5100526938721035
Angola,Angola_Central,InterconUtilization,2032,Angola_South,0.4970696279051186
Angola,Angola_Central,InterconUtilization,2033,Angola_South,0.4815541927814601
Angola,Angola_Central,InterconUtilization,2034,Angola_South,0.4614066965840858
Angola,Angola_Central,InterconUtilization,2035,Angola_South,0.434037497914311
Angola,Angola_Central,InterconUtilization,2040,Angola_North,0.1216016990132658
Angola,Angola_Central,InterconUtilization,2040,Angola_South,0.0451325544719076
Angola,Angola_Central,InterconUtilization,2045,Angola_North,0.1344445047373155
Angola,Angola_Central,InterconUtilization,2045,Angola_South,0.0833023331006216
Angola,Angola_Central,InterconUtilization,2050,Angola_North,0.4215644595251682
Angola,Angola_Central,InterconUtilization,2050,Angola_South,0.0588421082671767
Angola,Angola_Central,NetImport,2029,Angola_South,-4.251397610183108
Angola,Angola_Central,NetImport,2030,Angola_South,-4.112253390624676
Angola,Angola_Central,NetImport,2031,Angola_South,-4.021255438487664
Angola,Angola_Central,NetImport,2032,Angola_South,-3.9188969464039554
Angola,Angola_Central,NetImport,2033,Angola_South,-3.796573255889032
Angola,Angola_Central,NetImport,2034,Angola_South,-3.637730395868932
Angola,Angola_Central,NetImport,2035,Angola_South,-3.421951633556428
