c,z,attribute,y,uni,value
Angola,Angola_Central,CapexInvestmentComponent,2029,Transmission,250000000.0
Angola,Angola_Central,CapexInvestmentComponent,2031,Generation,11528676.79093404
Angola,Angola_Central,CapexInvestmentComponent,2031,StorageEnergy,8549459.2120989
Angola,Angola_Central,CapexInvestmentComponent,2032,Generation,23520000.0
Angola,Angola_Central,CapexInvestmentComponent,2032,StorageEnergy,8604529.586370485
Angola,Angola_Central,CapexInvestmentComponent,2033,Generation,23206400.0
Angola,Angola_Central,CapexInvestmentComponent,2033,StorageEnergy,8127428.571428572
Angola,Angola_Central,CapexInvestmentComponent,2034,Generation,22853600.0
Angola,Angola_Central,CapexInvestmentComponent,2034,StorageEnergy,8205750.0
Angola,Angola_Central,CapexInvestmentComponent,2035,Generation,22540000.0
Angola,Angola_Central,CapexInvestmentComponent,2035,StorageEnergy,7453000.0
Angola,Angola_Central,CapexInvestmentComponent,2040,Generation,104664000.0
Angola,Angola_Central,CapexInvestmentComponent,2040,StorageEnergy,53806727.01471677
Angola,Angola_Central,CapexInvestmentComponent,2045,Generation,789432000.0
Angola,Angola_Central,CapexInvestmentComponent,2045,StorageEnergy,43726675.26237675
Angola,Angola_Central,CapexInvestmentComponent,2050,Generation,454265494.9455286
Angola,Angola_Central,CapexInvestmentComponent,2050,StorageEnergy,50470000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2029,Transmission,1890953741.383454
Angola,Angola_Central,CapexInvestmentComponentCumulated,2031,Generation,11528676.79093404
Angola,Angola_Central,CapexInvestmentComponentCumulated,2031,StorageEnergy,1460559630.9485614
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,Generation,35048676.79093404
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,StorageEnergy,1469164160.534932
Angola,Angola_Central,CapexInvestmentComponentCumulated,2033,Generation,58255076.79093404
Angola,Angola_Central,CapexInvestmentComponentCumulated,2033,StorageEnergy,1477291589.1063604
Angola,Angola_Central,CapexInvestmentComponentCumulated,2034,Generation,81108676.79093404
Angola,Angola_Central,CapexInvestmentComponentCumulated,2034,StorageEnergy,1485497339.1063604
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,Generation,103648676.79093404
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,StorageEnergy,1492950339.1063604
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,Generation,208312676.79093403
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,StorageEnergy,1546757066.1210773
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,Generation,997744676.790934
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,StorageEnergy,1590483741.383454
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,Generation,1452010171.7364626
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,StorageEnergy,1640953741.383454
Angola,Angola_East,CapexInvestmentComponent,2028,Generation,92708024.0
Angola,Angola_East,CapexInvestmentComponent,2029,Generation,5437800.0
Angola,Angola_East,CapexInvestmentComponent,2030,Generation,5024400.0
Angola,Angola_East,CapexInvestmentComponent,2031,Generation,3814048.526709921
Angola,Angola_East,CapexInvestmentComponent,2032,Generation,232257475.53916007
Angola,Angola_East,CapexInvestmentComponent,2040,Transmission,177045818.27290565
Angola,Angola_East,CapexInvestmentComponent,2045,Transmission,7627446.581745902
Angola,Angola_East,CapexInvestmentComponent,2050,Transmission,7779215.491993114
Angola,Angola_East,CapexInvestmentComponentCumulated,2028,Generation,1983661765.383454
Angola,Angola_East,CapexInvestmentComponentCumulated,2029,Generation,1989099565.383454
Angola,Angola_East,CapexInvestmentComponentCumulated,2030,Generation,1994123965.383454
Angola,Angola_East,CapexInvestmentComponentCumulated,2031,Generation,1997938013.910164
Angola,Angola_East,CapexInvestmentComponentCumulated,2032,Generation,2230195489.449324
Angola,Angola_East,CapexInvestmentComponentCumulated,2040,Transmission,2407241307.72223
Angola,Angola_East,CapexInvestmentComponentCumulated,2045,Transmission,2414868754.303976
Angola,Angola_East,CapexInvestmentComponentCumulated,2050,Transmission,2422647969.795969
Angola,Angola_North,CapexInvestmentComponent,2027,Generation,7384800000.0
Angola,Angola_North,CapexInvestmentComponent,2033,Transmission,129239063.46951763
Angola,Angola_North,CapexInvestmentComponent,2034,StorageEnergy,7554500.0
Angola,Angola_North,CapexInvestmentComponent,2034,Transmission,5598419.451450023
Angola,Angola_North,CapexInvestmentComponent,2035,StorageEnergy,7453000.0
Angola,Angola_North,CapexInvestmentComponent,2035,Transmission,21371018.098792903
Angola,Angola_North,CapexInvestmentComponent,2040,StorageEnergy,47244444.44444445
Angola,Angola_North,CapexInvestmentComponent,2040,Transmission,132945856.57611153
Angola,Angola_North,CapexInvestmentComponent,2045,Generation,1938000000.0
Angola,Angola_North,CapexInvestmentComponent,2045,StorageEnergy,40594259.25925926
Angola,Angola_North,CapexInvestmentComponent,2045,Transmission,32650242.404127914
Angola,Angola_North,CapexInvestmentComponent,2050,StorageEnergy,50470000.0
Angola,Angola_North,CapexInvestmentComponentCumulated,2027,Generation,9807447969.795967
Angola,Angola_North,CapexInvestmentComponentCumulated,2033,Transmission,12028003236.96919
Angola,Angola_North,CapexInvestmentComponentCumulated,2034,StorageEnergy,11753002469.795967
Angola,Angola_North,CapexInvestmentComponentCumulated,2034,Transmission,12033601656.42064
Angola,Angola_North,CapexInvestmentComponentCumulated,2035,StorageEnergy,11760455469.795967
Angola,Angola_North,CapexInvestmentComponentCumulated,2035,Transmission,12054972674.519434
Angola,Angola_North,CapexInvestmentComponentCumulated,2040,StorageEnergy,11807699914.240414
Angola,Angola_North,CapexInvestmentComponentCumulated,2040,Transmission,12187918531.095545
Angola,Angola_North,CapexInvestmentComponentCumulated,2045,Generation,11745447969.795967
Angola,Angola_North,CapexInvestmentComponentCumulated,2045,StorageEnergy,11848294173.499674
Angola,Angola_North,CapexInvestmentComponentCumulated,2045,Transmission,12220568773.499672
Angola,Angola_North,CapexInvestmentComponentCumulated,2050,StorageEnergy,11898764173.499674
Angola,Angola_South,CapexInvestmentComponent,2027,Generation,25289880.0
Angola,Angola_South,CapexInvestmentComponent,2029,Transmission,301500000.0
Angola,Angola_South,CapexInvestmentComponent,2030,Generation,30233000.0
Angola,Angola_South,CapexInvestmentComponent,2030,StorageEnergy,3831759.187303493
Angola,Angola_South,CapexInvestmentComponent,2031,Generation,29841000.0
Angola,Angola_South,CapexInvestmentComponent,2031,StorageEnergy,7859000.000000001
Angola,Angola_South,CapexInvestmentComponent,2032,StorageEnergy,7757500.0
Angola,Angola_South,CapexInvestmentComponent,2033,StorageEnergy,7656000.0
Angola,Angola_South,CapexInvestmentComponent,2034,StorageEnergy,11260502.461874776
Angola,Angola_South,CapexInvestmentComponent,2035,StorageEnergy,7709862.673580915
Angola,Angola_South,CapexInvestmentComponent,2040,Generation,61299421.54313276
