c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,68087.65239645545
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-60931.0180260017
System,System,NetPresentCostSystem,Fixed O&M: $m,,48246.70784801743
System,System,NetPresentCostSystem,Fuel costs: $m,,8456.626586414368
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,252558.73330606648
System,System,NetPresentCostSystem,NPV of system cost: $m,,292720.81541208184
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-191627.71528006485
System,System,NetPresentCostSystem,Transmission costs: $m,,1341.9000535189332
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,376.5950685100699
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet demand costs: $m,,121546.63839968947
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,4729.9483212070445
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,16.794752261330675
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-15.029470348292472
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,11.900711468419402
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,2.085942802939193
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,62.29707161311506
