c,z,attribute,y,uni,value
Angola,Angola_Central,CongestionShare,2025,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2027,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2030,Angola_South,0.7042237442922374
Angola,Angola_Central,CongestionShare,2032,Angola_South,0.6147260273972602
Angola,Angola_Central,CongestionShare,2035,Angola_South,0.3218036529680365
Angola,Angola_Central,CongestionShare,2038,Angola_South,0.2929223744292237
Angola,Angola_Central,CongestionShare,2040,Angola_South,0.2633561643835616
Angola,Angola_Central,CongestionShare,2042,Angola_South,0.2353881278538812
Angola,Angola_Central,CongestionShare,2045,Angola_South,0.2295662100456621
Angola,Angola_Central,CongestionShare,2048,Angola_South,0.1963470319634703
Angola,Angola_Central,CongestionShare,2050,Angola_North,0.0422374429223744
Angola,Angola_Central,CongestionShare,2050,Angola_South,0.1767123287671232
Angola,Angola_Central,Interchange,2027,Angola_North,1.8809199079268475
Angola,Angola_Central,Interchange,2030,Angola_South,4160.326131030733
Angola,Angola_Central,Interchange,2032,Angola_South,3957.5742452492777
Angola,Angola_Central,Interchange,2035,Angola_North,127.10987756678036
Angola,Angola_Central,Interchange,2035,Angola_South,2133.702757408818
Angola,Angola_Central,Interchange,2038,Angola_North,564.0165567770157
Angola,Angola_Central,Interchange,2038,Angola_South,1464.2722090113532
Angola,Angola_Central,Interchange,2040,Angola_North,973.2912278274516
Angola,Angola_Central,Interchange,2040,Angola_South,1270.143346513081
Angola,Angola_Central,Interchange,2042,Angola_North,1019.4748428831048
Angola,Angola_Central,Interchange,2042,Angola_South,1043.4797186410597
Angola,Angola_Central,Interchange,2045,Angola_North,1082.157499495774
Angola,Angola_Central,Interchange,2045,Angola_South,1170.267176451718
Angola,Angola_Central,Interchange,2048,Angola_North,1187.745011449137
Angola,Angola_Central,Interchange,2048,Angola_South,1089.6016123276186
Angola,Angola_Central,Interchange,2050,Angola_North,1930.754117269248
Angola,Angola_Central,Interchange,2050,Angola_South,934.9204748102006
Angola,Angola_Central,InterconUtilization,2027,Angola_North,0.0002683961055831
Angola,Angola_Central,InterconUtilization,2030,Angola_South,0.9498461486371536
Angola,Angola_Central,InterconUtilization,2032,Angola_South,0.9035557637555428
Angola,Angola_Central,InterconUtilization,2035,Angola_North,0.0181378249952597
Angola,Angola_Central,InterconUtilization,2035,Angola_South,0.4871467482668534
Angola,Angola_Central,InterconUtilization,2038,Angola_North,0.0804818146085924
Angola,Angola_Central,InterconUtilization,2038,Angola_South,0.3343087235185737
Angola,Angola_Central,InterconUtilization,2040,Angola_North,0.1388828806831409
Angola,Angola_Central,InterconUtilization,2040,Angola_South,0.2899870654139455
Angola,Angola_Central,InterconUtilization,2042,Angola_North,0.1454730084022695
Angola,Angola_Central,InterconUtilization,2042,Angola_South,0.2382373786851734
Angola,Angola_Central,InterconUtilization,2045,Angola_North,0.1544174514120682
Angola,Angola_Central,InterconUtilization,2045,Angola_South,0.2671842868611228
Angola,Angola_Central,InterconUtilization,2048,Angola_North,0.169484162592628
Angola,Angola_Central,InterconUtilization,2048,Angola_South,0.2487674913989996
Angola,Angola_Central,InterconUtilization,2050,Angola_North,0.2755071514368218
Angola,Angola_Central,InterconUtilization,2050,Angola_South,0.2134521631986759
Angola,Angola_Central,NetImport,2027,Angola_North,-0.0018809199079268
Angola,Angola_Central,NetImport,2030,Angola_South,-4.160326131030733
Angola,Angola_Central,NetImport,2032,Angola_South,-3.957574245249278
Angola,Angola_Central,NetImport,2035,Angola_North,-0.1271098775667803
Angola,Angola_Central,NetImport,2035,Angola_South,-2.133702757408818
Angola,Angola_Central,NetImport,2038,Angola_North,-0.5640165567770157
Angola,Angola_Central,NetImport,2038,Angola_South,-1.4642722090113531
Angola,Angola_Central,NetImport,2040,Angola_North,-0.9732912278274516
Angola,Angola_Central,NetImport,2040,Angola_South,-1.2701433465130811
Angola,Angola_Central,NetImport,2042,Angola_North,-1.0194748428831049
Angola,Angola_Central,NetImport,2042,Angola_South,-1.0434797186410596
Angola,Angola_Central,NetImport,2045,Angola_North,-1.082157499495774
Angola,Angola_Central,NetImport,2045,Angola_South,-1.1702671764517178
Angola,Angola_Central,NetImport,2048,Angola_North,-1.1877450114491377
Angola,Angola_Central,NetImport,2048,Angola_South,-1.0896016123276189
Angola,Angola_Central,NetImport,2050,Angola_North,-1.9307541172692475
Angola,Angola_Central,NetImport,2050,Angola_South,-0.9349204748102008
Angola,Angola_Central,NewTransmissionCapacity,2030,Angola_South,500.0
Angola,Angola_Central,TransmissionCapacity,2025,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2027,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2030,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2030,Angola_South,500.0
Angola,Angola_Central,TransmissionCapacity,2032,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2032,Angola_South,500.0
Angola,Angola_Central,TransmissionCapacity,2035,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2035,Angola_South,500.0
Angola,Angola_Central,TransmissionCapacity,2038,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2038,Angola_South,500.0
Angola,Angola_Central,TransmissionCapacity,2040,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2040,Angola_South,500.0
Angola,Angola_Central,TransmissionCapacity,2042,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2042,Angola_South,500.0
Angola,Angola_Central,TransmissionCapacity,2045,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2045,Angola_South,500.0
Angola,Angola_Central,TransmissionCapacity,2048,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2048,Angola_South,500.0
Angola,Angola_Central,TransmissionCapacity,2050,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2050,Angola_South,500.0
Angola,Angola_East,CongestionShare,2025,Angola_North,1.0
Angola,Angola_East,CongestionShare,2025,DRC,1.0
Angola,Angola_East,CongestionShare,2025,Zambia,1.0
Angola,Angola_East,CongestionShare,2027,Angola_North,1.0
Angola,Angola_East,CongestionShare,2027,DRC,1.0
Angola,Angola_East,CongestionShare,2027,Zambia,1.0
Angola,Angola_East,CongestionShare,2030,Angola_North,1.0
Angola,Angola_East,CongestionShare,2030,DRC,1.0
Angola,Angola_East,CongestionShare,2030,Zambia,1.0
Angola,Angola_East,CongestionShare,2032,Angola_North,1.0
Angola,Angola_East,CongestionShare,2032,DRC,1.0
Angola,Angola_East,CongestionShare,2032,Zambia,1.0
Angola,Angola_East,CongestionShare,2035,Angola_North,1.0
Angola,Angola_East,CongestionShare,2035,DRC,1.0
Angola,Angola_East,CongestionShare,2035,Zambia,1.0
Angola,Angola_East,CongestionShare,2038,Angola_North,0.0198630136986301
Angola,Angola_East,CongestionShare,2038,DRC,1.0
Angola,Angola_East,CongestionShare,2038,Zambia,1.0
Angola,Angola_East,CongestionShare,2040,Angola_North,0.01324200913242
Angola,Angola_East,CongestionShare,2040,DRC,1.0
Angola,Angola_East,CongestionShare,2040,Zambia,1.0
Angola,Angola_East,CongestionShare,2042,Angola_North,0.0162100456621004
Angola,Angola_East,CongestionShare,2042,DRC,1.0
Angola,Angola_East,CongestionShare,2042,Zambia,1.0
Angola,Angola_East,CongestionShare,2045,Angola_North,0.003310502283105
Angola,Angola_East,CongestionShare,2045,DRC,1.0
Angola,Angola_East,CongestionShare,2045,Zambia,1.0
Angola,Angola_East,CongestionShare,2048,Angola_North,0.003310502283105
Angola,Angola_East,CongestionShare,2048,DRC,1.0
Angola,Angola_East,CongestionShare,2048,Zambia,1.0
Angola,Angola_East,CongestionShare,2050,DRC,1.0
Angola,Angola_East,CongestionShare,2050,Zambia,1.0
Angola,Angola_East,Interchange,2038,Angola_North,233.852424209024
Angola,Angola_East,Interchange,2040,Angola_North,227.71365300007727
Angola,Angola_East,Interchange,2042,Angola_North,218.28499591675748
Angola,Angola_East,Interchange,2045,Angola_North,206.20315083793213
Angola,Angola_East,Interchange,2048,Angola_North,192.3458837090208
Angola,Angola_East,Interchange,2050,Angola_North,181.0502137023722
Angola,Angola_East,InterconUtilization,2038,Angola_North,0.2399910043649674
Angola,Angola_East,InterconUtilization,2040,Angola_North,0.2336910916187773
Angola,Angola_East,InterconUtilization,2042,Angola_North,0.224014934140862
Angola,Angola_East,InterconUtilization,2045,Angola_North,0.1737706125903819
Angola,Angola_East,InterconUtilization,2048,Angola_North,0.1589219320172225
Angola,Angola_East,InterconUtilization,2050,Angola_North,0.1470014480674744
Angola,Angola_East,NetImport,2038,Angola_North,-0.233852424209024
Angola,Angola_East,NetImport,2040,Angola_North,-0.2277136530000773
Angola,Angola_East,NetImport,2042,Angola_North,-0.2182849959167574
