c,z,attribute,y,value
Angola,Angola_Central,CapexInvestmentComponent,2029,250000000.0
Angola,Angola_Central,CapexInvestmentComponent,2031,7859000.000000001
Angola,Angola_Central,CapexInvestmentComponent,2032,8827500.0
Angola,Angola_Central,CapexInvestmentComponent,2033,30862400.0
Angola,Angola_Central,CapexInvestmentComponent,2034,32343242.85714286
Angola,Angola_Central,CapexInvestmentComponent,2035,31339190.476190478
Angola,Angola_Central,CapexInvestmentComponent,2040,366701534.05020565
Angola,Angola_Central,CapexInvestmentComponent,2045,1642220081.2825124
Angola,Angola_Central,CapexInvestmentComponent,2050,1102842270.010221
Angola,Angola_Central,CapexInvestmentComponentCumulated,2029,3472995218.676273
Angola,Angola_Central,CapexInvestmentComponentCumulated,2031,3027559000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,3036386500.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2033,3067248900.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2034,3099592142.857143
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,3130931333.333333
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,3497632867.3835387
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,5139852948.666052
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,6242695218.676273
Angola,Angola_Central,Costs,2025,000013.6693953999999990001.0583598876517530000-0.0370425960678114060000000000.12471744
Angola,Angola_Central,Costs,2026,000013.6693953999999990001.1205876900048166000.013970250-0.0392205691501686660000000000.12471743999999998
Angola,Angola_Central,Costs,2027,000-0.0004254707936876140613.6693953999999990001.20880597466480480000-0.04232422145496620000000000.12471744
Angola,Angola_Central,Costs,2028,000-0.000500316900456497213.6693953999999990001.2633391208411682000.003592350-0.0442356983601033050000000000.12471744000000003
Angola,Angola_Central,Costs,2029,000-94.0170575233300513.669395399999999000166.70348503949182000.0248875600000000060-85.0834278400113415.468930379150429000000000.12471743999999998
Angola,Angola_Central,Costs,2030,000-96.717586358473113.669395399999999000175.6777834454801000.0146930999999999990-89.6632118138046415.468930379150429000000000.12471743999999998
Angola,Angola_Central,Costs,2031,000-4.33511731642792713.6693953999999990008.0515517060872370.685183433281075100.0450150750-2.36910638414263415.468930379150429000000000.12471743999999998
Angola,Angola_Central,Costs,2032,000-23.51300189034673213.807995400043.875584179779381.45480510999423100.02917240-21.10692466607114415.468930379150429000000000.12471744
Angola,Angola_Central,Costs,2033,000-11.70221357140086514.49799539999999900023.2927848020322553.93765059173031900.071759999999999990-10.44924633771595915.468930379150429000000000.12471744
Angola,Angola_Central,Costs,2034,000-30.9709804903124115.44539539999999900058.544224255652836.55276302743488500.031725071428571430-28.2693323601491115.468930379150429000000000.12471743999999997
Angola,Angola_Central,Costs,2035,000-28.8633412531347716.316895400055.6715292526454359.08314677936113700.05375670-26.78037628804346715.468930379150429000000000.12471744
