c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,63547.981838575884
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-56960.45992018594
System,System,NetPresentCostSystem,Fixed O&M: $m,,49069.2484638326
System,System,NetPresentCostSystem,Fuel costs: $m,,6973.250545959567
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,234206.04811679045
System,System,NetPresentCostSystem,NPV of system cost: $m,,248531.50216593625
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-177245.5881966045
System,System,NetPresentCostSystem,Transmission costs: $m,,1425.8447500860589
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,272.46358212547443
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet demand costs: $m,,83229.02141816405
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,31.11308263152155
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,4489.537400659557
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,15.695345126107672
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-14.068331536634943
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,12.119327277378108
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,1.72228245182785
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,57.84518484241425
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,61.38334512515437
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-43.77685330577931
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.3521610726473851
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.067294189870857
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,20.556250220259813
System,System,NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,,0.0076844386825578
System,System,NetPresentCostSystemPerMWh,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Variable O&M: $m,,1.1088446386686888
Angola,Angola_Central,CongestionShare,Angola_South,2025,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2027,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2030,0.2971461187214612
Angola,Angola_Central,CongestionShare,Angola_South,2032,0.2960045662100456
Angola,Angola_Central,CongestionShare,Angola_South,2035,0.2028538812785388
Angola,Angola_Central,CongestionShare,Angola_South,2038,0.2219178082191781
Angola,Angola_Central,CongestionShare,Angola_South,2040,0.1958904109589041
Angola,Angola_Central,CongestionShare,Angola_South,2042,0.1636986301369863
Angola,Angola_Central,CongestionShare,Angola_South,2045,0.1449771689497717
Angola,Angola_Central,CongestionShare,Angola_South,2048,0.1757990867579908
Angola,Angola_Central,CongestionShare,Angola_South,2050,0.1670091324200913
Angola,Angola_Central,Interchange,Angola_North,2027,1.8809199079268475
Angola,Angola_Central,Interchange,Angola_South,2030,4521.127661370349
Angola,Angola_Central,Interchange,Angola_South,2032,4402.569199234326
Angola,Angola_Central,Interchange,Angola_North,2035,65.88646261065509
Angola,Angola_Central,Interchange,Angola_South,2035,2074.8541955677338
Angola,Angola_Central,Interchange,Angola_North,2038,245.25670598108312
Angola,Angola_Central,Interchange,Angola_South,2038,1806.9618715772176
Angola,Angola_Central,Interchange,Angola_North,2040,296.0954403157943
Angola,Angola_Central,Interchange,Angola_South,2040,1643.0759245136137
Angola,Angola_Central,Interchange,Angola_North,2042,408.1198723096851
Angola,Angola_Central,Interchange,Angola_South,2042,1548.2353983382118
Angola,Angola_Central,Interchange,Angola_North,2045,491.9815975545369
Angola,Angola_Central,Interchange,Angola_South,2045,1427.4022136208243
Angola,Angola_Central,Interchange,Angola_North,2048,512.7160342707841
Angola,Angola_Central,Interchange,Angola_South,2048,1334.6023344899197
Angola,Angola_Central,Interchange,Angola_North,2050,368.9123997673456
Angola,Angola_Central,Interchange,Angola_South,2050,1181.383435608453
Angola,Angola_Central,InterconUtilization,Angola_North,2027,0.0002683961055831
Angola,Angola_Central,InterconUtilization,Angola_South,2030,0.860184106044587
Angola,Angola_Central,InterconUtilization,Angola_South,2032,0.837627321011097
Angola,Angola_Central,InterconUtilization,Angola_North,2035,0.0094016071076848
Angola,Angola_Central,InterconUtilization,Angola_South,2035,0.3947591696285643
Angola,Angola_Central,InterconUtilization,Angola_North,2038,0.0349966760817755
Angola,Angola_Central,InterconUtilization,Angola_South,2038,0.343790310421845
Angola,Angola_Central,InterconUtilization,Angola_North,2040,0.0422510616888975
Angola,Angola_Central,InterconUtilization,Angola_South,2040,0.3126095746791502
Angola,Angola_Central,InterconUtilization,Angola_North,2042,0.058236283149213
Angola,Angola_Central,InterconUtilization,Angola_South,2042,0.2945653345392335
Angola,Angola_Central,InterconUtilization,Angola_North,2045,0.0702028535323254
Angola,Angola_Central,InterconUtilization,Angola_South,2045,0.2715757636264886
Angola,Angola_Central,InterconUtilization,Angola_North,2048,0.0731615345706027
Angola,Angola_Central,InterconUtilization,Angola_South,2048,0.2539197744463317
Angola,Angola_Central,InterconUtilization,Angola_North,2050,0.0526416095558426
Angola,Angola_Central,InterconUtilization,Angola_South,2050,0.2247685379772551
Angola,Angola_Central,NetImport,Angola_North,2027,-0.0018809199079268
Angola,Angola_Central,NetImport,Angola_South,2030,-4.5211276613703495
Angola,Angola_Central,NetImport,Angola_South,2032,-4.402569199234327
Angola,Angola_Central,NetImport,Angola_North,2035,-0.065886462610655
Angola,Angola_Central,NetImport,Angola_South,2035,-2.0748541955677338
Angola,Angola_Central,NetImport,Angola_North,2038,-0.2452567059810831
