c,z,attribute,y,uni,value
Angola,Angola_Central,CongestionShare,2025,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2027,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2030,Angola_South,0.296917808219178
Angola,Angola_Central,CongestionShare,2032,Angola_South,0.2924657534246575
Angola,Angola_Central,CongestionShare,2035,Angola_South,0.2
Angola,Angola_Central,CongestionShare,2038,Angola_South,0.2086757990867579
Angola,Angola_Central,CongestionShare,2040,Angola_South,0.2308219178082191
Angola,Angola_Central,CongestionShare,2042,Angola_South,0.1746575342465753
Angola,Angola_Central,CongestionShare,2045,Angola_South,0.1537671232876712
Angola,Angola_Central,CongestionShare,2048,Angola_South,0.2007990867579908
Angola,Angola_Central,CongestionShare,2050,Angola_South,0.1748858447488584
Angola,Angola_Central,Interchange,2027,Angola_North,1.8809199079268475
Angola,Angola_Central,Interchange,2030,Angola_South,4521.1276613703485
Angola,Angola_Central,Interchange,2032,Angola_South,4402.5691992343245
Angola,Angola_Central,Interchange,2035,Angola_North,66.50035494505207
Angola,Angola_Central,Interchange,2035,Angola_South,1939.9617549646896
Angola,Angola_Central,Interchange,2038,Angola_North,382.41858682866615
Angola,Angola_Central,Interchange,2038,Angola_South,1784.300398121562
Angola,Angola_Central,Interchange,2040,Angola_North,359.10976359277043
Angola,Angola_Central,Interchange,2040,Angola_South,1658.3159946504534
Angola,Angola_Central,Interchange,2042,Angola_North,407.75461118823085
Angola,Angola_Central,Interchange,2042,Angola_South,1547.5924495781887
Angola,Angola_Central,Interchange,2045,Angola_North,500.4322463646299
Angola,Angola_Central,Interchange,2045,Angola_South,1418.7715601544387
Angola,Angola_Central,Interchange,2048,Angola_North,712.0619469399586
Angola,Angola_Central,Interchange,2048,Angola_South,1425.103582409577
Angola,Angola_Central,Interchange,2050,Angola_North,458.9377249250263
Angola,Angola_Central,Interchange,2050,Angola_South,1182.982254857647
Angola,Angola_Central,InterconUtilization,2027,Angola_North,0.0002683961055831
Angola,Angola_Central,InterconUtilization,2030,Angola_South,0.8601841060445868
Angola,Angola_Central,InterconUtilization,2032,Angola_South,0.8376273210110967
Angola,Angola_Central,InterconUtilization,2035,Angola_North,0.0094892058996935
Angola,Angola_Central,InterconUtilization,2035,Angola_South,0.3690947022383351
Angola,Angola_Central,InterconUtilization,2038,Angola_North,0.0545688622757799
Angola,Angola_Central,InterconUtilization,2038,Angola_South,0.3394787667658984
Angola,Angola_Central,InterconUtilization,2040,Angola_North,0.0512428315628953
Angola,Angola_Central,InterconUtilization,2040,Angola_South,0.3155091314022932
Angola,Angola_Central,InterconUtilization,2042,Angola_North,0.0581841625553982
Angola,Angola_Central,InterconUtilization,2042,Angola_South,0.2944430079106143
Angola,Angola_Central,InterconUtilization,2045,Angola_North,0.071408710953857
Angola,Angola_Central,InterconUtilization,2045,Angola_South,0.2699337062698704
Angola,Angola_Central,InterconUtilization,2048,Angola_North,0.1016070129765922
Angola,Angola_Central,InterconUtilization,2048,Angola_South,0.2711384289211524
Angola,Angola_Central,InterconUtilization,2050,Angola_North,0.0654876890589364
Angola,Angola_Central,InterconUtilization,2050,Angola_South,0.2250727273321246
Angola,Angola_Central,NetImport,2027,Angola_North,-0.0018809199079268
Angola,Angola_Central,NetImport,2030,Angola_South,-4.521127661370349
Angola,Angola_Central,NetImport,2032,Angola_South,-4.402569199234325
Angola,Angola_Central,NetImport,2035,Angola_North,-0.066500354945052
Angola,Angola_Central,NetImport,2035,Angola_South,-1.9399617549646897
Angola,Angola_Central,NetImport,2038,Angola_North,-0.3824185868286661
Angola,Angola_Central,NetImport,2038,Angola_South,-1.7843003981215622
Angola,Angola_Central,NetImport,2040,Angola_North,-0.3591097635927704
Angola,Angola_Central,NetImport,2040,Angola_South,-1.658315994650453
Angola,Angola_Central,NetImport,2042,Angola_North,-0.4077546111882308
Angola,Angola_Central,NetImport,2042,Angola_South,-1.5475924495781888
Angola,Angola_Central,NetImport,2045,Angola_North,-0.5004322463646299
Angola,Angola_Central,NetImport,2045,Angola_South,-1.4187715601544388
Angola,Angola_Central,NetImport,2048,Angola_North,-0.7120619469399586
Angola,Angola_Central,NetImport,2048,Angola_South,-1.425103582409577
Angola,Angola_Central,NetImport,2050,Angola_North,-0.4589377249250262
Angola,Angola_Central,NetImport,2050,Angola_South,-1.182982254857647
Angola,Angola_Central,NewTransmissionCapacity,2030,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2025,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2027,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2030,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2030,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2032,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2032,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2035,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2035,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2038,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2038,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2040,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2040,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2042,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2042,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2045,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2045,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2048,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2048,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2050,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2050,Angola_South,600.0
Angola,Angola_East,CongestionShare,2025,Angola_North,1.0
Angola,Angola_East,CongestionShare,2025,DRC,1.0
Angola,Angola_East,CongestionShare,2025,Zambia,1.0
Angola,Angola_East,CongestionShare,2027,Angola_North,1.0
Angola,Angola_East,CongestionShare,2027,DRC,1.0
Angola,Angola_East,CongestionShare,2027,Zambia,1.0
Angola,Angola_East,CongestionShare,2030,Angola_North,1.0
Angola,Angola_East,CongestionShare,2030,DRC,1.0
Angola,Angola_East,CongestionShare,2030,Zambia,1.0
Angola,Angola_East,CongestionShare,2032,Angola_North,1.0
Angola,Angola_East,CongestionShare,2032,DRC,1.0
Angola,Angola_East,CongestionShare,2032,Zambia,1.0
Angola,Angola_East,CongestionShare,2035,Angola_North,1.0
Angola,Angola_East,CongestionShare,2035,DRC,1.0
Angola,Angola_East,CongestionShare,2035,Zambia,1.0
Angola,Angola_East,CongestionShare,2038,Angola_North,0.366324200913242
Angola,Angola_East,CongestionShare,2038,DRC,1.0
Angola,Angola_East,CongestionShare,2038,Zambia,0.0356164383561643
Angola,Angola_East,CongestionShare,2040,Angola_North,0.4158675799086758
Angola,Angola_East,CongestionShare,2040,DRC,1.0
Angola,Angola_East,CongestionShare,2040,Zambia,0.0084474885844748
Angola,Angola_East,CongestionShare,2042,Angola_North,0.4111872146118721
Angola,Angola_East,CongestionShare,2042,DRC,1.0
Angola,Angola_East,CongestionShare,2042,Zambia,0.0029680365296803
Angola,Angola_East,CongestionShare,2045,Angola_North,0.4093607305936073
Angola,Angola_East,CongestionShare,2045,DRC,1.0
Angola,Angola_East,CongestionShare,2045,Zambia,0.0029680365296803
Angola,Angola_East,CongestionShare,2048,Angola_North,0.4507990867579908
Angola,Angola_East,CongestionShare,2048,DRC,1.0
Angola,Angola_East,CongestionShare,2050,Angola_North,0.4252283105022831
Angola,Angola_East,CongestionShare,2050,DRC,1.0
Angola,Angola_East,Interchange,2038,Angola_North,809.7861691096629
Angola,Angola_East,Interchange,2038,Zambia,590.5559300884468
Angola,Angola_East,Interchange,2040,Angola_North,855.4914878396812
Angola,Angola_East,Interchange,2040,Zambia,609.0007021390816
Angola,Angola_East,Interchange,2042,Angola_North,842.1644174185279
Angola,Angola_East,Interchange,2042,Zambia,617.2872704699132
Angola,Angola_East,Interchange,2045,Angola_North,867.902923549026
Angola,Angola_East,Interchange,2045,Zambia,600.2007092116911
Angola,Angola_East,Interchange,2048,Angola_North,878.1829167792674
Angola,Angola_East,Interchange,2048,Zambia,757.9832099508834
Angola,Angola_East,Interchange,2050,Angola_North,803.4167594852398
Angola,Angola_East,Interchange,2050,Zambia,647.9801207070817
Angola,Angola_East,InterconUtilization,2038,Angola_North,0.4622067175283464
Angola,Angola_East,InterconUtilization,2038,Zambia,0.2236281685417326
Angola,Angola_East,InterconUtilization,2040,Angola_North,0.4882942282189961
Angola,Angola_East,InterconUtilization,2040,Zambia,0.2099499804660869
