c,z,attribute,y,value
Angola,Angola_Central,CapexInvestmentComponent,2030,250000000.0
Angola,Angola_Central,CapexInvestmentComponent,2032,17043571.42857143
Angola,Angola_Central,CapexInvestmentComponent,2035,37779000.0
Angola,Angola_Central,CapexInvestmentComponent,2038,42824850.333893515
Angola,Angola_Central,CapexInvestmentComponent,2040,65385600.0
Angola,Angola_Central,CapexInvestmentComponent,2042,63415800.0
Angola,Angola_Central,CapexInvestmentComponent,2045,119163717.33926627
Angola,Angola_Central,CapexInvestmentComponent,2048,511373618.3060537
Angola,Angola_Central,CapexInvestmentComponent,2050,531013462.19059056
Angola,Angola_Central,CapexInvestmentComponentCumulated,2030,1637999619.5983756
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,1183302119.5983756
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,1221081119.5983756
Angola,Angola_Central,CapexInvestmentComponentCumulated,2038,1263905969.932269
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,1329291569.932269
Angola,Angola_Central,CapexInvestmentComponentCumulated,2042,1392707369.932269
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,1511871087.2715354
Angola,Angola_Central,CapexInvestmentComponentCumulated,2048,2023244705.577589
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,2554258167.76818
Angola,Angola_Central,Costs,2025,000013.6693953999999990000.9534536802520539000-0.033370878808821910000000000.12471744
Angola,Angola_Central,Costs,2027,000-0.000962090532904582313.6693953999999990001.040193120083092000-0.0364429669111358960000000000.12471744
Angola,Angola_Central,Costs,2030,000-177.0307679564364513.669395399999999000289.2931162531117000-180.3486603821204715.468930379150429000000000.12471744
Angola,Angola_Central,Costs,2032,000-158.2381179870386313.8673954000265.6821830371173000-165.48228001562115.468930379150429000000000.12471744
Angola,Angola_Central,Costs,2035,000-73.7446554488810315.9463954000163.8472396459283000-31.2360090029170115.4689303791504290000000.1117923241094362600.12471744
Angola,Angola_Central,Costs,2038,000-47.51384752814989618.23392678823685000204.62979741312947000-29.0464765737445415.4689303791504290000000.0230569504917809700.12471744
Angola,Angola_Central,Costs,2040,0.0914729888142482800-44.4678422893390320.9999267882368520.2596377546007200230.04451503816995000-27.0694986641014115.4689303791504290000000.03758151128962057600.1324102793822254
Angola,Angola_Central,Costs,2042,0.761851364521384100-80.7517868769572723.765926788236852.0948693385564100342.60344472864324000-34.24509406242087615.4689303791504290000000.0747852814599286200.18678658465519937
Angola,Angola_Central,Costs,2045,0.934892061377844100-57.6309025341650128.347101293377252.38706079040552100273.8373582354207000-35.9417254927236315.468930379150429000000000.20990901514627644
Angola,Angola_Central,Costs,2048,0.0807855551999999800-51.4747378650639534.192275291953810.1891211271547500262.8673148369342000-35.8533858837689815.468930379150429000000000.3605853828221675
Angola,Angola_Central,Costs,2050,2.462588248657418400-69.6925402121913344.5176136610635853.078327009322610500328.9853242096604000-36.2374684816449915.468930379150429000000000.6620286653713553
Angola,Angola_Central,CostsPerMWh,2025,00006.4437896867526610000.44946062439634704000-0.015731121853872160000000000.058792136017237005
Angola,Angola_Central,CostsPerMWh,2027,000-0.000426379407374576846.0580044294010390000.460992922108015000-0.016150798810617240000000000.05527229126341304
Angola,Angola_Central,CostsPerMWh,2030,000-72.294053948988495.582170940708082000118.13862864007908000-73.648981664595346.317047032404226000000000.050930860436409923
Angola,Angola_Central,CostsPerMWh,2032,000-61.106138057422315.355112842524281000102.59735367551093000-63.9035851622036555.973570763944789000000000.04816160103365564
Angola,Angola_Central,CostsPerMWh,2035,000-26.149119386830225.65443277978631300058.09859717459663000-11.0759772842327945.4851284450215310000000.0396404432548368900.044223560450973934
Angola,Angola_Central,CostsPerMWh,2038,000-15.4684592159741455.9361800305436700066.61863520487869000-9.4562798346844575.0360164695748640000000.00750634850430805400.040602618700111434
Angola,Angola_Central,CostsPerMWh,2040,0.0281310938491675800-13.6753927134884246.4582006006730690.079847549928556680070.74660974690907000-8.3248029526628864.75722875007160350000000.0115576088065594200.040720720337014744
Angola,Angola_Central,CostsPerMWh,2042,0.2213252140771265800-23.459177668968286.9042323464923020.6085798705773560099.52962517270599000-9.9485321250532394.4938743791060540000000.0217258499488744800.05426331534041238
Angola,Angola_Central,CostsPerMWh,2045,0.2493575113743052900-15.3715054687650177.5608328760159250.63668477119962970073.03880842699908000-9.5864962316134044.12592441664598000000000.05598762872664105
Angola,Angola_Central,CostsPerMWh,2048,0.01978313144956022500-12.6053661820500238.3731587285083440.046312835371730090064.37213472554068000-8.779938989023733.7881015030126135000000000.08830177634480053
Angola,Angola_Central,CostsPerMWh,2050,0.569665631019606100-16.12183641296190510.2981708336921360.71210325120592890076.10351930098793000-8.382741353697233.578396831236961000000000.153145771574867
Angola,Angola_Central,DemandEnergyZone,2025,2121.3286070000017
Angola,Angola_Central,DemandEnergyZone,2027,2256.4188519999984
Angola,Angola_Central,DemandEnergyZone,2030,2448.7597290000003
Angola,Angola_Central,DemandEnergyZone,2032,2589.5617530000018
Angola,Angola_Central,DemandEnergyZone,2035,2820.15827599999
Angola,Angola_Central,DemandEnergyZone,2038,3071.660006
Angola,Angola_Central,DemandEnergyZone,2040,3251.6683960000023
Angola,Angola_Central,DemandEnergyZone,2042,3442.225810999993
Angola,Angola_Central,DemandEnergyZone,2045,3749.2035279999945
Angola,Angola_Central,DemandEnergyZone,2048,4083.557519999991
Angola,Angola_Central,DemandEnergyZone,2050,4322.866106999992
Angola,Angola_Central,DemandPeakZone,2025,373.1151075
Angola,Angola_Central,DemandPeakZone,2027,482.4932775
Angola,Angola_Central,DemandPeakZone,2030,549.6240675
Angola,Angola_Central,DemandPeakZone,2032,589.13823
Angola,Angola_Central,DemandPeakZone,2035,647.90859
Angola,Angola_Central,DemandPeakZone,2038,1015.6562025
Angola,Angola_Central,DemandPeakZone,2040,1069.417725
Angola,Angola_Central,DemandPeakZone,2042,1123.2287175
Angola,Angola_Central,DemandPeakZone,2045,1203.877185
Angola,Angola_Central,DemandPeakZone,2048,1284.513285
Angola,Angola_Central,DemandPeakZone,2050,1338.2748075
Angola,Angola_Central,EmissionsIntensityZone,2040,1.193419230014553e-09
Angola,Angola_Central,EmissionsIntensityZone,2042,7.865925588601116e-09
Angola,Angola_Central,EmissionsIntensityZone,2045,7.448810726293612e-09
Angola,Angola_Central,EmissionsIntensityZone,2048,4.035929545778873e-10
Angola,Angola_Central,EmissionsIntensityZone,2050,9.204468906221152e-09
Angola,Angola_Central,EmissionsZone,2040,0.0011349006056358
Angola,Angola_Central,EmissionsZone,2042,0.0091568673620358
Angola,Angola_Central,EmissionsZone,2045,0.0104340631850205
Angola,Angola_Central,EmissionsZone,2048,0.0008415161999999
Angola,Angola_Central,EmissionsZone,2050,0.0246752329524791
Angola,Angola_Central,GenCostsPerMWh,2025,22.177766363036653
Angola,Angola_Central,GenCostsPerMWh,2027,22.177766363036657
Angola,Angola_Central,GenCostsPerMWh,2030,22.226084920226405
Angola,Angola_Central,GenCostsPerMWh,2032,24.184171381724255
Angola,Angola_Central,GenCostsPerMWh,2035,29.433954083718174
Angola,Angola_Central,GenCostsPerMWh,2038,33.61101826958307
Angola,Angola_Central,GenCostsPerMWh,2040,36.98613729953659
Angola,Angola_Central,GenCostsPerMWh,2042,38.65066476347059
Angola,Angola_Central,GenCostsPerMWh,2045,42.17984414093258
Angola,Angola_Central,GenCostsPerMWh,2048,46.46267890710482
Angola,Angola_Central,GenCostsPerMWh,2050,54.253847817129376
Angola,Angola_East,CapexInvestmentComponent,2030,61056639.77099326
Angola,Angola_East,CapexInvestmentComponent,2032,292074099.4248876
Angola,Angola_East,CapexInvestmentComponent,2038,159512984.67263186
