c,z,attribute,y,uni,value
Angola,Angola_Central,CapexInvestmentComponent,2029,Transmission,250000000.0
Angola,Angola_Central,CapexInvestmentComponent,2032,StorageEnergy,8306814.2446692865
Angola,Angola_Central,CapexInvestmentComponent,2033,StorageEnergy,7656000.0
Angola,Angola_Central,CapexInvestmentComponent,2034,StorageEnergy,9252417.476553034
Angola,Angola_Central,CapexInvestmentComponent,2035,StorageEnergy,7820142.857142857
Angola,Angola_Central,CapexInvestmentComponent,2040,StorageEnergy,55004108.85044208
Angola,Angola_Central,CapexInvestmentComponent,2045,Generation,789432000.0
Angola,Angola_Central,CapexInvestmentComponent,2045,StorageEnergy,54635000.0
Angola,Angola_Central,CapexInvestmentComponent,2050,Generation,1608351562.8607583
Angola,Angola_Central,CapexInvestmentComponent,2050,StorageEnergy,38881362.58336071
Angola,Angola_Central,CapexInvestmentComponentCumulated,2029,Transmission,2829339408.872926
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,StorageEnergy,2406090377.105428
Angola,Angola_Central,CapexInvestmentComponentCumulated,2033,StorageEnergy,2413746377.105428
Angola,Angola_Central,CapexInvestmentComponentCumulated,2034,StorageEnergy,2422998794.5819807
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,StorageEnergy,2430818937.439124
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,StorageEnergy,2485823046.2895656
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,Generation,789432000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,StorageEnergy,2540458046.2895656
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,Generation,2397783562.8607583
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,StorageEnergy,2579339408.872926
Angola,Angola_East,CapexInvestmentComponent,2028,Generation,92708024.0
Angola,Angola_East,CapexInvestmentComponent,2029,Generation,5437800.0
Angola,Angola_East,CapexInvestmentComponent,2030,Generation,5024400.0
Angola,Angola_East,CapexInvestmentComponent,2031,Generation,4960800.0
Angola,Angola_East,CapexInvestmentComponent,2032,Generation,255668076.616354
Angola,Angola_East,CapexInvestmentComponent,2040,Transmission,157638759.71033067
Angola,Angola_East,CapexInvestmentComponent,2045,Generation,116060923.38364609
Angola,Angola_East,CapexInvestmentComponent,2045,Transmission,95142534.851427
Angola,Angola_East,CapexInvestmentComponent,2050,Generation,19398000.0
Angola,Angola_East,CapexInvestmentComponentCumulated,2028,Generation,2922047432.872926
Angola,Angola_East,CapexInvestmentComponentCumulated,2029,Generation,2927485232.872926
Angola,Angola_East,CapexInvestmentComponentCumulated,2030,Generation,2932509632.872926
Angola,Angola_East,CapexInvestmentComponentCumulated,2031,Generation,2937470432.872926
Angola,Angola_East,CapexInvestmentComponentCumulated,2032,Generation,3193138509.48928
Angola,Angola_East,CapexInvestmentComponentCumulated,2040,Transmission,3486236192.5832567
Angola,Angola_East,CapexInvestmentComponentCumulated,2045,Generation,3309199432.872926
Angola,Angola_East,CapexInvestmentComponentCumulated,2045,Transmission,3581378727.434684
Angola,Angola_East,CapexInvestmentComponentCumulated,2050,Generation,3328597432.872926
Angola,Angola_North,CapexInvestmentComponent,2027,Generation,7384800000.0
Angola,Angola_North,CapexInvestmentComponent,2033,StorageEnergy,7656000.0
Angola,Angola_North,CapexInvestmentComponent,2034,StorageEnergy,7554500.0
Angola,Angola_North,CapexInvestmentComponent,2035,StorageEnergy,7453000.0
Angola,Angola_North,CapexInvestmentComponent,2040,StorageEnergy,58800000.0
Angola,Angola_North,CapexInvestmentComponent,2040,Transmission,321804600.0
Angola,Angola_North,CapexInvestmentComponent,2045,Generation,1054211971.3138466
Angola,Angola_North,CapexInvestmentComponent,2045,StorageEnergy,54635000.0
Angola,Angola_North,CapexInvestmentComponent,2050,Generation,1368819885.6443152
Angola,Angola_North,CapexInvestmentComponent,2050,StorageEnergy,42239476.98266171
Angola,Angola_North,CapexInvestmentComponentCumulated,2027,Generation,10966178727.434685
Angola,Angola_North,CapexInvestmentComponentCumulated,2033,StorageEnergy,13396866584.392847
Angola,Angola_North,CapexInvestmentComponentCumulated,2034,StorageEnergy,13404421084.392847
Angola,Angola_North,CapexInvestmentComponentCumulated,2035,StorageEnergy,13411874084.392847
Angola,Angola_North,CapexInvestmentComponentCumulated,2040,StorageEnergy,13470674084.392847
Angola,Angola_North,CapexInvestmentComponentCumulated,2040,Transmission,13889353161.37551
Angola,Angola_North,CapexInvestmentComponentCumulated,2045,Generation,12020390698.748531
Angola,Angola_North,CapexInvestmentComponentCumulated,2045,StorageEnergy,13525309084.392847
Angola,Angola_North,CapexInvestmentComponentCumulated,2050,Generation,13389210584.392847
Angola,Angola_North,CapexInvestmentComponentCumulated,2050,StorageEnergy,13567548561.37551
Angola,Angola_South,CapexInvestmentComponent,2027,Generation,25289880.0
Angola,Angola_South,CapexInvestmentComponent,2029,Transmission,290000000.0
Angola,Angola_South,CapexInvestmentComponent,2032,StorageEnergy,8413114.518030953
Angola,Angola_South,CapexInvestmentComponent,2033,StorageEnergy,8328963.615849827
Angola,Angola_South,CapexInvestmentComponent,2034,StorageEnergy,8531741.479143064
Angola,Angola_South,CapexInvestmentComponent,2035,StorageEnergy,8141031.301903825
Angola,Angola_South,CapexInvestmentComponent,2040,StorageEnergy,51203252.80380062
Angola,Angola_South,CapexInvestmentComponent,2045,Generation,241080000.0
Angola,Angola_South,CapexInvestmentComponent,2045,StorageEnergy,54635000.0
Angola,Angola_South,CapexInvestmentComponent,2050,Generation,681257021.6037521
Angola,Angola_South,CapexInvestmentComponent,2050,StorageEnergy,42506761.82584591
Angola,Angola_South,CapexInvestmentComponentCumulated,2027,Generation,13914643041.37551
Angola,Angola_South,CapexInvestmentComponentCumulated,2029,Transmission,15308739928.523836
Angola,Angola_South,CapexInvestmentComponentCumulated,2032,StorageEnergy,14845393177.497292
Angola,Angola_South,CapexInvestmentComponentCumulated,2033,StorageEnergy,14853722141.113142
Angola,Angola_South,CapexInvestmentComponentCumulated,2034,StorageEnergy,14862253882.592283
Angola,Angola_South,CapexInvestmentComponentCumulated,2035,StorageEnergy,14870394913.89419
Angola,Angola_South,CapexInvestmentComponentCumulated,2040,StorageEnergy,14921598166.69799
Angola,Angola_South,CapexInvestmentComponentCumulated,2045,Generation,14155723041.37551
Angola,Angola_South,CapexInvestmentComponentCumulated,2045,StorageEnergy,14976233166.69799
Angola,Angola_South,CapexInvestmentComponentCumulated,2050,Generation,14836980062.97926
Angola,Angola_South,CapexInvestmentComponentCumulated,2050,StorageEnergy,15018739928.523836
Botswana,Botswana,CapexInvestmentComponent,2026,Generation,70224000.0
Botswana,Botswana,CapexInvestmentComponent,2027,Generation,1449181440.0
Botswana,Botswana,CapexInvestmentComponent,2027,StorageEnergy,43181250.0
Botswana,Botswana,CapexInvestmentComponent,2028,Generation,1512672000.0
Botswana,Botswana,CapexInvestmentComponent,2029,Generation,45158400.0
Botswana,Botswana,CapexInvestmentComponent,2030,Generation,57010800.0
Botswana,Botswana,CapexInvestmentComponent,2031,Generation,56271600.0
Botswana,Botswana,CapexInvestmentComponent,2032,Generation,91726500.0
Botswana,Botswana,CapexInvestmentComponent,2033,Generation,145246750.0
Botswana,Botswana,CapexInvestmentComponent,2034,Generation,137609957.09856513
Botswana,Botswana,CapexInvestmentComponent,2035,Generation,31929178.37082244
Botswana,Botswana,CapexInvestmentComponent,2040,Generation,173832845.48279572
Botswana,Botswana,CapexInvestmentComponent,2040,Transmission,103826426.54198135
Botswana,Botswana,CapexInvestmentComponent,2045,Generation,635750349.0694785
Botswana,Botswana,CapexInvestmentComponent,2045,StorageEnergy,48502500.0
Botswana,Botswana,CapexInvestmentComponent,2045,Transmission,26296573.458018634
Botswana,Botswana,CapexInvestmentComponent,2050,Generation,396612800.0
Botswana,Botswana,CapexInvestmentComponent,2050,StorageEnergy,67980000.0
Botswana,Botswana,CapexInvestmentComponentCumulated,2026,Generation,15378963928.523836
Botswana,Botswana,CapexInvestmentComponentCumulated,2027,Generation,16828145368.523836
Botswana,Botswana,CapexInvestmentComponentCumulated,2027,StorageEnergy,20155147798.54549
Botswana,Botswana,CapexInvestmentComponentCumulated,2028,Generation,18340817368.523834
Botswana,Botswana,CapexInvestmentComponentCumulated,2029,Generation,18385975768.523834
Botswana,Botswana,CapexInvestmentComponentCumulated,2030,Generation,18442986568.523834
Botswana,Botswana,CapexInvestmentComponentCumulated,2031,Generation,18499258168.523834
Botswana,Botswana,CapexInvestmentComponentCumulated,2032,Generation,18590984668.523834
Botswana,Botswana,CapexInvestmentComponentCumulated,2033,Generation,18736231418.523834
Botswana,Botswana,CapexInvestmentComponentCumulated,2034,Generation,18873841375.6224
Botswana,Botswana,CapexInvestmentComponentCumulated,2035,Generation,18905770553.99322
Botswana,Botswana,CapexInvestmentComponentCumulated,2040,Generation,19079603399.476017
Botswana,Botswana,CapexInvestmentComponentCumulated,2040,Transmission,20375456725.087475
