c,z,attribute,y,uni,value
Angola,Angola_Central,CapexInvestmentComponent,2030,StorageEnergy,3413926.266060852
Angola,Angola_Central,CapexInvestmentComponent,2030,Transmission,248930740.3141144
Angola,Angola_Central,CapexInvestmentComponent,2032,StorageEnergy,16664802.477509614
Angola,Angola_Central,CapexInvestmentComponent,2035,Generation,67620000.0
Angola,Angola_Central,CapexInvestmentComponent,2035,StorageEnergy,30150510.096414857
Angola,Angola_Central,CapexInvestmentComponent,2038,Generation,64680000.00000001
Angola,Angola_Central,CapexInvestmentComponent,2038,StorageEnergy,36309000.0
Angola,Angola_Central,CapexInvestmentComponent,2040,Generation,41865600.0
Angola,Angola_Central,CapexInvestmentComponent,2040,StorageEnergy,23520000.0
Angola,Angola_Central,CapexInvestmentComponent,2042,Generation,71877719.33183879
Angola,Angola_Central,CapexInvestmentComponent,2042,StorageEnergy,22883000.0
Angola,Angola_Central,CapexInvestmentComponent,2045,Generation,750859200.0
Angola,Angola_Central,CapexInvestmentComponent,2045,StorageEnergy,32781000.0
Angola,Angola_Central,CapexInvestmentComponent,2045,Transmission,1069259.6858856706
Angola,Angola_Central,CapexInvestmentComponent,2048,Generation,517988814.7974586
Angola,Angola_Central,CapexInvestmentComponent,2048,StorageEnergy,31237500.0
Angola,Angola_Central,CapexInvestmentComponent,2050,Generation,959669465.8707026
Angola,Angola_Central,CapexInvestmentComponent,2050,StorageEnergy,20188000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2030,StorageEnergy,2477974726.266061
Angola,Angola_Central,CapexInvestmentComponentCumulated,2030,Transmission,2940639279.1541
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,StorageEnergy,2494639528.7435703
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,Generation,67620000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,StorageEnergy,2524790038.8399854
Angola,Angola_Central,CapexInvestmentComponentCumulated,2038,Generation,132300000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2038,StorageEnergy,2561099038.8399854
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,Generation,174165600.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,StorageEnergy,2584619038.8399854
Angola,Angola_Central,CapexInvestmentComponentCumulated,2042,Generation,246043319.3318388
Angola,Angola_Central,CapexInvestmentComponentCumulated,2042,StorageEnergy,2607502038.8399854
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,Generation,996902519.3318388
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,StorageEnergy,2640283038.8399854
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,Transmission,2941708538.839986
Angola,Angola_Central,CapexInvestmentComponentCumulated,2048,Generation,1514891334.1292975
Angola,Angola_Central,CapexInvestmentComponentCumulated,2048,StorageEnergy,2671520538.8399854
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,Generation,2474560800.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,StorageEnergy,2691708538.8399854
Angola,Angola_East,CapexInvestmentComponent,2030,Generation,63287027.57272105
Angola,Angola_East,CapexInvestmentComponent,2032,Generation,309691340.1022301
Angola,Angola_East,CapexInvestmentComponent,2038,Transmission,162262194.12860364
Angola,Angola_East,CapexInvestmentComponent,2040,Transmission,11134513.978579372
Angola,Angola_East,CapexInvestmentComponent,2042,Generation,3897698.5025727446
Angola,Angola_East,CapexInvestmentComponent,2042,Transmission,3049342.081097502
Angola,Angola_East,CapexInvestmentComponent,2045,Transmission,4578104.500648388
Angola,Angola_East,CapexInvestmentComponent,2048,Generation,15741752.695096629
Angola,Angola_East,CapexInvestmentComponent,2048,Transmission,4587593.289706975
Angola,Angola_East,CapexInvestmentComponent,2050,Transmission,3064720.351714917
Angola,Angola_East,CapexInvestmentComponentCumulated,2030,Generation,3004995566.412707
