c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,63407.65496924125
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-63114.339467552505
System,System,NetPresentCostSystem,Fixed O&M: $m,,49261.45580290693
System,System,NetPresentCostSystem,Fuel costs: $m,,8604.776524561079
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,241661.9686202832
System,System,NetPresentCostSystem,NPV of system cost: $m,,251185.2762956615
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-178547.62915273078
System,System,NetPresentCostSystem,Transmission costs: $m,,1455.303875672092
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,316.56768408775247
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet demand costs: $m,,83791.78345452767
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,26.64494872314545
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,4529.418302193227
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,15.660686611691462
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-15.588242327913315
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,12.166799446206468
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,2.1252435306140955
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,59.686679129870974
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,62.03878530826795
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-44.09843680195768
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.359437010132869
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.0781872045937068
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,20.695243530968483
