c,z,attribute,y,value
Angola,Angola_Central,CapexInvestmentComponent,2030,267087987.870509
Angola,Angola_Central,CapexInvestmentComponent,2032,16986281.71568657
Angola,Angola_Central,CapexInvestmentComponent,2035,105399000.0
Angola,Angola_Central,CapexInvestmentComponent,2038,100989000.0
Angola,Angola_Central,CapexInvestmentComponent,2040,65385600.0
Angola,Angola_Central,CapexInvestmentComponent,2042,63415800.0
Angola,Angola_Central,CapexInvestmentComponent,2045,783640200.0
Angola,Angola_Central,CapexInvestmentComponent,2048,460405516.3723078
Angola,Angola_Central,CapexInvestmentComponent,2050,1123593252.6909645
Angola,Angola_Central,CapexInvestmentComponentCumulated,2030,5502121495.58325
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,2532205138.6494684
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,2637604138.6494684
Angola,Angola_Central,CapexInvestmentComponentCumulated,2038,2738593138.6494684
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,2803978738.6494684
Angola,Angola_Central,CapexInvestmentComponentCumulated,2042,2867394538.6494684
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,3651034738.649469
Angola,Angola_Central,CapexInvestmentComponentCumulated,2048,4111440255.021776
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,5235033507.712741
Angola,Angola_Central,Costs,2025,14.714195641443233
Angola,Angola_Central,Costs,2027,14.79690090263905
Angola,Angola_Central,Costs,2030,-37.50613079689497
Angola,Angola_Central,Costs,2032,-29.93618752059909
Angola,Angola_Central,Costs,2035,84.49327149995244
Angola,Angola_Central,Costs,2038,149.33989633409448
Angola,Angola_Central,Costs,2040,266.5242172618656
Angola,Angola_Central,Costs,2042,348.7521504881934
Angola,Angola_Central,Costs,2045,242.271797185997
Angola,Angola_Central,Costs,2048,264.5529082859327
Angola,Angola_Central,Costs,2050,217.51404130980148
Angola,Angola_Central,CostsPerMWh,2025,6.9363113253123725
Angola,Angola_Central,CostsPerMWh,2027,6.557692464554474
Angola,Angola_Central,CostsPerMWh,2030,-15.316378472220016
Angola,Angola_Central,CostsPerMWh,2032,-11.560329652659608
Angola,Angola_Central,CostsPerMWh,2035,29.96047144552277
Angola,Angola_Central,CostsPerMWh,2038,48.61862837761431
Angola,Angola_Central,CostsPerMWh,2040,81.96537432590816
Angola,Angola_Central,CostsPerMWh,2042,101.31588386029742
Angola,Angola_Central,CostsPerMWh,2045,64.61953729016052
Angola,Angola_Central,CostsPerMWh,2048,64.78491045864669
Angola,Angola_Central,CostsPerMWh,2050,50.317089617368055
Angola,Angola_Central,DemandEnergyZone,2025,2121.3286070000017
Angola,Angola_Central,DemandEnergyZone,2027,2256.4188519999984
Angola,Angola_Central,DemandEnergyZone,2030,2448.7597290000003
Angola,Angola_Central,DemandEnergyZone,2032,2589.5617530000018
Angola,Angola_Central,DemandEnergyZone,2035,2820.15827599999
Angola,Angola_Central,DemandEnergyZone,2038,3071.660006
Angola,Angola_Central,DemandEnergyZone,2040,3251.6683960000023
Angola,Angola_Central,DemandEnergyZone,2042,3442.225810999993
Angola,Angola_Central,DemandEnergyZone,2045,3749.2035279999945
Angola,Angola_Central,DemandEnergyZone,2048,4083.557519999991
Angola,Angola_Central,DemandEnergyZone,2050,4322.866106999992
Angola,Angola_Central,DemandPeakZone,2025,373.1151075
Angola,Angola_Central,DemandPeakZone,2027,482.4932775
Angola,Angola_Central,DemandPeakZone,2030,549.6240675
Angola,Angola_Central,DemandPeakZone,2032,589.13823
Angola,Angola_Central,DemandPeakZone,2035,647.90859
Angola,Angola_Central,DemandPeakZone,2038,1015.6562025
Angola,Angola_Central,DemandPeakZone,2040,1069.417725
Angola,Angola_Central,DemandPeakZone,2042,1123.2287175
Angola,Angola_Central,DemandPeakZone,2045,1203.877185
Angola,Angola_Central,DemandPeakZone,2048,1284.513285
Angola,Angola_Central,DemandPeakZone,2050,1338.2748075
Angola,Angola_Central,EmissionsIntensityZone,2040,9.030160501115414e-09
Angola,Angola_Central,EmissionsIntensityZone,2042,1.9948565818781903e-08
Angola,Angola_Central,EmissionsIntensityZone,2045,3.399239718611995e-09
Angola,Angola_Central,EmissionsIntensityZone,2048,2.89120946045613e-10
Angola,Angola_Central,EmissionsIntensityZone,2050,5.569634844269147e-09
Angola,Angola_Central,EmissionsZone,2040,0.0119410732770427
Angola,Angola_Central,EmissionsZone,2042,0.0298567231199999
Angola,Angola_Central,EmissionsZone,2045,0.0083088637819791
Angola,Angola_Central,EmissionsZone,2048,0.0008415161999999
Angola,Angola_Central,EmissionsZone,2050,0.0206417643798907
Angola,Angola_Central,GenCostsPerMWh,2025,22.177766363036653
Angola,Angola_Central,GenCostsPerMWh,2027,22.177766363036653
Angola,Angola_Central,GenCostsPerMWh,2030,24.34476367852932
Angola,Angola_Central,GenCostsPerMWh,2032,25.84721213096014
Angola,Angola_Central,GenCostsPerMWh,2035,31.95416100537556
Angola,Angola_Central,GenCostsPerMWh,2038,36.275955352415465
