c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,70601.35719922058
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-61692.47018950881
System,System,NetPresentCostSystem,Fixed O&M: $m,,47658.666054948255
System,System,NetPresentCostSystem,Fuel costs: $m,,7993.6876995113425
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,238875.2850052102
System,System,NetPresentCostSystem,NPV of system cost: $m,,253026.33525754165
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-177182.8148157013
System,System,NetPresentCostSystem,Transmission costs: $m,,1433.011472521374
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,313.24335039984965
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet demand costs: $m,,83256.38234194534
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,7.301846777475386
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,4988.461607952818
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,17.437417138253
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-15.23706313390218
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,11.77093576130298
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,1.9743142684350563
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,58.99841240871935
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,62.49349771562061
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-43.76134927481715
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.3539311395919347
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.0773661468191496
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,20.563007935128045
System,System,NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,,0.0018034405171442
System,System,NetPresentCostSystemPerMWh,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Variable O&M: $m,,1.2320710165752151
Angola,Angola_Central,CongestionShare,Angola_South,2025,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2027,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2030,0.3312785388127854
Angola,Angola_Central,CongestionShare,Angola_South,2032,0.2948630136986301
Angola,Angola_Central,CongestionShare,Angola_South,2035,0.1683789954337899
Angola,Angola_Central,CongestionShare,Angola_South,2038,0.143607305936073
Angola,Angola_Central,CongestionShare,Angola_South,2040,0.128310502283105
Angola,Angola_Central,CongestionShare,Angola_South,2042,0.1382420091324201
Angola,Angola_Central,CongestionShare,Angola_South,2045,0.1761415525114155
Angola,Angola_Central,CongestionShare,Angola_North,2048,0.00662100456621
Angola,Angola_Central,CongestionShare,Angola_South,2048,0.1563926940639269
Angola,Angola_Central,CongestionShare,Angola_North,2050,0.0117579908675799
Angola,Angola_Central,CongestionShare,Angola_South,2050,0.1643835616438356
Angola,Angola_Central,Interchange,Angola_North,2027,1.8809199079268475
Angola,Angola_Central,Interchange,Angola_South,2030,4524.395396182187
Angola,Angola_Central,Interchange,Angola_South,2032,4450.932455054533
Angola,Angola_Central,Interchange,Angola_South,2035,2584.734336383123
Angola,Angola_Central,Interchange,Angola_North,2038,42.44859107558624
Angola,Angola_Central,Interchange,Angola_South,2038,1573.105520935785
Angola,Angola_Central,Interchange,Angola_North,2040,843.9970713508814
Angola,Angola_Central,Interchange,Angola_South,2040,1377.730604685245
Angola,Angola_Central,Interchange,Angola_North,2042,1140.732155857661
Angola,Angola_Central,Interchange,Angola_South,2042,1212.758988129618
Angola,Angola_Central,Interchange,Angola_North,2045,1086.73828613396
Angola,Angola_Central,Interchange,Angola_South,2045,1374.6217300734577
Angola,Angola_Central,Interchange,Angola_North,2048,1252.471258530007
Angola,Angola_Central,Interchange,Angola_South,2048,1169.0436913250448
Angola,Angola_Central,Interchange,Angola_North,2050,1351.5371432527777
Angola,Angola_Central,Interchange,Angola_South,2050,1130.589260818996
Angola,Angola_Central,InterconUtilization,Angola_North,2027,0.0002683961055831
Angola,Angola_Central,InterconUtilization,Angola_South,2030,0.8608058211914359
Angola,Angola_Central,InterconUtilization,Angola_South,2032,0.8468288537013953
Angola,Angola_Central,InterconUtilization,Angola_South,2035,0.4917683288400157
Angola,Angola_Central,InterconUtilization,Angola_North,2038,0.0060571619685482
Angola,Angola_Central,InterconUtilization,Angola_South,2038,0.2992970930243122
Angola,Angola_Central,InterconUtilization,Angola_North,2040,0.1204333720534933
Angola,Angola_Central,InterconUtilization,Angola_South,2040,0.2621253053054119
Angola,Angola_Central,InterconUtilization,Angola_North,2042,0.1627757071714698
Angola,Angola_Central,InterconUtilization,Angola_South,2042,0.2307380114401861
Angola,Angola_Central,InterconUtilization,Angola_North,2045,0.1550711024734531
Angola,Angola_Central,InterconUtilization,Angola_South,2045,0.2615338147019515
Angola,Angola_Central,InterconUtilization,Angola_North,2048,0.1787202138313366
Angola,Angola_Central,InterconUtilization,Angola_South,2048,0.2224207936310968
Angola,Angola_Central,InterconUtilization,Angola_North,2050,0.1928563275189465
Angola,Angola_Central,InterconUtilization,Angola_South,2050,0.2151045016778911
Angola,Angola_Central,NetImport,Angola_North,2027,-0.0018809199079268
Angola,Angola_Central,NetImport,Angola_South,2030,-4.524395396182188
Angola,Angola_Central,NetImport,Angola_South,2032,-4.4509324550545335
Angola,Angola_Central,NetImport,Angola_South,2035,-2.5847343363831228
Angola,Angola_Central,NetImport,Angola_North,2038,-0.0424485910755862
Angola,Angola_Central,NetImport,Angola_South,2038,-1.5731055209357852
Angola,Angola_Central,NetImport,Angola_North,2040,-0.8439970713508814
Angola,Angola_Central,NetImport,Angola_South,2040,-1.377730604685245
Angola,Angola_Central,NetImport,Angola_North,2042,-1.1407321558576609
Angola,Angola_Central,NetImport,Angola_South,2042,-1.212758988129618
Angola,Angola_Central,NetImport,Angola_North,2045,-1.08673828613396
Angola,Angola_Central,NetImport,Angola_South,2045,-1.3746217300734576
Angola,Angola_Central,NetImport,Angola_North,2048,-1.252471258530007
Angola,Angola_Central,NetImport,Angola_South,2048,-1.1690436913250448
Angola,Angola_Central,NetImport,Angola_North,2050,-1.3515371432527774
Angola,Angola_Central,NetImport,Angola_South,2050,-1.130589260818996
Angola,Angola_Central,NewTransmissionCapacity,Angola_South,2030,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2025,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2027,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2030,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2030,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2032,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2032,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2035,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2035,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2038,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2038,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2040,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2040,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2042,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2042,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2045,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2045,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2048,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2048,600.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2050,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_South,2050,600.0
Angola,Angola_East,CongestionShare,Angola_North,2025,1.0
Angola,Angola_East,CongestionShare,DRC,2025,1.0
Angola,Angola_East,CongestionShare,Zambia,2025,1.0
Angola,Angola_East,CongestionShare,Angola_North,2027,1.0
Angola,Angola_East,CongestionShare,DRC,2027,1.0
Angola,Angola_East,CongestionShare,Zambia,2027,1.0
Angola,Angola_East,CongestionShare,Angola_North,2030,1.0
Angola,Angola_East,CongestionShare,DRC,2030,1.0
Angola,Angola_East,CongestionShare,Zambia,2030,1.0
Angola,Angola_East,CongestionShare,Angola_North,2032,1.0
Angola,Angola_East,CongestionShare,DRC,2032,1.0
Angola,Angola_East,CongestionShare,Zambia,2032,1.0
Angola,Angola_East,CongestionShare,Angola_North,2035,1.0
Angola,Angola_East,CongestionShare,DRC,2035,1.0
Angola,Angola_East,CongestionShare,Zambia,2035,1.0
Angola,Angola_East,CongestionShare,Angola_North,2038,0.3158675799086758
Angola,Angola_East,CongestionShare,DRC,2038,1.0
Angola,Angola_East,CongestionShare,Zambia,2038,0.0265981735159817
Angola,Angola_East,CongestionShare,Angola_North,2040,0.5402968036529681
Angola,Angola_East,CongestionShare,DRC,2040,1.0
Angola,Angola_East,CongestionShare,Angola_North,2042,0.7268264840182649
Angola,Angola_East,CongestionShare,DRC,2042,1.0
Angola,Angola_East,CongestionShare,Angola_North,2045,0.7259132420091324
Angola,Angola_East,CongestionShare,DRC,2045,1.0
Angola,Angola_East,CongestionShare,Angola_North,2048,0.7284246575342466
Angola,Angola_East,CongestionShare,DRC,2048,1.0
Angola,Angola_East,CongestionShare,Angola_North,2050,0.7311643835616438
Angola,Angola_East,CongestionShare,DRC,2050,1.0
Angola,Angola_East,Interchange,Angola_North,2038,743.4900004889605
Angola,Angola_East,Interchange,Zambia,2038,625.2414798688628
Angola,Angola_East,Interchange,Angola_North,2040,1060.2642118480742
Angola,Angola_East,Interchange,Zambia,2040,583.1138163746372
Angola,Angola_East,Interchange,Angola_North,2042,1294.4040658632946
Angola,Angola_East,Interchange,Zambia,2042,580.557541225651
Angola,Angola_East,Interchange,Angola_North,2045,1309.8899962469004
Angola,Angola_East,Interchange,Zambia,2045,575.1140118408839
Angola,Angola_East,Interchange,Angola_North,2048,1310.1412724542186
Angola,Angola_East,Interchange,Zambia,2048,567.6034562505974
Angola,Angola_East,Interchange,Angola_North,2050,1310.2527390564003
Angola,Angola_East,Interchange,Zambia,2050,561.3602334168615
Angola,Angola_East,InterconUtilization,Angola_North,2038,0.4243664386352514
Angola,Angola_East,InterconUtilization,Zambia,2038,0.2218892121857791
Angola,Angola_East,InterconUtilization,Angola_North,2040,0.6051736368995857
Angola,Angola_East,InterconUtilization,Zambia,2040,0.1885254790749588
Angola,Angola_East,InterconUtilization,Angola_North,2042,0.7388151060863554
Angola,Angola_East,InterconUtilization,Zambia,2042,0.1820050075386841
Angola,Angola_East,InterconUtilization,Angola_North,2045,0.747654107446861
Angola,Angola_East,InterconUtilization,Zambia,2045,0.1733183390976899
Angola,Angola_East,InterconUtilization,Angola_North,2048,0.7477975299396225
Angola,Angola_East,InterconUtilization,Zambia,2048,0.1634105217764925
Angola,Angola_East,InterconUtilization,Angola_North,2050,0.7478611524294523
Angola,Angola_East,InterconUtilization,Zambia,2050,0.1572905747059463
Angola,Angola_East,NetImport,Angola_North,2038,-0.7434900004889605
Angola,Angola_East,NetImport,Zambia,2038,-0.6252414798688628
Angola,Angola_East,NetImport,Angola_North,2040,-1.0602642118480743
Angola,Angola_East,NetImport,Zambia,2040,-0.5831138163746372
Angola,Angola_East,NetImport,Angola_North,2042,-1.2944040658632947
Angola,Angola_East,NetImport,Zambia,2042,-0.580557541225651
Angola,Angola_East,NetImport,Angola_North,2045,-1.3098899962469004
Angola,Angola_East,NetImport,Zambia,2045,-0.575114011840884
Angola,Angola_East,NetImport,Angola_North,2048,-1.3101412724542183
Angola,Angola_East,NetImport,Zambia,2048,-0.5676034562505975
Angola,Angola_East,NetImport,Angola_North,2050,-1.3102527390564005
Angola,Angola_East,NetImport,Zambia,2050,-0.5613602334168616
Angola,Angola_East,NewTransmissionCapacity,Angola_North,2038,200.0
Angola,Angola_East,NewTransmissionCapacity,Zambia,2038,321.6677253276601
Angola,Angola_East,NewTransmissionCapacity,Zambia,2040,31.417197086934845
Angola,Angola_East,NewTransmissionCapacity,Zambia,2042,11.046223299351077
Angola,Angola_East,NewTransmissionCapacity,Zambia,2045,14.664801665387904
Angola,Angola_East,NewTransmissionCapacity,Zambia,2048,17.72022791153787
Angola,Angola_East,NewTransmissionCapacity,Zambia,2050,10.896783472764149
Angola,Angola_East,TransmissionCapacity,Angola_North,2038,200.0
Angola,Angola_East,TransmissionCapacity,Zambia,2038,321.6677253276601
Angola,Angola_East,TransmissionCapacity,Angola_North,2040,200.0
Angola,Angola_East,TransmissionCapacity,Zambia,2040,353.0849224145949
Angola,Angola_East,TransmissionCapacity,Angola_North,2042,200.0
Angola,Angola_East,TransmissionCapacity,Zambia,2042,364.131145713946
Angola,Angola_East,TransmissionCapacity,Angola_North,2045,200.0
Angola,Angola_East,TransmissionCapacity,Zambia,2045,378.7959473793339
Angola,Angola_East,TransmissionCapacity,Angola_North,2048,200.0
Angola,Angola_East,TransmissionCapacity,Zambia,2048,396.5161752908718
Angola,Angola_East,TransmissionCapacity,Angola_North,2050,200.0
Angola,Angola_East,TransmissionCapacity,Zambia,2050,407.4129587636359
Angola,Angola_North,CongestionShare,Angola_East,2025,1.0
Angola,Angola_North,CongestionShare,DRC,2025,1.0
Angola,Angola_North,CongestionShare,Angola_East,2027,1.0
Angola,Angola_North,CongestionShare,DRC,2027,1.0
Angola,Angola_North,CongestionShare,Angola_Central,2030,0.756392694063927
Angola,Angola_North,CongestionShare,Angola_East,2030,1.0
Angola,Angola_North,CongestionShare,DRC,2030,1.0
Angola,Angola_North,CongestionShare,Angola_Central,2032,0.751027397260274
Angola,Angola_North,CongestionShare,Angola_East,2032,1.0
Angola,Angola_North,CongestionShare,DRC,2032,1.0
Angola,Angola_North,CongestionShare,Angola_Central,2035,0.3106164383561643
Angola,Angola_North,CongestionShare,Angola_East,2035,1.0
Angola,Angola_North,CongestionShare,DRC,2035,0.2122146118721461
Angola,Angola_North,CongestionShare,Angola_Central,2038,0.1666666666666666
Angola,Angola_North,CongestionShare,Angola_East,2038,0.2312785388127854
Angola,Angola_North,CongestionShare,DRC,2038,0.2388127853881278
Angola,Angola_North,CongestionShare,Angola_Central,2040,0.1356164383561643
Angola,Angola_North,CongestionShare,Angola_East,2040,0.2520547945205479
Angola,Angola_North,CongestionShare,DRC,2040,0.2141552511415525
Angola,Angola_North,CongestionShare,Angola_Central,2042,0.1146118721461187
Angola,Angola_North,CongestionShare,Angola_East,2042,0.2520547945205479
Angola,Angola_North,CongestionShare,DRC,2042,0.3260273972602739
Angola,Angola_North,CongestionShare,Angola_Central,2045,0.1100456621004566
Angola,Angola_North,CongestionShare,Angola_East,2045,0.2520547945205479
Angola,Angola_North,CongestionShare,DRC,2045,0.3886986301369863
Angola,Angola_North,CongestionShare,Angola_Central,2048,0.1025114155251141
Angola,Angola_North,CongestionShare,Angola_East,2048,0.2520547945205479
