c,z,attribute,y,uni,value
Angola,Angola_Central,CongestionShare,2025,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2027,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2030,Angola_South,0.3312785388127854
Angola,Angola_Central,CongestionShare,2032,Angola_South,0.2948630136986301
Angola,Angola_Central,CongestionShare,2035,Angola_South,0.1683789954337899
Angola,Angola_Central,CongestionShare,2038,Angola_South,0.143607305936073
Angola,Angola_Central,CongestionShare,2040,Angola_South,0.128310502283105
Angola,Angola_Central,CongestionShare,2042,Angola_South,0.1382420091324201
Angola,Angola_Central,CongestionShare,2045,Angola_South,0.1761415525114155
Angola,Angola_Central,CongestionShare,2048,Angola_North,0.00662100456621
Angola,Angola_Central,CongestionShare,2048,Angola_South,0.1563926940639269
Angola,Angola_Central,CongestionShare,2050,Angola_North,0.0117579908675799
Angola,Angola_Central,CongestionShare,2050,Angola_South,0.1643835616438356
Angola,Angola_Central,Interchange,2027,Angola_North,1.8809199079268475
Angola,Angola_Central,Interchange,2030,Angola_South,4524.395396182187
Angola,Angola_Central,Interchange,2032,Angola_South,4450.932455054533
Angola,Angola_Central,Interchange,2035,Angola_South,2584.734336383123
Angola,Angola_Central,Interchange,2038,Angola_North,42.44859107558624
Angola,Angola_Central,Interchange,2038,Angola_South,1573.105520935785
Angola,Angola_Central,Interchange,2040,Angola_North,843.9970713508814
Angola,Angola_Central,Interchange,2040,Angola_South,1377.730604685245
Angola,Angola_Central,Interchange,2042,Angola_North,1140.732155857661
Angola,Angola_Central,Interchange,2042,Angola_South,1212.758988129618
Angola,Angola_Central,Interchange,2045,Angola_North,1086.73828613396
Angola,Angola_Central,Interchange,2045,Angola_South,1374.6217300734577
Angola,Angola_Central,Interchange,2048,Angola_North,1252.471258530007
Angola,Angola_Central,Interchange,2048,Angola_South,1169.0436913250448
Angola,Angola_Central,Interchange,2050,Angola_North,1351.5371432527777
Angola,Angola_Central,Interchange,2050,Angola_South,1130.589260818996
Angola,Angola_Central,InterconUtilization,2027,Angola_North,0.0002683961055831
Angola,Angola_Central,InterconUtilization,2030,Angola_South,0.8608058211914359
Angola,Angola_Central,InterconUtilization,2032,Angola_South,0.8468288537013953
Angola,Angola_Central,InterconUtilization,2035,Angola_South,0.4917683288400157
Angola,Angola_Central,InterconUtilization,2038,Angola_North,0.0060571619685482
Angola,Angola_Central,InterconUtilization,2038,Angola_South,0.2992970930243122
Angola,Angola_Central,InterconUtilization,2040,Angola_North,0.1204333720534933
Angola,Angola_Central,InterconUtilization,2040,Angola_South,0.2621253053054119
Angola,Angola_Central,InterconUtilization,2042,Angola_North,0.1627757071714698
Angola,Angola_Central,InterconUtilization,2042,Angola_South,0.2307380114401861
Angola,Angola_Central,InterconUtilization,2045,Angola_North,0.1550711024734531
Angola,Angola_Central,InterconUtilization,2045,Angola_South,0.2615338147019515
Angola,Angola_Central,InterconUtilization,2048,Angola_North,0.1787202138313366
Angola,Angola_Central,InterconUtilization,2048,Angola_South,0.2224207936310968
Angola,Angola_Central,InterconUtilization,2050,Angola_North,0.1928563275189465
Angola,Angola_Central,InterconUtilization,2050,Angola_South,0.2151045016778911
Angola,Angola_Central,NetImport,2027,Angola_North,-0.0018809199079268
Angola,Angola_Central,NetImport,2030,Angola_South,-4.524395396182188
Angola,Angola_Central,NetImport,2032,Angola_South,-4.4509324550545335
Angola,Angola_Central,NetImport,2035,Angola_South,-2.5847343363831228
Angola,Angola_Central,NetImport,2038,Angola_North,-0.0424485910755862
Angola,Angola_Central,NetImport,2038,Angola_South,-1.5731055209357852
Angola,Angola_Central,NetImport,2040,Angola_North,-0.8439970713508814
Angola,Angola_Central,NetImport,2040,Angola_South,-1.377730604685245
Angola,Angola_Central,NetImport,2042,Angola_North,-1.1407321558576609
Angola,Angola_Central,NetImport,2042,Angola_South,-1.212758988129618
Angola,Angola_Central,NetImport,2045,Angola_North,-1.08673828613396
Angola,Angola_Central,NetImport,2045,Angola_South,-1.3746217300734576
Angola,Angola_Central,NetImport,2048,Angola_North,-1.252471258530007
Angola,Angola_Central,NetImport,2048,Angola_South,-1.1690436913250448
Angola,Angola_Central,NetImport,2050,Angola_North,-1.3515371432527774
Angola,Angola_Central,NetImport,2050,Angola_South,-1.130589260818996
Angola,Angola_Central,NewTransmissionCapacity,2030,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2025,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2027,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2030,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2030,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2032,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2032,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2035,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2035,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2038,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2038,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2040,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2040,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2042,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2042,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2045,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2045,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2048,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2048,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2050,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2050,Angola_South,600.0
Angola,Angola_East,CongestionShare,2025,Angola_North,1.0
Angola,Angola_East,CongestionShare,2025,DRC,1.0
Angola,Angola_East,CongestionShare,2025,Zambia,1.0
Angola,Angola_East,CongestionShare,2027,Angola_North,1.0
Angola,Angola_East,CongestionShare,2027,DRC,1.0
Angola,Angola_East,CongestionShare,2027,Zambia,1.0
Angola,Angola_East,CongestionShare,2030,Angola_North,1.0
Angola,Angola_East,CongestionShare,2030,DRC,1.0
Angola,Angola_East,CongestionShare,2030,Zambia,1.0
Angola,Angola_East,CongestionShare,2032,Angola_North,1.0
Angola,Angola_East,CongestionShare,2032,DRC,1.0
Angola,Angola_East,CongestionShare,2032,Zambia,1.0
Angola,Angola_East,CongestionShare,2035,Angola_North,1.0
Angola,Angola_East,CongestionShare,2035,DRC,1.0
Angola,Angola_East,CongestionShare,2035,Zambia,1.0
Angola,Angola_East,CongestionShare,2038,Angola_North,0.3158675799086758
Angola,Angola_East,CongestionShare,2038,DRC,1.0
Angola,Angola_East,CongestionShare,2038,Zambia,0.0265981735159817
Angola,Angola_East,CongestionShare,2040,Angola_North,0.5402968036529681
Angola,Angola_East,CongestionShare,2040,DRC,1.0
Angola,Angola_East,CongestionShare,2042,Angola_North,0.7268264840182649
Angola,Angola_East,CongestionShare,2042,DRC,1.0
Angola,Angola_East,CongestionShare,2045,Angola_North,0.7259132420091324
Angola,Angola_East,CongestionShare,2045,DRC,1.0
Angola,Angola_East,CongestionShare,2048,Angola_North,0.7284246575342466
Angola,Angola_East,CongestionShare,2048,DRC,1.0
Angola,Angola_East,CongestionShare,2050,Angola_North,0.7311643835616438
Angola,Angola_East,CongestionShare,2050,DRC,1.0
Angola,Angola_East,Interchange,2038,Angola_North,743.4900004889605
Angola,Angola_East,Interchange,2038,Zambia,625.2414798688628
Angola,Angola_East,Interchange,2040,Angola_North,1060.2642118480742
Angola,Angola_East,Interchange,2040,Zambia,583.1138163746372
Angola,Angola_East,Interchange,2042,Angola_North,1294.4040658632946
Angola,Angola_East,Interchange,2042,Zambia,580.557541225651
Angola,Angola_East,Interchange,2045,Angola_North,1309.8899962469004
Angola,Angola_East,Interchange,2045,Zambia,575.1140118408839
Angola,Angola_East,Interchange,2048,Angola_North,1310.1412724542186
Angola,Angola_East,Interchange,2048,Zambia,567.6034562505974
Angola,Angola_East,Interchange,2050,Angola_North,1310.2527390564003
Angola,Angola_East,Interchange,2050,Zambia,561.3602334168615
Angola,Angola_East,InterconUtilization,2038,Angola_North,0.4243664386352514
Angola,Angola_East,InterconUtilization,2038,Zambia,0.2218892121857791
Angola,Angola_East,InterconUtilization,2040,Angola_North,0.6051736368995857
Angola,Angola_East,InterconUtilization,2040,Zambia,0.1885254790749588
Angola,Angola_East,InterconUtilization,2042,Angola_North,0.7388151060863554
Angola,Angola_East,InterconUtilization,2042,Zambia,0.1820050075386841
Angola,Angola_East,InterconUtilization,2045,Angola_North,0.747654107446861
Angola,Angola_East,InterconUtilization,2045,Zambia,0.1733183390976899
