c,z,attribute,y,uni,value
Angola,Angola_Central,CapexInvestmentComponent,2029,Transmission,250000000.0
Angola,Angola_Central,CapexInvestmentComponent,2031,StorageEnergy,7859000.000000001
Angola,Angola_Central,CapexInvestmentComponent,2032,StorageEnergy,8774908.066811066
Angola,Angola_Central,CapexInvestmentComponent,2033,Generation,23206400.0
Angola,Angola_Central,CapexInvestmentComponent,2033,StorageEnergy,7656000.0
Angola,Angola_Central,CapexInvestmentComponent,2034,Generation,22853600.0
Angola,Angola_Central,CapexInvestmentComponent,2034,StorageEnergy,9540858.552827785
Angola,Angola_Central,CapexInvestmentComponent,2035,Generation,22540000.0
Angola,Angola_Central,CapexInvestmentComponent,2035,StorageEnergy,8799190.476190476
Angola,Angola_Central,CapexInvestmentComponent,2040,Generation,326912108.7708444
Angola,Angola_Central,CapexInvestmentComponent,2040,StorageEnergy,58800000.0
Angola,Angola_Central,CapexInvestmentComponent,2045,Generation,1590826195.9395733
Angola,Angola_Central,CapexInvestmentComponent,2045,StorageEnergy,48648628.50690524
Angola,Angola_Central,CapexInvestmentComponent,2050,Generation,1033361695.2895824
Angola,Angola_Central,CapexInvestmentComponent,2050,StorageEnergy,50470000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2029,Transmission,3470248585.6027346
Angola,Angola_Central,CapexInvestmentComponentCumulated,2031,StorageEnergy,3027559000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,StorageEnergy,3036333908.066811
Angola,Angola_Central,CapexInvestmentComponentCumulated,2033,Generation,23206400.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2033,StorageEnergy,3043989908.066811
Angola,Angola_Central,CapexInvestmentComponentCumulated,2034,Generation,46060000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2034,StorageEnergy,3053530766.619639
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,Generation,68600000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,StorageEnergy,3062329957.095829
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,Generation,395512108.7708444
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,StorageEnergy,3121129957.095829
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,Generation,1986338304.7104173
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,StorageEnergy,3169778585.6027346
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,Generation,3019700000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,StorageEnergy,3220248585.6027346
Angola,Angola_East,CapexInvestmentComponent,2028,Generation,92708024.0
Angola,Angola_East,CapexInvestmentComponent,2029,Generation,5437800.0
Angola,Angola_East,CapexInvestmentComponent,2030,Generation,5024400.0
Angola,Angola_East,CapexInvestmentComponent,2031,Generation,2319012.656579928
Angola,Angola_East,CapexInvestmentComponent,2032,Generation,256203294.1486782
Angola,Angola_East,CapexInvestmentComponent,2040,Transmission,163465962.6455623
Angola,Angola_East,CapexInvestmentComponent,2045,Transmission,8209893.798283369
Angola,Angola_East,CapexInvestmentComponent,2050,Transmission,8994290.818102218
Angola,Angola_East,CapexInvestmentComponentCumulated,2028,Generation,3562956609.6027346
Angola,Angola_East,CapexInvestmentComponentCumulated,2029,Generation,3568394409.6027346
Angola,Angola_East,CapexInvestmentComponentCumulated,2030,Generation,3573418809.6027346
Angola,Angola_East,CapexInvestmentComponentCumulated,2031,Generation,3575737822.2593145
Angola,Angola_East,CapexInvestmentComponentCumulated,2032,Generation,3831941116.407993
Angola,Angola_East,CapexInvestmentComponentCumulated,2040,Transmission,3995407079.053555
Angola,Angola_East,CapexInvestmentComponentCumulated,2045,Transmission,4003616972.851839
Angola,Angola_East,CapexInvestmentComponentCumulated,2050,Transmission,4012611263.669941
Angola,Angola_North,CapexInvestmentComponent,2027,Generation,7384800000.0
Angola,Angola_North,CapexInvestmentComponent,2033,StorageEnergy,7656000.0
Angola,Angola_North,CapexInvestmentComponent,2034,StorageEnergy,7554500.0
Angola,Angola_North,CapexInvestmentComponent,2035,StorageEnergy,7453000.0
Angola,Angola_North,CapexInvestmentComponent,2040,StorageEnergy,58800000.0
Angola,Angola_North,CapexInvestmentComponent,2040,Transmission,321804600.0
Angola,Angola_North,CapexInvestmentComponent,2045,Generation,1938000000.0
Angola,Angola_North,CapexInvestmentComponent,2045,StorageEnergy,52158275.89340347
Angola,Angola_North,CapexInvestmentComponent,2050,Generation,216723944.0326792
Angola,Angola_North,CapexInvestmentComponent,2050,StorageEnergy,50470000.0
Angola,Angola_North,CapexInvestmentComponentCumulated,2027,Generation,11397411263.66994
Angola,Angola_North,CapexInvestmentComponentCumulated,2033,StorageEnergy,13559791207.70262
Angola,Angola_North,CapexInvestmentComponentCumulated,2034,StorageEnergy,13567345707.70262
Angola,Angola_North,CapexInvestmentComponentCumulated,2035,StorageEnergy,13574798707.70262
Angola,Angola_North,CapexInvestmentComponentCumulated,2040,StorageEnergy,13633598707.70262
Angola,Angola_North,CapexInvestmentComponentCumulated,2040,Transmission,14058031583.596024
Angola,Angola_North,CapexInvestmentComponentCumulated,2045,Generation,13335411263.66994
Angola,Angola_North,CapexInvestmentComponentCumulated,2045,StorageEnergy,13685756983.596024
Angola,Angola_North,CapexInvestmentComponentCumulated,2050,Generation,13552135207.70262
Angola,Angola_North,CapexInvestmentComponentCumulated,2050,StorageEnergy,13736226983.596024
Angola,Angola_South,CapexInvestmentComponent,2027,Generation,6130880.0
Angola,Angola_South,CapexInvestmentComponent,2029,Transmission,290000000.0
Angola,Angola_South,CapexInvestmentComponent,2032,StorageEnergy,8351944.444444444
Angola,Angola_South,CapexInvestmentComponent,2033,StorageEnergy,7656000.0
Angola,Angola_South,CapexInvestmentComponent,2034,Generation,28567000.0
Angola,Angola_South,CapexInvestmentComponent,2034,StorageEnergy,9464441.79691772
Angola,Angola_South,CapexInvestmentComponent,2035,Generation,28175000.0
Angola,Angola_South,CapexInvestmentComponent,2035,StorageEnergy,7934751.355214649
Angola,Angola_South,CapexInvestmentComponent,2040,Generation,261660000.0
Angola,Angola_South,CapexInvestmentComponent,2040,StorageEnergy,58180908.20600997
Angola,Angola_South,CapexInvestmentComponent,2045,Generation,241080000.0
Angola,Angola_South,CapexInvestmentComponent,2045,StorageEnergy,54635000.0
Angola,Angola_South,CapexInvestmentComponent,2050,Generation,535770645.9020781
Angola,Angola_South,CapexInvestmentComponent,2050,StorageEnergy,50470000.0
Angola,Angola_South,CapexInvestmentComponentCumulated,2027,Generation,14064162463.596024
Angola,Angola_South,CapexInvestmentComponentCumulated,2029,Transmission,15646108155.30069
Angola,Angola_South,CapexInvestmentComponentCumulated,2032,StorageEnergy,15167767053.942549
Angola,Angola_South,CapexInvestmentComponentCumulated,2033,StorageEnergy,15175423053.942549
Angola,Angola_South,CapexInvestmentComponentCumulated,2034,Generation,14092729463.596024
Angola,Angola_South,CapexInvestmentComponentCumulated,2034,StorageEnergy,15184887495.739464
Angola,Angola_South,CapexInvestmentComponentCumulated,2035,Generation,14120904463.596024
Angola,Angola_South,CapexInvestmentComponentCumulated,2035,StorageEnergy,15192822247.09468
Angola,Angola_South,CapexInvestmentComponentCumulated,2040,Generation,14382564463.596024
Angola,Angola_South,CapexInvestmentComponentCumulated,2040,StorageEnergy,15251003155.30069
Angola,Angola_South,CapexInvestmentComponentCumulated,2045,Generation,14623644463.596024
Angola,Angola_South,CapexInvestmentComponentCumulated,2045,StorageEnergy,15305638155.30069
Angola,Angola_South,CapexInvestmentComponentCumulated,2050,Generation,15159415109.498102
Angola,Angola_South,CapexInvestmentComponentCumulated,2050,StorageEnergy,15356108155.30069
Botswana,Botswana,CapexInvestmentComponent,2026,Generation,70224000.0
Botswana,Botswana,CapexInvestmentComponent,2027,Generation,1449181440.0
Botswana,Botswana,CapexInvestmentComponent,2027,StorageEnergy,43181250.0
Botswana,Botswana,CapexInvestmentComponent,2028,Generation,1512672000.0
Botswana,Botswana,CapexInvestmentComponent,2029,Generation,45158400.0
Botswana,Botswana,CapexInvestmentComponent,2030,Generation,57010800.0
Botswana,Botswana,CapexInvestmentComponent,2031,Generation,56271600.0
Botswana,Botswana,CapexInvestmentComponent,2032,Generation,91726500.0
Botswana,Botswana,CapexInvestmentComponent,2033,Generation,145246750.0
Botswana,Botswana,CapexInvestmentComponent,2034,Generation,137440076.91622153
Botswana,Botswana,CapexInvestmentComponent,2035,Generation,33011360.57204805
Botswana,Botswana,CapexInvestmentComponent,2040,Generation,688682017.5415741
Botswana,Botswana,CapexInvestmentComponent,2040,Transmission,74529898.24403824
Botswana,Botswana,CapexInvestmentComponent,2045,Generation,432757400.0
Botswana,Botswana,CapexInvestmentComponent,2045,StorageEnergy,122092500.0
Botswana,Botswana,CapexInvestmentComponent,2045,Transmission,55593101.75596175
Botswana,Botswana,CapexInvestmentComponent,2050,Generation,385298000.0
Botswana,Botswana,CapexInvestmentComponent,2050,StorageEnergy,98050888.94296797
Botswana,Botswana,CapexInvestmentComponentCumulated,2026,Generation,15716332155.30069
Botswana,Botswana,CapexInvestmentComponentCumulated,2027,Generation,17165513595.30069
Botswana,Botswana,CapexInvestmentComponentCumulated,2027,StorageEnergy,20793969750.33053
Botswana,Botswana,CapexInvestmentComponentCumulated,2028,Generation,18678185595.30069
Botswana,Botswana,CapexInvestmentComponentCumulated,2029,Generation,18723343995.30069
Botswana,Botswana,CapexInvestmentComponentCumulated,2030,Generation,18780354795.30069
Botswana,Botswana,CapexInvestmentComponentCumulated,2031,Generation,18836626395.30069
Botswana,Botswana,CapexInvestmentComponentCumulated,2032,Generation,18928352895.30069
Botswana,Botswana,CapexInvestmentComponentCumulated,2033,Generation,19073599645.30069
Botswana,Botswana,CapexInvestmentComponentCumulated,2034,Generation,19211039722.21691
