c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,69306.69570145584
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-62015.28365036592
System,System,NetPresentCostSystem,Fixed O&M: $m,,48105.30456418129
System,System,NetPresentCostSystem,Fuel costs: $m,,9266.131853279803
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,255709.9116211617
System,System,NetPresentCostSystem,NPV of system cost: $m,,294878.141592653
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-193694.627970796
System,System,NetPresentCostSystem,Transmission costs: $m,,1350.0553713309228
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,375.4476301155306
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet demand costs: $m,,122279.67676594926
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,4766.5666322927655
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,17.095445993346924
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-15.296919318931709
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,11.865832411242652
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,2.285618367196937
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,63.07435291553308
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,72.7357334409728
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-47.777433596601405
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.3330096530360328
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.0926093015834734
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,30.161957500338502
System,System,NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Variable O&M: $m,,1.1757389616013507
Angola,Angola_Central,CongestionShare,Angola_South,2025,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2026,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2027,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2028,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2029,0.3898401826484018
Angola,Angola_Central,CongestionShare,Angola_South,2030,0.3496575342465753
Angola,Angola_Central,CongestionShare,Angola_South,2031,0.3047945205479452
Angola,Angola_Central,CongestionShare,Angola_South,2032,0.3444063926940639
Angola,Angola_Central,CongestionShare,Angola_South,2033,0.311986301369863
Angola,Angola_Central,CongestionShare,Angola_South,2034,0.2848173515981735
Angola,Angola_Central,CongestionShare,Angola_South,2035,0.2207762557077625
Angola,Angola_Central,CongestionShare,Angola_South,2040,0.1648401826484018
Angola,Angola_Central,CongestionShare,Angola_North,2045,0.0039954337899543
Angola,Angola_Central,CongestionShare,Angola_South,2045,0.1635844748858447
Angola,Angola_Central,CongestionShare,Angola_North,2050,0.0313926940639269
Angola,Angola_Central,CongestionShare,Angola_South,2050,0.1570776255707762
Angola,Angola_Central,Interchange,Angola_North,2027,1.8809199079268475
Angola,Angola_Central,Interchange,Angola_North,2028,2.672153026820029
Angola,Angola_Central,Interchange,Angola_South,2029,4591.552493240611
Angola,Angola_Central,Interchange,Angola_South,2030,4527.119895816071
Angola,Angola_Central,Interchange,Angola_South,2031,4480.677466159947
Angola,Angola_Central,Interchange,Angola_South,2032,4457.320356958034
Angola,Angola_Central,Interchange,Angola_North,2033,2.325269885399845
Angola,Angola_Central,Interchange,Angola_South,2033,3306.9753934293967
Angola,Angola_Central,Interchange,Angola_North,2034,80.92566899572957
Angola,Angola_Central,Interchange,Angola_South,2034,3096.8549388917327
Angola,Angola_Central,Interchange,Angola_North,2035,47.14741273369804
Angola,Angola_Central,Interchange,Angola_South,2035,2232.255493993569
Angola,Angola_Central,Interchange,Angola_North,2040,585.4566582038308
Angola,Angola_Central,Interchange,Angola_South,2040,1469.458671493979
Angola,Angola_Central,Interchange,Angola_North,2045,1295.4810847587196
Angola,Angola_Central,Interchange,Angola_South,2045,1160.1583274738402
Angola,Angola_Central,Interchange,Angola_North,2050,1355.3874232794833
Angola,Angola_Central,Interchange,Angola_South,2050,1084.5446917500512
Angola,Angola_Central,InterconUtilization,Angola_North,2027,0.0002683961055831
Angola,Angola_Central,InterconUtilization,Angola_North,2028,0.0003813003748316
Angola,Angola_Central,InterconUtilization,Angola_South,2029,0.8735830466591725
Angola,Angola_Central,InterconUtilization,Angola_South,2030,0.8613241810913377
Angola,Angola_Central,InterconUtilization,Angola_South,2031,0.8524881023896397
Angola,Angola_Central,InterconUtilization,Angola_South,2032,0.8480442079448314
Angola,Angola_Central,InterconUtilization,Angola_North,2033,0.0003318022096746
Angola,Angola_Central,InterconUtilization,Angola_South,2033,0.6291810109264453
Angola,Angola_Central,InterconUtilization,Angola_North,2034,0.011547612585007
Angola,Angola_Central,InterconUtilization,Angola_South,2034,0.589203755496905
Angola,Angola_Central,InterconUtilization,Angola_North,2035,0.0067276559266121
Angola,Angola_Central,InterconUtilization,Angola_South,2035,0.4247061442149104
Angola,Angola_Central,InterconUtilization,Angola_North,2040,0.0835411898121904
Angola,Angola_Central,InterconUtilization,Angola_South,2040,0.2795773728108788
Angola,Angola_Central,InterconUtilization,Angola_North,2045,0.1848574607247031
