c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,83341.30352708237
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-50600.94903481742
System,System,NetPresentCostSystem,Fixed O&M: $m,,49326.43128826247
System,System,NetPresentCostSystem,Fuel costs: $m,,9001.338168790871
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,224996.87720615388
System,System,NetPresentCostSystem,NPV of system cost: $m,,282112.38196638355
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-174395.92817133665
System,System,NetPresentCostSystem,Transmission costs: $m,,629.9814752169765
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,510.77950345882925
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet demand costs: $m,,84286.01877048123
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,4780.568740775552
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,20.58398212298864
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-12.497633061384446
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,12.182847362094376
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,2.223187976525437
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,55.57066547003018
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,69.67729062676293
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-43.07303240864577
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.1555954475737994
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.1261544483110825
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,20.817311826970503
System,System,NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Variable O&M: $m,,1.1807247707118649
Angola,Angola_Central,CongestionShare,Angola_South,2025,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2027,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2030,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2032,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2035,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2038,1.0
Angola,Angola_Central,CongestionShare,Angola_South,2040,1.0
Angola,Angola_Central,CongestionShare,Angola_North,2042,0.0018264840182648
Angola,Angola_Central,CongestionShare,Angola_South,2042,1.0
Angola,Angola_Central,CongestionShare,Angola_North,2045,0.0069634703196347
Angola,Angola_Central,CongestionShare,Angola_South,2045,1.0
Angola,Angola_Central,CongestionShare,Angola_North,2048,0.0058219178082191
Angola,Angola_Central,CongestionShare,Angola_South,2048,1.0
Angola,Angola_Central,CongestionShare,Angola_North,2050,0.0170091324200913
Angola,Angola_Central,CongestionShare,Angola_South,2050,1.0
Angola,Angola_Central,Interchange,Angola_North,2027,1.8809199079268475
Angola,Angola_Central,Interchange,Angola_North,2030,2.22965498766222
Angola,Angola_Central,Interchange,Angola_North,2032,0.1801235999702214
Angola,Angola_Central,Interchange,Angola_North,2035,8.096648275822883
Angola,Angola_Central,Interchange,Angola_North,2038,105.29077444872328
Angola,Angola_Central,Interchange,Angola_North,2040,182.2612272208423
Angola,Angola_Central,Interchange,Angola_North,2042,214.65111829376207
Angola,Angola_Central,Interchange,Angola_North,2045,420.76764766552577
Angola,Angola_Central,Interchange,Angola_North,2048,552.5964274313675
Angola,Angola_Central,Interchange,Angola_North,2050,650.2289491753343
Angola,Angola_Central,InterconUtilization,Angola_North,2027,0.0002683961055831
Angola,Angola_Central,InterconUtilization,Angola_North,2030,0.0003181585313444
Angola,Angola_Central,InterconUtilization,Angola_North,2032,2.5702568488901464e-05
Angola,Angola_Central,InterconUtilization,Angola_North,2035,0.0011553436466642
Angola,Angola_Central,InterconUtilization,Angola_North,2038,0.0150243685001032
Angola,Angola_Central,InterconUtilization,Angola_North,2040,0.0260075952084535
Angola,Angola_Central,InterconUtilization,Angola_North,2042,0.0306294403957993
Angola,Angola_Central,InterconUtilization,Angola_North,2045,0.0600410456143729
Angola,Angola_Central,InterconUtilization,Angola_North,2048,0.0788522299416905
Angola,Angola_Central,InterconUtilization,Angola_North,2050,0.0927838112407725
Angola,Angola_Central,NetImport,Angola_North,2027,-0.0018809199079268
Angola,Angola_Central,NetImport,Angola_North,2030,-0.0022296549876622
Angola,Angola_Central,NetImport,Angola_North,2032,-0.0001801235999702
Angola,Angola_Central,NetImport,Angola_North,2035,-0.0080966482758228
Angola,Angola_Central,NetImport,Angola_North,2038,-0.1052907744487232
Angola,Angola_Central,NetImport,Angola_North,2040,-0.1822612272208423
Angola,Angola_Central,NetImport,Angola_North,2042,-0.2146511182937621
Angola,Angola_Central,NetImport,Angola_North,2045,-0.4207676476655257
Angola,Angola_Central,NetImport,Angola_North,2048,-0.5525964274313675
Angola,Angola_Central,NetImport,Angola_North,2050,-0.6502289491753342
Angola,Angola_Central,TransmissionCapacity,Angola_North,2025,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2027,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2030,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2032,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2035,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2038,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2040,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2042,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2045,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2048,800.0
Angola,Angola_Central,TransmissionCapacity,Angola_North,2050,800.0
Angola,Angola_East,CongestionShare,Angola_North,2025,1.0
Angola,Angola_East,CongestionShare,DRC,2025,1.0
Angola,Angola_East,CongestionShare,Zambia,2025,1.0
Angola,Angola_East,CongestionShare,Angola_North,2027,1.0
Angola,Angola_East,CongestionShare,DRC,2027,1.0
Angola,Angola_East,CongestionShare,Zambia,2027,1.0
Angola,Angola_East,CongestionShare,Angola_North,2030,1.0
Angola,Angola_East,CongestionShare,DRC,2030,1.0
Angola,Angola_East,CongestionShare,Zambia,2030,1.0
Angola,Angola_East,CongestionShare,Angola_North,2032,1.0
Angola,Angola_East,CongestionShare,DRC,2032,1.0
Angola,Angola_East,CongestionShare,Zambia,2032,1.0
Angola,Angola_East,CongestionShare,Angola_North,2035,1.0
Angola,Angola_East,CongestionShare,DRC,2035,1.0
Angola,Angola_East,CongestionShare,Zambia,2035,1.0
Angola,Angola_East,CongestionShare,Angola_North,2038,1.0
Angola,Angola_East,CongestionShare,DRC,2038,1.0
Angola,Angola_East,CongestionShare,Zambia,2038,1.0
Angola,Angola_East,CongestionShare,Angola_North,2040,1.0
Angola,Angola_East,CongestionShare,DRC,2040,1.0
Angola,Angola_East,CongestionShare,Zambia,2040,1.0
Angola,Angola_East,CongestionShare,Angola_North,2042,1.0
Angola,Angola_East,CongestionShare,DRC,2042,1.0
Angola,Angola_East,CongestionShare,Zambia,2042,1.0
Angola,Angola_East,CongestionShare,Angola_North,2045,1.0
Angola,Angola_East,CongestionShare,DRC,2045,1.0
Angola,Angola_East,CongestionShare,Zambia,2045,1.0
Angola,Angola_East,CongestionShare,Angola_North,2048,1.0
Angola,Angola_East,CongestionShare,DRC,2048,1.0
Angola,Angola_East,CongestionShare,Zambia,2048,1.0
Angola,Angola_East,CongestionShare,Angola_North,2050,1.0
Angola,Angola_East,CongestionShare,DRC,2050,1.0
Angola,Angola_East,CongestionShare,Zambia,2050,1.0
Angola,Angola_North,CongestionShare,Angola_East,2025,1.0
Angola,Angola_North,CongestionShare,DRC,2025,1.0
Angola,Angola_North,CongestionShare,Angola_East,2027,1.0
Angola,Angola_North,CongestionShare,DRC,2027,1.0
Angola,Angola_North,CongestionShare,Angola_East,2030,1.0
Angola,Angola_North,CongestionShare,DRC,2030,1.0
Angola,Angola_North,CongestionShare,Angola_East,2032,1.0
Angola,Angola_North,CongestionShare,DRC,2032,1.0
Angola,Angola_North,CongestionShare,Angola_East,2035,1.0
Angola,Angola_North,CongestionShare,DRC,2035,1.0
Angola,Angola_North,CongestionShare,Angola_Central,2038,0.1015981735159817
