c,z,attribute,y,uni,value
Angola,Angola_Central,CongestionShare,2025,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2026,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2027,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2028,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2029,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2030,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2031,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2032,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2033,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2034,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2035,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2040,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2045,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2050,Angola_North,0.0144977168949771
Angola,Angola_Central,CongestionShare,2050,Angola_South,1.0
Angola,Angola_Central,Interchange,2027,Angola_North,0.8318099583335565
Angola,Angola_Central,Interchange,2028,Angola_North,0.9781366577839632
Angola,Angola_Central,Interchange,2029,Angola_North,0.8807893660027789
Angola,Angola_Central,Interchange,2030,Angola_North,0.4508441430480486
Angola,Angola_Central,Interchange,2031,Angola_North,0.4772649795661328
Angola,Angola_Central,Interchange,2040,Angola_North,15.451564866490765
Angola,Angola_Central,Interchange,2045,Angola_North,25.2121999460932
Angola,Angola_Central,Interchange,2050,Angola_North,1099.528619357475
Angola,Angola_Central,InterconUtilization,2027,Angola_North,0.0001186943433695
Angola,Angola_Central,InterconUtilization,2028,Angola_North,0.0001395742947751
Angola,Angola_Central,InterconUtilization,2029,Angola_North,0.0001256834140985
Angola,Angola_Central,InterconUtilization,2030,Angola_North,6.433278296918502e-05
Angola,Angola_Central,InterconUtilization,2031,Angola_North,6.810287950429977e-05
Angola,Angola_Central,InterconUtilization,2040,Angola_North,0.0022048465848303
Angola,Angola_Central,InterconUtilization,2045,Angola_North,0.0035976312708466
Angola,Angola_Central,InterconUtilization,2050,Angola_North,0.1568962071000963
Angola,Angola_Central,NetImport,2027,Angola_North,-0.0008318099583335
Angola,Angola_Central,NetImport,2028,Angola_North,-0.0009781366577839
Angola,Angola_Central,NetImport,2029,Angola_North,-0.0008807893660027
Angola,Angola_Central,NetImport,2030,Angola_North,-0.000450844143048
Angola,Angola_Central,NetImport,2031,Angola_North,-0.0004772649795661
Angola,Angola_Central,NetImport,2040,Angola_North,-0.0154515648664907
Angola,Angola_Central,NetImport,2045,Angola_North,-0.0252121999460931
Angola,Angola_Central,NetImport,2050,Angola_North,-1.099528619357475
Angola,Angola_Central,TransmissionCapacity,2025,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2026,Angola_North,800.0
