c,z,attribute,y,value
Angola,Angola_Central,CapexInvestmentComponent,2030,274435470.8363443
Angola,Angola_Central,CapexInvestmentComponent,2032,18823851.59175314
Angola,Angola_Central,CapexInvestmentComponent,2035,37779000.0
Angola,Angola_Central,CapexInvestmentComponent,2038,100989000.0
Angola,Angola_Central,CapexInvestmentComponent,2040,224544641.3144745
Angola,Angola_Central,CapexInvestmentComponent,2042,211438365.0149489
Angola,Angola_Central,CapexInvestmentComponent,2045,159552863.7735499
Angola,Angola_Central,CapexInvestmentComponent,2048,895971728.5928534
Angola,Angola_Central,CapexInvestmentComponent,2050,982187401.2464198
Angola,Angola_Central,CapexInvestmentComponentCumulated,2030,5345314533.891406
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,5364138385.483159
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,2496195063.112815
Angola,Angola_Central,CapexInvestmentComponentCumulated,2038,2597184063.112815
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,2821728704.427289
Angola,Angola_Central,CapexInvestmentComponentCumulated,2042,3033167069.4422383
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,3192719933.215788
Angola,Angola_Central,CapexInvestmentComponentCumulated,2048,4088691661.8086414
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,5070879063.055061
Angola,Angola_Central,Costs,2025,14.714195641443233
Angola,Angola_Central,Costs,2027,14.79690090263905
Angola,Angola_Central,Costs,2030,-12.10100795662788
Angola,Angola_Central,Costs,2032,-36.84666590959687
Angola,Angola_Central,Costs,2035,33.096977044125
Angola,Angola_Central,Costs,2038,179.13803354939162
Angola,Angola_Central,Costs,2040,256.4108481035447
Angola,Angola_Central,Costs,2042,280.7781015017383
Angola,Angola_Central,Costs,2045,208.13762880309145
Angola,Angola_Central,Costs,2048,238.27320439472297
Angola,Angola_Central,Costs,2050,176.7771668213188
Angola,Angola_Central,CostsPerMWh,2025,6.9363113253123725
Angola,Angola_Central,CostsPerMWh,2027,6.557692464554474
Angola,Angola_Central,CostsPerMWh,2030,-4.941688567203603
Angola,Angola_Central,CostsPerMWh,2032,-14.228919571780867
Angola,Angola_Central,CostsPerMWh,2035,11.735857992718248
Angola,Angola_Central,CostsPerMWh,2038,58.31961649384175
Angola,Angola_Central,CostsPerMWh,2040,78.85516506509862
Angola,Angola_Central,CostsPerMWh,2042,81.56876303828832
Angola,Angola_Central,CostsPerMWh,2045,55.515158686016186
Angola,Angola_Central,CostsPerMWh,2048,58.34941793466485
Angola,Angola_Central,CostsPerMWh,2050,40.89350964052868
Angola,Angola_Central,DemandEnergyZone,2025,2121.3286070000017
Angola,Angola_Central,DemandEnergyZone,2027,2256.4188519999984
Angola,Angola_Central,DemandEnergyZone,2030,2448.7597290000003
Angola,Angola_Central,DemandEnergyZone,2032,2589.5617530000018
Angola,Angola_Central,DemandEnergyZone,2035,2820.15827599999
Angola,Angola_Central,DemandEnergyZone,2038,3071.660006
Angola,Angola_Central,DemandEnergyZone,2040,3251.6683960000023
Angola,Angola_Central,DemandEnergyZone,2042,3442.225810999993
Angola,Angola_Central,DemandEnergyZone,2045,3749.2035279999945
Angola,Angola_Central,DemandEnergyZone,2048,4083.557519999991
Angola,Angola_Central,DemandEnergyZone,2050,4322.866106999992
Angola,Angola_Central,DemandPeakZone,2025,373.1151075
Angola,Angola_Central,DemandPeakZone,2027,482.4932775
Angola,Angola_Central,DemandPeakZone,2030,549.6240675
Angola,Angola_Central,DemandPeakZone,2032,589.13823
Angola,Angola_Central,DemandPeakZone,2035,647.90859
Angola,Angola_Central,DemandPeakZone,2038,1015.6562025
Angola,Angola_Central,DemandPeakZone,2040,1069.417725
Angola,Angola_Central,DemandPeakZone,2042,1123.2287175
Angola,Angola_Central,DemandPeakZone,2045,1203.877185
Angola,Angola_Central,DemandPeakZone,2048,1284.513285
Angola,Angola_Central,DemandPeakZone,2050,1338.2748075
Angola,Angola_Central,EmissionsIntensityZone,2038,1.8660252666817778e-08
Angola,Angola_Central,EmissionsIntensityZone,2040,7.309327232536416e-08
Angola,Angola_Central,EmissionsIntensityZone,2042,1.6296821376309866e-07
Angola,Angola_Central,EmissionsIntensityZone,2045,6.180629180257526e-08
Angola,Angola_Central,EmissionsIntensityZone,2048,9.43373109795314e-08
Angola,Angola_Central,EmissionsIntensityZone,2050,8.058570626377029e-08
Angola,Angola_Central,EmissionsZone,2038,0.0197688577422298
Angola,Angola_Central,EmissionsZone,2040,0.1048720596069158
Angola,Angola_Central,EmissionsZone,2042,0.3634842974018143
Angola,Angola_Central,EmissionsZone,2045,0.1207696148938334
Angola,Angola_Central,EmissionsZone,2048,0.3214245326726792
Angola,Angola_Central,EmissionsZone,2050,0.3316915547655994
Angola,Angola_Central,GenCostsPerMWh,2025,22.177766363036653
Angola,Angola_Central,GenCostsPerMWh,2027,22.177766363036653
Angola,Angola_Central,GenCostsPerMWh,2030,25.586652439935143
Angola,Angola_Central,GenCostsPerMWh,2032,26.89406551506239
Angola,Angola_Central,GenCostsPerMWh,2035,30.83429012804481
Angola,Angola_Central,GenCostsPerMWh,2038,38.144931803115966
Angola,Angola_Central,GenCostsPerMWh,2040,54.50788353375165
Angola,Angola_Central,GenCostsPerMWh,2042,61.81422987687164
Angola,Angola_Central,GenCostsPerMWh,2045,61.483328930534135
Angola,Angola_Central,GenCostsPerMWh,2048,64.43193052139067
Angola,Angola_Central,GenCostsPerMWh,2050,73.05725407732146
Angola,Angola_East,CapexInvestmentComponent,2030,55947881.45906218
Angola,Angola_East,CapexInvestmentComponent,2032,306239307.6179407
Angola,Angola_East,CapexInvestmentComponent,2035,41731950.57925984
Angola,Angola_East,CapexInvestmentComponent,2038,40683291.80279941
Angola,Angola_East,CapexInvestmentComponent,2040,8904000.0
Angola,Angola_East,CapexInvestmentComponent,2042,8681400.0
Angola,Angola_East,CapexInvestmentComponent,2045,12497400.0
Angola,Angola_East,CapexInvestmentComponent,2048,21452776.08866669
Angola,Angola_East,CapexInvestmentComponent,2050,13885136.566239512
Angola,Angola_East,CapexInvestmentComponentCumulated,2030,2961670203.829406
Angola,Angola_East,CapexInvestmentComponentCumulated,2032,3267909511.4473467
Angola,Angola_East,CapexInvestmentComponentCumulated,2035,3309641462.0266066
Angola,Angola_East,CapexInvestmentComponentCumulated,2038,3350324753.829406
Angola,Angola_East,CapexInvestmentComponentCumulated,2040,3359228753.829406
Angola,Angola_East,CapexInvestmentComponentCumulated,2042,3367910153.829406
Angola,Angola_East,CapexInvestmentComponentCumulated,2045,3380407553.829406
Angola,Angola_East,CapexInvestmentComponentCumulated,2048,3401860329.9180727
Angola,Angola_East,CapexInvestmentComponentCumulated,2050,3415745466.484312
Angola,Angola_East,Costs,2025,71.45833051265969
Angola,Angola_East,Costs,2027,79.53434095645308
Angola,Angola_East,Costs,2030,74.3871979335846
Angola,Angola_East,Costs,2032,23.889258290183133
Angola,Angola_East,Costs,2035,26.5111232829668
Angola,Angola_East,Costs,2038,74.23578802882179
Angola,Angola_East,Costs,2040,93.8029954050543
Angola,Angola_East,Costs,2042,115.70272570021302
Angola,Angola_East,Costs,2045,151.92041189800187
