c,z,attribute,y,uni,value
Angola,Angola_Central,CapexInvestmentComponent,2030,StorageEnergy,25786501.834654484
Angola,Angola_Central,CapexInvestmentComponent,2030,Transmission,250000000.0
Angola,Angola_Central,CapexInvestmentComponent,2032,StorageEnergy,16866050.710269794
Angola,Angola_Central,CapexInvestmentComponent,2035,StorageEnergy,32530208.32302981
Angola,Angola_Central,CapexInvestmentComponent,2038,StorageEnergy,36309000.0
Angola,Angola_Central,CapexInvestmentComponent,2040,Generation,233599843.08353743
Angola,Angola_Central,CapexInvestmentComponent,2040,StorageEnergy,22808852.295815285
Angola,Angola_Central,CapexInvestmentComponent,2042,Generation,222197315.006014
Angola,Angola_Central,CapexInvestmentComponent,2042,StorageEnergy,21258289.89593176
Angola,Angola_Central,CapexInvestmentComponent,2045,Generation,94202841.9104486
Angola,Angola_Central,CapexInvestmentComponent,2045,StorageEnergy,32781000.0
Angola,Angola_Central,CapexInvestmentComponent,2048,Generation,449763785.5609632
Angola,Angola_Central,CapexInvestmentComponent,2048,StorageEnergy,31237500.0
Angola,Angola_Central,CapexInvestmentComponent,2050,Generation,856489534.7203509
Angola,Angola_Central,CapexInvestmentComponent,2050,StorageEnergy,20188000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2030,StorageEnergy,1882039822.1159685
Angola,Angola_Central,CapexInvestmentComponentCumulated,2030,Transmission,2346018723.341015
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,StorageEnergy,1898905872.8262384
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,StorageEnergy,1931436081.149268
Angola,Angola_Central,CapexInvestmentComponentCumulated,2038,StorageEnergy,1967745081.149268
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,Generation,233599843.08353743
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,StorageEnergy,1990553933.4450831
Angola,Angola_Central,CapexInvestmentComponentCumulated,2042,Generation,455797158.08955145
Angola,Angola_Central,CapexInvestmentComponentCumulated,2042,StorageEnergy,2011812223.3410149
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,Generation,550000000.0
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,StorageEnergy,2044593223.3410149
Angola,Angola_Central,CapexInvestmentComponentCumulated,2048,Generation,999763785.5609632
Angola,Angola_Central,CapexInvestmentComponentCumulated,2048,StorageEnergy,2075830723.3410149
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,Generation,1856253320.281314
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,StorageEnergy,2096018723.3410149
Angola,Angola_East,CapexInvestmentComponent,2030,Generation,58632213.893514544
Angola,Angola_East,CapexInvestmentComponent,2032,Generation,321100116.0163098
Angola,Angola_East,CapexInvestmentComponent,2035,Generation,53145127.50689186
Angola,Angola_East,CapexInvestmentComponent,2038,Generation,14409306.476798346
Angola,Angola_East,CapexInvestmentComponent,2040,Generation,8904000.0
Angola,Angola_East,CapexInvestmentComponent,2042,Generation,8681400.0
Angola,Angola_East,CapexInvestmentComponent,2045,Generation,13315999.992999883
Angola,Angola_East,CapexInvestmentComponent,2048,Generation,21610472.422542468
Angola,Angola_East,CapexInvestmentComponent,2050,Generation,13598387.01920643
Angola,Angola_East,CapexInvestmentComponentCumulated,2030,Generation,2404650937.234529
Angola,Angola_East,CapexInvestmentComponentCumulated,2032,Generation,2725751053.250839
Angola,Angola_East,CapexInvestmentComponentCumulated,2035,Generation,2778896180.757731
Angola,Angola_East,CapexInvestmentComponentCumulated,2038,Generation,2793305487.234529
Angola,Angola_East,CapexInvestmentComponentCumulated,2040,Generation,2802209487.234529
Angola,Angola_East,CapexInvestmentComponentCumulated,2042,Generation,2810890887.234529
Angola,Angola_East,CapexInvestmentComponentCumulated,2045,Generation,2824206887.227529
Angola,Angola_East,CapexInvestmentComponentCumulated,2048,Generation,2845817359.650072
Angola,Angola_East,CapexInvestmentComponentCumulated,2050,Generation,2859415746.6692786
Angola,Angola_North,CapexInvestmentComponent,2027,Generation,7384800000.0
Angola,Angola_North,CapexInvestmentComponent,2030,StorageEnergy,15767055.85860804
Angola,Angola_North,CapexInvestmentComponent,2032,StorageEnergy,15515000.0
Angola,Angola_North,CapexInvestmentComponent,2035,StorageEnergy,33159704.409532983
Angola,Angola_North,CapexInvestmentComponent,2038,StorageEnergy,36309000.0
Angola,Angola_North,CapexInvestmentComponent,2040,StorageEnergy,23520000.0
Angola,Angola_North,CapexInvestmentComponent,2042,StorageEnergy,22883000.0
Angola,Angola_North,CapexInvestmentComponent,2045,Generation,806433158.8976492
Angola,Angola_North,CapexInvestmentComponent,2045,StorageEnergy,32781000.0
Angola,Angola_North,CapexInvestmentComponent,2048,Generation,1131566841.102351
Angola,Angola_North,CapexInvestmentComponent,2048,StorageEnergy,31237500.0
Angola,Angola_North,CapexInvestmentComponent,2050,StorageEnergy,20188000.0
Angola,Angola_North,CapexInvestmentComponentCumulated,2027,Generation,10244215746.66928
Angola,Angola_North,CapexInvestmentComponentCumulated,2030,StorageEnergy,12197982802.527887
Angola,Angola_North,CapexInvestmentComponentCumulated,2032,StorageEnergy,12213497802.527887
Angola,Angola_North,CapexInvestmentComponentCumulated,2035,StorageEnergy,12246657506.93742
Angola,Angola_North,CapexInvestmentComponentCumulated,2038,StorageEnergy,12282966506.93742
Angola,Angola_North,CapexInvestmentComponentCumulated,2040,StorageEnergy,12306486506.93742
