c,z,attribute,y,uni,value
Angola,Angola_Central,CongestionShare,2025,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2027,Angola_South,1.0
Angola,Angola_Central,CongestionShare,2030,Angola_South,0.2744292237442922
Angola,Angola_Central,CongestionShare,2032,Angola_South,0.3423515981735159
Angola,Angola_Central,CongestionShare,2035,Angola_South,0.3133561643835616
Angola,Angola_Central,CongestionShare,2038,Angola_South,0.2965753424657534
Angola,Angola_Central,CongestionShare,2040,Angola_South,0.251255707762557
Angola,Angola_Central,CongestionShare,2042,Angola_South,0.2503424657534246
Angola,Angola_Central,CongestionShare,2045,Angola_South,0.2464611872146118
Angola,Angola_Central,CongestionShare,2048,Angola_South,0.2992009132420091
Angola,Angola_Central,CongestionShare,2050,Angola_North,0.0261415525114155
Angola,Angola_Central,CongestionShare,2050,Angola_South,0.3013698630136986
Angola,Angola_Central,Interchange,2027,Angola_North,1.8809199079268475
Angola,Angola_Central,Interchange,2030,Angola_South,4480.303789448654
Angola,Angola_Central,Interchange,2032,Angola_South,4420.767350778673
Angola,Angola_Central,Interchange,2035,Angola_South,3840.782321290758
Angola,Angola_Central,Interchange,2038,Angola_North,17.17232291927407
Angola,Angola_Central,Interchange,2038,Angola_South,2031.9548886586351
Angola,Angola_Central,Interchange,2040,Angola_North,8.567313967338565
Angola,Angola_Central,Interchange,2040,Angola_South,2058.1196067808096
Angola,Angola_Central,Interchange,2042,Angola_North,79.13349444895785
Angola,Angola_Central,Interchange,2042,Angola_South,2030.653783786081
Angola,Angola_Central,Interchange,2045,Angola_North,159.79695938660066
Angola,Angola_Central,Interchange,2045,Angola_South,1912.3263424381264
Angola,Angola_Central,Interchange,2048,Angola_North,213.7128599327948
Angola,Angola_Central,Interchange,2048,Angola_South,1927.4137516437547
Angola,Angola_Central,Interchange,2050,Angola_North,373.7828804325244
Angola,Angola_Central,Interchange,2050,Angola_South,1760.5036163948582
Angola,Angola_Central,InterconUtilization,2027,Angola_North,0.0002683961055831
Angola,Angola_Central,InterconUtilization,2030,Angola_South,0.8524170071249342
Angola,Angola_Central,InterconUtilization,2032,Angola_South,0.8410896786108586
Angola,Angola_Central,InterconUtilization,2035,Angola_South,0.7307424507783025
Angola,Angola_Central,InterconUtilization,2038,Angola_North,0.0024503885444169
Angola,Angola_Central,InterconUtilization,2038,Angola_South,0.3865972010385531
Angola,Angola_Central,InterconUtilization,2040,Angola_North,0.0012225048469375
Angola,Angola_Central,InterconUtilization,2040,Angola_South,0.391575267652361
Angola,Angola_Central,InterconUtilization,2042,Angola_North,0.0112918799156617
Angola,Angola_Central,InterconUtilization,2042,Angola_South,0.3863496544494066
Angola,Angola_Central,InterconUtilization,2045,Angola_North,0.0228020775380423
Angola,Angola_Central,InterconUtilization,2045,Angola_South,0.3638368231427181
Angola,Angola_Central,InterconUtilization,2048,Angola_North,0.0304955564972595
Angola,Angola_Central,InterconUtilization,2048,Angola_South,0.3667073347876246
Angola,Angola_Central,InterconUtilization,2050,Angola_North,0.0533365982352346
Angola,Angola_Central,InterconUtilization,2050,Angola_South,0.3349512207752774
Angola,Angola_Central,NetImport,2027,Angola_North,-0.0018809199079268
Angola,Angola_Central,NetImport,2030,Angola_South,-4.480303789448654
Angola,Angola_Central,NetImport,2032,Angola_South,-4.420767350778673
Angola,Angola_Central,NetImport,2035,Angola_South,-3.840782321290758
Angola,Angola_Central,NetImport,2038,Angola_North,-0.017172322919274
Angola,Angola_Central,NetImport,2038,Angola_South,-2.0319548886586354
Angola,Angola_Central,NetImport,2040,Angola_North,-0.0085673139673385
Angola,Angola_Central,NetImport,2040,Angola_South,-2.0581196067808096
Angola,Angola_Central,NetImport,2042,Angola_North,-0.0791334944489578
Angola,Angola_Central,NetImport,2042,Angola_South,-2.030653783786081
Angola,Angola_Central,NetImport,2045,Angola_North,-0.1597969593866006
Angola,Angola_Central,NetImport,2045,Angola_South,-1.9123263424381265
Angola,Angola_Central,NetImport,2048,Angola_North,-0.2137128599327948
Angola,Angola_Central,NetImport,2048,Angola_South,-1.9274137516437548
Angola,Angola_Central,NetImport,2050,Angola_North,-0.3737828804325244
Angola,Angola_Central,NetImport,2050,Angola_South,-1.7605036163948582
Angola,Angola_Central,NewTransmissionCapacity,2030,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2025,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2027,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2030,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2030,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2032,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2032,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2035,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2035,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2038,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2038,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2040,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2040,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2042,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2042,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2045,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2045,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2048,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2048,Angola_South,600.0
Angola,Angola_Central,TransmissionCapacity,2050,Angola_North,800.0
Angola,Angola_Central,TransmissionCapacity,2050,Angola_South,600.0
Angola,Angola_East,CongestionShare,2025,Angola_North,1.0
Angola,Angola_East,CongestionShare,2025,DRC,1.0
Angola,Angola_East,CongestionShare,2025,Zambia,1.0
Angola,Angola_East,CongestionShare,2027,Angola_North,1.0
Angola,Angola_East,CongestionShare,2027,DRC,1.0
Angola,Angola_East,CongestionShare,2027,Zambia,1.0
Angola,Angola_East,CongestionShare,2030,Angola_North,1.0
Angola,Angola_East,CongestionShare,2030,DRC,1.0
Angola,Angola_East,CongestionShare,2030,Zambia,1.0
Angola,Angola_East,CongestionShare,2032,Angola_North,1.0
Angola,Angola_East,CongestionShare,2032,DRC,1.0
Angola,Angola_East,CongestionShare,2032,Zambia,1.0
Angola,Angola_East,CongestionShare,2035,Angola_North,1.0
Angola,Angola_East,CongestionShare,2035,DRC,1.0
Angola,Angola_East,CongestionShare,2035,Zambia,1.0
Angola,Angola_East,CongestionShare,2038,Angola_North,1.0
Angola,Angola_East,CongestionShare,2038,DRC,1.0
Angola,Angola_East,CongestionShare,2038,Zambia,1.0
Angola,Angola_East,CongestionShare,2040,Angola_North,1.0
Angola,Angola_East,CongestionShare,2040,DRC,1.0
Angola,Angola_East,CongestionShare,2040,Zambia,1.0
Angola,Angola_East,CongestionShare,2042,Angola_North,1.0
Angola,Angola_East,CongestionShare,2042,DRC,1.0
Angola,Angola_East,CongestionShare,2042,Zambia,1.0
Angola,Angola_East,CongestionShare,2045,Angola_North,1.0
Angola,Angola_East,CongestionShare,2045,DRC,1.0
Angola,Angola_East,CongestionShare,2045,Zambia,1.0
Angola,Angola_East,CongestionShare,2048,Angola_North,1.0
Angola,Angola_East,CongestionShare,2048,DRC,1.0
Angola,Angola_East,CongestionShare,2048,Zambia,1.0
Angola,Angola_East,CongestionShare,2050,Angola_North,1.0
Angola,Angola_East,CongestionShare,2050,DRC,1.0
Angola,Angola_East,CongestionShare,2050,Zambia,1.0
Angola,Angola_North,CongestionShare,2025,Angola_East,1.0
Angola,Angola_North,CongestionShare,2025,DRC,1.0
Angola,Angola_North,CongestionShare,2027,Angola_East,1.0
Angola,Angola_North,CongestionShare,2027,DRC,1.0
Angola,Angola_North,CongestionShare,2030,Angola_Central,0.7816210045662101
Angola,Angola_North,CongestionShare,2030,Angola_East,1.0
Angola,Angola_North,CongestionShare,2030,DRC,1.0
Angola,Angola_North,CongestionShare,2032,Angola_Central,0.8351598173515982
Angola,Angola_North,CongestionShare,2032,Angola_East,1.0
Angola,Angola_North,CongestionShare,2032,DRC,1.0
Angola,Angola_North,CongestionShare,2035,Angola_Central,0.7355022831050229
Angola,Angola_North,CongestionShare,2035,Angola_East,1.0
Angola,Angola_North,CongestionShare,2035,DRC,1.0
Angola,Angola_North,CongestionShare,2038,Angola_Central,0.3202054794520548
Angola,Angola_North,CongestionShare,2038,Angola_East,1.0
Angola,Angola_North,CongestionShare,2038,DRC,1.0
Angola,Angola_North,CongestionShare,2040,Angola_Central,0.2681506849315068
Angola,Angola_North,CongestionShare,2040,Angola_East,1.0
Angola,Angola_North,CongestionShare,2040,DRC,1.0
