c,z,attribute,y,value
Angola,Angola_Central,CapexInvestmentComponent,2030,275940250.0
Angola,Angola_Central,CapexInvestmentComponent,2032,17352881.697468497
Angola,Angola_Central,CapexInvestmentComponent,2035,37779000.0
Angola,Angola_Central,CapexInvestmentComponent,2038,100989000.0
Angola,Angola_Central,CapexInvestmentComponent,2040,477787762.73141474
Angola,Angola_Central,CapexInvestmentComponent,2042,354877166.2123576
Angola,Angola_Central,CapexInvestmentComponent,2045,428824474.5299467
Angola,Angola_Central,CapexInvestmentComponent,2048,1307040363.2150164
Angola,Angola_Central,CapexInvestmentComponent,2050,210204476.78605157
Angola,Angola_Central,CapexInvestmentComponentCumulated,2030,5962920368.647043
Angola,Angola_Central,CapexInvestmentComponentCumulated,2032,2769477875.1722555
Angola,Angola_Central,CapexInvestmentComponentCumulated,2035,2807256875.1722555
Angola,Angola_Central,CapexInvestmentComponentCumulated,2038,2908245875.1722555
Angola,Angola_Central,CapexInvestmentComponentCumulated,2040,3386033637.9036703
Angola,Angola_Central,CapexInvestmentComponentCumulated,2042,3740910804.116028
Angola,Angola_Central,CapexInvestmentComponentCumulated,2045,4169735278.6459746
Angola,Angola_Central,CapexInvestmentComponentCumulated,2048,5476775641.860991
Angola,Angola_Central,CapexInvestmentComponentCumulated,2050,5686980118.647043
Angola,Angola_Central,Costs,2025,000013.6693953999999990000.9534536802520539000-0.03337087880882190000000000.12471744
Angola,Angola_Central,Costs,2027,000-0.000962090532904582313.6693953999999990001.0401931200830914000-0.036442966911135880000000000.12471744
Angola,Angola_Central,Costs,2030,000-189.1330162195586413.9292704000303.7640476511857000-181.723475813811315.468930379150429000000000.12471743999999998
Angola,Angola_Central,Costs,2032,000-161.425753347145614.167336197447787000268.52226170965486000-169.2558563201281715.468930379150429000000000.12471744
Angola,Angola_Central,Costs,2035,000-93.1176182969876616.246336197447786000169.31767093781528000-73.1666754435720715.4689303791504290000000.0329453948923056800.12471744
Angola,Angola_Central,Costs,2038,1.054045147244454300-39.92543196858182620.3953361974477864.00882790442608800221.47983679144392000-31.25781591736834415.4689303791504290000000.01172800518017382500.21774825599791048
Angola,Angola_Central,Costs,2040,2.291858936639999700-39.5223634603361329.4098538145904348.523238500264.491879936921000-33.94519816584157515.4689303791504290000000.0184942730501283900.4336842276788533
Angola,Angola_Central,Costs,2042,21.37558520583001700-62.65300183826085639.70612198994311450.93952958923619400275.9446239291491000-43.3741794392967715.4689303791504290000000.02178140255523697601.674154224481252
Angola,Angola_Central,Costs,2045,2.871420111547955400-40.2064865522114547.1028534222150346.12278060386966800177.1436906408998000-30.81746113218527215.468930379150429000000000.6262904448943957
Angola,Angola_Central,Costs,2048,10.24663670954587900-148.8827994681374865.003584161836519.31706856618469800295.65842347705643000-48.5165181695356815.468930379150429000000001.4398068537086652
Angola,Angola_Central,Costs,2050,20.61301629806289500-184.503174763433872.6592570522700636.6335155326972200306.34408531723000-49.2165079707215215.468930379150429000000001.9663398403778931
Angola,Angola_Central,CostsPerMWh,2025,00006.4437896867526610000.44946062439634704000-0.0157311218538721540000000000.058792136017237005
Angola,Angola_Central,CostsPerMWh,2027,000-0.000426379407374576846.0580044294010390000.4609929221080148000-0.0161507988106172340000000000.05527229126341304
Angola,Angola_Central,CostsPerMWh,2030,000-77.236249020149835.6882960933404005000124.04812283287335000-74.210415036522066.317047032404226000000000.05093086043640992
Angola,Angola_Central,CostsPerMWh,2032,000-62.337093587412695.470939698979937000103.69409472416419000-65.360811003655585.973570763944789000000000.04816160103365564
Angola,Angola_Central,CostsPerMWh,2035,000-33.01857881149225.76078879533350100060.03835755557993000-25.9441734409846745.4851284450215310000000.01168210847337058800.044223560450973934
Angola,Angola_Central,CostsPerMWh,2038,0.343151633053640200-12.9979984407759436.6398417004514621.30510144241077450072.10428118959072000-10.1761965374784865.0360164695748640000000.003818132591909595700.07088943944726105
Angola,Angola_Central,CostsPerMWh,2040,0.704825541085093400-12.1544876805254979.0445427494293652.6211893286796250081.34036061680897000-10.4393173078776464.75722875007160350000000.005687625796307790500.13337283353134788
Angola,Angola_Central,CostsPerMWh,2042,6.20981492193861700-18.20130499226594311.53501372950549714.798427641339970080.16459090142754000-12.6006200118220114.4938743791060540000000.00632770879982138900.48635804749685996
Angola,Angola_Central,CostsPerMWh,2045,0.765874695812982200-10.72400744636542112.56342929116521.63308835013708990047.24835270156613000-8.2197354456840574.12592441664598000000000.16704626468451264
Angola,Angola_Central,CostsPerMWh,2048,2.50924265407332900-36.45909203897727515.918371136801484.7304509539967840072.40216943902803000-11.8809439886463973.7881015030126135000000000.35258640209105424
Angola,Angola_Central,CostsPerMWh,2050,4.7683679734341900-42.6807516579495516.8081211061830878.4743581285982420070.86596663754374000-11.3851566882965723.578396831236961000000000.45486947587708315
Angola,Angola_Central,DemandEnergyZone,2025,2121.3286070000017
Angola,Angola_Central,DemandEnergyZone,2027,2256.4188519999984
Angola,Angola_Central,DemandEnergyZone,2030,2448.7597290000003
